date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-12-21,9.9813,-83.8468,E,,0.3149,0.2923,0.2458,0.2066,0.1794,0.166,0.1306,0.1106,0.0944,0.0665,0.043,0.0445,0.0188,-0.0023,-0.0206,-0.0236,-0.0373,-0.0396,-0.0459,-0.0429,-0.0441,-0.0386,-0.0332,-0.028,-0.0224,-0.0166,-0.0153,-0.0128,-0.0074
2000-12-21,9.9813,-83.8468,N,,0.2583,0.1568,0.1108,0.1386,0.1605,0.1634,0.1423,0.0723,0.0339,0.0187,-0.0029,0.0038,0.0003,0.0009,0.0051,0.0096,0.0202,0.0162,0.0057,-0.0018,-0.0033,-0.015,-0.0129,-0.0217,-0.0262,-0.028,-0.0283,-0.0203,-0.0166
2000-12-21,9.9813,-83.8468,NE,0.2933,,0.2686,0.2342,0.2363,0.2577,0.2525,0.1573,0.1072,0.1077,0.0785,0.0536,0.0256,-0.0278,-0.0179,-0.0148,-0.0231,-0.0243,-0.0242,-0.0151,-0.0173,-0.02,-0.0141,-0.0093,-0.0099,-0.0021,0.0047,0.0013,0.0072,0.0006
2000-12-21,9.9813,-83.8468,NO,0.3516,0.2998,0.2686,0.2412,0.2177,0.1956,0.1288,0.0424,0.0048,-0.0152,-0.0162,-0.0084,-0.0017,0.0082,0.0066,-0.0026,-0.0093,-0.0026,0.0013,0.0023,-0.0042,-0.0108,-0.0087,-0.0081,-0.0092,-0.0049,-0.006,-0.0079,-0.0117,-0.01
2000-12-21,9.9813,-83.8468,O,,0.305,0.2574,0.1558,0.0484,-0.0539,-0.0844,-0.0279,0.0509,0.1642,0.205,0.2123,0.1756,0.1604,0.0917,0.0169,-0.0345,-0.0391,-0.0284,-0.0315,-0.0314,-0.0303,-0.0303,-0.0325,-0.0287,-0.027,-0.0251,-0.0348,-0.026,-0.0293
2000-12-21,9.9813,-83.8468,S,,0.2114,0.2227,0.0474,0.0299,0.031,0.0096,0.0311,0.0204,0.0,-0.0556,-0.0739,-0.1021,-0.0764,-0.0985,-0.0772,-0.0237,-0.0089,-0.0112,0.0031,0.0124,0.02,0.0217,0.0207,0.0234,0.0155,-0.0074,-0.0103,-0.0089,0.0169
2000-12-21,9.9813,-83.8468,SE,0.166,0.2297,0.135,-0.0096,-0.0254,-0.0338,-0.0471,-0.0338,0.0057,0.0346,-0.0036,0.0413,-0.0097,-0.0409,-0.0094,-0.0171,0.0019,-0.0195,0.043,0.0527,0.0193,0.0013,-0.0295,-0.0212,-0.0118,-0.0065,-0.0262,-0.0152,0.0098,0.0237
2000-12-21,9.9813,-83.8468,SO,0.1928,0.1168,0.0974,0.0592,0.0056,-0.0336,-0.0307,-0.0494,-0.0199,-0.0346,-0.0233,-0.0253,-0.0324,0.0108,0.0219,0.0141,0.0689,0.0127,0.0525,0.0676,0.1065,0.0893,0.0404,0.0036,-0.0423,-0.038,-0.0029,-0.0055,-0.0738,-0.037
2001-06-15,9.9813,-83.8468,E,,0.3586,0.3063,0.2366,0.1923,0.1449,0.1361,0.1043,0.1405,0.1246,0.0686,0.0327,0.0188,-0.0067,-0.0115,-0.0104,-0.0091,-0.0248,-0.0297,-0.0297,-0.0388,-0.0401,-0.0352,-0.0294,-0.027,-0.0359,-0.0348,-0.0287,-0.0262,-0.0286
2001-06-15,9.9813,-83.8468,N,,0.3771,0.3158,0.3042,0.3069,0.3049,0.2523,0.1828,0.0836,0.0203,0.015,-0.0122,-0.0174,-0.0082,0.0137,0.0197,0.0332,0.042,0.0279,0.0145,0.0039,-0.0048,-0.0141,-0.022,-0.0275,-0.0305,-0.0271,-0.0331,-0.0317,-0.0292
2001-06-15,9.9813,-83.8468,NE,0.4352,,0.4215,0.3781,0.3654,0.3547,0.3022,0.1538,0.0212,0.0103,0.0054,-0.0036,0.0337,0.0036,0.0101,0.0011,-0.0051,-0.006,-0.0077,-0.0013,-0.0119,-0.0077,-0.0099,-0.0098,-0.0125,-0.0157,-0.0087,-0.0026,-0.0027,0.0022
2001-06-15,9.9813,-83.8468,NO,0.4587,0.398,0.3722,0.3372,0.3124,0.2722,0.2089,0.1774,0.1417,0.1244,0.1009,0.0632,0.0356,0.0081,0.0183,0.0162,0.0029,-0.0034,-0.0039,-0.012,-0.0336,-0.0387,-0.0389,-0.0418,-0.037,-0.0392,-0.0402,-0.0392,-0.0396,-0.042
2001-06-15,9.9813,-83.8468,O,,0.3771,0.3536,0.2862,0.2293,0.1653,0.1345,0.1412,0.168,0.2226,0.2699,0.2848,0.2453,0.2143,0.1414,0.0754,-0.0032,-0.0428,-0.0667,-0.0882,-0.099,-0.0994,-0.0937,-0.086,-0.0676,-0.0579,-0.0646,-0.0791,-0.0506,-0.0553
2001-06-15,9.9813,-83.8468,S,,0.1945,0.1845,0.1162,0.176,0.1194,0.1018,0.0319,-0.0239,-0.063,-0.0914,-0.0848,-0.0853,-0.1007,-0.105,-0.0896,-0.0391,-0.0142,0.0197,0.0448,0.0361,0.0333,0.0454,0.0634,0.0076,0.0054,-0.0034,-0.0219,-0.0087,-0.0204
2001-06-15,9.9813,-83.8468,SE,0.2049,0.2292,0.1253,0.0285,-0.027,-0.0266,-0.0529,-0.085,-0.0972,-0.0468,-0.0774,-0.0331,-0.0583,-0.0495,-0.0393,-0.0365,-0.0191,-0.0305,0.0367,0.0551,0.0491,0.0215,0.0174,0.0143,0.003,0.0317,0.0188,0.0176,0.0213,-0.0026
