date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-14,-19.1486,-68.8333,E,,0.0523,0.0486,0.0446,0.0379,0.0271,0.0194,0.0193,0.0178,0.0165,0.011,0.0074,0.0104,0.0122,0.0174,0.0147,0.0049,-0.0123,-0.0232,-0.0357,-0.0457,-0.0361,-0.0191,-0.0029,0.0073,0.0156,0.0183,0.0181,0.0169,0.0089
2000-09-14,-19.1486,-68.8333,N,,0.0811,0.0715,0.0652,0.0599,0.0531,0.04,0.0283,0.0113,1e-04,-0.0014,-0.0044,-0.0066,-0.0043,-0.0023,0.0018,0.0006,0.0186,0.003,0.0171,0.013,0.0132,0.0074,0.0063,0.0015,-0.0032,-0.0107,-0.0097,-0.0148,-0.0111
2000-09-14,-19.1486,-68.8333,NE,0.1571,0.1442,0.129,0.1161,0.0973,0.0861,0.0638,0.049,0.036,0.02,0.0002,-0.0163,-0.0278,-0.0373,-0.0414,-0.0475,-0.0424,-0.0402,-0.0337,-0.0136,0.0139,0.0356,0.042,0.0367,0.0343,0.0214,0.0064,0.003,-0.0018,-0.0063
2000-09-14,-19.1486,-68.8333,NO,0.1024,0.0923,0.0802,0.0541,0.0233,0.0135,0.0049,-0.007,-0.0094,-0.0093,-0.0093,-0.0096,-0.0098,-0.0098,-0.0094,-0.0033,0.0031,0.0058,0.0082,0.0067,0.0097,0.0023,-0.0012,-0.0067,-0.0061,-0.0052,-0.0053,-0.0052,-0.0052,-0.0038
2000-09-14,-19.1486,-68.8333,O,0.0318,0.0371,0.0322,0.0211,-0.0069,-0.0241,-0.0349,-0.0397,-0.042,-0.0428,-0.0426,-0.0472,-0.0397,-0.0305,-0.0195,-0.0041,0.0147,0.0196,0.0177,0.0122,0.0116,0.0142,0.0149,0.0211,0.0148,0.0133,0.0137,0.0096,0.0043,-0.0035
2000-09-14,-19.1486,-68.8333,S,,0.0827,0.0737,0.0561,0.0441,0.0334,0.0181,0.014,0.0084,0.0086,0.0055,-0.0084,-0.0322,-0.0321,-0.0469,-0.047,-0.0475,-0.0474,-0.047,-0.0343,-0.0221,-0.0128,0.0023,0.0041,0.02,0.0375,0.036,0.0273,0.0251,0.0071
2000-09-14,-19.1486,-68.8333,SE,,0.0085,0.0046,0.0049,0.0028,-0.0024,-0.0144,-0.0187,-0.0181,-0.0131,-0.0089,-0.0062,-0.0126,-0.0019,0.002,0.0034,0.0033,0.0203,0.0304,0.0373,0.0412,0.0383,0.0334,0.0199,0.0034,-0.0142,-0.0281,-0.018,-0.0286,-0.0098
2000-09-14,-19.1486,-68.8333,SO,,0.0571,0.0316,0.0214,0.0146,0.0098,0.0107,0.0037,0.0061,-0.005,-0.0122,-0.036,-0.0093,-0.021,-0.0097,0.0229,0.0291,0.0265,0.0285,0.0181,0.0125,0.0048,-0.0006,-0.0031,-0.0035,-0.0025,-0.0004,0.0013,-0.0014,-0.0114
2000-11-17,-19.1494,-68.8339,E,,0.1064,0.0905,0.0412,0.0248,-0.0229,-0.0486,-0.054,-0.0568,-0.0519,-0.0427,-0.0049,0.015,0.0313,0.0346,0.027,0.0336,0.0256,0.0395,0.0421,0.0337,0.0355,0.0319,0.0222,0.0023,-0.0027,-0.0061,-0.0046,-0.0032,-0.0028
2000-11-17,-19.1494,-68.8339,N,0.113,0.1079,0.1053,0.1035,0.0852,0.0749,0.0901,0.0836,0.0813,0.0655,0.051,0.0426,0.0271,0.0204,-0.0011,-0.0171,-0.0109,-0.0148,0.0024,-0.0036,-0.0027,-0.0076,-0.0119,-0.0127,-0.0091,-0.0117,-0.0152,-0.0181,-0.0204,-0.019
2000-11-17,-19.1494,-68.8339,NE,,0.1742,0.1715,0.1629,0.1431,0.1161,0.0908,0.08,0.0493,0.0172,0.0165,-0.0136,-0.0242,-0.0294,-0.0338,-0.0345,-0.0322,-0.0287,-0.0384,-0.0234,-0.0368,-0.01,-0.0369,0.0099,-0.0161,-0.0,-0.0033,0.0154,0.0088,0.0031
2000-11-17,-19.1494,-68.8339,NO,,0.1011,0.0984,0.0883,0.0819,0.0737,0.0607,0.0472,0.0282,0.0127,-0.0023,-0.0169,-0.0242,-0.0074,-0.0256,-0.0147,-0.0236,-0.0005,0.009,0.0031,-0.0124,-0.0256,-0.0323,-0.0349,-0.0243,-0.0112,0.0194,0.0275,0.0301,0.0346
2000-11-17,-19.1494,-68.8339,O,0.06,0.0541,0.0456,0.0468,0.0363,0.009,-0.0099,-0.0074,0.0091,0.0194,0.0117,0.0091,0.0109,0.0105,-0.0014,-0.0153,-0.0138,0.0083,0.0285,0.0254,0.0177,0.0177,0.0075,0.0108,0.0128,0.0131,0.0256,0.038,0.0406,0.0391
