date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-04-05,13.8132,-89.6291,E,0.0918,0.071,0.0495,0.0312,0.0377,0.052,0.0469,0.027,0.0176,0.0009,-0.0118,-0.0044,-0.0056,-0.0114,-0.0085,0.009,0.0282,0.0128,0.0136,-0.0002,-0.0013,0.0299,0.047,-0.0011,0.0411,-0.0239,0.0071,-0.037,-0.041,-0.0747
2000-04-05,13.8132,-89.6291,N,0.1467,0.1211,0.0994,0.0926,0.0652,0.0473,0.0493,0.0381,0.0293,0.0212,0.0269,0.007,-0.0005,-0.0136,-0.0158,-0.0142,-0.0198,-0.0165,-0.0117,-0.0103,-0.0068,-0.0041,-0.0038,-0.0041,-0.001,-0.0034,-0.0007,0.0059,-0.003,-0.0024
2000-04-05,13.8132,-89.6291,NE,,0.1588,0.1252,0.1069,0.0866,0.0629,0.0573,0.0475,0.0335,0.0342,0.0213,0.0106,0.0099,0.0033,-0.0028,0.0002,0.0071,0.009,0.0104,0.0138,0.0074,0.0133,0.0012,-0.0227,-0.023,-0.0191,-0.0347,-0.0223,-0.0048,-0.0237
2000-04-05,13.8132,-89.6291,NO,,0.0921,0.0884,0.0819,0.0779,0.0655,0.0575,0.0443,0.0258,0.0143,0.0059,0.0111,0.0086,0.0073,-0.001,-0.0079,-0.0094,-0.0147,-0.0033,-0.0051,-0.0126,-0.011,-0.0112,-0.0068,0.0034,0.0065,0.0086,0.0125,0.0174,0.0117
2000-04-05,13.8132,-89.6291,O,,0.0524,0.0436,0.0459,0.0485,0.0394,0.0231,0.0006,-0.0113,-0.009,-0.0133,0.0046,0.0107,0.0113,0.012,0.0056,0.0041,-0.0049,0.0054,0.0078,0.0045,0.0086,0.0125,0.0107,0.0148,0.0129,0.0076,0.0232,0.0221,0.0053
2000-04-05,13.8132,-89.6291,S,,0.0658,0.0583,0.057,0.0608,0.065,0.0539,0.0397,0.0186,-0.0004,0.0139,0.0039,-0.0203,-0.0236,0.0181,0.0082,0.0228,0.0173,0.0086,0.0162,0.0075,0.0014,-0.0022,-0.0014,-0.0032,-0.009,-0.0166,-0.0052,-0.012,-0.0136
2000-04-05,13.8132,-89.6291,SE,,0.1115,0.1051,0.1038,0.0996,0.0743,0.0683,0.0567,0.0553,0.0326,0.0135,-0.0065,-0.0152,-0.0071,-0.011,-0.0152,-0.0255,-0.0222,-0.0088,-0.0045,-0.0048,-0.0009,-0.0032,-0.0046,-0.0026,0.0032,0.003,-0.0093,-0.0053,-0.0085
2000-04-05,13.8132,-89.6291,SO,,-0.0054,-0.0098,-0.0055,0.0063,0.0123,-0.0059,-0.0102,0.0076,-0.0021,-0.0022,0.0021,0.0068,0.0161,0.0134,-0.0009,0.0037,0.0018,-0.0004,-0.0039,-0.0038,-0.002,-0.0032,0.0015,-0.0019,-0.0057,-0.0037,0.001,0.0065,0.0071
2000-11-15,13.8088,-89.6335,E,0.0607,0.0657,0.0547,0.0492,0.0341,0.0252,0.0365,0.0332,0.0323,0.0357,0.0272,0.0183,0.0157,0.0143,0.0209,0.0206,0.0108,-0.0118,-0.028,-0.0115,0.0109,0.002,0.0032,0.021,0.022,0.0042,0.0053,-0.0078,-0.0239,-0.0253
2000-11-15,13.8088,-89.6335,N,,0.1219,0.1173,0.1084,0.0921,0.069,0.0375,0.0358,0.0347,0.0233,0.0126,0.0059,0.0132,0.0281,0.0433,0.0469,0.0568,0.0482,0.0264,0.0075,-0.0115,-0.0347,-0.0411,-0.0359,-0.0199,-0.0202,-0.0153,-0.0149,-0.0229,-0.0243
2000-11-15,13.8088,-89.6335,NE,,0.1328,0.1199,0.1088,0.0991,0.0905,0.0787,0.0719,0.0604,0.0494,0.0369,0.0207,0.017,0.0045,-0.0115,-0.0154,-0.0116,-0.014,-0.0159,-0.0131,-0.0035,0.0098,0.0084,0.0121,0.0068,0.0048,1e-04,-0.0101,-0.0251,-0.022
2000-11-15,13.8088,-89.6335,NO,,-0.0269,-0.0233,-0.025,-0.0238,-0.0174,-0.0124,-0.0101,0.0153,0.0129,0.0143,0.017,0.0483,0.0316,0.0369,0.0604,0.0633,0.0371,0.02,0.0031,0.0008,-0.0119,-0.0186,-0.0176,-0.013,-0.0169,-0.0101,-0.0152,-0.0182,-0.0172
2000-11-15,13.8088,-89.6335,O,,-0.1582,-0.1462,-0.1295,-0.1133,-0.0967,-0.0838,-0.0647,-0.0448,-0.024,-0.0058,0.0113,0.0291,0.0393,0.0405,0.0501,0.0559,0.0444,0.0056,-0.0195,-0.0289,-0.0401,-0.0279,-0.026,-0.018,-0.0084,0.002,1e-04,0.0039,0.0077
2000-11-15,13.8088,-89.6335,S,-0.0456,-0.0494,-0.0642,-0.0421,-0.0015,0.0068,-0.0017,-0.0148,-0.005,-0.004,-0.0013,0.0044,0.0016,0.0006,0.0064,0.0104,0.0069,0.004,0.004,0.0103,0.0052,-0.0003,-0.0002,0.0062,0.0101,0.0091,0.0064,0.0003,0.0105,-0.0052
2000-11-15,13.8088,-89.6335,SE,,0.0421,0.0314,0.0046,0.0073,0.0789,0.0652,0.0529,0.0232,0.005,0.0088,0.0422,0.0374,0.0191,0.006,-0.0036,-0.0095,-0.0033,-0.028,-0.0192,-0.0133,-0.0192,-0.0099,-0.0015,-0.0052,0.0073,0.0004,-0.0072,-0.0045,-0.0018
2000-11-15,13.8088,-89.6335,SO,,-0.118,-0.1093,-0.1002,-0.0902,-0.0817,-0.0564,-0.0444,-0.0283,-0.0148,-0.0016,0.0121,0.0124,0.0297,0.027,0.0346,0.0457,0.0488,0.0382,0.0199,0.0037,-0.0117,-0.0353,-0.0276,-0.0369,-0.0208,-0.0197,-0.0086,-0.0033,0.0012
