date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-27,51.3018,156.8733,E,,0.0727,0.0598,0.0664,0.0581,0.0394,0.0267,0.0273,0.0215,0.0144,0.0175,0.0085,0.0011,-0.0048,-0.0095,-0.0075,-0.0179,-0.018,-0.0177,-0.0071,-0.0079,-0.0071,-0.009,0.0009,-0.0087,-0.0081,-0.0085,-0.0089,-0.0018,
2000-07-27,51.3018,156.8733,N,,-0.0447,-0.0801,-0.1075,-0.1055,-0.1063,-0.1321,-0.127,-0.1261,-0.076,-0.0381,0.0134,0.0193,0.0584,0.0055,0.0307,0.0225,0.0204,0.0029,0.0024,-0.0039,0.0135,0.0132,0.0044,0.0249,0.0084,0.0144,0.0193,0.0155,0.0399
2000-07-27,51.3018,156.8733,NE,,0.0698,0.0616,0.0405,0.0019,0.0147,0.0327,-0.0009,-0.0104,0.0068,-0.0095,-0.0016,0.0066,0.0079,-0.0141,-0.0061,-0.0008,-0.0199,-0.0249,-0.0133,-0.0097,-0.0078,-0.0079,-0.0098,0.0059,0.0002,0.0011,-0.0059,-0.0089,0.0133
2000-07-27,51.3018,156.8733,NO,-0.0206,-0.0591,-0.087,-0.1032,-0.0881,-0.0778,-0.0712,-0.0812,-0.1269,-0.0739,-0.065,-0.0336,-0.0489,-0.0349,-0.0122,0.0065,0.0475,0.0628,0.077,0.0633,0.0478,0.0473,0.0432,0.034,0.0349,0.0296,0.0016,0.0013,0.0004,-0.0153
2000-07-27,51.3018,156.8733,O,,-0.0666,-0.0539,-0.0669,-0.0725,-0.0617,-0.0428,-0.0277,-0.0078,0.0008,0.0231,0.0036,0.0122,0.0135,0.0126,0.0161,0.0198,0.0109,-0.0037,-0.0033,-0.0025,0.0137,0.0088,0.0205,0.0235,0.0161,0.0179,0.0199,0.0241,0.0254
2000-07-27,51.3018,156.8733,S,0.0314,0.0219,0.0246,0.0198,0.0178,0.0168,0.025,0.0364,0.0253,0.0233,0.0053,0.0054,-0.004,0.0035,-0.0039,0.0023,-0.0069,-0.0083,-0.0169,-0.0082,-0.0136,-0.0054,-0.0145,-0.0019,-0.0059,0.0011,-0.0028,0.0075,0.0032,0.0145
2000-07-27,51.3018,156.8733,SE,,0.0411,0.0448,0.0491,0.0463,0.0467,0.039,0.0328,0.0304,0.023,0.0173,0.007,0.0113,-0.0033,-0.0152,-0.0175,-0.0055,0.0007,-0.0232,-0.0155,-0.0024,0.001,-0.0065,-0.0051,-0.0011,-0.0211,-0.0122,-0.0157,-0.0056,0.0038
2000-07-27,51.3018,156.8733,SO,-0.0381,-0.0527,-0.0239,-0.0389,-0.0502,-0.0424,-0.0394,-0.0305,-0.0352,-0.0188,-0.0121,-0.0052,-0.0152,-0.0052,0.0056,0.0051,0.0166,0.0088,0.0107,0.0193,0.0208,0.0138,0.014,0.0132,0.0156,0.0097,0.0203,0.0124,0.0208,0.0197
2000-08-19,51.3019,156.8742,E,,0.1295,0.0794,0.0472,0.0519,0.049,0.0374,0.0118,-0.011,-0.0285,-0.0134,-0.0009,0.0025,-0.0073,-0.007,-0.0049,0.0266,0.0144,0.0123,-0.0007,-0.0191,-0.0261,-0.019,-0.0251,-0.0117,-0.0082,-0.0056,0.0119,0.017,0.0154
2000-08-19,51.3019,156.8742,N,-0.0337,-0.0439,-0.0128,-0.0465,-0.068,-0.069,-0.0835,-0.0475,-0.0363,-0.0035,-0.0179,-0.0145,-0.0213,0.0019,0.008,0.0007,0.0072,0.0007,-0.0031,0.0017,0.0054,0.0159,0.0164,0.0115,0.0097,0.0043,-0.0014,0.0098,0.007,-0.002
2000-08-19,51.3019,156.8742,NE,,0.0475,0.0391,0.0094,0.0137,0.0416,0.0312,0.0002,-0.0099,-0.021,-0.0105,-0.0198,-0.0227,0.0074,0.0012,0.0162,-0.0011,0.0011,0.0176,1e-04,-0.0173,-0.0188,-0.0131,0.0167,0.0071,0.0138,0.0042,0.0011,-0.001,0.0048
2000-08-19,51.3019,156.8742,NO,,-0.0584,-0.0591,-0.0486,-0.0659,-0.0778,-0.1116,-0.0917,-0.053,-0.0451,-0.0256,-0.0059,0.0181,0.0378,0.0243,0.0346,0.038,0.0437,0.0362,0.0387,0.0309,0.0254,0.0142,0.0048,0.0058,0.0019,0.0004,-0.0124,-0.0137,-0.0139
2000-08-19,51.3019,156.8742,O,-0.0216,-0.0492,-0.0579,-0.0489,-0.0058,-0.019,-0.0208,-0.0085,-0.001,-0.005,0.0105,0.0022,0.0049,0.0062,0.0023,0.0051,-0.0025,-0.0032,0.0036,0.0018,0.0029,-0.0025,-0.0025,0.0149,0.0136,0.0108,0.0069,0.0029,0.0066,0.0109
2000-08-19,51.3019,156.8742,S,,0.1045,0.0809,0.0105,0.0082,0.0164,0.0288,0.0215,0.0221,0.0134,0.021,0.0196,-0.0044,0.0086,-0.0077,0.0077,-0.0163,0.0022,-0.0228,-0.003,-0.0225,-0.0121,-0.0236,-0.0042,-0.0243,0.0,-0.0131,0.005,0.0066,0.019
2000-08-19,51.3019,156.8742,SE,,0.174,0.1252,0.0919,0.0685,0.0583,0.0449,0.0401,0.032,0.0322,0.0256,-0.0,-0.0012,-0.0057,-0.0025,-0.0152,-0.0075,0.0011,-0.0137,-0.0013,-0.0009,-0.0052,-0.0053,-0.0088,-0.0057,-0.0087,-0.0109,-0.0077,-0.0053,-0.0091
2000-08-19,51.3019,156.8742,SO,0.025,0.0128,-0.0122,-0.0052,-0.0026,-0.0206,-0.0204,-0.0163,-0.0124,-0.0128,0.0219,0.0095,-0.0011,-0.0022,-0.0073,-0.0015,-0.0103,-0.0027,0.0022,-0.0042,-0.0033,-0.0073,0.0046,0.0097,-0.0004,-0.0075,0.0135,0.002,0.0163,0.0213
2000-08-28,51.3021,156.8742,E,,0.0872,0.0694,0.0734,0.0445,0.0465,0.0154,0.0006,-0.0077,-0.0019,0.0177,0.0055,0.0067,0.0051,0.0011,0.0139,-0.0087,-0.0091,-0.0083,-0.0147,-0.0152,-0.0129,-0.0154,-0.0112,-0.0066,0.0019,0.0125,0.0187,0.0155,0.0084
2000-08-28,51.3021,156.8742,N,-0.0372,-0.0535,-0.031,-0.0586,-0.0653,-0.0642,-0.0729,-0.0372,-0.0376,-0.0131,-0.0149,-0.0098,-0.0259,-0.0221,-0.005,-0.0068,-0.0103,-0.0116,-0.0109,-0.0065,0.0037,0.0041,0.0166,0.0097,0.0078,0.011,0.0064,0.0181,0.0156,0.0111
2000-08-28,51.3021,156.8742,NE,,0.0031,0.0099,0.0256,0.0354,0.0244,0.0068,-0.008,-0.015,-0.0115,-0.0116,-0.0061,0.01,0.0127,0.0215,0.0026,-0.0079,0.0083,-0.0028,-0.017,-0.0154,-0.0141,-0.0025,0.0079,0.0105,0.005,0.0021,-0.004,-0.0055,0.0028
2000-08-28,51.3021,156.8742,NO,,-0.0189,-0.0264,-0.0205,-0.0248,-0.0451,-0.0473,-0.0595,-0.0335,-0.0125,-0.0266,-0.0074,0.0172,0.0232,0.0238,0.0166,0.0183,0.0055,0.0129,0.0147,0.0156,0.0048,0.0043,0.0046,0.0006,0.0011,0.0016,0.0024,0.0053,0.0057
2000-08-28,51.3021,156.8742,O,0.04,0.0351,0.004,-0.0171,0.0047,-0.0044,0.0121,0.0005,0.0029,0.002,-0.0015,0.0083,0.005,0.0087,0.006,0.0105,0.0048,-0.0072,-0.0091,-0.0013,-0.0026,-0.0015,-0.0041,0.0033,-0.001,-0.0012,0.0007,-0.0025,-0.0175,-0.0073
2000-08-28,51.3021,156.8742,S,,0.1081,0.0736,0.0439,0.0347,0.0307,0.0251,0.0233,0.0097,0.0131,0.0041,0.008,-0.0058,-0.0002,-0.0078,1e-04,-0.011,-0.0052,-0.0116,-0.0013,-0.0131,-0.0047,-0.0133,-0.0074,-0.0122,0.0004,0.0019,0.0019,0.0062,0.0113
2000-08-28,51.3021,156.8742,SE,,0.1508,0.1137,0.0942,0.064,0.0401,0.0313,0.0272,0.0201,0.0174,0.012,-0.0027,-0.0026,-0.0043,-0.0021,-0.0037,0.0035,-0.0016,0.005,0.0059,-1e-04,-0.0029,0.0031,-0.0063,-0.0035,-0.0082,-0.0093,-0.0096,-0.0068,-0.0028
2000-08-28,51.3021,156.8742,SO,0.0744,0.0458,0.0289,0.0135,0.0179,-0.0,-0.0044,-0.0039,-0.0015,-0.0153,0.0058,-0.0008,0.0054,0.0055,-0.0113,0.0019,-0.0041,0.0016,0.0032,0.0037,0.0009,-0.0019,0.0041,-0.0016,-0.0028,-0.0047,-0.0066,-0.001,0.0043,0.0051
2000-09-04,51.3019,156.8738,E,,0.1302,0.0947,0.0844,0.0817,0.0647,0.0701,0.0442,0.0088,-0.0172,-0.0008,-0.011,-0.0101,-0.002,-0.0046,-0.0099,0.0211,0.0071,-0.0022,-0.0114,-0.0185,-0.0178,-0.0204,-0.0191,-0.0125,-0.0062,-0.0026,0.0126,0.023,0.022
2000-09-04,51.3019,156.8738,N,,-0.0342,-0.0436,-0.0138,-0.0451,-0.0531,-0.0856,-0.0791,-0.0335,-0.0472,-0.0021,-0.0129,-0.0047,-0.0197,-0.014,0.0078,-0.0007,0.0018,-0.0082,-0.0084,-0.0106,0.0086,0.0141,0.0198,0.0189,0.0182,0.0104,0.009,0.0182,0.0126
2000-09-04,51.3019,156.8738,NE,0.0645,0.0513,0.0148,0.0227,0.0402,0.0376,0.0525,0.0113,-0.0087,-0.0266,-0.0282,-0.0234,-0.0165,-0.0047,0.0154,0.0271,0.0053,-0.0069,-0.0051,-0.01,-0.0168,-0.0345,-0.0109,0.0009,0.0012,0.0112,0.0131,0.0079,0.0104,0.0002
2000-09-04,51.3019,156.8738,NO,-0.029,-0.0177,-0.0339,-0.0315,-0.0135,-0.0385,-0.0506,-0.0634,-0.0499,-0.0189,-0.0255,-0.0065,0.0139,0.0144,0.0358,0.0186,0.0217,0.0097,0.0158,0.0154,0.0221,0.0169,0.01,0.0032,-0.0018,0.0028,0.0023,0.001,-0.0026,-0.004
