date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-05-04,10.4105,123.1311,E,0.1472,0.1068,0.0965,0.0792,0.0511,0.0162,0.0034,-0.0045,-0.0112,-0.0015,-0.0119,0.0012,0.0094,-0.0022,-0.0137,,-0.004,,-0.0139,-0.0045,-0.009,0.0185,0.028,0.0274,0.0272,0.0215,0.0093,-0.002,-0.0274,-0.0507
2001-05-04,10.4105,123.1311,N,,0.0884,0.0388,0.0029,-0.0436,-0.0974,-0.107,-0.1165,-0.0944,-0.0509,-0.0011,0.0231,0.0242,0.027,0.0243,0.0226,0.0189,0.0211,0.0201,0.0199,0.0168,0.0178,0.0335,0.0459,0.0426,0.0154,0.0266,0.0169,-0.011,-0.0336
2001-05-04,10.4105,123.1311,NE,,0.095,0.0382,-0.0094,-0.0359,-0.0496,-0.1034,-0.0725,-0.0879,-0.0907,-0.1066,-0.1101,-0.0303,0.0338,0.0488,0.0512,0.0573,0.0535,0.0538,0.0512,0.0505,0.0459,0.0405,0.0294,0.0112,-0.0242,-0.0463,-0.059,-0.0503,-0.0344
2001-05-04,10.4105,123.1311,NO,,0.0145,0.006,-1e-04,-0.0146,-0.0317,-0.0315,-0.0245,-0.0274,-0.021,-0.012,-0.0124,-0.0101,-0.0,0.0121,0.0227,0.0239,0.0208,0.017,0.0155,0.0201,0.0076,0.0187,0.0131,0.0099,-0.0142,-0.0122,-0.0236,-0.0282,-0.0316
2001-05-04,10.4105,123.1311,O,,0.0339,-0.0751,-0.0639,-0.0607,-0.0453,-0.0305,-0.0358,-0.0274,-0.008,-0.0063,-0.013,-0.0127,-0.0043,-0.0014,0.0063,0.0068,0.0135,0.0374,0.0258,0.0256,-0.0112,-0.0228,-0.0297,-0.0311,-0.031,-0.0265,-0.021,-0.017,-0.0071
2001-05-04,10.4105,123.1311,S,0.1478,0.103,0.0644,0.0354,0.0196,0.0078,-0.0037,-0.0032,0.0033,-0.0061,-0.0049,0.0054,-0.0047,0.0066,0.0036,0.019,0.0194,0.0045,0.0048,-0.015,-0.03,,,,,,,,,
2001-05-04,10.4105,123.1311,SE,,0.1369,0.0993,0.0623,0.017,0.0019,0.0073,0.0018,-0.0017,0.0046,,,,,,,,,,,,,,,,,,,,
2001-05-04,10.4105,123.1311,SO,,0.0298,-0.0015,-0.0199,-0.0071,-0.0157,-0.0153,-0.0162,-0.0023,-0.0059,-0.0123,-0.0133,-0.0077,0.0136,0.0159,0.0194,0.0228,0.0108,-0.0059,-0.0176,-0.0099,-0.0099,-0.038,,,,,,,
2002-04-05,10.4089,123.1308,E,0.0546,0.0356,0.0127,-0.0005,0.0228,0.0473,0.0599,0.0463,0.0305,0.0128,-0.01,-0.0086,-0.0351,-0.0231,-0.0416,-0.035,-0.0194,-0.012,0.0042,-0.0048,0.0058,0.0126,0.0194,0.0081,0.0006,-0.0054,0.0023,0.0053,0.0102,0.0014
2002-04-05,10.4089,123.1308,N,,-0.0139,-0.0061,-0.0062,-0.0069,-0.0125,-0.0099,-0.0074,-0.0082,-0.0059,-0.0042,-0.0017,0.0018,0.0017,0.0008,0.001,0.0087,0.0114,0.011,0.0154,0.0167,0.0125,0.006,-0.0116,-0.0154,-0.0228,-0.0198,-0.0206,-0.0128,-0.0238
