date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2002-04-16,2.7771,125.4063,E,,0.2605,0.1145,-0.0028,-0.0482,-0.0384,-0.0537,-0.0633,-0.0465,-0.0443,-0.0217,-0.0008,-0.0,-0.0184,-0.0317,-0.0288,-0.0205,-0.0226,-0.0161,0.0115,0.0022,0.0049,-0.0046,-0.0211,-0.0027,0.0102,0.0064,-0.0119,-0.0127,-0.0095
2002-04-16,2.7771,125.4063,N,,0.2424,0.1144,0.034,-0.0009,-0.0087,-0.0135,-0.0198,-0.0246,-0.0296,-0.027,-0.0245,-0.0246,-0.0176,-0.0132,-0.0096,-0.0162,-0.0069,0.0299,0.022,0.0258,0.0234,0.0253,0.0267,0.0249,0.01,-0.0027,-0.0144,-0.0272,-0.0289
2002-04-16,2.7771,125.4063,NE,0.4597,0.2725,0.2065,0.0739,0.0067,-0.0047,0.0056,0.0077,-0.0116,-0.0184,0.0011,-0.0035,-0.0039,-0.0142,-0.0211,-0.0145,-0.0105,-0.023,-0.0002,0.0103,0.0147,0.0071,0.0067,0.0031,-0.0011,-0.0013,-0.0051,-0.0094,-0.0203,-0.0104
2002-04-16,2.7771,125.4063,NO,0.4992,0.1873,0.1194,0.106,0.0559,0.0235,0.0123,-0.0036,-0.0074,-0.0084,-0.0103,-0.0036,0.0024,0.0006,0.0004,-0.0034,-0.0024,-0.002,-0.0017,0.0003,-0.0025,-0.0033,-0.0052,-0.0092,-0.0084,-0.0079,-0.0077,-0.0009,-0.0069,-0.0059
2002-04-16,2.7771,125.4063,O,,0.2588,0.2048,0.2978,0.2947,0.1294,-0.0038,-0.0177,-0.0095,-0.012,-0.0025,0.0141,0.0246,0.0207,0.0185,0.0137,-0.0017,-0.0119,-0.0101,-0.0115,0.0065,0.0075,-0.0009,-0.0068,-0.0046,-0.0098,-0.0052,0.004,0.0054,0.0043
2002-04-16,2.7771,125.4063,S,,0.3319,0.1478,0.0563,0.0075,0.0041,0.0041,0.0037,0.0051,0.0057,0.004,0.0019,0.002,0.0009,-0.0024,-0.0041,-0.004,-0.0031,-0.0015,-0.0021,-0.0011,-1e-04,-0.0007,-1e-04,0.0,0.0039,-0.0004,-0.0023,0.0018,0.001
2002-04-16,2.7771,125.4063,SE,0.4436,0.2168,0.132,0.0352,0.0016,-0.0061,-0.0098,-0.0051,-0.0109,-0.0127,-0.0156,-0.0169,-0.0263,-0.0232,-0.0229,-0.0192,-0.0175,-0.021,-0.0112,-0.0071,-0.0082,0.0032,-0.0003,0.0004,-0.0062,-0.0017,-0.0034,-0.0097,-0.0051,0.0059
2002-04-16,2.7771,125.4063,SO,0.5932,0.3833,0.2768,0.4616,0.3553,0.1808,0.1342,,,,,,,,,0.0064,0.004,0.0007,-0.0013,-0.0015,-0.0021,-0.0025,-0.0032,-0.0048,-0.0072,-0.0032,0.0014,0.0066,0.0044,0.0035
2002-09-07,2.7771,125.4063,E,,0.2805,0.1208,-0.0006,-0.0447,-0.0338,-0.0522,-0.0766,-0.0625,-0.0472,-0.0281,0.0025,-0.0062,-0.0087,-0.004,0.0027,-0.0021,-0.0153,-0.0105,0.027,0.0295,0.0298,0.0144,0.0087,0.0094,0.0103,0.0124,0.0019,-0.0093,-0.0211
2002-09-07,2.7771,125.4063,N,,0.255,0.0965,0.0262,-0.0135,-0.0269,-0.03,-0.0108,-0.0171,-0.0174,-0.019,-0.015,-0.01,-0.028,-0.0174,-0.0131,0.0012,-0.0031,0.0155,0.0242,0.0197,0.0165,0.0347,0.0388,0.0325,0.0238,0.002,-0.0285,-0.0408,-0.0523
