date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-20,-4.6507,145.9736,E,,0.1769,0.1726,0.1392,0.0929,0.0484,-0.0092,-0.0089,-0.0103,-0.0042,-0.0066,-0.0008,0.0116,0.0317,0.0126,0.0156,0.0042,-0.0088,-0.0082,-0.0019,-0.0135,-0.0124,-0.0114,-0.0091,-0.0079,-0.0087,-0.0052,1e-04,0.0039,0.0063
2000-02-20,-4.6507,145.9736,N,,0.2044,0.1252,0.1045,0.0542,0.035,0.0214,0.0065,0.0011,-0.0052,-0.0041,-0.0063,-0.003,-0.0023,-0.0029,0.0033,-0.0022,0.0039,-0.0031,0.0031,0.0028,0.0033,0.0037,-0.0025,-0.0086,-0.0112,-0.0134,-0.0117,0.0,0.0196
2000-02-20,-4.6507,145.9736,NE,0.1935,0.1657,0.1286,0.0792,0.0368,0.0059,-0.0083,-0.0077,-0.008,-0.0058,-0.0032,-0.0099,-0.0034,0.0038,0.0026,0.0068,0.0059,0.0079,0.0008,0.0002,0.0006,0.0025,0.0042,0.0023,-0.0004,-1e-04,0.0004,-0.0081,-0.0079,-0.0073
2000-02-20,-4.6507,145.9736,NO,,0.2304,0.2036,0.1914,0.1112,0.0564,0.0262,0.0139,0.0154,-0.0006,-0.0028,-0.0058,-0.0052,-0.0062,-0.0011,0.0048,-0.003,-0.0076,-0.0084,-0.0049,0.0005,0.0,0.0003,-1e-04,0.0003,-0.003,0.0,0.0009,0.0086,0.007
2000-02-20,-4.6507,145.9736,O,,0.1945,0.194,0.193,0.1488,0.0902,0.0356,0.0321,0.014,-0.0153,-0.0251,-0.0214,-0.0143,-0.0129,-0.0119,-0.0015,0.0015,-0.0025,0.0014,-0.0009,0.0029,-0.0043,-0.0058,-0.0078,-0.0054,-0.0042,0.005,0.0037,-0.003,-0.0116
2000-02-20,-4.6507,145.9736,S,,0.2541,0.2476,0.2149,0.1515,0.0976,0.016,-0.0013,-0.0133,-0.0248,-0.0276,-0.025,0.0157,0.0271,0.0202,0.004,-0.0095,-0.0144,-0.0211,-0.0166,-0.0067,-0.0049,-0.004,0.0026,0.004,0.0139,0.0231,0.05,0.0574,
2000-02-20,-4.6507,145.9736,SE,0.1757,0.1856,0.1676,0.1477,0.1142,0.0897,0.0483,0.0208,0.0078,0.0126,0.0587,0.0119,-0.0276,,,,,,,-0.03,-0.054,-0.0328,-0.0321,-0.03,-0.0383,-0.0444,-0.0405,-0.0188,0.0141,0.0445
2000-02-20,-4.6507,145.9736,SO,0.1214,0.0987,0.1029,0.0452,-0.0284,-0.0516,-0.0481,-0.0164,0.0172,0.0268,0.0152,0.0071,-0.0088,-0.0186,-0.0224,-0.0096,-0.0129,-0.002,-0.0221,-0.0238,-0.0114,-0.0104,0.0331,-0.0076,-0.0131,-0.0233,-0.0043,-0.0003,-0.0088,-0.009
2001-09-02,-4.6507,145.9736,E,,0.0984,0.0885,0.066,0.0443,0.0101,-0.0237,-0.0202,-0.0238,-0.0251,-0.0234,-0.0138,0.0175,0.0759,0.057,0.0246,0.0104,-0.0211,-0.0269,-0.0306,-0.0252,-0.0177,-0.0124,-0.0107,-0.0107,-0.003,0.0022,0.0058,0.0078,0.0074
2001-09-02,-4.6507,145.9736,N,,0.1637,0.0642,0.0409,-0.0009,-0.0009,-0.0074,0.002,0.0081,0.0045,0.0048,-0.0003,-0.0052,-0.0076,-0.0091,-0.0076,-0.0048,-0.005,-0.0051,0.0005,-1e-04,-0.001,0.0061,-0.0003,-0.0022,0.0031,-0.0031,-0.0033,0.0044,0.0
2001-09-02,-4.6507,145.9736,NE,0.0852,0.0548,0.0101,-0.0215,-0.0137,-0.0021,-0.0015,-0.0028,0.0044,-0.0003,-0.0011,-0.0057,-0.0091,-0.0057,0.0009,0.0093,0.0027,0.0022,-0.0072,-0.0074,-0.0092,0.0014,0.0077,0.0071,0.0058,0.0006,0.004,0.0,-0.0034,-0.0051
2001-09-02,-4.6507,145.9736,NO,,0.2494,0.2016,0.1711,0.067,0.0246,0.0025,-0.0067,0.006,0.0061,0.0018,-0.0045,0.0024,-0.0014,0.003,0.0035,-0.0031,-0.0075,-0.0069,-0.0085,-0.0098,-0.0107,-0.0091,-0.0046,-0.0019,0.003,0.0025,0.0022,0.005,0.0041
2001-09-02,-4.6507,145.9736,O,,0.1563,0.1981,0.1949,0.1242,0.0661,0.0317,0.0343,0.0302,0.0122,-0.0086,-0.0199,-0.0043,0.0053,0.0077,0.0089,0.0008,-0.0056,-0.0068,-0.0036,-0.0049,-0.0068,-0.0116,-0.0162,-0.0149,-0.012,-0.0079,-0.0093,-0.0122,-0.0153
2001-09-02,-4.6507,145.9736,S,,0.2387,0.2153,0.1926,0.1312,0.0503,-0.0175,-0.0219,-0.0232,-0.0238,-0.0237,-0.0308,-0.0101,-0.002,-0.0131,-0.022,-0.0149,-0.0155,-0.0085,-0.0093,-0.0085,-0.0027,-0.0011,-0.0003,0.0048,0.0051,0.0063,0.0039,0.0045,-0.0021
2001-09-02,-4.6507,145.9736,SE,0.1503,0.1885,0.1298,0.125,0.0695,0.0668,0.0382,0.0179,-0.0034,0.0217,-0.0071,0.0182,0.0092,0.0063,0.0304,0.0598,0.0184,0.0047,-0.0034,-0.0276,-0.0383,-0.0439,-0.0421,-0.0418,-0.0382,-0.0329,-0.0119,0.0117,0.0294,0.0641
2001-09-02,-4.6507,145.9736,SO,0.0377,0.0479,0.0716,0.0214,-0.0405,-0.0662,-0.0691,-0.013,0.0261,0.0333,0.0159,0.0069,0.006,0.005,0.0002,-0.0074,-0.0099,-0.0205,-0.0221,-0.0277,-0.0154,-0.0078,-0.0039,-0.0118,0.0059,0.0021,0.009,-0.0119,-0.0293,-0.0287
2002-05-16,-4.6467,145.9734,E,,0.0246,0.0142,0.0177,0.0181,0.0223,0.0279,0.0271,0.0179,0.0043,-0.0094,-0.0143,-0.0163,-0.0115,-0.0133,-0.0161,-0.0166,-0.0083,-0.0084,-0.0024,-0.0077,-0.0076,-0.0081,-0.0018,-0.0082,-0.0081,0.0007,0.0037,0.022,0.043
2002-05-16,-4.6467,145.9734,N,,0.0896,0.061,0.0297,0.0102,0.0054,0.0002,-0.0031,-0.003,-0.0022,-0.0197,-0.0146,-0.005,-0.0034,0.0016,0.0045,0.0069,0.0133,0.0182,0.0194,0.0148,0.0049,0.0018,0.0008,-0.0029,-0.0053,-0.0052,-0.0134,-0.0179,-0.0192
2002-05-16,-4.6467,145.9734,NE,0.096,0.1027,0.0699,0.0535,0.0452,0.0444,0.0381,0.0259,0.0134,0.0016,0.0008,-0.0005,-0.0075,-0.0092,-0.0118,-0.0073,-0.0249,-0.0153,-0.0101,-0.0114,-0.0174,-0.0175,-0.0214,-0.0258,-0.0082,-0.0135,-0.0064,0.0021,0.0236,0.0292
2002-05-16,-4.6467,145.9734,NO,0.0999,0.0777,0.0524,0.0273,0.0119,0.0035,0.0071,-0.0011,0.0044,-0.0011,-0.001,0.0015,0.0031,0.0037,0.0052,0.0066,0.0137,0.0177,0.0071,0.0061,0.0031,-0.0065,-0.0098,-0.0103,-0.0107,-0.0107,-0.0109,-0.0105,-0.0102,-0.009
