date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-12-05,-11.7629,43.3606,E,,0.0507,0.0163,-0.001,-0.0027,-0.0108,-0.017,-0.0031,-0.0051,0.0024,0.0192,0.0404,0.0528,0.0465,0.0278,0.0157,0.0164,0.0083,-0.0145,-0.0317,-0.03,-0.0268,-0.0101,-0.008,-0.0103,-0.0228,-0.0177,-0.0146,-0.006,-0.0197
2001-12-05,-11.7629,43.3606,N,,0.1705,0.1125,0.0714,0.0744,0.0622,0.0632,0.0511,0.0482,0.0755,0.0532,0.0406,0.0458,0.0473,0.0331,0.0227,0.0177,-0.0032,-0.0291,-0.0518,-0.0427,-0.0541,-0.0509,-0.0019,0.0096,1e-04,-0.0358,-0.0257,-0.0004,0.0098
2001-12-05,-11.7629,43.3606,NE,0.0757,0.0887,0.0196,0.0552,-0.0021,-0.0109,-0.0238,0.004,0.0133,0.0162,-0.0059,-0.0212,-0.023,-0.007,-0.033,-0.036,0.0133,0.0159,0.0306,-0.0234,-0.0216,-0.0262,-0.0398,-0.0511,-0.0465,-0.0078,0.0225,0.0525,0.0733,0.051
2001-12-05,-11.7629,43.3606,NO,0.2016,,0.1397,0.1228,0.1143,0.079,0.0794,0.0556,0.0858,0.1034,0.0876,0.0349,0.0508,0.0413,0.0358,0.0272,0.016,0.0125,-0.0131,-0.0042,0.008,-0.0273,-0.0895,-0.0768,-0.0585,-0.0376,0.005,0.0081,-0.0156,-0.0114
2001-12-05,-11.7629,43.3606,O,,0.1574,0.1115,0.0996,0.1093,0.1136,0.1152,0.1232,0.1043,0.0965,0.0858,0.082,0.0936,0.0967,0.0796,0.0721,0.0462,0.0281,0.0217,0.0075,-0.0101,-0.0191,-0.0246,-0.0351,-0.0435,-0.0535,-0.06,-0.0397,-0.0268,-0.0273
2001-12-05,-11.7629,43.3606,S,,0.1299,0.118,0.1396,0.1457,0.1476,0.1253,0.0984,0.0622,0.0338,0.0142,0.0056,-0.0138,-0.054,-0.086,-0.0375,-0.0165,0.0015,-0.014,-0.0151,-0.0158,0.0165,0.0462,0.067,0.0596,0.0212,-0.0046,-0.0172,-0.0213,-0.0111
2001-12-05,-11.7629,43.3606,SE,0.1602,,0.1075,0.1016,0.0939,0.104,0.0656,0.0623,0.0499,0.0579,0.0612,0.0496,0.0434,0.0124,0.001,-0.0171,-0.0234,0.0076,0.0156,0.0203,0.023,0.0099,0.0044,-0.0048,-0.0082,-0.0107,-0.005,-0.0048,-0.0094,-0.0123
2001-12-05,-11.7629,43.3606,SO,0.183,,0.1841,0.1442,0.1322,0.1355,0.1174,0.1046,0.0945,0.0725,0.0591,0.0419,0.0119,-0.0169,-0.0251,-0.0284,-0.0255,-0.0156,-0.0097,-0.0325,-0.0186,-0.0408,-0.0405,-0.04,-0.0286,0.0267,-0.0122,0.0382,0.0495,0.0407
2013-10-27,-11.7673,43.3589,E,,0.1049,0.0989,0.0921,0.0767,0.0671,0.0521,0.0351,0.0204,0.0104,0.0061,0.0155,0.0025,0.023,0.004,0.0183,0.01,-0.0127,-0.0071,0.0036,-0.007,-0.0068,-0.0154,-0.0131,-0.0234,-0.0196,-0.0215,-0.0107,-0.0346,-0.0353
2013-10-27,-11.7673,43.3589,N,,0.1686,0.1661,0.1641,0.1521,0.1433,0.1322,0.0281,0.0052,0.0093,0.0137,0.0073,0.0066,0.0073,0.0035,0.0104,0.0262,0.0373,0.0367,0.0292,0.0054,-0.019,-0.0326,-0.0353,-0.0365,-0.0378,-0.0295,-0.0041,0.025,0.0307
2013-10-27,-11.7673,43.3589,NE,0.0948,0.094,0.0885,0.0809,0.073,0.0444,0.0245,-0.0057,-0.0035,0.0008,-0.0455,-0.0461,-0.0425,-0.0427,-0.0418,-0.0274,-0.022,-0.0086,-0.0045,-0.0076,0.0215,0.0177,0.0213,0.0408,0.0297,0.0464,0.0287,0.0124,-0.011,-0.0343
2013-10-27,-11.7673,43.3589,NO,0.123,0.1057,0.1075,0.1018,0.0933,0.0813,0.0823,0.0887,0.0533,0.0385,0.0325,0.0246,0.0204,0.0258,0.0327,0.0288,0.0415,0.0302,0.0329,0.0004,-0.0021,0.0066,0.009,0.0163,0.0035,-0.008,-0.0015,0.0067,-0.0008,-0.0358
2013-10-27,-11.7673,43.3589,O,,0.0777,0.0611,0.0402,0.0212,-1e-04,-0.0361,-0.0708,-0.0853,-0.0645,-0.0506,-0.0185,-0.0097,-0.0053,0.0193,0.0179,0.0311,0.0259,0.038,0.0273,0.0309,0.044,0.0292,0.0288,0.0214,0.0153,-0.0054,-0.0299,-0.0442,-0.0522
2013-10-27,-11.7673,43.3589,S,,0.2567,0.2299,0.1993,0.168,0.1211,0.0912,0.0824,0.0293,-0.021,-0.0352,-0.0107,-0.004,0.0085,0.0357,0.0403,0.0651,0.0718,0.0521,0.0267,0.0073,-0.0088,-0.0254,-0.0194,-0.0234,-0.0329,-0.0375,-0.0318,-0.035,-0.0306
2013-10-27,-11.7673,43.3589,SE,0.1447,0.1322,0.1268,0.0886,0.0757,0.056,0.022,0.0041,-0.0003,0.0009,0.0363,0.025,0.0484,0.0692,0.0734,0.0722,0.0621,0.0487,0.0337,0.009,0.0125,-0.0083,-0.025,-0.0196,-0.0348,-0.0245,-0.035,-0.044,-0.0562,-0.0697
2013-10-27,-11.7673,43.3589,SO,,0.2085,0.1882,0.1508,0.1243,0.0859,0.049,0.0238,0.0206,-0.0182,-0.0106,-0.0024,0.0082,0.0377,0.0746,0.0959,0.1036,0.0872,0.0599,0.0229,0.0223,0.0043,-0.0083,-0.0206,-0.0349,-0.057,-0.0568,-0.0611,-0.0525,-0.0497
2013-11-21,-11.7667,43.3589,E,,0.1204,0.1037,0.0899,0.0735,0.0605,0.0401,0.0158,0.0151,0.0085,0.0003,-0.0037,-0.0196,-0.0143,-0.011,-0.0151,-0.0077,-0.0018,0.0034,-0.0037,-0.008,0.0023,0.0027,0.01,0.0039,0.0055,-0.0333,0.0109,0.0175,0.0236
2013-11-21,-11.7667,43.3589,N,,0.1313,0.1214,0.1047,0.0804,0.0609,0.0511,-0.013,-0.0154,-0.001,-1e-04,0.0046,0.0109,-0.0017,0.0076,0.0228,0.027,0.0331,0.0251,0.0139,-0.0027,-0.0193,-0.03,-0.039,-0.0461,-0.0456,-0.0459,-0.01,0.0226,0.0307
2013-11-21,-11.7667,43.3589,NE,0.1069,,0.094,0.0742,0.058,0.0258,0.0107,0.0107,0.0012,-0.0172,0.0014,-0.0179,-0.0221,-0.0193,-0.0058,0.0039,-0.0027,-0.0048,0.0135,-0.0038,0.0157,0.0085,0.0156,0.0313,0.0178,0.0235,-0.0081,-0.015,-0.0345,-0.0496
2013-11-21,-11.7667,43.3589,NO,0.1074,0.1068,0.1003,0.0967,0.0871,0.0833,0.0706,0.0857,0.074,0.0625,0.0049,0.0033,-0.0025,-0.0099,-0.0097,-0.0039,0.0045,0.0021,0.0337,0.0387,-0.0161,0.0351,0.0329,0.0381,0.0322,0.0257,0.0214,0.0148,0.0171,0.0166
