date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-09,-8.0576,114.2418,E,,0.2138,0.2138,0.2096,0.2054,0.2033,0.2055,0.1886,0.1349,0.0661,-0.0457,-0.0855,-0.0855,-0.0892,-0.0922,-0.0595,-0.0198,0.0016,0.0068,0.0021,-0.0078,0.0107,0.0295,0.0321,0.0379,0.0095,-0.0015,-1e-04,-0.0053,-0.0105
2000-07-09,-8.0576,114.2418,N,,0.1169,0.1106,0.1064,0.1066,0.1068,0.1047,0.1047,0.1005,0.0963,0.094,0.0856,0.0709,0.032,-0.0278,-0.1345,-0.1721,-0.1647,-0.1493,-0.1223,-0.0828,-0.0513,-0.0188,0.0172,0.0276,0.0239,0.0209,0.0247,0.0242,0.0232
2000-07-09,-8.0576,114.2418,NE,0.1924,0.1924,0.1924,0.1903,0.1924,0.1882,0.184,0.1693,0.1308,0.0937,0.0037,0.0301,-0.0735,-0.0875,-0.0897,-0.0949,-0.0933,-0.0905,-0.0784,-0.0359,0.0139,0.0216,-0.0013,-0.0063,-0.0021,0.0087,0.014,0.0149,0.0293,0.0298
2000-07-09,-8.0576,114.2418,NO,0.0497,0.0501,0.0481,0.046,0.046,0.0418,0.0376,0.0355,0.0334,,,,-0.0873,-0.1317,,,,,,,-0.1419,-0.0918,-0.085,,0.0042,0.0217,0.0142,0.0144,-0.0003,-0.0056
2000-07-09,-8.0576,114.2418,O,,0.0425,0.0383,0.0341,0.0341,0.0345,0.0345,0.0345,0.0261,0.0091,0.0004,-0.0211,-0.025,-0.0392,-0.0508,-0.0402,0.1295,0.0056,,,,,,,,,,,,
2000-07-09,-8.0576,114.2418,S,,0.1739,0.1739,0.1739,0.176,0.1739,0.1698,0.1698,0.1697,0.1698,0.1655,0.1655,0.1533,0.135,0.0825,0.0153,-0.0353,-0.0571,-0.0567,-0.0744,-0.0695,-0.0612,-0.0546,-0.0523,-0.0421,-0.0285,-0.0153,-0.0187,-0.0173,-0.0056
2000-07-09,-8.0576,114.2418,SE,0.1764,,0.1764,0.1722,0.1743,0.1722,0.1722,0.1722,0.168,0.1638,0.1553,0.1405,0.0876,0.0459,0.0214,0.0295,0.0359,0.0242,0.0097,-0.0153,-0.0098,-0.0361,-0.0251,-0.0443,-0.0312,-0.0389,-0.0506,-0.0661,-0.0763,-0.0775
2000-07-09,-8.0576,114.2418,SO,0.1585,0.1585,0.1585,0.1564,0.1543,0.1543,0.1566,0.1547,0.1547,0.1547,0.1509,0.142,0.1229,0.0999,0.1031,0.0981,0.0382,-0.0137,-0.0348,-0.0439,-0.0519,-0.0346,-0.0221,-0.0228,-0.0289,-0.0708,-0.1119,-0.1156,-0.1226,-0.124
2001-07-12,-8.0576,114.2418,E,,,,,,,,,,,,,-0.0891,-0.0817,-0.125,-0.088,-0.0162,-0.0057,-0.0051,-0.0226,-0.0299,-0.0107,0.0197,0.0274,0.0306,0.0106,0.0008,0.0026,-0.0025,-0.0042
2001-07-12,-8.0576,114.2418,N,,,,,,0.0935,0.0935,0.0913,0.0891,0.0869,0.0869,0.0733,0.0467,0.0195,-0.0362,-0.163,-0.1569,-0.1466,-0.1309,-0.1105,-0.0862,-0.0591,-0.0402,0.0033,0.0229,0.0226,0.0263,0.0384,0.0358,0.038
2001-07-12,-8.0576,114.2418,NE,,,,,,0.1944,,,0.1851,0.1763,0.1629,0.113,0.075,-0.0647,-0.0768,-0.0764,-0.0912,-0.0903,-0.0914,-0.0417,0.0067,0.0101,-0.005,-1e-04,-0.0045,0.0132,0.013,0.014,0.046,0.0543
2001-07-12,-8.0576,114.2418,NO,,,,,0.0341,0.0297,0.0253,0.0253,0.0209,,,,-0.0558,,,,,,,,-0.1292,-0.1187,-0.0954,-0.0888,-0.0315,0.0065,0.0176,0.0143,0.0024,-0.0032
2001-07-12,-8.0576,114.2418,O,,,,0.0134,0.0178,0.0183,0.0161,0.0117,0.0073,-0.0039,0.0002,0.0063,0.0242,0.0101,-0.0078,0.0056,0.0094,,,,,,,,,,,,,
2001-07-12,-8.0576,114.2418,S,,,,,,0.1426,0.1426,0.1383,0.1339,0.1295,0.1295,0.125,0.1207,0.1141,0.0702,0.0204,0.0092,-0.08,-0.0562,-0.0719,-0.0624,-0.0636,-0.0598,-0.0603,-0.0452,-0.0334,-0.0234,-0.0103,-0.014,-0.0037
2001-07-12,-8.0576,114.2418,SE,,,,,,,,,,,0.1644,0.1555,0.131,0.0982,0.0618,0.0522,0.0412,0.0204,0.0098,-0.0058,-0.0073,-0.0266,-0.0195,-0.0214,-0.0013,-0.0112,-0.0086,-0.0286,-0.0251,-0.0166
2001-07-12,-8.0576,114.2418,SO,,,,0.0612,0.0656,0.0656,0.0656,0.0616,0.0617,0.0574,0.057,0.0485,0.0472,0.0516,0.066,0.1005,0.0639,-0.0086,-0.0544,-0.068,-0.0785,-0.0261,-0.0308,-0.0364,-0.0416,-0.0518,-0.0671,-0.144,-0.1544,-0.1598
2002-04-26,-8.0576,114.2418,E,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.0024,0.0005,0.0133,0.0119,-0.0096,-0.0012,,-0.0036
2002-04-26,-8.0576,114.2418,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0022,0.0011,0.0015,0.0013
2002-04-26,-8.0576,114.2418,O,,,,,,,0.0417,0.0353,0.0388,0.013,-0.0064,,,,,,,,,,,,,,,0.1688,0.1091,0.0866,-0.001,-0.0342
2002-04-26,-8.0576,114.2418,S,,,,,,,,,,,0.0787,0.0787,0.0678,0.059,0.0397,-0.0104,-0.0539,-0.0745,-0.0683,,,,,,,,,,,-0.4224
2002-04-26,-8.0576,114.2418,SE,,,,,,,,,,0.2082,0.2082,0.1909,0.1507,0.079,0.0678,0.0758,0.0598,0.032,-0.0031,-0.0166,-0.0283,-0.0415,-0.0337,-0.0507,-0.0666,-0.0767,-0.0835,-0.0821,-0.088,-0.0894
2002-04-26,-8.0576,114.2418,SO,,,,,,,,0.0739,0.0697,0.0631,0.0563,0.0346,0.0065,-0.0272,-0.0583,0.0114,,,,,,,,,,,,,-0.1685,-0.2724
2002-10-03,-8.0576,114.2418,E,,,,,,,,,,,,,,0.022,-0.0246,-0.0017,0.0063,0.0411,0.0215,0.0066,-0.0216,-0.0196,-0.0106,-0.0124,-0.0055,-0.025,-0.0166,-0.0096,-0.0004,0.0083
2002-10-03,-8.0576,114.2418,N,,,,,0.0309,0.0313,0.0267,0.0221,0.0206,0.0155,0.0152,0.0132,-0.0131,-0.0437,-0.0733,,,,,,-0.0493,-0.0239,-0.0184,-0.0137,-0.0151,-0.0147,-0.0026,0.0125,0.0242,0.0235
2002-10-03,-8.0576,114.2418,NE,,,,,,0.0605,0.0554,0.0508,0.0415,0.0274,0.0277,0.023,0.0039,-0.0391,0.0231,0.039,0.0496,0.0524,0.0628,0.0769,0.0515,0.035,-0.0143,-0.0477,-0.0513,-0.039,-0.0358,-0.036,-0.0218,-0.0227
2002-10-03,-8.0576,114.2418,NO,,,,,0.008,0.0034,-0.0013,0.0224,0.0129,-0.0101,-0.0386,-0.0296,,,,,,,,,,,,,-0.0556,-0.0245,0.0178,0.0231,0.0033,-0.0101
2002-10-03,-8.0576,114.2418,O,,,,,,,,,,,,,,,,,,,,,,,,-0.1938,-0.0133,0.2496,0.2777,0.3421,-0.1141,-0.0499
2002-10-03,-8.0576,114.2418,S,,,,,,,,,,,0.0555,0.0558,0.0535,0.0559,0.0351,0.0289,0.0027,-0.0193,-0.0272,-0.0187,-0.0167,-0.0229,-0.028,-0.0332,-0.0303,-0.0269,-0.0113,-0.0151,-0.0169,0.0504
2002-10-03,-8.0576,114.2418,SE,,,,,,,,,,,,,,,,0.1119,0.0881,0.0481,0.0221,0.0006,-0.0195,-0.0234,-0.0139,0.0015,-0.0075,-0.0059,0.0004,-0.0196,-0.018,-0.0169
2002-10-03,-8.0576,114.2418,SO,,,,,,,,,,,,0.0799,0.0567,0.0546,,0.0332,0.0331,0.0194,-0.0031,-0.0393,-0.0461,-0.0505,-0.0433,-0.0042,0.0143,,,,,-0.0073
2003-03-12,-8.0576,114.2418,N,,,,,,,,,,,,,,,,,0.0323,0.0185,0.0135,0.0063,-0.0052,,-0.0305,-0.0192,0.0038,0.0055,0.0095,0.0147,0.0236,0.0277
2003-03-12,-8.0576,114.2418,NO,,,,,,,,,,,,,,,,,-0.0635,,-0.0743,,-0.0662,-0.059,-0.062,-0.0613,-0.0477,-0.0124,0.0079,0.0195,0.0129,0.0068
2003-03-12,-8.0576,114.2418,O,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0731,-0.0284,-0.0111,0.0014,0.0126
2003-03-12,-8.0576,114.2418,S,,,,,,,,0.1744,0.1693,0.1642,0.1831,0.1642,0.158,0.1436,0.1463,,,,,,,,,,,,,,,
2003-03-12,-8.0576,114.2418,SE,,,,,,,,,,,,,,,,,,,,,,,,,0.0741,,,,,
2003-03-12,-8.0576,114.2418,SO,,,,0.0713,0.0662,0.0636,0.0711,0.061,0.061,0.067,0.067,0.0643,,,,,,,,,,,,,0.0797,0.0581,-0.0125,-0.0296,-0.0482,-0.0561
2003-03-28,-8.0576,114.2418,NO,,,,,0.1642,0.2008,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-28,-8.0576,114.2418,O,,,0.1446,0.1446,0.1424,0.1385,0.1319,,,,,,,,,,,,,,,,,,,,,,-0.0125,-0.0222
2003-03-28,-8.0576,114.2418,S,,0.1239,0.1239,0.1153,0.1153,0.1195,0.1195,0.1195,0.1153,0.1153,0.1157,0.1153,0.1071,0.1019,0.0565,0.0162,-0.0188,-0.0382,-0.0497,-0.047,-0.037,-0.0468,-0.0448,-0.0379,-0.0264,-0.0221,-0.0141,-0.0062,-0.0029,0.0091
2003-03-28,-8.0576,114.2418,SE,,,,,,,,,,,,,,,,,,,,,,,-0.0045,-0.0034,-0.0121,,,0.0056,-0.0032,-0.0028
2003-03-28,-8.0576,114.2418,SO,0.1111,0.1068,0.1068,0.1047,0.1068,0.1068,0.1068,0.1111,0.109,0.103,0.0939,0.0857,0.087,0.0371,-0.0169,-0.0437,-0.0611,-0.0599,-0.0622,,,,-0.0764,-0.0401,-0.0346,-0.0786,-0.0763,-0.0777,-0.0766,-0.0738
