date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-06-23,-8.0595,114.2435,E,,,,,0.176,,,,,,,,,,-0.0101,0.0109,0.0044,-0.0447,-0.022,-0.0016,-0.0035,-0.0091,0.0605,0.0197,0.0251,0.0148,-0.0116,-0.0233,-0.009,-0.0114
2000-06-23,-8.0595,114.2435,N,,0.2193,0.1328,0.0821,0.1663,0.0882,,0.0825,0.027,-0.0115,-0.0155,-0.0085,-0.0063,-0.001,-0.0032,0.0092,0.0056,-0.0041,0.0003,-0.0016,-0.0006,0.0003,0.0022,-0.0007,0.0012,-0.0049,-0.0052,-0.0075,-0.0044,-1e-04
2000-06-23,-8.0595,114.2435,NE,0.2804,0.2247,0.216,0.2487,0.2376,0.2199,0.0917,0.0903,0.02,0.0636,0.105,-0.0152,-0.0221,-0.035,-0.0183,-0.0061,-0.006,0.002,0.002,0.0005,-0.0226,-0.025,-0.0162,-0.0035,0.0017,0.005,0.0057,0.011,0.0093,0.0069
2000-06-23,-8.0595,114.2435,NO,0.312,,,,,,,,,,,,,0.0063,1e-04,,-0.0073,0.0042,0.0072,0.0082,0.0102,0.0127,0.0128,-0.0003,0.0027,-0.0018,0.0019,-0.0029,-0.0042,-0.002
2000-06-23,-8.0595,114.2435,O,0.3107,,,,,,,,,,,,,,,,,-0.0379,-0.0477,-0.0379,-0.0426,-0.1045,0.0012,0.0168,0.0296,0.0181,0.0145,0.0105,0.0036,-0.0265
2000-06-23,-8.0595,114.2435,S,,,,,,,,0.2237,0.2369,0.2324,0.0911,0.0413,0.0178,-0.0344,,-0.0008,-0.0045,-0.0131,0.0136,0.0272,0.0004,-0.0099,-0.0164,-0.0317,0.0014,0.0222,-0.0126,-0.0027,-0.0341,-0.0463
2000-06-23,-8.0595,114.2435,SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013,-0.0005
2000-06-23,-8.0595,114.2435,SO,,,,,,,0.201,0.1228,0.0727,0.0305,0.0263,0.0009,-0.0106,-0.0167,-0.0157,-0.007,-0.0096,-0.0342,-0.0187,-0.0179,-0.0049,0.036,0.0375,0.0349,0.0289,0.0193,0.007,-0.0356,-0.0488,-0.0578
2002-05-28,-8.0573,114.2444,E,,0.2663,0.2365,0.23,0.2038,0.1649,0.1323,,,,,,-0.0137,-0.0244,-0.0189,0.0072,0.0148,0.0112,-0.0031,-0.0319,-0.0182,0.0071,0.0155,0.0201,-0.008,-0.0074,-0.004,-1e-04,0.0021,0.0057
2002-05-28,-8.0573,114.2444,N,,,0.1582,0.1311,0.0812,,,,,,-0.0116,-0.0038,-0.0039,-0.0019,0.0004,0.0059,0.0066,0.012,0.0217,0.0222,0.0122,0.0027,-0.0108,-0.0127,-0.0168,-0.0138,-0.0134,-0.0091,-0.004,0.0034
2002-05-28,-8.0573,114.2444,NE,,,0.1721,0.1738,0.1405,0.0833,0.0443,,,,,0.012,0.0094,-0.0235,-0.0215,-0.013,-0.015,-0.0057,0.0053,0.0083,0.0179,0.0162,0.0157,0.0065,0.0025,-0.0013,-0.0053,-0.0132,-0.0074,0.0017
2002-05-28,-8.0573,114.2444,NO,,,,0.0442,-0.0014,-0.0457,-0.068,,,,,-0.0175,,0.0083,0.0144,0.0051,0.0139,0.0179,0.0059,-0.0035,-0.0051,-0.01,-0.006,-0.0067,-0.0091,-0.0117,0.0008,0.005,-0.0079,-0.0076
2002-05-28,-8.0573,114.2444,O,,0.2465,0.2693,0.2605,0.2362,0.2025,0.1578,,,,,,,,,,,,,,,,,,,,,,,
