date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-05-22,-8.7621,121.8186,E,,0.0546,0.0274,0.0172,0.0098,0.0037,0.0004,-1e-04,0.0002,-0.0002,0.0036,0.001,0.0005,0.0023,0.0023,0.0066,0.0073,0.0042,0.0047,0.0031,0.0013,-0.0023,-0.0028,-0.0054,-0.0053,-0.0058,-0.0046,-0.0027,-0.001,0.002
2001-05-22,-8.7621,121.8186,N,,0.084,0.0753,0.0899,0.0985,0.0739,0.0612,0.0429,0.0358,0.0195,0.0139,0.0016,0.0046,0.0003,-0.0054,-0.0024,-0.0031,-0.0045,-0.0006,-0.0004,-0.001,-0.0046,-0.0042,-0.0035,-0.0048,-0.0052,-0.0042,-0.0026,0.0002,-0.0005
2001-05-22,-8.7621,121.8186,NE,0.0742,0.0755,0.0515,0.0367,0.0169,0.0057,0.002,0.0012,-0.0012,-0.0014,-0.0015,-0.0055,-0.0055,-0.0021,-0.0009,-0.0009,0.0013,0.0044,0.0051,0.0039,0.0042,0.0024,0.0017,0.0007,0.0013,0.0007,-0.0044,-0.0047,-0.004,-0.0053
2001-05-22,-8.7621,121.8186,NO,0.0828,0.0214,0.0022,-0.0249,-0.0268,-0.0432,-0.0435,-0.0415,-0.0313,-0.0231,-0.02,-0.0162,-0.0261,-0.0396,-0.0464,-0.0438,-0.0468,-0.0451,-0.0184,0.0061,-0.0044,0.017,0.0128,0.0116,0.0056,0.0036,-0.0088,-0.0215,-0.0222,-0.0201
2001-05-22,-8.7621,121.8186,O,,0.0503,0.0085,0.0021,0.0165,0.0405,0.0726,0.0625,0.0744,0.0687,0.071,0.0644,0.0478,0.0316,0.0385,0.0409,0.0252,0.01,-0.0485,-0.0555,-0.0464,-0.0361,-0.0362,-0.0361,-0.0367,-0.0335,-0.0358,-0.0281,-0.0055,0.0247
2001-05-22,-8.7621,121.8186,S,,-0.011,-0.0486,-0.0264,-0.0638,-0.0328,0.0184,0.0204,0.0186,0.033,0.039,0.0418,0.0488,0.0435,0.0409,0.0303,0.0342,0.0586,0.0903,0.0966,0.0852,0.0688,0.0616,0.0246,-0.0298,-0.0673,-0.0858,-0.0656,-0.0547,-0.0301
2001-05-22,-8.7621,121.8186,SE,0.0693,0.0635,0.0313,0.0141,0.0029,-0.0004,0.0053,0.0006,-0.0093,0.0066,-0.0054,-0.0019,-0.0012,-0.0037,-0.0007,-0.0033,-0.0056,-0.0098,-0.0087,-0.0101,-0.0126,-0.0129,-0.011,-0.0101,-0.0087,-0.0071,-0.0056,-0.005,-0.0036,-0.0011
2001-05-22,-8.7621,121.8186,SO,0.0017,-0.0065,-0.0217,-0.0332,0.018,0.0583,0.0781,0.0702,0.0679,0.0364,0.0029,-0.0418,-0.0412,-0.0387,-0.0189,-0.0187,-0.0139,-0.0136,-0.0133,-0.0074,0.0148,0.0451,0.0342,0.015,0.0151,0.0205,0.0204,0.0155,-0.0052,-0.0237
2001-08-26,-8.7619,121.8221,E,,0.0026,0.0016,0.0075,0.0013,0.0012,0.0041,0.004,0.0036,0.001,0.0051,0.0055,-0.0017,-1e-04,0.0025,0.0054,0.0038,0.0022,0.002,0.0006,-0.0024,-0.0039,-0.0002,0.0007,-0.0026,-0.0065,-0.0098,-0.0102,-0.0084,-0.0032
2001-08-26,-8.7619,121.8221,N,,0.0226,0.0133,0.0139,0.0149,0.0113,0.0042,0.0058,-0.0028,-0.0009,-0.0031,-0.0016,0.0005,-0.0008,0.002,0.0007,0.0036,0.0029,-0.002,-0.0029,-0.0042,-0.0011,-0.0002,0.0027,-0.0012,-0.0005,0.0016,0.001,1e-04,-0.0013
