date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-16,-8.7646,121.8068,E,0.0724,,-0.0,-0.0,0.0604,0.0685,0.0459,0.0417,0.0393,0.0008,0.003,0.0023,0.0155,0.006,0.012,0.0101,0.0048,-0.0046,-0.009,-0.0045,-0.0094,-0.0082,-0.0092,-0.0096,-0.0078,-0.005,-0.0093,-0.0145,-0.0175,-0.0188
2000-03-16,-8.7646,121.8068,N,,-0.0867,-0.1276,-0.1317,-0.1021,-0.1203,-0.1284,-0.1246,-0.1095,-0.1143,-0.0806,-0.0199,-0.0033,0.0009,0.0043,0.0116,0.0135,0.0159,-0.0029,-0.022,-0.006,0.0175,0.0233,0.0291,0.0315,0.0316,0.0177,0.0203,0.0298,0.0235
2000-03-16,-8.7646,121.8068,NE,,-0.0545,-0.0749,-0.0752,-0.0755,-0.0708,-0.0667,-0.0666,-0.0666,-0.0515,-0.0418,0.0639,0.0508,0.043,0.0148,0.0256,0.0342,0.0538,0.0634,0.0501,0.0026,-0.0028,-0.0215,-0.0309,-0.0292,-0.0339,-0.0309,-0.0301,-0.0307,-0.0248
2000-03-16,-8.7646,121.8068,NO,,-0.0443,-0.0484,-0.0581,-0.0658,-0.08,-0.0906,-0.0925,-0.0894,-0.0805,-0.0597,-0.0431,-0.0111,0.0133,0.0207,0.0142,0.0081,-0.0032,-0.0075,-0.0205,-0.0057,-0.0097,-0.0121,-0.0022,-0.0108,0.0132,-0.0102,-0.0082,0.0044,-0.0229
2000-03-16,-8.7646,121.8068,O,,0.0564,0.0081,0.0002,-0.0095,-0.0099,-0.0074,-0.0052,-0.0057,-0.0065,-0.0007,0.0074,0.0197,-0.0017,-0.0004,-0.0066,-0.0062,-0.0041,0.0032,0.0031,0.0046,0.0029,0.0005,0.0017,-1e-04,-0.0032,-0.0063,-0.0029,-0.0009,0.0006
2000-03-16,-8.7646,121.8068,S,0.0832,0.0507,0.0358,0.0187,0.0226,0.023,0.036,0.0303,0.0176,0.0023,-0.0048,-0.0048,-0.0051,-0.0082,-0.0036,-0.0119,-0.0066,-0.0082,-0.0027,-0.0062,-0.0022,0.0043,0.0022,0.0026,0.0031,0.0037,0.0059,-0.0017,-0.0054,-0.0073
2000-03-16,-8.7646,121.8068,SE,,0.0237,0.0119,0.0227,0.002,-0.016,-0.0079,0.0048,0.0222,0.0088,0.005,-0.0065,-0.0051,-0.0013,0.0005,-0.0035,-0.0021,0.0027,-0.0005,0.0009,0.0025,-0.0016,-0.0017,-0.0033,1e-04,-0.0013,-1e-04,-0.0066,-0.0065,-0.0023
2000-03-16,-8.7646,121.8068,SO,,0.0406,0.0213,-0.0038,0.0069,0.0242,0.0455,0.0416,0.0099,0.0117,-0.0055,-0.0066,-0.0118,-0.0103,-0.0076,-0.0025,-0.0038,-0.0004,-0.0008,0.0008,0.0016,-0.0002,0.0019,-0.0018,-0.0026,-0.002,-0.0043,-0.0063,-0.0026,0.0012
2000-09-08,-8.7646,121.8068,E,0.0287,-0.0186,-0.0283,-0.0187,0.046,0.0509,0.0279,0.0367,0.0311,-0.023,-0.006,-0.005,0.0101,0.0039,0.0079,0.007,0.01,0.0057,0.0009,0.005,1e-04,-0.0052,-0.0038,-0.0012,0.0007,-0.004,-0.0057,-0.0077,-0.0104,-0.0038
2000-09-08,-8.7646,121.8068,N,,-0.1245,-0.1852,-0.1784,-0.1568,-0.1661,-0.1636,-0.1639,-0.1452,-0.1406,-0.1154,-0.0412,-0.0139,-0.0068,-0.0123,0.0057,0.0265,0.0144,-0.0013,-0.0284,-0.0024,0.0248,0.0322,0.0375,0.0474,0.0494,0.0339,0.0269,0.0354,0.0384
