date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-06-25,-1.6926,101.2641,E,-0.1335,-0.1111,-0.1013,-0.092,-0.0798,-0.0711,-0.0708,-0.0532,-0.0256,-0.018,-0.0209,-0.009,0.0018,-0.0005,-0.0085,0.0002,-0.0149,-0.0052,0.0103,0.0278,0.0445,0.0304,0.0231,0.0061,0.0018,-0.0173,-0.0195,-0.0367,-0.0551,-0.0373
2001-06-25,-1.6926,101.2641,N,,0.0044,-0.0082,-0.0272,-0.0392,-0.0365,-0.0347,-0.0429,-0.0718,-0.0597,-0.0535,-0.039,-0.0229,-0.0134,-0.0035,0.0065,0.0146,0.0165,0.0167,0.0338,0.0384,0.0411,0.0473,0.0369,0.0207,-0.0,-0.0339,-0.0305,-0.0369,-0.0231
2001-06-25,-1.6926,101.2641,NE,,-0.0048,-0.0185,-0.0276,-0.0304,-0.0302,-0.0361,-0.0436,-0.0583,-0.0587,-0.056,-0.0445,-0.0261,-0.0175,-0.0089,-0.0083,-0.0033,0.0071,0.0298,0.0303,0.0252,0.0191,0.0362,0.0331,0.0249,0.0247,0.0118,0.0006,-0.0228,-0.0356
2001-06-25,-1.6926,101.2641,NO,,0.0638,0.0951,0.1032,0.1034,0.0673,0.0477,0.0361,0.0023,,,,,,,,,,,,,,,,,,,,,
2001-06-25,-1.6926,101.2641,O,-0.0266,0.0049,0.0413,0.0768,0.0962,0.042,0.0335,0.067,0.0293,,-0.0028,0.0172,,,,,,,,,,,,,,,,,,
2001-06-25,-1.6926,101.2641,S,0.0076,-0.0295,-0.049,-0.0498,-0.0517,-0.0561,-0.0378,-0.0384,-0.0243,-0.0201,-0.0267,-0.0491,-0.0533,-0.0434,-0.0345,0.0397,0.0879,0.1408,0.1177,0.1062,0.0895,0.0674,0.0426,0.0117,-0.028,-0.061,-0.0598,-0.0919,-0.0863,-0.115
2001-06-25,-1.6926,101.2641,SE,,-0.1027,-0.0925,-0.0923,-0.0965,-0.1166,-0.0957,-0.0904,-0.0444,-0.0343,-0.0022,0.0064,0.0325,0.0095,0.031,0.021,0.0421,0.0493,0.0624,0.0757,0.0639,0.0483,0.0223,-0.0054,-0.0299,-0.0569,-0.0607,-0.0725,-0.0697,-0.0824
2001-06-25,-1.6926,101.2641,SO,,0.0991,0.0718,0.0339,0.029,0.0243,0.0085,-0.011,-0.0111,-0.0294,-0.042,-0.033,-0.0353,0.019,0.0383,0.0578,0.0529,0.0679,0.0621,0.0563,0.0581,-0.0039,-0.0381,-0.0431,-0.0365,-0.0374,-0.0336,-0.0253,-0.0224,-0.016
2001-07-11,-1.6972,101.2654,E,0.1439,0.0881,0.0446,0.0069,-0.013,-0.008,-0.0275,-0.0293,-0.0489,-0.0309,-0.023,-0.0309,-0.026,-0.0328,-0.0255,0.0143,-0.0014,0.0099,0.0155,0.0116,0.0179,0.0067,0.0037,-0.0012,-0.004,0.0048,-0.008,-0.0095,-0.0241,-0.0477
2001-07-11,-1.6972,101.2654,N,,0.1042,0.0853,0.0619,0.0594,0.0608,0.0404,0.0309,-0.0,,,,,,,,,,,,,,,,,,,,,
2001-07-11,-1.6972,101.2654,NE,,0.2617,0.2163,0.1426,0.1169,,,,,,,,,,,,,,,,,,,,,,,,,
