date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-04-17,30.7917,130.3098,E,,0.209,0.1421,0.0882,0.0482,0.0286,0.0622,0.0749,0.058,0.0446,0.0069,-0.0186,-0.0181,-0.0321,-0.0204,-0.0022,0.0251,0.0123,0.0123,0.0065,0.0078,-0.0039,0.0029,0.0102,0.0153,0.0083,0.0013,0.0006,0.0031,-0.0051
2000-04-17,30.7917,130.3098,N,,0.1046,-0.0476,-0.0847,-0.0727,-0.0618,-0.049,-0.0292,-0.028,-0.0228,-0.0107,-0.0033,0.001,-0.0042,0.0117,0.0048,-0.0063,-0.0033,0.0002,0.0092,0.0206,0.0112,0.0192,-1e-04,-0.0041,0.0078,-0.0027,-0.0189,-0.0259,-0.0436
2000-04-17,30.7917,130.3098,NE,0.2174,0.1086,0.0315,-0.0493,-0.0629,-0.06,-0.0499,-0.0481,-0.0232,-0.0192,0.0091,0.0129,0.0235,0.0299,0.0393,0.0263,0.0296,-0.0064,0.0034,0.0033,0.0146,0.0299,0.0234,0.0245,0.0066,-0.0091,-0.0212,-0.0363,-0.045,-0.0438
2000-04-17,30.7917,130.3098,NO,0.1177,0.0391,-0.0508,-0.0511,-0.0329,-0.0297,-0.0261,-0.0158,-0.0079,0.0053,0.0042,0.0094,0.0047,0.0097,0.0085,0.0078,0.0004,0.0049,0.0076,0.0032,0.0083,0.0018,0.0068,0.0069,0.0071,0.0061,0.0078,0.0032,-0.0018,-0.0069
2000-04-17,30.7917,130.3098,O,,0.0552,-0.0325,-0.0277,0.0052,0.0361,0.0429,0.053,0.0524,0.0542,0.035,0.0078,-0.0103,-0.0058,-0.01,-0.0155,-0.0152,-0.0292,-0.0283,-0.0222,-0.0315,-0.0308,-0.0263,-0.0098,-0.0061,-0.0035,-0.0004,0.0054,0.0121,0.0342
2000-04-17,30.7917,130.3098,S,,0.202,0.1458,0.1316,0.1581,0.1602,0.1648,0.1598,0.1728,0.1551,0.1743,0.1607,0.0635,0.0383,-0.0331,-0.0607,-0.0811,-0.0755,-0.0814,-0.0741,-0.0639,-0.0747,-0.0765,,-0.0573,-0.0547,-0.0475,-0.034,-0.0232,-0.0166
2000-04-17,30.7917,130.3098,SE,0.1962,0.1905,0.1391,0.0971,0.0743,0.0653,0.0848,0.1109,0.1422,0.1506,0.0729,0.0284,0.0255,0.029,0.0052,-0.0227,-0.0485,-0.0432,-0.0323,-0.0111,-0.0143,-0.0247,-0.0269,-0.0239,-0.0179,-0.0056,0.0071,0.0085,0.0091,0.0133
2000-04-17,30.7917,130.3098,SO,0.1147,0.1127,0.0653,-0.0366,0.0273,0.0037,-0.0034,0.0171,-0.0152,0.0014,-0.0154,-0.0373,-0.0611,-0.03,-0.004,-0.0146,0.0065,-1e-04,-0.0016,0.0085,,,,,,,,,,
2000-04-24,30.792,130.3061,E,,0.2896,0.1871,0.1615,0.1219,0.1453,0.0813,0.0908,0.0192,0.0262,0.0031,0.0114,-0.0171,-0.0031,0.0032,0.0071,-0.0031,-0.004,-0.0302,-0.0123,-0.0014,-0.0024,-0.0024,0.0061,0.0111,-0.0021,-0.0071,-0.0141,-0.0097,-0.0101
2000-04-24,30.792,130.3061,N,,0.2145,0.1917,0.1599,0.1314,0.1309,0.1103,0.0764,0.0584,0.0806,0.0758,0.0557,0.0376,-0.0207,-0.0435,-0.0505,-0.0376,-0.0293,-0.0256,-0.0129,-0.0036,0.0039,0.0062,0.0078,0.0133,0.0163,0.0169,0.0098,0.029,0.0294
2000-04-24,30.792,130.3061,NE,0.2252,0.1943,0.1706,0.1579,0.1657,0.1604,0.1617,0.1184,0.091,0.0605,0.0224,0.0012,0.0153,-0.0077,-0.0354,-0.0389,-0.0218,-0.012,0.0169,0.0045,0.0205,-0.0038,0.0212,0.0043,0.0135,0.0096,0.0177,0.0123,0.015,0.0145
2000-04-24,30.792,130.3061,NO,,0.2041,0.1814,0.1692,0.1167,0.0911,0.0712,0.0259,0.0049,0.0024,0.0164,0.0222,0.0083,0.0194,0.0174,0.0041,-0.0111,-0.0042,-0.0032,-0.0032,0.0076,0.0084,0.0027,0.0009,0.0025,0.006,0.0125,0.0177,0.018,0.0254
2000-04-24,30.792,130.3061,O,0.2046,0.1298,0.117,0.1252,0.1035,0.091,0.0559,0.0181,0.0,-0.0108,-0.0254,-0.0293,-0.0295,-0.0248,-0.0087,0.0123,0.0106,0.0197,0.0107,0.012,0.0166,0.0142,0.0146,0.0105,0.002,-0.0069,-0.0103,-0.0114,-0.0139,-0.0128
2000-04-24,30.792,130.3061,S,0.3261,0.3281,0.2178,0.1477,0.0846,0.0506,0.0348,0.0462,0.0278,0.023,-0.0022,-0.0097,-0.012,-0.0174,-0.0228,-0.0258,-0.031,-0.0191,-0.0139,0.007,-0.006,-0.018,-0.0327,-0.0475,-0.0319,-0.0365,-0.0376,-0.0282,-0.0247,-0.0192
