date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-05,19.4043,-155.284,E,,,,,,,,,0.0125,,,,,,,0.0224,,,,,,-0.0302,,,-0.0319,,-0.0045,,,
2000-02-05,19.4046,-155.2852,E,0.0876,0.0737,,0.0492,0.0474,0.0371,,0.0083,,0.0134,0.0256,0.0256,0.0199,,0.0172,,0.0128,0.0045,0.0021,-0.0137,,,-0.0378,-0.0344,,-0.0123,,,,
2000-02-05,19.4049,-155.2864,E,,,0.0382,,,,0.0225,,,,,,,0.0206,,,,,,,-0.0285,,,,,,,-0.0022,-0.0003,0.0075
2000-02-05,19.4043,-155.284,N,0.1834,,,0.1408,,0.0862,,,0.0776,,,0.0427,,,0.0019,,,0.0162,,,-0.0092,,,,,,0.0183,,,0.039
2000-02-05,19.4046,-155.2852,N,,,0.1126,,,,0.0922,,,0.08,,,0.0264,0.0068,,,0.0085,,0.0005,,,,-0.0092,-0.0034,,0.0068,,0.0247,,
2000-02-05,19.4049,-155.2864,N,,0.0735,,,0.101,,,0.0846,,,0.0718,,,,,0.0034,,,,-0.013,,-0.0092,,,0.001,,,,0.0362,
2000-02-05,19.4043,-155.284,NE,,,0.1208,,,0.0732,,,,0.0627,,0.055,,,,0.0512,0.0412,,0.0131,,-0.0378,,-0.0429,,,,-0.0223,,,0.0011
2000-02-05,19.4046,-155.2852,NE,,0.1019,,0.0887,0.0849,,,0.0616,,,0.0548,,,0.0401,,,,,,,,,,-0.0424,,,,,,
2000-02-05,19.4049,-155.2864,NE,,,,,,,0.0709,,0.0666,,,,0.0432,,0.0452,,,0.0355,,-0.0035,,-0.0468,,,-0.0438,-0.0431,,-0.0221,0.004,
2000-02-05,19.4043,-155.284,NO,,,,,0.1419,,0.042,,-0.0084,,-0.0103,,,,,-0.0431,,-0.0146,,-0.0055,,0.0029,,0.0061,,,0.0107,,0.0179,
