date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-13,31.9342,130.8662,E,0.106,0.0672,0.0227,-0.0054,-0.0135,-0.0222,-0.0236,-0.0243,-0.0249,-0.0254,-0.0259,-0.0265,-0.0267,-0.0268,-0.0267,-0.0252,-0.0192,-0.0084,0.0056,0.01,0.0147,0.0148,-0.0036,-0.0013,-0.0039,-0.006,0.004,-0.0058,-0.0141,-0.0146
2000-02-13,31.9342,130.8662,N,0.0259,0.017,0.0117,0.0096,0.0033,-0.0055,-0.0104,-0.0128,-0.0142,-0.0141,-0.0142,-0.0046,0.0119,0.0154,0.0107,0.0114,0.0323,0.0382,0.0291,0.0177,0.0042,0.0004,0.0045,-0.0057,-0.014,-0.0095,-0.0156,-0.0186,-0.0206,-0.0189
2000-02-13,31.9342,130.8662,NE,,0.0604,0.0462,0.0404,0.0254,0.0268,0.0201,0.0188,0.01,0.0117,0.0111,0.0067,0.0009,1e-04,-0.0022,-0.0046,-0.0033,-0.0016,-0.0009,0.0006,-0.0011,-0.0009,-0.0004,-0.0011,0.0039,0.0058,0.0019,0.0004,0.0009,0.0026
2000-02-13,31.9342,130.8662,NO,,-0.0015,-0.0146,-0.0186,-0.0185,-0.0132,-0.0052,0.0014,0.0093,0.0051,0.0022,0.0028,0.0035,0.0044,0.0036,0.0053,0.0012,0.0027,0.0006,-0.0032,-0.0046,-0.0066,-0.0072,-0.006,-0.0059,-0.0077,-0.0042,-0.0044,0.0108,0.004
2000-02-13,31.9342,130.8662,O,,0.0529,0.028,0.0133,0.0045,-0.001,-0.0011,-0.0035,-0.0061,-0.0006,0.0053,0.0068,0.0023,-0.0004,-0.0031,-0.0002,-1e-04,-0.0003,-0.0006,-0.0037,-0.0037,-0.0046,-0.0038,0.0006,0.0007,-0.0,-0.0005,1e-04,0.0013,0.0019
2000-02-13,31.9342,130.8662,S,0.0816,0.0535,0.0246,0.0246,-0.0039,-0.0296,-0.0354,-0.0336,-0.0299,-0.0293,-0.0251,-0.0303,-0.027,-0.0198,-0.023,-0.0179,-0.0185,-0.0216,-0.0129,-0.0062,0.0189,0.0198,0.0105,0.0059,-0.0025,-0.0139,-0.0043,-0.01,-0.0002,0.0112
2000-02-13,31.9342,130.8662,SE,,0.0329,-0.0146,-0.0529,-0.0504,-0.0481,-0.0462,-0.0446,-0.043,-0.0415,-0.0399,-0.0388,-0.0374,-0.036,-0.0355,-0.0205,-0.012,-0.0061,-0.0114,-0.0132,-0.0133,-0.0037,0.0192,0.0325,0.0475,0.039,0.0511,0.0263,0.0116,-0.0206
2000-02-13,31.9342,130.8662,SO,0.0441,0.0224,0.0046,0.0036,0.0075,0.015,0.0077,0.0084,0.0032,0.0043,0.0037,0.0042,0.0057,0.005,0.0106,0.0037,0.0047,0.001,-1e-04,-0.0011,-0.0033,-0.0034,-0.0027,-0.0015,0.0039,0.0024,0.0023,-0.0012,0.0029,-0.0044
2000-04-17,31.9377,130.8628,E,,0.0826,0.0696,0.0631,0.0598,0.0599,0.0685,0.085,0.0871,0.0905,0.0772,0.0706,0.0594,0.046,0.0207,0.0106,-0.0056,-0.0196,-0.0238,-0.0339,-0.0333,-0.034,-0.0336,-0.028,-0.0203,-0.0173,-0.0099,-0.0084,-0.0051,0.002
2000-04-17,31.9377,130.8628,N,,0.109,0.0931,0.0744,0.0207,-0.0025,-0.0174,-0.0247,-0.0284,-0.0314,-0.0351,-0.0376,-0.0396,-0.038,-0.0077,0.0115,0.0157,0.022,0.0238,0.0243,0.0151,0.0053,0.0113,0.0073,0.0066,0.0028,-0.0022,-0.0005,-0.0004,0.0034
2000-04-17,31.9377,130.8628,NE,0.0945,0.0945,0.0879,0.0769,0.0642,0.0589,0.0605,0.0533,0.045,0.0439,0.0086,-0.0074,-0.0007,-0.0106,-0.0087,-0.0152,-0.0172,-0.0193,-0.0079,-0.0057,0.0007,0.003,0.0014,0.0073,0.0031,0.0036,-0.0084,-0.008,-0.0097,-0.0087
2000-04-17,31.9377,130.8628,NO,0.0988,0.0815,0.0618,0.0363,0.0081,-0.0176,-0.0144,-0.0393,-0.0408,-0.0444,-0.0463,-0.0494,-0.0531,-0.0542,-0.0099,0.0194,0.0299,0.0266,0.0196,0.0123,0.0091,0.0072,0.0041,0.0037,0.0033,0.0064,0.0076,0.0107,0.0143,0.0317
2000-04-17,31.9377,130.8628,O,,0.1182,0.0915,0.0733,0.0417,0.0272,0.0171,0.0094,0.0125,0.0057,-0.0077,-0.0372,-0.0483,-0.0434,-0.0025,0.0244,0.0315,0.0271,0.0172,0.0105,0.0037,-0.0022,-0.0011,-0.0013,-0.0006,0.0062,0.0052,0.0072,0.0064,0.0076
2000-04-17,31.9377,130.8628,S,,0.102,0.0859,0.0853,0.0846,0.0844,0.0772,0.0685,0.0658,0.0777,0.0594,0.0512,0.0253,0.0068,-0.005,-0.0202,-0.0231,-0.0269,-0.0224,-0.02,-0.0004,-0.0015,0.0046,0.0094,0.0109,-0.0137,-0.0153,-0.0156,-0.0178,-0.0186
2000-04-17,31.9377,130.8628,SE,0.0838,0.0753,0.0627,0.051,0.0509,0.0542,0.0627,0.0705,0.0707,0.0648,0.0701,0.0736,0.0221,-0.0012,-0.017,-0.0189,-0.022,-0.0224,-0.0211,-0.0303,-0.0161,-0.0174,-0.0015,-0.0154,-0.027,-0.0065,-0.0087,0.0005,0.0068,0.0027
