date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-21,55.1269,160.317,E,0.1209,0.1129,0.0997,0.0935,0.0741,0.0733,0.0406,0.0249,0.0185,0.021,0.0181,0.0039,0.0015,-0.0021,-0.0039,-0.0084,-0.0081,-0.0079,-0.0074,-0.0073,-0.0071,-0.0068,-0.0063,-0.0059,-0.0055,-0.0049,-0.0046,-0.004,-0.0033,-0.0032
2000-03-21,55.1269,160.317,N,,0.0166,0.0133,0.0022,-0.001,-0.0089,-0.005,-0.0082,-0.0087,-0.0083,-0.0078,-0.0017,0.0021,0.0051,0.0051,0.005,0.0046,0.0044,0.0043,0.0041,0.003,0.0027,0.0007,0.0036,0.002,-0.0005,-0.0033,-0.0038,-0.0045,-0.0047
2000-03-21,55.1269,160.317,NE,0.0178,0.0184,0.0194,0.0215,0.0293,0.0327,0.0294,0.0268,0.024,0.021,0.0201,0.0211,0.0199,0.021,0.0197,0.0163,0.0163,0.0115,0.0052,0.0044,0.0046,0.0023,-0.0061,-0.0181,-0.0225,-0.0307,-0.0537,-0.0704,-0.0606,-0.0081
2000-03-21,55.1269,160.317,NO,0.0111,0.0124,0.006,-0.0004,-0.0069,-0.0094,-0.0102,-0.0174,-0.0357,-0.0465,-0.0467,-0.0287,-0.0059,0.0072,0.0142,0.0151,0.0129,0.015,0.0125,0.0146,0.0112,0.0123,0.0126,0.0107,0.0036,1e-04,-0.0054,-0.0096,-0.0128,-0.0169
2000-03-21,55.1269,160.317,O,0.0138,0.0141,0.0107,0.0072,0.0037,0.0002,-0.0032,-0.003,-0.0028,-0.0063,-0.0061,-0.0059,-0.0022,0.0018,0.0019,0.0041,0.0061,0.0062,0.0027,-0.0008,-0.0007,-0.0006,-0.0003,-0.0002,-0.0038,-0.0037,-0.0037,1e-04,-0.0035,-0.0071
2000-03-21,55.1269,160.317,S,,0.0549,0.0511,0.046,0.0468,0.023,0.0177,0.0055,0.0039,0.0019,-0.0059,-0.0033,0.0007,0.0014,0.0043,0.0052,-0.0011,0.0077,0.0069,0.0112,0.0113,0.0052,0.003,0.0047,-0.0017,-0.0022,-0.0033,0.0037,-0.0014,-0.0025
2000-03-21,55.1269,160.317,SE,0.0816,0.0815,0.0707,0.056,0.0372,0.0196,-0.0026,-0.0049,-0.0031,0.0003,0.004,0.0159,0.0398,0.0593,0.0631,0.0465,0.039,0.0248,0.0124,-0.0039,-0.0161,-0.0149,-0.0078,-0.01,-0.0127,-0.0206,-0.0246,-0.0248,-0.0223,-0.0239
2000-03-21,55.1269,160.317,SO,0.0323,0.0336,0.03,0.0245,0.0182,0.0158,0.0166,0.0065,0.0113,0.003,0.0054,0.0028,0.0039,0.0041,0.0054,0.0019,0.003,0.0071,0.0043,0.0014,-0.0023,-0.0016,-0.001,-0.0003,0.0008,0.0003,-0.0014,0.0029,0.0033,0.0069
2001-03-08,55.1279,160.3255,E,,0.1196,0.1115,0.1004,0.0967,0.0927,0.0883,0.0841,0.0873,0.086,0.0704,0.0409,0.0235,0.0127,0.0006,0.0036,-0.0056,-0.0052,-0.0071,-0.0086,-0.0087,-0.0157,-0.0136,-0.0119,-0.0098,-0.0077,-0.0124,-0.0131,-0.0183,-0.0178
2001-03-08,55.1279,160.3255,N,-0.0092,-0.0094,-0.0164,-0.0175,-0.0166,-0.013,-0.0057,-0.0004,0.0007,0.005,0.0077,0.0065,0.0062,-0.0027,-0.0005,0.0015,0.0016,-0.0006,-0.0046,-0.0073,-0.0063,-0.0076,-0.0061,-0.0051,-0.0057,-0.0032,-0.0038,-0.0034,-0.0038,-0.0054
