date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-05-01,56.0544,160.6496,E,,0.1065,0.0759,0.0291,0.0194,0.0238,0.0383,0.026,1e-04,-0.0069,0.0048,-0.0207,-0.0297,,,0.0185,0.0126,,0.0003,-0.0069,-0.0069,0.0015,,,0.0257,,,,,
2000-05-01,56.0544,160.6496,N,,0.0542,0.0726,0.0536,0.0596,0.049,0.0554,0.0502,0.0592,0.0224,-0.0304,-0.0286,-0.0066,-0.0133,-0.0417,-0.0202,-0.0085,-0.0127,0.003,0.0034,-0.0076,0.029,0.0245,0.0104,0.0064,0.0174,0.0015,-0.0101,-0.0164,-0.023
2000-05-01,56.0544,160.6496,NE,0.1346,0.1139,0.0837,0.0641,0.0498,0.0673,0.0603,0.0653,0.0334,0.0287,0.0003,0.013,0.0027,-0.0397,-0.0383,-0.0197,-0.0035,-0.0168,-0.02,-0.0194,-0.0058,-0.0057,-0.0029,0.01,0.0092,0.0126,0.0163,,0.0232,0.0408
2000-05-01,56.0544,160.6496,NO,-0.0483,-0.0498,-0.0494,-0.0443,-0.0355,-0.0216,-0.0098,-0.0111,-0.0014,0.0066,0.0063,0.0145,0.0154,0.018,0.0227,0.0311,0.0296,0.0302,0.0248,0.019,0.0107,0.0069,0.0007,0.0044,0.0124,0.015,-0.0002,0.0008,0.0102,0.0121
2000-05-01,56.0544,160.6496,O,0.1173,0.0975,0.098,0.0863,0.0798,0.0856,-0.002,-0.011,0.0358,0.0513,0.0562,-0.0143,0.0073,0.0204,0.0287,0.0193,0.0093,-0.0,-0.0377,-0.0278,-0.0258,-0.0348,-0.037,-0.0638,-0.035,0.0228,0.0199,0.0258,0.0252,0.0284
2000-05-01,56.0544,160.6496,S,,0.1744,0.1608,0.1452,0.1377,0.1165,0.0839,0.0567,0.0367,0.0193,-0.0101,-0.0233,0.018,0.0083,0.0215,0.0152,-0.0366,-0.0252,-0.0048,-0.0077,0.0216,0.021,-0.0019,0.0004,-0.0211,-0.0086,-0.0185,-0.0252,-0.0178,-0.0205
2000-05-01,56.0544,160.6496,SE,-0.0642,-0.0286,-0.0518,-0.0606,-0.0461,-0.0491,-0.0123,0.0129,0.0435,0.0105,-0.0148,-0.0341,-0.0055,,,,,,,,,,,,,,,,,
2000-05-01,56.0544,160.6496,SO,0.1329,0.1405,0.0928,0.0778,0.0631,0.0187,-0.0458,-0.0139,0.0,-0.0012,-0.0438,-0.0191,-0.0011,-0.0078,-0.0032,0.0309,0.024,0.0357,0.0211,0.0328,0.0263,0.0183,0.0186,0.0091,0.0039,0.0,-0.0238,-0.0207,-0.0157,-0.0354
2001-08-08,56.0566,160.6477,E,,0.0445,0.0437,0.0293,1e-04,-0.0567,-0.0272,0.0345,0.0439,0.0284,0.0016,-0.0121,0.0144,0.0024,0.0168,-0.004,-0.0315,-0.0393,,,,,,,,,,,,
2001-08-08,56.0566,160.6477,N,0.1266,0.1463,0.1422,0.1287,0.1262,0.0991,0.1006,0.0733,0.0306,0.0102,0.0144,0.0112,-0.0338,0.0225,,,0.0052,-0.0591,-0.0319,-0.0547,-0.052,-0.06,-0.0533,-0.0278,-0.0193,0.0029,0.0058,0.033,0.042,0.0408
2001-08-08,56.0566,160.6477,NE,,0.1902,0.1818,0.1716,0.1569,0.0883,0.0379,-0.0163,-0.0137,-0.0411,,,0.0046,0.0361,0.0402,0.0501,-0.0169,-0.0284,-0.0231,-0.0185,-0.0175,-0.0119,-0.0097,-0.0058,-0.0039,-0.0012,-0.0005,0.0042,0.0104,0.0115
2001-08-08,56.0566,160.6477,NO,0.0172,0.0449,0.0117,0.0108,-0.0125,-0.0085,-0.0093,-0.0021,0.0053,0.0068,0.0091,0.0085,-0.0005,-0.0009,0.0139,0.0191,0.034,0.0302,0.0138,-0.0228,-0.0039,-0.0066,0.0294,0.0112,-0.0173,0.0064,-0.0024,0.0092,0.0051,0.0195
2001-08-08,56.0566,160.6477,O,0.0373,0.0224,0.0258,-0.0033,0.022,0.0444,0.0447,0.0408,0.0133,0.0321,0.0529,0.0453,0.0376,0.0189,0.0545,0.0566,-0.0462,-0.0444,-0.0393,-0.0389,-0.0436,-0.0274,-0.0229,-0.0086,-0.0021,0.0005,0.0065,0.0098,0.0146,0.0209
2001-08-08,56.0566,160.6477,S,,,,,,,,,,,-0.1133,-0.0403,-0.0934,-0.0269,0.0166,0.0514,0.0737,0.0464,0.0271,-0.0084,-0.011,-0.012,-0.0181,-0.0107,-0.029,-0.0102,-0.0062,-0.0146,-0.0092,0.0073
2001-08-08,56.0566,160.6477,SE,,0.1434,0.117,0.0917,0.0457,0.0257,0.0148,0.0111,0.0154,0.0108,0.0103,-0.0063,-0.016,-0.0196,,-0.0263,,,,,,,,,,,,,,
2001-08-08,56.0566,160.6477,SO,,,,,,,,,,,-0.0349,-0.0148,0.0324,0.0181,0.0002,-0.0227,-0.0233,-0.0166,0.0178,0.0162,0.0152,0.0154,0.019,0.0168,0.0086,0.0102,0.0034,-0.017,-0.0312,-0.0386
2007-07-24,56.0572,160.641,E,,,,,,,,,,,-0.0296,-0.0049,-0.0108,-0.0081,-0.0143,-0.0182,-0.0322,-0.0164,-0.0097,-0.0012,-0.0073,-0.0049,-0.0031,0.0004,0.002,0.0145,0.0042,0.0037,-0.0025,-0.0028
2007-07-24,56.0572,160.641,N,,,0.6005,,0.7275,-0.1265,-0.1479,-0.1338,-0.035,0.0186,,,,,,,,,0.0794,0.0446,0.0128,0.028,-0.015,0.003,-0.0061,0.0057,0.0005,0.0046,-0.017,-0.0317
2007-07-24,56.0572,160.641,NE,,,,,,,,,,,0.0478,0.0671,0.0494,0.0457,-0.0013,-0.0138,-0.015,-0.0378,-0.0427,-0.02,-0.0129,-0.0096,-0.0133,-0.0216,-0.0032,-0.0187,-0.0159,-0.0133,-0.0017,0.0038
2007-07-24,56.0572,160.641,NO,,0.1156,0.0634,-0.0534,-0.1439,-0.1838,-0.1854,-0.111,-0.0526,0.0208,0.0437,0.0657,0.0803,0.057,0.065,0.0479,0.0257,-0.0197,-0.0519,-0.0517,-0.0502,-0.0712,-0.0807,-0.0972,-0.1114,-0.0063,-0.0109,-0.0414,0.0357,0.0086
2007-07-24,56.0572,160.641,O,,0.1247,0.0647,0.0147,-0.0007,-0.0271,-0.0608,-0.0503,-0.0325,-0.0048,0.0059,0.01,0.0126,0.0009,-0.0097,0.0022,0.006,0.0029,0.0047,0.0013,-0.0015,-0.0081,0.0119,0.0254,-0.0418,-0.0635,,-0.1066,,
2007-07-24,56.0572,160.641,S,0.2906,0.2643,0.2222,0.1739,0.1563,0.1254,0.0827,0.0611,0.0506,0.0245,-0.0271,-0.0451,-0.0309,-0.0341,-0.0258,-0.0181,-0.0139,-0.0021,0.0119,0.0163,0.0214,0.0165,0.0071,-0.0115,-0.01,-0.0179,-0.0087,-0.0103,0.0009,-0.0037
2007-07-24,56.0572,160.641,SE,,,,,,,,,,,,,0.0092,0.0024,0.0083,0.0062,0.0071,0.0108,0.0095,0.0084,0.0049,-0.0019,-0.0181,-0.0154,-0.0117,-0.0082,-0.0044,-0.0016,0.0033,0.0066
2007-07-24,56.0572,160.641,SO,,0.1159,0.058,0.0238,-0.0115,0.0038,0.013,-0.0152,-0.0003,-0.0295,-0.0078,-0.0503,-0.0064,0.0075,0.0178,-0.007,-0.0034,-0.0035,-0.0066,-0.0019,0.003,0.0125,-0.0018,0.0052,0.0075,0.0006,-0.0113,-0.0087,-0.0047,0.0171
2008-04-05,56.0536,160.6495,E,,0.1039,0.1053,0.1037,0.0996,0.0794,0.0317,0.0213,-0.0251,-0.0084,-0.0338,,,,,,,,,,,,,,,-0.0109,-0.0039,,,0.0318
2008-04-05,56.0536,160.6495,N,0.0969,0.0467,0.069,0.0857,0.0984,0.0976,0.0848,0.0628,0.0802,0.0543,0.0598,0.0102,-0.0144,-0.0091,-0.0163,-0.0284,-0.0312,-0.0412,-0.0319,-0.0341,-0.0316,-0.0023,-0.0164,-0.0027,-0.0052,0.0179,0.0177,0.0219,0.0182,0.0173
2008-04-05,56.0536,160.6495,NE,,0.0512,0.0426,0.0633,0.0497,0.0542,0.0262,0.0383,0.043,0.0062,-0.0334,-0.0386,-0.0342,-0.0168,,,,,,,0.009,-0.0077,-0.0017,0.0135,0.0018,-0.0057,-0.0036,-0.0004,0.0133,-0.0031
2008-04-05,56.0536,160.6495,NO,,0.1249,0.1105,0.1069,0.1123,0.1084,0.1051,0.1069,0.0687,0.0451,0.0026,-0.0248,-0.0443,-0.0383,-0.0309,-0.0389,-0.0273,-0.0271,-0.0077,-0.0006,0.0155,0.0247,0.029,0.0262,0.0134,-0.0061,-0.0055,-0.0034,-0.003,0.0028
2008-04-05,56.0536,160.6495,O,0.1317,0.125,0.1163,0.1051,0.088,0.0646,0.0391,-0.0128,0.0034,0.0075,-0.0299,-0.039,-0.0311,-0.0372,-0.0533,,,,,,,,0.0067,0.0101,0.0096,0.014,0.01,0.0154,0.0158,0.0364
2008-04-05,56.0536,160.6495,S,0.1591,0.151,0.1246,0.1048,0.0711,0.0478,0.0215,0.0075,-0.0124,-0.019,-0.0253,-0.0271,-0.0325,0.0045,0.0145,0.0312,0.0354,0.0097,0.0084,0.0103,0.0109,0.0091,0.0109,0.0057,-0.0024,-0.014,-0.0141,-0.0251,-0.0064,-0.0173
2008-04-05,56.0536,160.6495,SE,,-0.0363,-0.0279,-0.0226,0.004,-0.0018,0.0031,0.0039,0.0103,0.0084,0.0073,-0.0023,-0.0076,-0.0103,,,,,,,,,,,,,,,,
2008-04-05,56.0536,160.6495,SO,0.1437,0.1408,0.1166,0.0789,0.0342,-0.0037,-0.0299,-0.0437,-0.0595,-0.0648,-0.0649,-0.058,-0.0395,-0.0144,0.0462,0.0673,0.0892,0.0734,0.0666,0.0387,0.0204,0.0084,,0.0076,0.0168,0.0143,0.0063,0.0031,-0.004,-0.0115
2008-08-27,56.0569,160.642,E,0.538,0.3789,0.2759,0.2759,0.2145,0.2586,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-27,56.0569,160.642,N,0.3651,0.3796,0.1905,-0.0732,-0.216,-0.1654,-0.1114,-0.058,-0.0108,0.0066,0.0334,0.0498,0.0431,0.0211,0.0048,-0.0073,-0.0298,-0.0162,-0.0199,-0.0083,-0.0023,0.0137,-0.0095,-0.0062,-0.0577,-0.0367,,,,
2008-08-27,56.0569,160.642,NE,,0.2187,1e-04,-0.0711,-0.037,-0.0619,-0.0514,-0.0071,0.0029,0.0159,-0.0425,,,,,,,,,,,,,,,,,,,
2008-08-27,56.0569,160.642,NO,,0.232,-0.091,-0.2774,-0.2991,-0.1704,-0.0713,-0.0036,0.0298,0.0427,0.0403,0.0314,0.0085,0.0124,-0.0021,-0.0155,-0.0203,-0.0219,-0.0187,-0.0167,-0.0314,-0.0311,-0.0087,0.0221,0.037,0.0797,0.0569,0.0247,0.0464,0.0513
2008-08-27,56.0569,160.642,O,,0.7765,0.6501,0.4193,-0.0954,-0.2061,-0.1245,-0.0414,-0.0005,0.0116,0.014,0.053,0.0317,0.0044,0.0027,-0.0415,-0.0133,-0.0732,-0.115,,,,,,,-0.0022,0.0013,0.0068,0.007,0.0122
2008-08-27,56.0569,160.642,S,0.7945,0.7402,,0.2424,0.1564,0.1676,0.1287,0.0754,0.0257,0.0089,0.0259,0.0292,0.0017,-0.021,-0.0144,-0.0341,-0.0198,-0.0233,-0.0198,-0.0203,-0.0205,-0.0053,-0.0019,0.0055,0.0073,-0.0175,0.0154,-0.0106,0.013,-0.0116
