date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-10-31,53.3178,158.7146,E,0.0077,0.0032,0.0,0.0,0.0002,0.0004,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-31,53.3178,158.7146,N,0.0042,0.0015,-0.0007,-0.0013,-0.0008,-0.0033,-0.0028,-0.0039,0.0003,0.0009,0.0025,0.0027,0.0012,0.0009,0.0012,0.0006,-0.0002,-0.0004,-0.0007,-0.0006,0.0008,0.0008,0.001,0.0004,-0.0002,-0.0003,-0.0008,1e-04,-0.0004,-0.0009
2000-10-31,53.3178,158.7146,NE,,0.0035,0.0035,-0.001,-0.0031,-0.0026,-0.0003,-0.0006,-0.0013,-0.0014,-0.0015,-0.0022,0.0021,0.0018,0.0018,0.0017,0.001,0.001,-0.0002,0.0024,-0.0004,0.0018,-0.0005,-0.0027,-0.0035,-0.0035,-0.0028,-0.0006,,
2000-10-31,53.3178,158.7146,NO,,0.0121,0.0054,0.0044,0.0093,0.0089,0.0073,0.0032,-0.0023,-0.0057,-0.0027,-0.0014,0.0007,-1e-04,-0.0011,-0.0005,-1e-04,-0.0007,0.0003,0.0013,1e-04,-1e-04,-0.0016,-0.0011,0.0002,0.0015,0.0031,0.0025,0.0004,0.0019
2000-10-31,53.3178,158.7146,O,,0.0068,0.0062,0.0062,0.0067,0.0059,0.0039,0.003,0.0012,0.0041,0.0056,0.0024,0.0003,-0.0026,-0.0056,-0.0036,-0.0039,-0.0033,-0.0027,-0.0013,0.0004,0.0004,-0.0003,-0.0005,0.0006,1e-04,0.0021,-0.0,-0.0004,-1e-04
2000-10-31,53.3178,158.7146,S,0.006,0.0051,0.0043,0.0041,0.0002,0.0003,0.0006,-0.0,1e-04,-0.0005,-0.0003,-1e-04,0.0009,-0.0006,-0.001,-0.0011,-0.0009,-0.0014,-0.0014,-0.0011,-0.0013,-0.0014,-0.0017,-0.001,0.0002,0.0009,0.0003,-0.0002,-0.0002,-0.0002
2000-10-31,53.3178,158.7146,SE,,0.0077,0.0029,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2000-10-31,53.3178,158.7146,SO,,-0.0031,-0.0034,-0.0038,-0.0019,-0.0,-0.0005,-0.0014,-0.0025,-0.0015,0.0043,0.0067,0.0044,0.0003,-0.0016,-0.0017,-0.0037,-0.004,0.0,0.0009,0.0,0.0006,0.0007,0.0033,0.0048,0.0044,0.0007,-0.0016,-0.0006,0.0014
2001-08-15,53.3202,158.7128,E,0.0924,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2001-08-15,53.3202,158.7128,N,0.0575,0.0404,0.0318,0.0482,0.0159,-0.0011,-0.0207,-0.013,0.0083,0.0342,-0.0062,0.0083,0.0452,-0.0132,-0.0522,-0.0261,0.0111,,,,,,,,,,,,,
2001-08-15,53.3202,158.7128,NE,,0.0924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-15,53.3202,158.7128,NO,,0.0769,0.0657,0.0377,0.0523,0.0484,0.0266,0.0051,-0.0159,-0.0199,-0.054,-0.0572,-0.0298,-0.0041,0.0041,0.0214,0.0183,0.0155,0.0134,0.0141,0.0135,0.0045,0.0011,0.0015,0.0091,0.0048,0.0031,-0.0018,-0.0165,-0.007
2001-08-15,53.3202,158.7128,O,,0.0726,0.0378,0.0331,0.0408,0.0324,0.027,0.0107,0.0052,0.0063,0.0057,0.0049,-0.0084,-0.0127,-0.0117,-0.0073,-0.0005,0.0054,-0.0025,-0.0009,0.0011,0.0066,0.0059,0.0022,0.0071,0.0141,0.0121,0.0055,0.0069,0.0166
2001-08-15,53.3202,158.7128,S,0.1088,0.0949,0.0838,0.0344,0.027,0.0183,0.0195,0.0071,,,,,,,,,,,0.0163,0.0132,-0.0032,-0.0056,-0.014,-0.0168,-0.0225,-0.0152,0.0025,0.0131,0.0253,0.0281
2001-08-15,53.3202,158.7128,SE,,0.0579,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2001-08-15,53.3202,158.7128,SO,,0.0317,0.0325,0.0139,0.0037,0.003,0.0029,0.0056,-0.0005,0.012,0.01,-0.0183,0.0302,0.0182,0.0189,0.0204,0.0175,0.0068,-0.004,-0.015,-0.0189,-0.004,-0.0039,0.003,-0.0008,0.0009,-0.0026,0.0006,-0.0157,-0.021
2010-08-15,53.3194,158.7061,E,0.1735,0.1567,0.1308,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2010-08-15,53.3194,158.7061,N,0.0692,0.0686,0.0589,0.025,0.0106,0.0103,-0.024,-0.0257,-0.0171,-0.0209,-0.0124,-0.0113,-0.0105,0.003,0.0119,0.0023,0.005,0.0107,0.0182,0.0285,0.0291,0.0268,0.0204,0.0212,0.0049,-0.0169,-0.014,-0.0064,0.0099,0.0074
2010-08-15,53.3194,158.7061,NE,,0.1035,0.094,0.0849,0.057,0.0526,,0.0168,0.0162,-0.0044,-0.0091,0.0045,,,,,,,,,,,,,,,,,0.0017,-0.0091
