date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-05-03,-6.1017,105.4241,E,,-0.0137,-0.0289,-0.0408,-0.0337,-0.0246,-0.0071,-0.0172,-0.029,-0.0169,-0.0136,-0.0014,0.0103,0.024,0.035,0.0397,0.0463,0.0499,0.039,0.0215,0.0118,0.0043,-0.0017,-0.0102,-0.0178,-0.0237,-0.02,-0.0171,-0.0135,0.0123
2001-05-03,-6.1017,105.4241,N,,-0.0238,-0.0347,-0.0517,-0.0564,-0.0366,-0.0185,-0.0112,-0.0083,-0.0157,-0.0233,-0.0253,-0.0186,-0.0105,-0.0033,0.0095,0.0191,0.0264,0.0305,0.0246,0.0284,0.0242,0.0169,0.0154,0.0175,0.0067,-0.0074,-0.0144,-0.0167,-0.0357
2001-05-03,-6.1017,105.4241,NE,0.0285,,-0.0057,-0.0254,-0.0501,-0.0491,-0.036,-0.023,-0.0192,-0.0248,-0.0197,-0.0194,-0.0113,-0.0036,0.0068,0.0131,0.0169,0.021,0.0272,0.0299,0.0339,0.0113,0.0214,0.003,-0.006,-0.0036,-0.0154,-0.0229,-0.0286,-0.0311
2001-05-03,-6.1017,105.4241,NO,0.0253,,0.0344,0.0374,0.0311,0.0181,-0.0171,-0.0269,-0.0262,-0.0201,0.0018,-0.0,0.0007,-0.0074,0.0016,0.0151,0.0131,0.0211,0.0186,0.0185,0.0022,-0.0087,-0.0123,-0.0169,-0.0061,-0.0046,0.0026,-0.0054,-0.0054,-0.0077
2001-05-03,-6.1017,105.4241,O,,0.1473,0.1252,0.0847,0.061,0.0603,0.0459,0.0269,0.014,0.0112,-0.001,-0.0034,-0.0079,-0.0136,-0.0106,-0.0126,-0.0088,-0.0123,-0.0188,-0.0191,-0.0167,-0.0104,-0.0056,-0.0047,-0.0062,-0.0024,0.0043,0.0117,0.0061,0.0048
2001-05-03,-6.1017,105.4241,S,,0.1435,0.13,0.1286,0.0837,0.0638,0.017,0.0122,-0.0049,0.0104,0.0214,0.007,-0.0067,-0.0106,-0.0188,-0.0281,-0.0205,-0.0109,0.0013,0.0042,-0.0011,-0.0071,-0.0046,-0.0036,-0.0042,-0.0017,0.0034,-0.0003,-0.0048,-0.0091
2001-05-03,-6.1017,105.4241,SE,-0.0036,,-0.0474,-0.035,-0.0493,-0.045,-0.0138,-0.0129,-0.0051,0.0019,0.0014,0.007,0.0184,0.0177,0.0122,0.0077,-0.0084,-0.0056,-0.0055,-0.0055,-0.0094,-0.0207,,,,,,,,
2001-05-03,-6.1017,105.4241,SO,0.1184,,0.0629,0.0156,-0.0025,-0.0065,0.017,0.0118,0.0045,-0.0239,-0.0118,-0.0198,-0.0024,0.0093,0.0287,0.0048,-0.0211,-0.0247,-0.0064,0.0051,0.0192,0.0233,0.0224,0.0163,0.0138,0.0087,-0.0026,-0.0116,-0.0177,-0.0239
2001-07-06,-6.1014,105.4239,E,,-0.1268,-0.0952,-0.0587,-0.065,-0.0504,-0.053,-0.051,-0.0393,-0.0282,-0.0106,0.0042,0.0231,0.0357,0.0486,0.0569,0.0549,0.0417,0.0254,0.0096,-0.0037,-0.0037,0.0019,0.0047,0.0081,0.0049,0.009,0.0061,0.0064,0.0038
2001-07-06,-6.1014,105.4239,N,,-0.104,-0.0954,-0.0837,-0.0994,-0.1077,-0.094,-0.0596,-0.0428,-0.027,-0.0326,-0.0266,-0.023,-0.0102,0.0023,0.0149,0.0257,0.0349,0.0456,0.0481,0.0493,0.0466,0.0374,0.0502,0.0335,0.0121,-0.0067,-0.0598,-0.0534,-0.049
2001-07-06,-6.1014,105.4239,NE,-0.1805,,-0.1284,-0.1156,-0.1001,-0.1012,-0.1,-0.0912,-0.0708,-0.0467,-0.0261,-0.0116,0.0075,0.0281,0.0379,0.046,0.057,0.0659,0.0755,0.0713,0.0686,0.0478,0.0298,0.0037,-0.0086,-0.0081,-0.0158,-0.0517,-0.0656,-0.0734
2001-07-06,-6.1014,105.4239,NO,-0.0862,,-0.0753,-0.0544,-0.0473,-0.0498,-0.0367,-0.0378,-0.04,-0.0387,-0.0337,-0.0221,-0.004,-0.0054,-0.0111,-0.0063,0.008,0.0225,0.0417,0.0516,0.0434,0.0241,0.0093,-0.0041,-0.0207,-0.0247,-0.0114,-0.0126,-0.0349,-0.0424
2001-07-06,-6.1014,105.4239,O,,0.1453,0.1342,0.0931,0.0282,0.0112,0.0165,0.0062,0.0002,-0.0048,-0.0132,-0.0082,-0.0034,0.0027,0.0067,0.0066,0.0047,0.0016,-0.001,-0.0022,-0.0024,-0.0031,0.0014,0.0033,0.0041,0.0033,-0.0015,-0.0041,-0.0069,-0.0126
2001-07-06,-6.1014,105.4239,S,,0.0726,0.1015,0.0838,0.059,0.0305,-0.0002,-0.0171,-0.0105,0.0021,-0.0023,-0.007,-0.009,-0.0182,-0.0242,-0.0201,-0.0155,-0.0022,0.0047,0.0097,0.0122,0.014,0.0112,0.0097,0.0114,0.011,0.0032,-0.0169,-0.0342,-0.0389
2001-07-06,-6.1014,105.4239,SE,-0.0531,,-0.0491,-0.0375,-0.0346,-0.0192,-0.0251,-0.0223,-0.0129,-0.0074,-0.0063,0.012,0.0098,0.0093,0.0055,0.0098,0.0106,0.0185,0.0076,0.0187,0.0126,0.0125,0.0044,-0.002,-0.0063,-0.0073,-0.0096,-0.0093,-0.0092,-0.0136
2001-07-06,-6.1014,105.4239,SO,0.117,,0.0861,0.0522,0.032,0.0292,0.0534,0.0476,0.0219,-0.0011,-1e-04,-0.0099,-0.0123,-0.0031,0.0025,-0.0025,-0.0147,-0.0129,-0.0089,-0.0023,0.0139,0.0219,0.0227,0.0096,-0.0027,-0.0109,-0.0127,-0.0137,-0.0137,-0.0137
2001-08-07,-6.1019,105.423,E,,0.65,0.2816,0.0607,-0.0617,-0.0394,-0.0487,-0.0368,-0.0348,-0.0339,-0.0344,-0.0259,0.0035,0.0226,0.0279,0.0443,0.0067,0.0201,0.008,0.0204,0.0285,0.0262,0.0148,0.0111,0.0112,0.0032,0.002,0.0106,0.0037,-0.0073
2001-08-07,-6.1019,105.423,N,,0.8958,0.7,0.4115,0.086,0.0075,-0.0244,-0.0549,-0.0855,-0.0727,-0.0925,-0.0281,0.0096,0.0744,0.0598,-0.017,-0.0036,0.0113,0.023,0.0418,0.0554,0.0654,0.0705,0.0631,0.0608,0.0437,0.0095,-0.0085,-0.0158,-0.0657
2001-08-07,-6.1019,105.423,NE,,,,0.2652,0.025,0.0263,0.0071,-0.0622,-0.0992,-0.1181,-0.0375,0.0365,0.0322,0.0065,0.0044,0.0137,0.0218,0.0159,0.041,0.0445,0.0564,0.0684,0.0872,0.0789,0.0648,-0.0122,-0.032,-0.0634,-0.094,-0.056
2001-08-07,-6.1019,105.423,NO,0.541,,0.1829,-0.0859,-0.111,-0.0876,-0.087,-0.0708,-0.064,-0.0614,-0.0408,-0.0199,-0.008,-0.0003,0.0072,0.0103,0.0155,0.0297,0.0394,0.0484,0.0476,0.0376,0.0298,0.0186,0.0049,-0.033,0.0028,0.0375,-0.0286,-0.0693
2001-08-07,-6.1019,105.423,O,,0.6575,0.1978,0.0265,-0.0075,-0.0819,-0.0742,-0.0611,-0.0525,-0.0407,0.0016,0.0177,0.0162,0.0098,0.0098,0.007,0.0035,0.0133,0.0112,0.014,0.0206,0.026,0.0287,0.0172,0.0094,0.012,0.0167,0.0103,-0.0159,-0.0541
2001-08-07,-6.1019,105.423,S,,0.7127,0.6975,0.6937,0.4222,0.1649,0.0298,0.0048,-0.0118,-0.0239,-0.0273,-0.0121,-0.0086,0.0041,0.0226,0.0283,0.0202,0.0359,0.0482,0.0358,0.0298,0.0279,0.0265,0.0233,0.0205,-0.0479,-0.022,-0.0908,-0.0908,-0.0908
2001-08-07,-6.1019,105.423,SE,0.5712,,0.6002,0.4782,0.2342,0.0465,-0.019,-0.0132,-0.0309,-0.0251,-0.0231,0.025,0.0222,0.0083,0.0342,0.0181,0.0285,0.0139,0.0163,0.0066,0.0067,0.0027,0.001,0.0033,-0.0022,-0.0015,-0.0057,-0.0056,-0.0101,-0.0151
2001-08-07,-6.1019,105.423,SO,0.7691,,0.5598,0.1895,0.1325,0.0713,0.0428,0.0177,-0.0055,-0.0134,1e-04,-0.0123,-0.0257,-0.0237,-0.0189,-0.0017,0.0057,0.0108,0.008,0.0024,-0.0005,0.0011,0.0098,-0.007,-0.0058,-0.007,-0.007,-0.007,-0.007,-0.007
2001-09-24,-6.103,105.4228,E,,0.0685,0.0872,0.0935,0.0746,0.0446,0.0226,0.0242,0.0153,-0.0089,-0.0249,-0.0314,-0.0327,-0.0308,-0.0267,-0.0205,-0.0066,0.013,0.019,0.0298,0.032,0.0353,0.0423,0.0487,0.0404,0.0211,-0.0081,-0.0306,-0.0371,-0.0511
2001-09-24,-6.103,105.4228,N,,0.1293,-0.0252,-0.0276,-0.0371,-0.0525,-0.0624,-0.0589,-0.0585,-0.0537,-0.0675,-0.0717,-0.06,-0.02,0.0727,0.0769,-0.0059,-0.0144,0.0033,0.023,0.0313,0.0389,0.0463,0.0643,0.067,0.0667,0.0635,0.0318,0.045,0.0322
2001-09-24,-6.103,105.4228,NE,0.2769,0.1801,0.1261,0.102,0.2693,0.3827,0.2495,0.0227,0.0114,-0.0101,-0.0265,-0.0334,-0.0544,-0.0149,0.0107,0.005,0.0073,0.0102,0.0207,0.0129,0.0058,0.0083,0.0112,0.0171,0.0125,0.0158,0.0237,0.0131,-0.0181,-0.0041
2001-09-24,-6.103,105.4228,NO,-0.0566,,-0.1501,-0.1591,-0.1618,-0.1457,-0.118,-0.0936,-0.0769,-0.0636,-0.0451,-0.0239,-0.0051,0.0084,0.0174,0.0277,0.0326,0.0473,0.0523,0.061,0.0679,0.0522,0.0366,0.0372,0.0264,0.0069,-0.0122,-0.0716,-0.0937,-0.1048
2001-09-24,-6.103,105.4228,O,,-0.0803,-0.136,-0.1639,-0.165,-0.1592,-0.1248,-0.0903,-0.0653,-0.0379,-0.0243,-0.0109,-0.0007,0.0109,0.0191,0.0272,0.0286,0.0424,0.0501,0.0572,0.0559,0.049,0.0453,0.0401,0.0246,0.0062,-0.0264,-0.0693,-0.0845,-0.0845
2001-09-24,-6.103,105.4228,S,,0.3074,0.2742,0.141,0.0446,0.0736,0.078,0.0276,0.0181,-0.0002,-0.0291,-0.0602,-0.0887,-0.0747,-0.0073,0.0677,0.0909,0.0905,0.0796,0.095,0.082,0.0856,0.0412,0.0152,-0.0235,-0.0454,-0.0454,-0.0565,-0.0565,-0.0676
2001-09-24,-6.103,105.4228,SE,-0.0311,-0.0343,-0.0708,-0.0499,-0.0027,0.0138,0.033,0.0518,0.0443,0.0297,-0.0168,-0.0531,-0.0618,-0.0552,-0.0619,-0.0378,-0.0007,0.0162,0.0237,0.0167,0.0232,0.0426,0.0434,0.0599,0.051,0.034,0.0299,0.007,-0.0038,-0.0216
2001-09-24,-6.103,105.4228,SO,0.3807,,0.3639,0.196,0.1517,0.1108,0.0655,0.0227,0.0124,-0.0206,-0.0482,-0.0585,-0.0595,-0.0292,0.0597,0.0979,0.1062,0.087,0.0613,0.0352,0.0025,-0.0196,-0.0307,-0.0307,-0.0307,-0.0307,-0.0307,-0.0307,-0.0307,-0.0307
2002-10-13,-6.1019,105.4277,E,,-0.2305,-0.1914,-0.1244,-0.0922,-0.0626,-0.0698,-0.0316,-0.0385,0.0312,0.0459,0.0619,0.0621,0.0904,0.0929,0.095,0.0911,0.0291,-0.0021,0.0287,0.0543,0.0077,-0.0259,-0.0377,-0.0388,-0.0419,-0.0684,-0.0167,-0.006,0.0159
2002-10-13,-6.1019,105.4277,N,,-0.626,-0.4839,-0.3728,-0.2691,-0.1909,-0.1272,-0.0843,-0.0442,-0.0118,0.0369,0.054,0.0862,0.1151,0.1179,-0.0162,-0.0337,-0.0366,-0.0559,-0.0746,-0.065,-0.0543,-0.0424,-0.0289,-0.0242,-0.0305,0.0038,-0.0066,0.0199,0.039
2002-10-13,-6.1019,105.4277,NE,-0.7881,-0.6526,-0.5684,-0.4108,-0.3516,-0.2727,-0.211,-0.1326,-0.0624,0.0248,0.0799,0.0906,0.109,0.0779,0.0868,0.0214,-0.0214,-0.0054,-0.0414,-0.0291,-0.0179,-0.0342,-0.0176,-0.019,,,,-0.0495,-0.0495,-0.0495
2002-10-13,-6.1019,105.4277,NO,-0.124,-0.1267,-0.1022,-0.0602,-0.0523,-0.0458,0.0227,0.0531,0.0516,0.0336,-0.0278,-0.0864,-0.0503,-0.0441,0.0591,0.0647,0.1025,0.0888,0.0281,0.0189,-0.0117,-0.0219,-0.0219,-0.0219,-0.0219,-0.0219,-0.0219,-0.0219,-0.0219,-0.0219
2002-10-13,-6.1019,105.4277,O,,-0.1394,-0.1942,-0.176,-0.1687,-0.1587,-0.1008,-0.0781,-0.0696,-0.0204,-0.0305,0.0123,0.0549,0.0688,0.0212,0.0009,-0.0053,0.0417,0.0335,0.0346,0.0312,0.0632,0.0895,0.0536,0.0554,0.0507,0.0021,-0.0802,-0.0802,-0.0802
