date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-08-28,54.5919,160.2765,E,,0.0713,0.0582,0.0414,0.0798,,,,,-0.0068,-0.0286,-0.0238,-0.0062,0.0101,0.012,0.0048,0.0089,0.0114,0.0137,0.0139,0.0267,0.0254,0.017,0.0041,0.007,-0.0116,0.0068,0.0072,0.0027,-0.0128
2000-08-28,54.5919,160.2765,N,0.0314,0.0473,0.0451,0.0064,0.0157,0.0255,0.0232,0.0107,0.0003,-0.0034,-0.0036,-0.0006,0.0007,0.0052,0.0058,0.0055,0.0133,0.0112,0.0096,0.0127,0.0082,0.0039,-0.0026,0.0016,0.0039,-0.0074,-0.0134,-0.0098,-0.0128,-0.0079
2000-08-28,54.5919,160.2765,NE,,0.077,0.0571,0.0506,0.0515,0.0485,0.0511,0.0459,0.0207,0.0054,0.0407,0.0314,0.0277,0.017,0.0064,0.0176,0.0132,0.0059,0.0099,0.0096,0.0116,0.0038,-0.0086,-0.0123,-0.0078,-0.0018,-0.0036,-0.0015,0.0006,-0.0
2000-08-28,54.5919,160.2765,NO,,0.0328,0.0341,0.0199,0.0237,0.0152,0.0105,0.0057,-0.0015,-0.0042,-0.007,-0.0066,-0.0098,-0.0178,-0.0128,-0.0063,-0.0091,-0.0149,-0.016,-0.0061,0.0,0.003,0.007,0.0049,0.007,0.0051,0.0078,0.0081,0.0058,0.0024
2000-08-28,54.5919,160.2765,O,0.038,0.031,0.022,0.0172,0.0107,0.0039,0.0034,0.0035,0.004,0.0034,-0.0002,-0.0042,-0.0028,-0.0014,0.0022,-0.0034,-0.0017,-0.002,-0.0054,-0.0021,0.0005,0.0064,0.0089,0.0084,0.0099,0.0082,0.0061,0.0026,-0.0004,-0.0015
2000-08-28,54.5919,160.2765,S,0.0706,0.0593,0.0399,0.0363,0.0199,0.0206,0.0245,0.0212,0.0261,0.0199,0.0246,0.0084,0.0109,-0.0072,0.0075,-0.0144,0.0032,-0.0141,-0.0175,0.0042,-0.0056,0.0033,-0.0006,0.0017,-0.0038,-0.0061,-0.0061,-0.0084,-0.0045,-0.0066
2000-08-28,54.5919,160.2765,SE,,0.0932,0.0694,0.0256,0.0003,0.0002,-0.0073,0.0009,-0.0045,-0.012,-0.0197,-0.0171,-0.0186,-0.0172,-0.0203,-0.0071,0.0072,0.0016,0.0162,0.0051,-0.003,-0.0009,-0.0012,0.0082,0.0029,-0.0028,0.0029,0.0002,-0.0036,-0.0048
2000-08-28,54.5919,160.2765,SO,,0.0151,0.0022,-0.0007,0.0046,0.0036,-0.0063,0.0059,0.012,0.0164,0.017,0.0141,0.0091,0.0101,0.0071,-0.0007,-0.0051,-0.0079,-0.0035,-0.0025,0.0006,0.0066,0.0064,-0.0014,0.0062,0.0005,0.0005,-0.0048,-0.0056,-0.0112
2000-09-06,54.6,160.2744,E,0.0249,-0.0156,-0.0002,0.0023,0.0035,0.0083,0.0254,0.0122,0.0134,0.0012,-0.0201,-0.0087,0.0017,-0.0152,-0.0216,-0.0034,-0.0168,-0.0179,-0.0039,0.0013,-0.0128,-0.0019,0.0025,-0.0325,0.0042,0.0153,0.0239,0.0447,0.0516,0.0565
2000-09-06,54.6,160.2744,N,0.0393,0.0249,0.0076,-0.0128,-0.02,-0.0265,-0.0184,-0.0261,-0.0268,-0.018,-0.0242,-0.0222,-0.0349,-0.029,-1e-04,-0.0015,0.0103,0.0226,0.0427,0.0357,0.0327,0.0305,0.0246,0.0248,0.0186,0.0081,0.0117,-0.0014,-0.0103,-0.0176
2000-09-06,54.6,160.2744,NE,,-0.095,-0.1483,-0.14,-0.1291,-0.0623,-0.0524,-0.0462,-0.0517,-0.0572,-0.0563,-0.0495,-0.0376,-0.0471,-0.0317,-0.0273,-0.0263,-0.013,-0.0062,-0.002,-0.0127,-0.0215,-0.0206,-0.0008,0.0136,0.0159,0.0152,0.02,0.0247,0.0263
2000-09-06,54.6,160.2744,NO,,-0.0012,-0.046,-0.1334,-0.1683,-0.2013,-0.2265,-0.2176,-0.1598,-0.1819,-0.1414,,,,,,,-0.0714,-0.0241,-0.0257,0.004,0.0382,0.042,0.0151,0.0365,0.0392,0.0435,0.0355,0.0227,0.0276
2000-09-06,54.6,160.2744,O,,0.0386,-0.023,-0.0559,-0.0798,-0.0539,-0.0287,-0.0032,0.0134,0.0308,0.0439,0.0474,0.0378,0.0312,0.0161,-0.002,-0.002,-0.0045,-0.024,-0.0416,-0.0419,-0.0099,-0.0071,0.0059,-0.0053,-0.0158,-0.0002,-0.0258,-0.0219,0.0096
2000-09-06,54.6,160.2744,S,,0.1714,0.1428,0.1157,0.1251,0.0868,0.066,0.0362,0.0195,-0.0015,-0.0098,-0.0025,-0.0215,-0.0117,-0.0165,-0.0199,-0.0202,-0.0299,-0.0225,-0.0269,-0.0174,-0.0162,-0.0104,0.0076,-0.0014,0.0095,0.0178,0.0201,0.0221,0.0338
