date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-04-30,42.4904,141.1593,E,0.1366,0.1197,0.0839,0.062,0.0134,0.0038,0.001,-0.0007,-0.0021,-0.0036,-0.0029,-0.0067,-0.0083,-0.0097,-0.0095,-0.0103,-0.0109,-0.012,-0.0134,-0.0136,-0.0085,-0.0048,0.0028,0.0129,0.0139,0.004,-0.0058,-0.0045,0.0102,0.0161
2000-04-30,42.4904,141.1593,N,,0.0404,0.0217,0.0086,0.0112,-0.0011,-0.0003,0.0009,-0.0004,0.0014,0.0049,0.0111,0.0119,0.0153,0.0139,0.0129,0.0144,0.0064,0.0059,0.0014,-0.002,-0.0017,-0.0023,-0.0027,-1e-04,0.0006,-0.0083,-0.01,-0.0112,-0.0105
2000-04-30,42.4904,141.1593,NE,0.0828,,0.0748,0.0521,0.0293,0.0196,0.0165,0.0174,0.021,0.0238,0.0259,0.0202,0.0317,0.0351,0.0178,0.0371,0.0281,0.0262,0.0301,0.0297,0.0261,0.0094,-0.0045,-0.0113,-0.0154,-0.0152,-0.0109,-0.0039,-0.0078,-0.0035
2000-04-30,42.4904,141.1593,NO,0.0579,,0.0352,0.0311,0.0268,0.0272,0.0212,0.015,0.0098,0.0087,0.0055,0.0016,0.0002,-0.0023,-0.0021,-0.0063,-0.0048,-0.0055,-0.007,-0.0069,-0.0065,-0.007,-0.0038,-0.0035,-0.0056,-0.0034,0.0117,0.0158,0.0112,0.0119
2000-04-30,42.4904,141.1593,O,0.0639,0.0384,0.0362,0.0299,0.0282,0.0198,0.0154,0.0068,0.002,-0.0029,-0.0035,-0.0073,-0.0111,-0.0113,-0.0113,-0.0108,-0.0077,-0.005,0.002,0.002,0.0061,0.0105,0.0104,0.0056,0.0038,0.0005,0.0019,-0.0023,-0.0012,-0.002
2000-04-30,42.4904,141.1593,S,,0.0755,0.075,0.0392,0.0161,0.0156,0.0024,-0.0059,-0.0039,0.003,0.012,0.0028,0.0062,0.0149,0.0037,-0.0035,0.0016,-0.0013,-0.0118,-0.0022,-0.0019,0.0098,0.0026,0.0059,0.0031,0.0064,0.0073,0.0082,0.0051,0.0068
2000-04-30,42.4904,141.1593,SE,0.121,0.0905,0.0699,0.0202,-0.0122,-0.0133,-0.0142,-0.015,-0.0151,-0.016,-0.0128,-0.0169,-0.0167,-0.0166,-0.0107,-0.0173,-0.0134,0.0051,-0.0026,0.002,-0.0096,-0.0084,-0.0002,-0.0028,-0.0042,0.0017,-0.0071,-0.0074,-0.0023,-0.004
2000-04-30,42.4904,141.1593,SO,0.0845,0.0587,0.0429,0.0256,0.009,-0.0063,-0.017,-0.0121,-0.0086,-0.0086,-0.008,-0.0118,-0.0075,-0.0064,-0.0054,-0.0034,0.0012,0.0019,0.0035,0.0028,0.0081,0.0065,0.0068,0.0019,-0.0025,-0.0012,-0.004,-0.0049,-0.0015,-0.0034
2001-04-17,42.4904,141.1593,E,0.1094,0.0999,,,,,,,,,-0.001,-0.0032,,,-0.0053,-0.0071,-0.0097,-0.0103,-0.0107,-0.0078,-0.0076,-0.0093,-0.0062,-0.0022,0.0008,0.0017,0.0114,0.0047,0.0057,0.0154
2001-04-17,42.4904,141.1593,N,,0.0892,0.0751,0.0551,0.0467,0.0392,0.0284,0.0267,0.0179,0.0077,0.0138,0.0144,0.0111,0.0164,0.012,0.0112,0.0108,0.0051,0.0091,0.0016,0.0003,1e-04,0.0009,-0.0035,-0.0005,-0.0027,-0.006,-0.0097,-0.0093,-0.0051
2001-04-17,42.4904,141.1593,NE,0.075,,0.0752,,,,,,,,,-0.02,0.0081,-0.0038,-0.0151,0.0129,0.0247,0.0016,0.0087,0.0299,0.021,0.0179,0.0017,-0.0103,-0.0077,-0.0073,-0.0053,-0.0044,-0.0062,-0.0016
2001-04-17,42.4904,141.1593,NO,0.0552,,0.0287,0.0278,0.0185,0.0203,0.0196,0.0134,0.0074,0.0026,0.0032,-0.0015,-0.0015,-0.0035,-0.0037,-0.0032,-0.0031,-0.0073,-0.0081,-0.0074,-0.006,-0.0025,0.0005,-0.006,-0.0017,0.0032,0.0103,0.0153,0.0103,0.0097
2001-04-17,42.4904,141.1593,O,0.0537,0.0315,0.0259,0.0162,0.0112,0.0076,0.011,0.002,-0.0039,-0.0083,-0.0089,-0.0052,-0.0018,-0.0015,-0.0026,-0.0028,-0.0038,-0.0008,-0.0002,0.0037,0.0092,0.011,0.0105,0.0047,0.0023,-0.0015,-0.0015,-0.0025,-0.0027,-0.0035
2001-04-17,42.4904,141.1593,S,,0.0623,0.0615,0.0295,-0.0132,-0.0141,0.0034,-0.0024,-0.0039,0.0059,0.0085,0.001,0.0015,0.0055,0.0011,-0.0071,-0.0015,-0.0033,-0.0076,-0.005,-0.0029,0.0118,0.0043,0.0059,0.0033,0.0034,0.0059,0.0064,0.0046,0.0122
2001-04-17,42.4904,141.1593,SE,0.0792,0.0567,0.0393,,,,,,,,,-0.0215,-0.0117,-0.0152,-0.0153,-0.0093,-0.0004,-0.0022,0.0097,0.0098,0.0102,0.0018,-0.0017,-0.0083,-0.0095,-0.015,-0.0148,-0.0144,-0.0145,-0.0146
