date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-07,-9.228,33.7883,E,,0.0967,0.1065,0.075,0.1134,0.0902,0.0662,0.0422,-0.018,-0.0207,-0.0177,-0.023,-0.0213,-0.0185,-0.0162,-0.0357,-0.0384,-0.0309,-0.0309,-0.0321,-0.0235,-0.0123,0.048,0.0641,0.0519,0.0313,0.0345,0.0271,0.0191,0.0234
2000-09-07,-9.228,33.7883,N,,0.1344,0.1135,0.0755,0.0436,0.008,-1e-04,-0.0066,-0.0082,-0.0043,0.0145,0.0182,0.0211,0.0085,-0.0134,-0.0075,-0.0066,-0.0101,-0.0069,-0.0079,0.0048,0.0123,0.0122,0.0109,0.0059,-0.0046,-0.0062,-0.0024,-0.0233,-0.0219
2000-09-07,-9.228,33.7883,NE,,0.1484,0.1623,0.132,0.1072,0.0707,0.0595,0.0428,0.032,0.0266,0.0377,0.037,0.0371,0.0205,0.014,-0.0158,-0.0278,-0.0355,-0.0368,-0.0598,-0.0184,-0.0181,0.0138,-0.0083,-0.0158,-0.0114,0.0019,0.0188,0.0091,0.0219
2000-09-07,-9.228,33.7883,NO,,0.1276,0.1153,0.0714,0.0409,0.047,0.0408,0.0391,0.0303,0.03,0.0344,0.0297,0.0277,0.0228,0.0344,0.0328,0.021,0.0162,0.0153,0.0063,0.0024,-0.0106,-0.0167,-0.0158,-0.0132,-0.0175,-0.0181,-0.0211,-0.025,-0.0272
2000-09-07,-9.228,33.7883,O,0.1062,0.0952,0.0793,0.0565,0.0518,0.0442,0.037,0.0269,0.0231,0.0118,0.0095,0.0168,0.03,0.0259,-0.0065,-0.0073,-0.0008,0.0003,-0.0048,-0.0065,-0.0061,-0.0077,-0.0059,-0.0107,-0.0096,-0.0078,-0.0088,-0.0061,-0.0106,-0.0124
2000-09-07,-9.228,33.7883,S,0.1029,0.0647,0.0524,0.0475,0.0261,0.0213,0.0093,-0.0015,-0.013,-0.0238,-0.022,-0.0294,-0.0298,-0.0234,-0.0188,-0.0068,-0.013,-0.0064,-0.0053,0.0004,0.0033,-0.0011,0.0045,0.005,0.0072,0.0072,-0.0035,-0.0006,0.0066,0.0022
2000-09-07,-9.228,33.7883,SE,,0.0288,0.0127,-0.0188,-0.0032,0.0138,0.0357,-0.0024,0.0121,-0.0023,0.0018,0.0003,-0.0055,-0.0123,-0.0128,-0.023,-0.02,-0.0102,-0.0021,0.0018,0.0121,0.0138,0.0115,0.0182,0.0023,-0.001,-0.0022,-0.0129,-0.0125,-0.0045
2000-09-07,-9.228,33.7883,SO,,0.0955,0.0711,0.0405,0.0196,-0.0084,-0.0118,-0.0029,0.0049,0.0112,0.015,0.0128,0.0049,0.0115,0.0049,0.0047,0.006,0.0102,-0.0033,0.0053,-0.0026,-0.0058,-0.008,-0.0053,-0.006,0.0055,-0.0042,0.002,0.009,0.0162
2000-10-09,-9.2252,33.794,E,,0.179,0.116,0.0732,0.0343,0.0697,0.1064,0.1183,0.1239,0.1181,0.1325,0.1467,0.161,0.1318,0.1225,0.0542,0.0182,0.0235,0.0207,0.0024,-0.0073,-0.0199,-0.0165,-0.0321,-0.0717,-0.0615,-0.0564,-0.0754,-0.0933,-0.1094
2000-10-09,-9.2252,33.794,N,0.3029,0.2466,0.1298,0.0584,0.0299,0.0231,0.0153,-0.0248,-0.0028,-0.0025,0.0145,0.0248,0.0054,0.009,0.0058,0.0027,-0.0134,-0.0046,-0.0082,0.0016,-0.0003,-0.0072,-0.0065,-0.0076,-0.0121,-0.0104,-0.0086,-0.0114,-0.0122,-0.0157
2000-10-09,-9.2252,33.794,NE,,0.2869,0.2102,0.1507,0.134,0.0483,0.0886,0.0068,0.0682,0.004,-0.0047,-0.0133,-0.014,-0.0265,-0.0269,-0.0264,-0.0226,-0.0205,-0.0098,0.0048,0.0086,0.0092,0.007,0.0016,-0.0075,-0.0013,0.0003,0.0019,0.0107,-0.001
2000-10-09,-9.2252,33.794,NO,,0.3438,0.3527,0.3225,0.2737,0.1498,0.043,0.0138,0.0089,0.029,0.0166,-0.0039,0.0018,-0.0123,0.0065,-0.0204,-0.0192,-0.0115,-0.0234,-0.0181,-0.0135,-0.0109,-0.0073,0.0157,0.01,0.0113,0.006,0.0091,-0.0017,0.024
2000-10-09,-9.2252,33.794,O,0.3334,0.3191,0.3118,0.2501,0.1606,0.0881,0.0316,0.0186,0.0132,0.0133,0.0045,0.017,0.0284,0.0202,0.0068,-0.0052,0.0066,0.0052,-0.0029,-0.006,-0.0121,-0.013,-0.0123,-0.0046,-0.0105,0.0034,0.0026,-0.0048,-0.009,-0.0018
2000-10-09,-9.2252,33.794,S,,0.2522,0.1882,0.0916,0.007,-0.0257,-0.0259,-0.037,-0.032,-0.0321,-0.0322,-0.0183,-0.0211,-0.0189,-0.024,-0.0425,-0.0486,-0.0402,-0.0402,-0.0365,-0.0313,-0.0272,0.0027,0.0324,0.0591,0.0743,0.0512,0.0197,0.0201,-0.0042
2000-10-09,-9.2252,33.794,SE,,0.0888,0.048,0.0523,-0.0395,-0.0933,-0.0848,-0.0506,-0.0249,0.0022,0.0371,0.0431,0.0799,0.0573,0.0649,0.0823,0.0867,0.0744,0.0377,0.0233,0.0259,-0.0015,-0.0053,0.0,-0.0005,-0.0072,-0.0155,-0.0241,-0.054,-0.0536
2000-10-09,-9.2252,33.794,SO,,0.234,0.1615,0.0938,0.0396,-0.0274,-0.0598,-0.0616,-0.0672,-0.0623,-0.0459,-0.0368,-0.0385,-0.043,-0.0314,-0.0431,-0.038,-0.0357,-0.0255,-0.0143,-0.005,-0.0025,0.022,0.0132,0.0259,0.0157,0.0263,0.0103,-0.0045,0.0059
2001-09-10,-9.2282,33.7883,E,,0.173,0.168,0.1605,0.1032,0.1185,0.0938,0.0651,0.027,-0.0233,-0.0272,-0.0366,-0.0434,-0.0431,-0.0326,-0.0228,-0.0281,-0.0244,-0.0204,-0.0122,0.0065,0.01,0.0187,0.0544,0.0565,0.0455,0.0191,-0.0012,-0.0353,-0.0524
2001-09-10,-9.2282,33.7883,N,,0.2418,0.1962,0.1069,0.066,0.0347,0.0253,0.0176,0.0151,0.0126,0.0257,0.0258,0.025,-0.0014,-0.0087,-0.0077,-0.0051,-0.0016,-0.0031,-0.0075,0.0054,0.0005,-0.0097,-0.0144,-0.0166,-0.0163,-0.0191,-0.0264,-0.0249,-0.0236
2001-09-10,-9.2282,33.7883,NE,,0.17,0.1801,0.184,0.1409,0.0535,0.0429,0.0206,0.0141,0.0147,0.0171,0.0304,0.0326,0.0205,0.0072,-0.0083,-0.0206,-0.0245,-0.0392,-0.0427,-0.0077,-0.0224,-1e-04,0.0104,0.0065,0.0321,0.0029,0.0027,-0.0114,-0.0096
2001-09-10,-9.2282,33.7883,NO,,0.2507,0.2096,0.1316,0.1076,0.0944,0.0772,0.063,0.0558,0.0479,0.0424,0.0379,0.0316,0.045,0.0346,0.0253,0.0177,0.0115,0.0086,-0.0032,-0.0091,-0.0186,-0.019,-0.0203,-0.0141,-0.0239,-0.0228,-0.028,-0.0286,-0.0269
2001-09-10,-9.2282,33.7883,O,0.2316,0.2084,0.1743,0.1361,0.1058,0.0833,0.0692,0.0595,0.0493,0.0299,0.0429,0.047,0.0375,0.0057,-0.003,0.0016,-0.0069,-0.0126,-0.0132,-0.0171,-0.0154,-0.0102,-0.0041,-0.0037,-0.0012,-0.0,-0.001,-0.005,-0.0081,-0.0036
2001-09-10,-9.2282,33.7883,S,0.1331,0.0634,0.0663,0.0538,0.0321,0.0238,0.0146,-0.0017,-0.0286,-0.0351,-0.0205,-0.036,-0.0383,-0.0462,-0.0324,-0.0189,-0.0326,-0.028,0.0106,-0.0282,-0.0222,-0.0053,-0.0017,-0.0042,0.0041,0.0109,0.0262,0.0277,0.0311,0.0134
2001-09-10,-9.2282,33.7883,SE,,0.1137,0.0837,0.0223,0.0495,0.016,0.0432,0.0111,0.0062,0.0025,-0.0105,-0.0184,-0.0159,-0.0135,-0.0308,-0.0246,-0.0169,-0.0152,-0.0056,0.0102,0.0335,0.0391,0.0485,0.0426,0.0203,-0.031,-0.0598,-0.0513,-0.0245,-0.0394
2001-09-10,-9.2282,33.7883,SO,,0.1831,0.128,0.0517,0.0121,-0.001,0.0006,0.0108,0.0198,0.0256,0.02,0.0105,-0.0088,0.005,0.0175,0.0185,0.0452,0.0476,0.0179,0.0046,-0.0019,-0.0077,-0.0113,-0.0069,0.002,0.007,-0.0079,0.0002,0.0134,0.0225
2001-09-26,-9.2282,33.7883,E,,0.112,0.1199,0.124,0.0843,0.1237,0.132,0.1128,0.0555,-0.0234,-0.048,-0.0449,-0.0608,-0.0499,-0.039,-0.0262,-0.044,-0.0449,-0.0487,-0.0361,-0.0299,-0.0433,-0.0369,0.0078,0.0381,0.0454,0.0462,0.0581,0.0456,0.039
2001-09-26,-9.2282,33.7883,N,,0.2055,0.1666,0.0831,0.0426,0.0268,0.0037,-0.0056,-0.0096,0.0013,0.0106,0.0076,0.0064,0.0023,-0.0147,-0.0067,-0.0091,-0.0079,-0.0077,-0.0097,0.0018,0.013,0.0145,0.011,0.0073,-0.0044,-0.0054,-0.0004,-0.0246,-0.0263
2001-09-26,-9.2282,33.7883,NE,,0.1491,0.1613,0.1715,0.1452,0.0723,0.068,0.0372,0.0235,0.022,0.0189,0.0342,0.0376,0.0305,0.0174,-0.0013,-0.0255,-0.0276,-0.0447,-0.0516,-0.0185,-0.032,0.0092,-0.0056,-0.0069,0.0032,-0.0129,0.004,0.0161,0.0192
2001-09-26,-9.2282,33.7883,NO,,0.2138,0.1794,0.1064,0.0927,0.0837,0.0636,0.051,0.0413,0.0366,0.0354,0.0393,0.0303,0.0416,0.0451,0.0327,0.0293,0.026,0.0149,-0.0009,-0.0128,-0.026,-0.0127,-0.0109,-0.0063,-0.0165,-0.022,-0.0265,-0.0309,-0.0317
2001-09-26,-9.2282,33.7883,O,0.1864,0.1568,0.1287,0.0993,0.0747,0.0618,0.0476,0.0336,0.0268,0.0073,0.0235,0.0348,0.0321,0.0012,0.0013,-0.003,-0.0017,-0.0042,-0.0031,-0.0066,-0.0071,-0.0092,-0.0141,-0.016,-0.0158,-0.0155,-0.0145,-0.0182,-0.0184,0.0227
2001-09-26,-9.2282,33.7883,S,0.1634,0.0858,0.0792,0.0471,0.0219,0.0125,0.0057,-0.0098,-0.0256,-0.0221,-0.0257,-0.035,-0.0391,-0.0387,-0.0281,-0.0122,-0.016,-0.0176,0.0169,-0.0116,-0.0004,0.0005,0.0053,0.0073,0.0084,0.0095,0.0057,0.0051,0.0065,0.0054
2001-09-26,-9.2282,33.7883,SE,,0.0007,-0.0234,-0.0608,-0.0362,-0.0305,-0.0079,-0.0142,0.0214,0.0031,-0.0013,-0.0161,-0.0093,0.0024,-0.0244,-0.0275,-0.0317,-0.0177,-0.0108,-1e-04,0.0117,0.0112,0.0098,0.0142,0.0214,0.009,0.0004,-0.0033,0.0074,0.0021
2001-09-26,-9.2282,33.7883,SO,,0.1683,0.1064,0.0433,0.008,-0.0221,-0.0101,0.0098,0.0086,0.0195,0.012,0.0122,0.0029,0.0103,0.0083,0.0131,0.0275,0.0228,0.0248,0.0057,-0.0044,-0.0164,-0.015,-0.0133,-0.0097,-0.0025,-0.0124,-0.0053,0.0139,0.0369
2001-10-28,-9.2293,33.7883,E,,0.1777,0.1726,0.1426,0.1284,0.0928,0.0943,0.0899,0.081,0.1171,0.1137,0.0682,0.0332,-0.0439,-0.0813,-0.0781,-0.0953,-0.085,-0.0373,-0.0258,-0.0314,-0.0567,-0.0557,-0.0386,-0.0354,-0.0398,-0.0289,0.0224,0.0492,0.0584
2001-10-28,-9.2293,33.7883,N,,0.2695,0.1839,0.1067,0.0485,0.0181,0.0076,0.0056,0.0032,0.0028,0.0155,0.0268,0.0219,0.0143,-0.0092,-0.0059,-0.004,-0.0059,-0.0011,-0.003,-0.0058,-0.0047,-0.0068,-0.0151,-0.0092,-0.0088,-0.005,-0.0127,-0.0191,-0.02
2001-10-28,-9.2293,33.7883,NE,,0.2533,0.2391,0.1806,0.1143,0.0828,0.0919,0.0555,0.0291,0.0146,0.0075,0.0085,0.0096,0.017,0.0143,0.0043,-0.0013,-0.0153,-0.0116,-0.0267,-0.0273,-0.0218,-0.0121,0.0105,-0.0144,-0.0094,-0.0065,-0.0002,-0.0187,-0.0158
2001-10-28,-9.2293,33.7883,NO,,0.3114,0.2666,0.1766,0.0987,0.0803,0.0615,0.0432,0.0406,0.0515,0.0528,0.0439,0.0417,0.0334,0.0256,0.0113,0.0149,0.0072,-0.0044,0.0077,0.0052,0.0043,-0.0,-0.0157,-0.024,-0.0285,-0.0316,-0.0275,-0.0276,-0.0359
2001-10-28,-9.2293,33.7883,O,0.2874,0.2545,0.2092,0.1428,0.081,0.0459,0.0533,0.0455,0.0417,0.002,0.0013,-0.0006,0.0003,-0.0003,0.0025,0.0023,-0.0005,-0.0068,-0.018,-0.0214,-0.0243,-0.0266,-0.0262,-0.0261,-0.0258,0.0048,0.0046,0.0085,0.0178,0.0175
2001-10-28,-9.2293,33.7883,S,0.1014,0.0149,-0.0346,-0.1125,-0.1807,-0.1507,-0.1456,-0.0759,-0.0375,0.0129,-0.0067,-0.0233,-0.0208,-0.0159,0.0086,0.0353,0.0398,0.0455,0.0274,0.0467,0.0375,0.0439,0.0032,0.0089,0.0092,0.0049,-0.0007,-0.0054,-0.0087,-0.0079
2001-10-28,-9.2293,33.7883,SE,,0.1614,0.1045,-0.016,-0.015,-0.032,-0.0371,-0.0622,-0.0689,-0.0438,-0.0358,-0.0335,-0.0692,-0.083,-0.0709,-0.0794,-0.0796,-0.0708,-0.0446,-0.0397,-0.0212,0.0144,0.0419,0.0254,0.0647,0.055,0.0503,0.0506,0.0428,0.0248
2001-10-28,-9.2293,33.7883,SO,,0.3265,0.3025,0.2467,0.17,0.1195,0.0905,0.0608,0.0214,0.0056,-0.0127,0.005,0.0149,0.0531,0.047,0.0378,-0.0059,-0.0198,-0.0094,-0.0275,-0.0315,-0.0403,-0.0484,-0.06,-0.067,-0.0379,-0.0037,0.0477,0.0585,0.0465
2002-07-11,-9.2282,33.7883,E,,0.0767,0.0762,0.0682,0.0346,0.0642,0.0573,0.0426,0.0337,-0.0149,-0.0122,-0.0107,-0.0177,-0.0091,0.0013,0.0049,-0.0172,-0.0138,-0.0133,-0.0092,-0.0104,-0.0151,-0.0102,0.0149,0.0201,0.0144,0.0152,0.0152,0.0131,0.0082
2002-07-11,-9.2282,33.7883,N,,0.1053,0.091,0.0461,0.0226,0.0068,-0.0021,-0.0079,-0.0085,-0.0,0.0203,0.0202,0.0182,0.0034,-0.0123,-0.0104,-0.0113,-0.013,-0.0069,-0.0069,0.0019,0.0167,0.019,0.017,0.0129,-0.007,-0.007,-0.0017,-0.0201,-0.0206
2002-07-11,-9.2282,33.7883,NE,,0.0903,0.0836,0.0717,0.051,0.0189,0.0354,0.0193,0.0109,0.0105,0.006,0.0145,0.0172,0.0097,0.0097,0.0005,-0.0055,-0.0158,-0.0153,-0.0186,-0.0023,0.0021,0.0087,0.0119,-0.007,-0.0083,-0.0022,-0.0002,0.0087,0.0106
2002-07-11,-9.2282,33.7883,NO,,0.1131,0.0955,0.0545,0.041,0.0336,0.0271,0.0276,0.0228,0.0261,0.028,0.025,0.0196,0.0077,0.006,0.0039,0.0057,0.0113,0.0073,0.003,-0.0048,-0.0075,-0.0079,-0.0088,-0.0099,-0.012,-0.0129,-0.0129,-0.0162,-0.0171
2002-07-11,-9.2282,33.7883,O,0.0794,0.0712,0.0482,0.0394,0.032,0.0229,0.0189,0.0104,0.0061,-0.001,0.0149,0.0301,0.027,-0.0018,-0.0032,-0.0031,-0.0037,-0.0016,-0.0015,-0.0008,-0.0034,-0.0018,-0.0021,-0.0043,-0.0054,-0.0072,-0.0019,-0.0071,-0.0097,0.0175
2002-07-11,-9.2282,33.7883,S,0.0328,-0.001,0.0169,0.0268,0.0131,0.0125,0.0054,0.0035,-0.0092,-0.0141,-0.0049,-0.0155,-0.0115,-0.0113,-0.0075,-0.0018,0.0132,0.0111,0.0076,0.0018,0.0043,0.0043,0.003,0.0036,0.0026,-0.0026,-0.0012,-0.0019,0.0011,0.0002
2002-07-11,-9.2282,33.7883,SE,,0.0144,0.0049,-0.0081,-0.0012,-0.0037,0.0194,0.0002,0.0075,0.001,0.0044,-0.0075,-0.0022,0.0006,-0.0065,-0.0049,-0.0094,-0.0133,-1e-04,0.0014,0.0074,0.0099,0.0105,0.0132,0.0073,0.0052,0.0011,-0.0036,0.0007,0.0007
2002-07-11,-9.2282,33.7883,SO,,0.0649,0.0582,0.0394,0.0255,0.0178,0.0102,0.0061,0.0117,-0.002,-0.0079,-0.0068,-0.0061,-0.0034,-0.0062,-0.0156,-0.0112,-0.0111,-0.0163,-0.0021,0.0055,0.0002,-0.0,0.0092,0.0141,0.0121,0.0005,0.016,0.0062,0.0014
2004-08-17,-9.228,33.7883,E,,0.1301,0.1293,0.0809,0.0958,0.0922,0.0688,0.0527,-0.0133,-0.0183,-0.0172,-0.0194,-0.0192,-0.0118,-0.0064,-0.0267,-0.0348,-0.0343,-0.0595,-0.0343,-0.0247,-0.0218,0.0102,0.0195,0.0244,0.0283,0.0351,0.0262,0.0067,0.0109
2004-08-17,-9.228,33.7883,N,,0.1685,0.1323,0.0913,0.0604,0.0118,-0.0002,-0.006,-0.007,-0.006,0.0137,0.0177,0.0177,0.0043,-0.0175,-0.0139,-0.0109,-0.0104,-0.0059,-0.0059,0.0078,0.017,0.0132,0.0114,0.0055,-0.0041,-0.0092,-0.0058,-0.0248,-0.0246
2004-08-17,-9.228,33.7883,NE,,0.1668,0.1898,0.149,0.1233,0.0517,0.041,0.0148,0.0126,0.0114,0.0308,0.0314,0.0253,0.0155,-0.0039,-0.02,-0.0362,-0.0356,-0.0346,-0.0277,-0.0038,-0.0174,-0.0104,-0.0054,-0.0057,0.0123,-0.0048,0.0024,-0.0011,0.0085
2004-08-17,-9.228,33.7883,NO,,0.1791,0.1634,0.0979,0.0569,0.0542,0.0465,0.0378,0.0298,0.028,0.0298,0.0332,0.0267,0.0268,0.0304,0.0288,0.0139,0.0196,0.0158,0.0102,0.0035,-0.0065,-0.0086,-0.0177,-0.0115,-0.0139,-0.0199,-0.0213,-0.025,-0.0274
2004-08-17,-9.228,33.7883,O,0.1602,0.1546,0.1314,0.1108,0.0988,0.0722,0.0553,0.0354,0.0211,0.008,0.0095,0.0113,0.0257,0.0238,0.0323,0.0104,-0.0094,-0.0064,-0.0089,-0.007,-0.0045,-0.006,-0.0048,-0.0099,-0.0081,-0.0078,-0.0101,-0.0047,-0.0097,-0.0122
2004-08-17,-9.228,33.7883,S,0.0971,0.0406,0.018,0.0297,0.0187,0.0269,0.017,0.0131,-0.0017,-0.0259,-0.0179,-0.0189,-0.0241,-0.0198,-0.019,-0.0114,-0.013,-0.0097,-0.0075,-0.0114,-0.0065,0.0025,0.0051,-0.0047,0.0065,0.0036,-0.0012,0.0059,0.0036,0.0054
2004-08-17,-9.228,33.7883,SE,,0.0643,0.0595,0.0168,0.0122,0.0097,0.0325,-0.0094,-0.0061,-0.0061,0.0007,-0.0152,-0.0042,-0.0121,-0.0067,-0.0088,-0.0059,-0.0091,0.0002,0.0063,0.0116,0.0131,0.0035,0.0063,-0.0047,-0.0077,-0.0031,-0.0051,0.0022,0.0102
2004-08-17,-9.228,33.7883,SO,,0.1268,0.0915,0.0388,0.011,-0.0076,-0.0052,-0.0016,-0.0053,0.012,0.009,0.0019,0.0046,0.0059,0.0059,0.0116,0.0295,0.0291,0.0184,0.0186,-0.0045,-0.0043,-0.0025,-0.002,-0.0012,-0.0014,-0.0013,-0.0002,0.0017,-0.0077
