date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-06,-8.9489,148.15,E,,0.0125,,0.0044,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-06,-8.9489,148.15,N,,0.0268,0.0203,0.0159,0.0083,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-06,-8.9489,148.15,NE,0.0274,0.0204,0.0155,0.0104,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-06,-8.9489,148.15,NO,0.0342,0.039,0.0325,0.0358,0.0321,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-06,-8.9489,148.15,O,,-0.0032,-0.0153,-0.0119,-0.0163,-0.0125,0.0006,,,,,,,,,,-0.0215,,,,,,,,,,,,,
2000-02-06,-8.9489,148.15,S,,0.0191,0.0187,0.0184,0.019,0.0144,0.0158,0.0118,0.0121,0.011,0.0056,0.0011,0.0033,-0.0046,-0.0007,-0.0073,-0.0045,-0.0038,-0.0071,-0.0095,-0.0098,-0.0093,0.0012,0.0139,0.0242,,,,,
2000-02-06,-8.9489,148.15,SE,0.0022,0.0059,-0.0046,-0.0138,,,,,,,,,,,,,,,,,0.0004,-0.0018,0.0045,-0.0029,-0.0022,-0.0018,,,,
2000-02-06,-8.9489,148.15,SO,0.0188,0.0184,0.016,0.0107,0.0138,0.0133,0.0188,0.0123,0.0048,0.002,-0.0072,-0.005,-0.0064,-0.0078,0.0051,0.0046,0.0041,0.0056,-0.0009,-0.0084,,,,-0.0051,,,,,,
2000-07-31,-8.9522,148.147,E,0.0072,0.0057,0.0058,0.0018,-0.0004,0.0002,0.0007,-0.0039,-0.0034,-0.0033,-0.0038,0.0021,0.0023,0.0027,0.0003,-0.0003,-0.0016,-0.0012,-0.0016,0.0028,0.0027,0.0026,0.002,-0.0021,0.0006,0.003,0.0,0.0,0.0009,0.002
2000-07-31,-8.9522,148.147,N,-0.0014,-0.0013,0.0012,-0.0011,0.0006,0.0019,0.0043,-0.001,-0.0004,-0.0,-0.0003,0.0044,0.0033,0.0031,0.01,0.0128,0.013,0.0122,0.0196,0.0168,0.0106,-0.0072,-0.0039,-0.0049,-0.0086,-0.0076,-0.0101,-0.0124,-0.0123,-0.0124
2000-07-31,-8.9522,148.147,NE,,0.0113,0.0145,0.0155,0.0141,0.0097,0.0092,0.0085,0.0064,0.0041,-0.0037,-0.0049,-0.0028,-0.0016,-0.002,-0.0053,-0.0054,-0.0127,-0.0119,-0.0109,-0.0096,-0.0077,-0.0061,-0.0042,-0.0027,-0.0016,-0.0005,0.0017,0.0025,0.0043
2000-07-31,-8.9522,148.147,NO,,0.0335,0.0272,0.0265,0.0206,0.022,0.0196,0.0151,0.0017,-0.0045,0.0015,-0.0105,-0.011,-0.0083,-0.0011,0.0013,-1e-04,0.0045,0.0011,0.0014,-0.0019,0.0043,0.0045,-0.0008,-0.0068,-0.0047,-0.0054,-0.0045,0.0013,0.0013
2000-07-31,-8.9522,148.147,O,,0.0155,0.0125,0.008,0.0007,-0.0024,-0.0067,-0.0117,-0.0163,-0.0237,-0.0216,-0.0195,-0.0162,-0.0133,-0.0087,-0.0064,-0.0063,-0.0032,-0.0017,0.0002,0.001,-0.0005,-0.0035,-0.0033,0.0009,0.0053,0.0088,0.0151,0.0147,0.0111
2000-07-31,-8.9522,148.147,S,,-0.0003,-0.0098,-0.0101,-0.0057,-0.0095,-0.0138,-0.0128,-0.0056,-0.0062,-0.0016,-0.0024,-0.0048,-0.0057,-0.0021,-0.0008,0.0053,0.0051,0.0018,0.0025,0.0014,-0.0004,0.0022,0.0011,-0.0012,-0.003,-0.0024,-0.0039,-0.0038,-0.0018
2000-07-31,-8.9522,148.147,SE,,-0.0008,-0.0006,-0.001,-0.0066,-0.0026,-0.0081,-0.0018,-0.0033,-0.0026,-0.0064,-0.0096,-0.0056,-0.0025,0.0034,0.0046,0.0043,0.0017,0.0014,0.0013,0.0015,0.0036,0.0033,0.002,0.001,0.0008,-0.0011,-0.0043,-0.0022,0.0003
2000-07-31,-8.9522,148.147,SO,0.0086,0.0073,0.0035,0.0002,-0.006,-0.0122,-0.0094,-0.0041,0.0008,0.0021,0.0051,0.0011,0.0002,-0.0003,-0.0032,-0.0059,-0.0033,-0.0059,-0.0043,-0.0013,-1e-04,0.0012,0.0018,0.0004,0.0004,-0.0051,-0.0018,-0.0004,0.0045,0.0062
2001-10-22,-8.9492,148.1487,E,0.0131,0.0133,0.0132,0.0132,0.0075,0.0117,0.0118,0.0063,0.0066,0.0018,-0.0038,-0.0082,-0.0099,-0.0071,-0.0059,-0.001,0.0084,0.0076,0.0021,0.0018,0.0019,0.0007,0.0008,-0.0034,0.0019,0.0013,0.0006,-0.0037,-0.0092,-0.0101
2001-10-22,-8.9492,148.1487,N,0.0198,0.0136,0.0113,0.0044,-0.0011,-0.0083,-0.0025,0.0005,0.0007,-0.0013,0.0,0.0021,0.0025,0.0015,-0.0008,-0.009,-0.0086,-0.0082,-0.0079,-0.0074,-0.0067,-0.0059,-0.0024,-0.0019,-0.0002,0.0004,0.0007,0.0058,0.0066,0.011
2001-10-22,-8.9492,148.1487,NE,,0.0195,0.0172,0.011,0.0115,0.0056,-0.0028,-0.0131,-0.0071,-0.0053,0.0002,0.0067,0.0038,0.0015,0.0013,0.0028,0.0047,0.002,0.0028,0.0039,0.0031,-0.001,-0.0013,-0.0062,-0.0061,-0.0056,-0.0027,-0.0044,-0.004,-0.0036
2001-10-22,-8.9492,148.1487,NO,,0.0154,-0.0067,-0.0122,-0.0098,-0.0023,0.0094,0.0067,0.0039,0.0011,0.0044,0.0097,0.0042,-0.0036,-0.0107,-0.0138,-0.0083,-0.0073,-0.0061,-0.001,-0.0008,0.0043,-0.001,0.0043,0.0037,0.0034,-0.0016,0.0008,0.0023,0.004
2001-10-22,-8.9492,148.1487,O,,0.0357,0.0187,0.0123,-0.001,0.0023,0.0075,0.0175,0.0202,0.019,0.0149,0.0112,0.0096,0.0035,0.0007,-0.0004,-0.0044,-0.0055,-0.0047,-0.0042,-0.004,-0.0057,-0.005,-0.0047,-0.0041,-0.004,-0.0039,-0.0033,-0.0042,-0.0034
2001-10-22,-8.9492,148.1487,S,,0.0182,0.0134,0.0076,0.0052,0.0049,0.0078,0.0042,0.0018,0.0009,-0.0016,-0.0053,-0.0106,-0.0048,0.0064,0.0025,0.004,0.0007,0.0009,0.0012,0.001,0.0032,0.0032,0.0003,0.0002,-0.0003,-0.0013,-0.0016,-0.0023,-0.001
2001-10-22,-8.9492,148.1487,SE,,0.0107,0.0104,0.0047,-0.0011,-0.0016,0.0014,0.0034,0.0013,-0.0066,-0.0092,-0.0042,0.0065,0.0109,0.0096,0.0064,0.0045,0.0028,0.0035,0.0021,-0.0002,-0.0012,-0.0036,-0.0013,-0.0037,-0.0046,-0.0008,0.0002,0.004,0.0039
2001-10-22,-8.9492,148.1487,SO,0.0208,0.0206,0.018,0.0151,0.0108,0.0099,0.0102,0.0106,0.0101,0.0053,0.0037,0.0004,0.0004,0.0005,-1e-04,-0.0032,-0.0004,-0.0025,-0.0033,-0.0045,0.0006,0.0013,-0.0033,-0.0039,0.0014,0.0009,0.002,0.0025,0.0025,0.0056
2002-02-27,-8.9478,148.1487,E,0.0162,0.0003,0.0003,0.0014,0.0066,0.004,-0.0029,-0.0125,-0.0173,-0.0149,-0.015,1e-04,0.0031,0.0052,0.0072,0.0054,0.0005,0.0016,0.0048,0.0046,0.0074,0.0064,0.006,0.0043,-0.0033,-0.0067,-0.0058,-0.0089,-0.0056,-0.0023
2002-02-27,-8.9478,148.1487,N,,,,,,,,,,,0.0029,-0.0004,-0.0002,-0.0002,-1e-04,0.0006,,,,,,,,,,,,,,
2002-02-27,-8.9478,148.1487,NE,,,,,,0.0331,0.0254,0.0213,0.0108,0.0034,-0.0026,-0.0142,-0.0139,-0.0147,-0.0133,-0.0057,-0.0042,-0.0031,-0.0096,0.003,0.0025,0.0253,0.0251,0.0227,0.0188,0.0147,0.0149,0.0145,0.0155,0.0088
2002-02-27,-8.9478,148.1487,NO,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002-02-27,-8.9478,148.1487,O,,0.0535,0.0437,0.0389,0.0379,0.0409,0.0399,0.0302,0.0163,0.0065,-0.0014,-0.0125,-0.0106,-0.0072,-0.0007,-0.0018,-0.002,-0.0082,-0.0089,-0.0103,-0.0074,0.0023,-1e-04,-0.0051,-0.0077,0.0007,0.0022,0.0045,0.0069,-0.0002
2002-02-27,-8.9478,148.1487,S,,0.0084,0.0037,0.0093,0.002,-0.0014,-0.0044,-0.0054,0.0006,0.0025,0.011,0.0169,0.0148,0.0152,0.0156,0.01,0.0102,0.0115,0.0121,0.0121,0.0039,-0.0037,-0.0033,-0.0019,-0.0014,-1e-04,0.0002,1e-04,-0.003,-0.0056
2002-02-27,-8.9478,148.1487,SE,,0.0088,-0.0,0.005,0.0003,-0.0054,-0.0044,-0.0034,0.0079,0.0284,0.0289,0.021,0.0131,0.0116,0.0111,0.0067,0.0079,0.0061,0.0018,-0.0009,-0.0035,-0.0011,-0.0047,-0.0085,-0.0118,-0.0076,-0.0008,0.0029,-0.001,-0.0116
2002-02-27,-8.9478,148.1487,SO,0.0203,0.004,0.0043,0.0045,0.0047,0.0047,0.0125,0.0128,0.0125,0.0048,-0.0032,-0.0033,-0.0035,-0.0037,-0.0019,0.0011,0.005,0.005,-0.0026,-0.0025,-0.0097,-0.0098,-0.0071,-0.0036,-0.003,0.0052,-0.0021,-0.0021,0.005,0.005
2002-05-18,-8.9522,148.147,E,0.0398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-18,-8.9522,148.147,N,0.0315,0.0239,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-18,-8.9522,148.147,NE,,0.0348,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-18,-8.9522,148.147,NO,,-0.0012,-0.0144,-0.0173,-0.0224,-0.0205,-0.0187,-0.0179,-0.0184,-0.0164,-0.0189,-0.0203,-0.0206,,,,,,,,,,,,-0.0036,-0.0038,0.0014,0.0072,0.0017,0.0111
2002-05-18,-8.9522,148.147,O,,0.0127,0.0008,-0.0092,-0.013,-0.0104,-0.0132,-0.0171,-0.0171,-0.0174,-0.0174,-0.0188,-0.0175,-0.0134,-0.0045,-0.0054,-0.0082,-0.0093,-0.007,-0.0024,0.0028,0.0035,0.0036,0.0007,0.0059,0.0114,0.0102,0.0105,0.0147,0.01
2002-05-18,-8.9522,148.147,S,,0.0099,-0.0063,-0.0138,-0.0144,-0.0136,-0.0133,-0.0133,0.0028,0.0152,0.0103,-0.0068,-0.009,-0.003,0.0007,-0.0029,0.0002,0.0091,0.0048,0.002,0.0028,0.0025,0.0026,-0.0065,-0.0111,-0.0032,-0.0029,-0.0029,0.0051,0.0051
2002-05-18,-8.9522,148.147,SE,,0.0305,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-18,-8.9522,148.147,SO,0.011,0.0014,-0.0055,-0.0072,-0.0195,-0.0202,-0.0195,-0.0186,-0.0111,-0.0068,-0.0028,-0.0037,0.0039,-0.0044,-0.0048,-0.0033,0.0043,0.0044,0.0032,0.0026,-0.0044,-0.0008,-0.0037,-0.0034,-0.0015,-0.0034,0.0033,0.003,0.0118,0.0134
2002-08-22,-8.9473,148.1492,E,,0.009,0.0048,0.0064,0.0102,0.0137,0.0085,0.0038,0.0014,-0.0003,0.0023,0.0016,0.0008,-0.0015,-0.0016,0.0046,0.0108,0.0142,0.0153,0.0097,0.0027,-0.0079,-0.0136,-0.0109,-0.0107,-0.0109,-0.0061,-0.001,0.0032,0.0045
2002-08-22,-8.9473,148.1492,N,,0.0038,-0.0079,-0.0172,-0.0128,-0.0097,-0.0072,-0.0023,0.002,0.004,0.0023,0.0042,0.0039,-0.002,-0.0017,-0.004,-0.006,-0.0085,-0.0105,-0.0099,-0.0083,-0.0067,-0.0062,-0.0052,-0.0053,-0.002,0.0038,0.0099,0.0146,0.016
2002-08-22,-8.9473,148.1492,NE,0.0165,0.0111,0.0119,0.0077,0.0058,-0.0025,0.0021,-0.0034,-0.0019,0.0039,0.0016,0.0037,0.0006,0.0027,-0.002,-0.0017,0.0025,0.0023,0.0006,0.0029,-0.0003,-0.005,-0.0052,-0.0047,-0.0038,-0.0026,-0.0018,0.0,0.0016,0.0027
2002-08-22,-8.9473,148.1492,NO,0.0155,0.015,-0.004,-0.0119,-0.029,-0.0202,-0.0177,-0.019,-0.0084,-0.0025,-0.003,-0.0042,-0.0036,0.0016,-0.0051,-0.0084,-0.0109,-0.0105,-0.0138,-0.0094,-0.0073,-0.0058,-0.0024,-0.0006,0.0031,-0.0006,0.0025,0.0088,0.0094,0.0058
2002-08-22,-8.9473,148.1492,O,,0.0247,0.0148,0.018,0.0089,0.0118,0.0112,0.0117,0.0111,0.0075,0.0033,0.0009,0.001,0.0006,0.0009,0.0005,0.006,0.0052,0.007,0.0075,0.007,0.0057,0.0039,0.002,-0.0048,-0.0052,-0.0147,-0.016,-0.0207,-0.0209
2002-08-22,-8.9473,148.1492,S,,0.0208,0.0061,0.0088,0.0031,0.0028,-0.0032,-0.0041,-0.0043,-0.0045,-0.0048,-0.0052,0.0006,0.0072,0.006,0.0039,0.0011,0.0011,-0.005,-0.0018,-0.0008,-0.0016,-0.0014,-0.0014,-0.0013,-0.0009,0.0035,0.0028,-0.0013,-0.0058
2002-08-22,-8.9473,148.1492,SE,0.0198,0.0087,0.0039,0.0045,0.0045,0.0039,-0.002,-0.0018,0.0026,0.0096,0.0033,0.0034,0.0036,0.0033,0.003,-0.0019,0.0024,-0.0026,0.0027,-0.0028,-0.0028,-0.0028,-0.0036,-0.0032,-0.0032,-0.0028,-0.0037,-0.0015,0.0026,-0.0006
2002-08-22,-8.9473,148.1492,SO,0.0279,0.0234,0.0143,0.0053,0.0111,0.0105,0.0093,0.0068,0.0074,0.0024,-0.0009,-0.0047,-0.0029,-0.0,0.0045,0.001,0.0004,0.003,0.0022,-0.001,0.0019,-0.0002,-0.0027,-0.0038,-0.0009,0.0026,0.005,-0.0015,-0.0021,-0.0006
