date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-06,-5.5221,148.4227,E,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-06,-5.5221,148.4227,N,0.0378,,0.0234,0.0406,0.0343,0.0344,0.0345,0.0433,0.0332,0.0225,0.0222,0.0227,0.0222,0.0358,0.0326,0.0239,0.0069,-0.0104,-0.0088,-0.0072,0.0004,-0.0041,-0.0068,-0.0035,-0.0013,-0.0043,-0.0162,-0.0211,-0.0263,-0.0255
2000-02-06,-5.5221,148.4227,NE,,,,,,,,,,,,,,,-0.0047,,-0.0035,0.005,-0.0113,-0.0056,-0.0016,0.0005,0.0036,0.0054,0.0062,0.0095,0.0009,0.0204,0.0176,0.0081
2000-02-06,-5.5221,148.4227,NO,,1e-04,-0.0155,-0.0233,-0.0141,-0.0047,-0.0033,-0.0023,0.0005,0.0147,0.0181,0.014,0.0085,0.0064,0.0063,0.0099,0.0143,0.0094,0.0017,-0.0052,-0.0087,-0.014,-0.0137,-0.0142,-0.0172,-0.0137,-0.0136,-0.0041,0.0026,0.0045
2000-02-06,-5.5221,148.4227,O,,0.0054,-0.0067,-0.0114,-0.0174,-0.0218,-0.0103,0.0111,-0.0079,0.0011,-0.011,0.0041,0.002,0.0064,0.0104,0.0009,0.0569,,,,,,,,,,,,,
2000-02-06,-5.5221,148.4227,S,0.1177,0.1089,0.0863,0.0476,0.0475,0.0548,0.0599,0.052,0.0418,0.0258,0.015,0.0059,0.0098,0.0132,0.0116,0.0034,0.0023,0.0033,0.0003,0.0004,-0.0037,0.0029,0.0028,0.0007,-0.0011,0.0011,0.0004,-0.0147,-0.0279,-0.0233
2000-02-06,-5.5221,148.4227,SE,,0.0964,0.0831,0.0368,0.045,,0.0497,,0.0547,0.0411,0.0334,0.0196,0.0119,0.0037,0.0084,0.0041,-0.0003,0.006,0.0046,0.0073,0.0038,-0.0009,-0.0102,-0.0077,-0.0055,-0.0045,-0.0084,-0.018,-0.0182,-0.0154
2000-02-06,-5.5221,148.4227,SO,,0.0581,0.0506,0.0446,0.0082,0.0113,0.0073,0.0054,0.0017,0.0027,0.0122,0.009,0.0124,0.0071,0.0032,-0.0042,-0.0087,-0.0114,-0.0127,-0.0141,-0.018,-0.022,-0.0126,-0.0134,-0.0061,-0.0025,0.0018,0.0044,-0.0022,0.0021
2000-04-10,-5.5256,148.4244,E,,0.0749,0.0581,0.0501,0.0434,0.0366,0.0288,0.0252,0.0143,0.0041,-0.0019,-0.0055,-0.0062,-0.0076,0.0089,0.0074,0.0011,-0.0014,0.0054,0.0058,0.0105,0.0128,0.0028,-0.0037,-0.0042,0.0089,0.0097,0.0137,0.0162,0.0149
2000-04-10,-5.5256,148.4244,N,0.0612,0.0431,0.0561,0.0796,0.0867,0.0852,0.0787,0.0785,0.0786,0.0681,0.0564,0.0446,0.0319,0.0219,0.0175,0.0059,-0.0024,-0.0131,-0.0142,-0.017,-0.0136,-0.0224,-0.0284,-0.0277,-0.0234,-0.013,-0.0128,-0.0163,-0.0083,-0.008
2000-04-10,-5.5256,148.4244,NE,,0.0812,0.074,0.0542,0.0517,0.0542,0.0561,0.0459,0.0452,0.0405,0.0388,0.0277,0.0132,0.0044,0.0063,0.0049,0.0063,-0.0053,-0.0032,-0.0014,-0.0082,-0.0063,0.0016,0.0053,-0.0011,-0.0089,-0.0143,-0.0309,-0.0236,-0.033
