date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-04-07,12.4951,-86.6863,E,0.3284,0.2915,0.1784,0.0156,0.0067,-0.0017,-0.0116,-0.0189,-0.0247,-0.0404,-0.0395,-0.0071,0.0049,0.0149,0.0387,0.0377,0.0403,0.0421,0.0314,0.0215,0.015,-0.0032,0.0092,-0.01,-0.016,0.0122,-0.011,-0.003,-0.0015,0.0039
2000-04-07,12.4951,-86.6863,N,,0.1931,0.1928,0.172,0.1864,0.1943,0.1904,0.1541,0.0861,0.0737,0.0586,0.0347,0.0205,0.0178,-0.0013,0.0058,-0.004,-0.0072,-0.0165,-0.0285,-0.0316,-0.0322,-0.0351,-0.0402,-0.0395,-0.0439,-0.0366,-0.0327,-0.026,-0.0301
2000-04-07,12.4951,-86.6863,NE,,0.2044,0.1841,0.0717,0.0157,-0.0316,-0.0208,-0.0266,0.0177,0.039,0.042,0.0242,0.0012,-0.0025,-0.0049,-0.0082,-0.009,-0.0156,-0.016,-0.022,-0.0222,-0.0145,-0.0067,-0.0042,-0.008,-0.0003,0.0032,-0.0002,0.0015,-0.0051
2000-04-07,12.4951,-86.6863,NO,0.3205,0.2923,0.2603,0.2296,0.2032,0.1939,0.1948,0.1112,0.0718,0.0296,0.0148,0.0086,0.0113,0.0141,-0.0095,-0.0072,-0.0251,-0.0212,-0.0337,-0.0314,-0.0341,-0.036,-0.0315,-0.0309,-0.0251,-0.0295,-0.0209,-0.0069,-0.0013,0.0127
2000-04-07,12.4951,-86.6863,O,0.149,0.1578,0.1533,0.1463,0.1562,0.1518,0.1676,0.1669,0.1108,0.0797,0.0387,0.0183,0.0126,0.0086,-0.007,-0.012,-0.0224,-0.0198,-0.0269,-0.0312,-0.0348,-0.0454,-0.0442,-0.0009,0.0077,0.0149,0.0194,0.0327,0.029,0.0179
2000-04-07,12.4951,-86.6863,S,,0.123,0.1126,0.1016,0.0599,0.0088,0.0382,0.0528,0.0488,0.0201,0.0281,0.0169,0.0066,-0.0011,-0.0076,-0.0034,0.0093,0.0118,-0.0236,-0.0271,-0.019,-0.0211,-0.0173,-0.0076,-0.0031,-0.0026,-0.0011,0.0079,0.0166,0.0231
2000-04-07,12.4951,-86.6863,SE,,0.21,0.1473,0.1645,0.0063,-0.0889,-0.0947,-0.0945,-0.0937,-0.0939,-0.0775,-0.0128,0.0069,0.0409,0.0659,0.0555,0.0541,0.0531,0.0754,0.0702,0.0678,0.0422,0.0402,0.0243,0.0116,-0.0029,-0.009,-0.0164,-0.0458,-0.0595
2000-04-07,12.4951,-86.6863,SO,,0.1718,0.1655,0.1373,0.1133,0.108,0.1078,0.1501,0.1387,0.0831,0.0946,0.0922,0.0848,0.0757,0.0375,-0.0109,-0.0327,-0.0299,-0.0426,-0.0438,-0.0625,-0.0639,-0.0637,-0.0552,-0.0507,-0.0428,-0.0423,-0.0195,0.0036,0.0218
2001-03-25,12.4954,-86.6849,E,,0.2037,0.1089,0.0286,0.0083,-0.0021,-0.0328,0.0041,0.0138,-0.0224,-0.0177,-0.0116,0.037,0.0384,0.0356,0.044,0.0474,0.0392,0.0186,0.0155,0.0125,0.0241,0.0144,0.0081,-0.003,-0.0146,-0.0172,-0.0245,-0.0256,-0.0262
2001-03-25,12.4954,-86.6849,N,,0.3255,0.2772,0.1667,0.1389,0.1062,0.0718,0.0859,0.0592,0.0435,0.0197,0.0213,-0.0069,-0.0223,-0.0288,-0.0231,-0.0204,-0.0285,-0.0296,-0.0298,-0.0292,-0.0296,-0.0286,-0.0289,-0.0241,-0.028,-0.0272,-0.0176,0.0117,0.0052
2001-03-25,12.4954,-86.6849,NE,0.3214,0.2399,0.259,0.1778,0.1208,0.0677,0.0578,0.0239,0.0248,0.0188,-0.0021,-0.0036,-0.0081,-0.0046,-0.0164,-0.0123,-0.0113,-0.0172,-0.0013,-0.0198,-0.0047,-0.0131,-0.0049,-0.0152,-0.0183,-0.0198,-0.0146,0.0006,-0.0067,0.0253
2001-03-25,12.4954,-86.6849,NO,0.3513,0.2974,0.2254,0.1417,0.1084,0.08,0.0695,0.0556,0.0425,0.034,0.0177,0.0114,0.0,-0.005,-0.0125,-0.0166,-0.0259,-0.0148,-0.0146,-0.0183,-0.0219,-0.02,-0.0221,-0.0167,-0.0107,-0.0119,-0.0044,0.0042,0.0035,0.0116
2001-03-25,12.4954,-86.6849,O,,0.2418,0.1573,0.154,0.1073,0.1167,0.1115,0.0863,0.1049,0.063,0.047,0.0402,0.029,0.0131,-0.001,-0.0107,-0.0246,-0.0394,-0.0379,-0.0465,-0.0472,-0.058,-0.0649,-0.0578,-0.0078,0.0113,0.0223,0.0413,0.0404,0.0426
2001-03-25,12.4954,-86.6849,S,,0.2478,0.2066,0.1825,0.1577,0.1461,0.1652,0.143,0.1263,0.0701,0.0465,0.1053,0.0706,0.0517,0.06,0.0011,0.0265,0.0293,0.0258,0.0136,-0.0026,-0.0085,-0.041,-0.0633,-0.0545,-0.0499,-0.0381,-0.0314,-0.0038,0.007
2001-03-25,12.4954,-86.6849,SE,0.3164,0.3024,0.1754,0.0897,-0.0137,-0.0386,-0.0374,-0.0368,-0.0463,-0.0431,-0.0363,-0.019,-0.0105,-0.0104,-0.0131,-0.0159,-0.0183,-0.0198,0.0064,0.0293,0.0416,0.0365,0.054,0.0477,0.0344,0.0306,0.0207,0.0339,0.0268,0.0256
2001-03-25,12.4954,-86.6849,SO,0.1191,0.0679,0.0627,0.0557,0.0887,0.0636,0.0858,0.1071,0.1089,0.1321,0.1213,0.079,0.0538,0.0574,0.0358,0.0527,0.0293,0.0352,-0.0022,-0.0173,-0.0133,-0.0461,-0.0337,-0.0628,-0.0811,-0.0773,-0.0713,-0.0583,-0.0201,-0.0286
2001-04-26,12.494,-86.6863,E,0.2621,0.2573,0.2647,0.2833,0.2808,0.2426,0.1229,0.013,0.007,-0.0128,-0.0245,-0.0305,-0.0367,-0.0368,-0.0386,-0.04,-0.014,0.0102,0.0137,0.0184,0.0243,0.0421,0.0466,0.041,0.024,0.0155,0.0257,-0.0011,0.0159,0.0175
2001-04-26,12.494,-86.6863,N,,0.2662,0.2587,0.2293,0.147,0.1221,0.0909,0.0676,0.0501,0.0524,0.048,0.0458,0.0366,0.0212,0.0188,0.0074,0.0017,-0.0011,-0.0107,-0.0189,-0.0206,-0.0203,-0.0223,-0.0246,-0.0283,-0.0298,-0.0232,-0.0212,-0.0212,-0.007
