date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-08-06,-23.3629,-67.7314,E,,,,,,,0.0465,-0.0051,-0.0345,-0.0494,-0.008,0.0045,-0.0101,-0.0058,-0.0016,-0.0073,-0.0026,-0.0016,-0.0011,1e-04,-0.0019,0.0012,1e-04,0.0038,0.001,0.0007,0.0012,0.0041,0.0032,0.0033
2000-08-06,-23.3629,-67.7314,N,0.0936,,-0.0661,0.0009,0.0831,0.0544,0.0443,0.0476,0.0577,0.0519,0.0315,0.0109,-0.0093,-0.0362,-0.0317,-0.0457,-0.0497,-0.0448,-0.0333,-0.0334,-0.0186,0.002,0.0062,0.0017,0.0006,0.0038,0.0105,-0.0024,0.0034,0.0074
2000-08-06,-23.3629,-67.7314,NE,,,,,0.1148,0.0668,0.0467,0.0168,0.012,-0.0011,0.0146,-0.0063,-0.0047,-0.0294,-0.0254,0.0144,0.0171,0.0135,0.0071,0.0002,0.0036,0.0033,-0.0077,-0.0061,0.0027,0.0,0.0056,0.0077,0.0188,0.0277
2000-08-06,-23.3629,-67.7314,NO,,0.1339,0.0449,0.0209,0.0578,0.0733,0.0874,0.0803,0.0438,-0.001,-0.0777,-0.0823,-0.0749,-0.049,-0.0245,-0.0229,-0.0204,-0.0187,-0.0048,-0.01,0.0059,0.0035,0.0281,0.0212,0.0226,0.0168,0.012,-0.0046,-0.0063,-0.0021
2000-08-06,-23.3629,-67.7314,O,,0.2476,0.1523,0.1167,0.0823,0.0816,0.096,0.0943,0.0624,0.0228,-0.0517,-0.0356,-0.0101,-0.0138,0.0088,0.0204,0.0268,0.0142,0.0121,0.012,0.0079,-0.0015,-0.0128,-0.0151,-0.013,-0.0181,-0.0147,-0.0143,-0.0107,-0.014
2000-08-06,-23.3629,-67.7314,S,,0.1933,0.074,0.0924,0.1033,0.0842,0.0331,0.0481,0.0243,0.0348,0.0376,0.0252,0.0271,-0.0056,0.002,0.0105,0.0124,0.0086,-0.0041,-0.0002,-0.0004,-0.0038,-0.0021,-0.0118,-0.0064,-0.0147,-0.0245,-0.0208,-0.0064,-0.0137
2000-08-06,-23.3629,-67.7314,SE,,,,0.0634,0.0719,0.0409,0.0337,0.0122,1e-04,-0.0002,0.0047,0.0026,-0.011,-0.0136,-0.0175,-0.0061,-0.0089,-0.0026,-0.0038,-0.0085,-0.0028,-0.0066,-0.0071,-0.0058,-0.0051,0.0004,0.0018,0.0012,0.0116,0.0118
2000-08-06,-23.3629,-67.7314,SO,,0.2791,0.2392,0.1796,0.0956,0.031,0.01,0.0167,0.0179,-0.013,-0.0136,-0.0191,-0.0064,-0.0059,0.0056,0.0211,0.0242,0.0158,0.0049,0.0035,-1e-04,1e-04,-0.0009,0.001,0.0021,0.0029,0.0035,-0.002,0.0017,0.0064
2000-10-09,-23.3626,-67.7316,E,0.4023,0.2493,0.0556,0.0499,0.0578,0.0918,0.0071,0.0079,0.0254,0.017,-0.0095,-0.0165,-0.0141,-0.0115,-0.0164,-0.0147,-0.0153,-0.0177,-0.0154,-0.0078,-0.0068,-0.0058,0.0025,0.0046,0.0093,0.0056,0.0051,0.004,0.0016,0.003
2000-10-09,-23.3626,-67.7316,N,0.562,0.3788,0.1026,0.0871,0.0594,0.0857,0.0463,0.0328,0.0471,0.053,0.0484,0.0249,-0.0088,-0.0471,-0.0471,-0.0445,-0.0534,-0.0457,-0.043,-0.0379,-0.0332,-0.0264,-0.0161,0.0019,0.0255,0.0369,0.0434,0.0493,0.049,0.0577
2000-10-09,-23.3626,-67.7316,NE,,0.4789,0.2786,0.0735,0.085,0.0679,0.009,-0.0012,0.0036,0.0016,-0.0108,-0.0168,-0.0078,-0.0046,1e-04,0.0047,0.0025,-0.0101,-0.0134,-0.0056,-0.001,0.0035,0.0021,0.0023,-0.0009,-0.0118,-0.0089,-0.0016,0.0036,0.0064
2000-10-09,-23.3626,-67.7316,NO,,,0.6078,0.5097,0.1594,0.1303,0.0646,0.0376,0.0215,0.0339,-0.0159,-0.0083,-0.0579,-0.0409,-0.0177,-0.0478,-0.0214,-0.0367,-0.0138,-0.0052,0.0048,0.0089,0.0051,0.0103,0.021,0.0184,0.0117,-0.0024,-0.0211,-0.0142
2000-10-09,-23.3626,-67.7316,O,,,,0.608,0.3327,0.1645,0.0968,0.0579,0.0195,0.0057,-0.0234,-0.0236,0.0148,0.0019,-0.0278,-0.0231,-0.0081,0.0051,0.0032,0.0026,-0.0016,0.0047,0.0071,0.0058,0.0067,-0.0046,-0.0098,-0.0122,-0.0148,-0.0136
2000-10-09,-23.3626,-67.7316,S,,0.2667,0.16,0.1789,0.1594,0.0856,0.0699,0.0531,0.0449,0.0435,0.04,0.0189,-0.026,-0.0124,-0.0019,-0.0004,-0.0062,-0.0143,-0.0032,0.0037,0.0043,0.0002,-0.0032,-0.007,-0.0057,-0.008,-0.0098,-0.0064,0.011,0.0123
2000-10-09,-23.3626,-67.7316,SE,,0.3015,0.21,0.1151,0.1036,0.1119,0.0928,0.0681,0.0428,0.0259,-0.0038,-0.0322,-0.0052,-0.0081,-0.0124,-0.0015,-0.0094,-0.006,-0.0062,-0.0049,-0.0109,-0.0115,-0.0056,-0.0093,-0.0046,-0.003,0.0058,0.0092,0.0132,0.0177
2000-10-09,-23.3626,-67.7316,SO,,,0.5579,0.1864,0.0514,0.0041,-0.0079,-0.0174,-0.0163,0.0141,0.015,-0.0037,-0.0131,-0.0085,-0.0002,0.0077,0.0181,0.0126,0.0041,0.0026,0.001,0.01,0.0092,0.0025,-0.007,-0.0064,-0.005,-0.0071,-0.0101,0.0008
2000-10-25,-23.3631,-67.7311,E,,0.7284,0.2854,0.1334,0.0494,0.0369,0.02,-0.0188,-0.0095,0.0129,0.0282,0.0232,0.0081,0.0013,0.0011,-0.002,-0.0014,-0.0082,-0.0109,-0.0098,-0.0105,-0.013,-0.0056,-0.0019,0.0041,0.0071,0.0085,0.0098,0.0073,0.0102
2000-10-25,-23.3631,-67.7311,N,0.6893,0.4232,0.2143,0.202,0.1215,0.1019,0.0864,0.0637,0.0572,0.0183,-0.0187,-0.0583,-0.0543,-0.0487,-0.0496,-0.0563,-0.0562,-0.0484,-0.0364,-0.0249,-0.0187,-0.0045,0.0049,0.0182,0.0306,0.0372,0.0363,0.0432,0.039,0.0335
2000-10-25,-23.3631,-67.7311,NE,,0.3804,0.1984,0.1142,0.0423,0.0009,-0.0033,0.0005,0.0075,-0.0117,0.002,0.0049,0.0131,0.0097,0.0209,0.0128,0.0288,0.0128,0.0293,0.0119,-0.0092,-0.0167,-0.0186,-0.0107,-0.0178,-0.0153,-0.0231,-0.0133,-0.0026,0.0021
2000-10-25,-23.3631,-67.7311,NO,,0.253,0.1037,-0.0046,-0.0274,-0.0153,-0.0049,-0.0154,-0.0345,-0.0561,-0.0383,-0.0301,-0.0161,-0.0188,-0.0204,-0.0272,-0.0129,-0.0179,-0.0112,0.0002,0.0108,0.0051,0.0123,0.0202,0.0018,-0.0072,0.0085,0.0051,0.0152,0.0085
2000-10-25,-23.3631,-67.7311,O,,0.5162,0.1394,0.0622,0.0038,-0.0006,0.0114,0.0082,-0.0132,-0.009,0.0097,0.0043,-0.0213,-0.0326,-0.0165,-0.0061,-0.0038,0.0039,0.0086,0.0113,0.0132,0.0071,0.0024,-0.0042,-0.0086,-0.0117,-0.0035,0.0108,0.013,0.0093
2000-10-25,-23.3631,-67.7311,S,,,,0.3289,0.1363,0.0572,0.0058,0.0076,0.0254,0.0343,0.041,0.0511,0.0395,0.0272,0.0376,-0.0121,-0.0033,-0.0147,-0.0254,-0.032,-0.019,-0.0083,-0.0106,-0.0082,-0.0012,-0.0271,-0.0181,-0.013,0.0069,0.02
