date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-08-24,-49.0169,-73.4982,E,,0.0058,0.0026,-0.008,-0.0187,-0.0128,-0.0081,-0.0076,-0.0145,-0.0169,-0.0153,-0.0137,-0.0088,-0.0025,-0.0044,-0.0048,-0.0052,-0.0026,-0.0023,-1e-04,-0.0056,-0.0052,-0.0087,-0.0119,-0.01,-0.0091,-0.0046,0.004,0.0025,0.0087
2000-08-24,-49.0169,-73.4982,N,-0.0705,-0.0412,-0.0299,-0.0119,0.0009,0.002,0.0173,0.0034,0.0004,0.0045,0.0008,-0.0017,0.005,-0.0017,0.0005,-0.0273,-0.0214,-0.0265,-0.0233,-0.0252,-0.0242,-0.0179,-0.02,-0.002,-0.0007,0.0085,0.0198,0.0327,0.0331,0.0216
2000-08-24,-49.0169,-73.4982,NE,,-0.0132,-0.0121,-0.0231,0.0006,0.0201,0.028,0.02,0.0162,0.0063,0.007,0.0101,0.0239,0.0137,0.0305,0.0333,0.0436,0.035,0.0203,0.0036,-0.0167,-0.0081,-0.018,-0.0187,-0.0229,-0.0189,-0.0231,-0.0144,-0.0175,-0.0119
2000-08-24,-49.0169,-73.4982,NO,,0.0529,0.0636,0.0642,0.0953,0.0887,0.0853,0.0877,0.0712,0.0644,0.054,0.04,0.0143,0.0091,0.0011,-0.0044,-0.0122,-0.0184,-0.0256,-0.0191,-0.0143,-0.0075,0.005,0.0079,0.0058,0.0033,-0.0003,-0.0052,-0.006,-0.0049
2000-08-24,-49.0169,-73.4982,O,,0.0603,0.0523,0.0558,0.0616,0.0539,0.0526,0.0481,0.0373,0.0287,0.0155,0.0016,-0.0055,-0.0101,-0.0159,-0.0211,-0.0245,-0.0269,-0.0232,-0.0129,-0.0002,0.0,0.0009,0.0014,0.003,0.0029,0.004,0.0051,0.0088,0.0124
2000-08-24,-49.0169,-73.4982,S,0.0545,0.0316,0.0268,0.0201,0.0201,0.0162,0.0162,0.0149,0.0157,0.0163,0.0163,0.0196,0.0206,0.022,0.0254,0.0244,0.0231,0.0198,0.0114,0.0094,0.0038,-0.0032,-0.0042,-0.0089,-0.0105,-0.015,-0.0156,-0.018,-0.0181,-0.0216
2000-08-24,-49.0169,-73.4982,SE,,0.0161,0.0105,0.0062,0.0024,0.0021,0.006,0.0053,0.0092,0.0093,0.01,0.0093,0.0045,0.0064,0.006,0.0058,0.0054,0.0013,0.0029,-0.0017,-0.0017,-0.0022,-0.0021,-0.0057,-0.0058,-0.0094,-0.0068,-0.0077,-0.0088,-0.0054
2000-08-24,-49.0169,-73.4982,SO,,0.0804,0.0751,0.0725,0.0668,0.0592,0.0508,0.0442,0.0384,0.0337,0.0263,0.0175,0.0008,-0.0098,-0.0034,0.0,-0.0029,-0.0048,-0.0091,-0.011,-0.0148,-0.013,-0.0089,-0.0062,-0.0056,-0.0058,-0.0045,-0.0041,-0.0041,-0.0035
2000-10-27,-49.0185,-73.4973,E,0.0136,0.0244,0.024,0.0275,0.0454,0.052,0.0594,0.0553,0.0403,0.0284,0.0216,0.0135,-0.001,-0.0049,0.0079,-0.0133,0.0041,0.0038,0.0088,0.0066,-0.0125,-0.0055,-0.0097,-0.0161,-0.0178,-0.0139,-0.0142,-0.0185,-0.0235,-0.0217
2000-10-27,-49.0185,-73.4973,N,0.0428,0.0493,0.0664,0.0697,0.065,0.064,0.0697,0.057,0.036,0.0254,0.001,0.0187,-0.009,-0.0013,-0.0104,-0.0119,-0.0098,-0.013,-0.0002,0.0129,0.0245,0.0231,0.0039,-0.0039,-0.0252,-0.0007,-0.008,0.0254,-0.0082,-0.0498
