date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-31,-8.2739,123.5076,E,0.1331,0.1289,0.1511,0.1191,0.1015,0.0873,0.0686,0.0522,0.0593,0.0572,0.0511,0.0069,0.0038,0.0049,0.0304,0.0289,0.0043,-0.0212,-0.0284,-0.0115,-0.0118,-0.0059,-0.0097,-0.0074,-0.013,-0.0108,-0.0138,-0.009,-0.0036,0.0078
2000-07-31,-8.2739,123.5076,N,,0.1314,0.074,0.0477,0.0286,0.0017,-0.0373,-0.0489,-0.0371,-0.0246,-0.0023,1e-04,0.0048,0.0061,0.0069,0.0123,0.0077,0.0092,0.0178,0.0122,0.0092,0.0111,0.0146,0.0068,-0.0007,-0.0005,0.0078,0.0041,-0.0125,-0.0204
2000-07-31,-8.2739,123.5076,NE,,0.0409,0.044,0.0495,0.0807,0.036,0.0422,0.0042,-0.0294,-0.0182,-0.0181,-0.0164,-0.0112,0.0085,0.0096,0.012,0.019,0.0222,0.0381,0.0389,0.0313,0.0405,0.0285,0.0133,0.002,-0.009,-0.0156,-0.0222,-0.0225,-0.001
2000-07-31,-8.2739,123.5076,NO,,0.1681,0.0677,-0.0279,-0.0236,-0.0486,-0.0589,-0.0556,-0.04,-0.041,-0.0245,-0.0237,-0.0074,0.0054,0.0102,0.022,0.0221,0.0248,0.0287,0.0262,0.0211,0.0188,0.0129,-0.0003,-0.0086,-0.0099,-0.0018,0.0004,-0.001,-0.0128
2000-07-31,-8.2739,123.5076,O,,0.3026,0.2214,0.0898,0.0186,-0.0345,-0.0554,-0.0448,-0.0265,-0.0268,-0.019,-0.0088,0.0135,0.015,0.0138,0.0161,0.0218,0.018,0.0138,-0.0069,-0.0051,-0.0054,-0.0085,-0.0135,-0.0139,-0.0138,-0.0119,-0.01,-0.0085,-0.0046
2000-07-31,-8.2739,123.5076,S,0.3345,0.2548,0.1755,0.1005,0.0943,0.0273,0.0236,0.0152,0.0151,0.0142,0.0284,0.0081,0.0129,0.0287,0.0277,-0.0081,-0.0163,-0.0389,-0.0295,-0.0175,-0.0053,0.0094,-0.0022,1e-04,0.0008,-0.0113,-0.0132,-0.0073,-0.0133,-0.0086
2000-07-31,-8.2739,123.5076,SE,,0.1721,0.1218,0.094,0.1104,0.1306,0.1185,0.0502,0.0491,0.0554,0.0588,0.0658,0.0489,0.0202,0.0151,0.0094,-0.001,-0.0073,-0.0004,-0.0198,-0.0189,-0.022,-0.014,-0.0127,-0.0165,-0.0149,-0.0159,-0.0144,-0.0232,-0.0301
2000-07-31,-8.2739,123.5076,SO,,0.2601,0.174,0.0356,-0.0175,-0.0256,-0.0214,-0.0187,-0.0145,0.0066,0.0265,0.0292,0.0311,0.0192,0.0115,-0.0017,-0.0162,-0.0202,-0.0177,-0.0153,-0.0224,-0.0187,-0.0133,-0.0019,0.0045,0.0018,0.002,0.0018,0.001,0.0011
2000-08-16,-8.2739,123.5076,E,0.123,0.0909,0.0843,0.0687,0.074,0.0842,0.0768,0.0673,0.0763,0.0784,0.0729,0.0355,0.0322,0.0312,0.0354,0.0344,0.0188,-0.0088,-0.0243,-0.0142,-0.0094,-0.004,0.0004,-0.0098,-0.0107,-0.0217,0.0015,0.0058,-0.0735,-0.0245
2000-08-16,-8.2739,123.5076,N,,0.1327,0.1012,0.0656,0.0371,0.0075,-0.0227,-0.0327,-0.0178,-0.0159,0.0105,0.0141,0.0079,0.0025,-0.0046,-0.0028,-0.005,-0.0045,0.0072,0.0021,0.0028,0.0073,0.0109,0.0117,0.0038,0.0034,0.0006,-0.0025,-0.0145,-0.0075
