date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-14,-4.9163,151.1677,E,,0.0081,-0.0079,-0.012,-0.015,-0.0086,-0.0087,-0.006,0.0022,-0.0044,-0.0094,-0.01,-0.004,-0.0027,-0.0039,-0.0007,0.0028,0.0028,0.0026,0.0021,0.0029,-0.0023,0.0025,0.0024,0.0021,-0.0015,0.0019,-0.0005,0.0006,0.0003
2000-02-14,-4.9163,151.1677,N,,0.0061,-0.0026,-0.0116,-0.0122,-0.011,-0.0109,-0.0025,-0.0028,0.0043,-0.005,-0.0051,0.0034,0.003,0.0027,0.0022,0.0033,0.0007,0.0006,-1e-04,-0.0007,-0.0019,-0.0015,-0.0021,-0.0027,-0.0028,-0.0029,-0.0016,-0.0013,-0.0018
2000-02-14,-4.9163,151.1677,NE,,0.0128,0.0036,0.0007,0.0006,-0.0004,-0.0069,-0.0028,-0.0018,0.004,-0.0044,0.002,-0.002,-0.0035,0.006,0.0048,0.0017,0.002,-0.0004,0.0009,0.0011,0.0021,0.0007,0.0002,0.0008,0.005,-0.0038,-0.0049,-0.0029,-0.0037
2000-02-14,-4.9163,151.1677,NO,,-0.008,-0.0166,-0.0169,-0.0172,-0.0171,-0.0168,-0.0088,-0.0089,-0.0006,0.0003,0.0076,0.0069,-0.0022,-0.0028,-0.002,-0.0034,-0.0044,-0.0042,0.003,0.0028,-0.0019,-0.0024,0.0011,0.0011,1e-04,0.0008,0.0018,0.002,0.0018
2000-02-14,-4.9163,151.1677,O,0.0065,-0.0106,-0.0103,-0.0193,-0.0157,-0.0086,-0.0056,-0.0008,0.0057,0.0062,0.0055,0.0139,0.0143,0.007,0.002,-0.0054,-0.0064,-0.0039,-0.0032,-0.0008,0.0053,0.0044,-0.0014,0.0027,-0.004,-0.0039,-0.0015,-0.004,-0.0024,0.0038
2000-02-14,-4.9163,151.1677,S,0.0201,0.0038,-0.0053,0.0013,-0.0029,-0.0085,-0.0086,-0.0141,-0.008,-0.0041,-0.0058,-0.0059,-0.0016,-0.002,-0.0041,-0.0037,0.0039,0.006,0.0028,0.0012,-0.001,-0.0025,-0.0039,0.0016,-0.0033,-0.0034,-0.0024,0.0031,0.0039,0.0011
2000-02-14,-4.9163,151.1677,SE,,0.0092,-0.0062,-0.0111,-0.0084,-0.0095,-0.0114,-0.0111,-0.0085,-0.0039,-0.0052,-0.0054,-0.0037,-0.002,-0.0035,-0.0104,-0.0016,0.0055,0.0011,0.0019,-0.0016,0.0039,0.0037,0.0039,0.0034,0.0031,0.0033,0.0014,0.0003,-1e-04
2000-02-14,-4.9163,151.1677,SO,,0.0306,0.022,0.0143,0.0138,0.0012,-0.0019,-0.003,0.0008,0.0009,0.0029,0.0019,1e-04,0.0017,0.0002,-1e-04,-0.0016,-0.0015,-0.0003,-0.0004,0.0014,-0.0002,-0.001,-0.0015,-0.0029,-0.0031,-0.0023,-0.0011,-0.0026,-0.0026
2000-07-23,-4.9179,151.1628,E,,0.0439,0.0404,0.036,0.0299,0.034,0.0312,0.0243,0.0176,0.0207,0.021,0.0177,0.0182,0.0065,-0.001,-0.0059,-0.0062,-0.0061,-0.0063,-0.0066,-0.0071,-0.0075,-0.0077,-0.0072,-0.006,-0.0043,-0.0032,-0.0024,-0.0026,-0.0035
2000-07-23,-4.9179,151.1628,N,,0.0095,0.007,-0.0016,-0.0061,-0.0102,-0.0105,-0.0096,-0.0059,-0.0016,0.001,-0.0022,0.0017,0.0076,0.0048,0.0013,1e-04,1e-04,-0.0021,-0.0019,0.0006,-1e-04,-0.0006,-0.0,0.0003,-0.0003,0.0005,0.0008,0.0025,0.0018
2000-07-23,-4.9179,151.1628,NE,,0.0122,0.0052,-0.0009,0.0054,-0.001,-0.0,-0.0053,-0.0026,0.0026,0.0049,0.0034,0.0011,0.0033,0.0064,0.0033,0.0,0.0052,0.0028,-0.0038,-0.0017,-0.0017,0.0012,-0.0036,0.0024,0.0035,0.0024,-0.0023,-0.0088,-0.0121
2000-07-23,-4.9179,151.1628,NO,,0.005,0.0002,-0.0023,-0.0048,-0.012,-0.0098,-0.008,-0.0078,-0.0035,-0.0085,0.0007,0.0012,0.0024,1e-04,0.0024,0.0021,-0.0008,-0.0021,0.0026,0.0037,0.0024,0.0025,0.0022,-0.0009,-0.0024,-0.0019,-0.0009,-0.0017,-0.0016
2000-07-23,-4.9179,151.1628,O,0.0333,0.0231,0.0191,0.0144,0.0126,0.0074,-0.0002,-0.0026,-0.0022,-0.0027,-0.0012,-0.0021,-0.0009,0.0008,-0.0022,-0.0057,0.0004,-0.0006,-0.0006,0.0003,0.001,0.0003,0.0015,0.0027,0.0011,-1e-04,-0.0002,0.0006,0.0005,0.0021
2000-07-23,-4.9179,151.1628,S,0.0058,-0.0007,-0.0075,-0.007,-0.0072,0.0003,0.0012,0.0,0.0033,0.006,0.0057,0.0051,0.0033,0.0045,-0.0024,-0.0042,-0.0007,0.0019,0.0014,-0.0018,-0.0036,-0.0003,-0.003,-0.0008,0.0004,-0.0008,-0.0006,-0.0004,0.0032,0.0041
2000-07-23,-4.9179,151.1628,SE,,0.0139,0.0063,0.0063,0.0128,0.0114,0.0126,0.0103,0.0067,0.0113,0.0132,0.0079,0.0021,0.0035,0.005,0.0091,0.0067,0.0021,0.0007,0.0022,-0.0015,-0.0023,-0.0022,-0.0072,-0.0101,-0.0091,-0.0061,-0.0061,-0.001,-0.0042
