date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-29,-5.3144,147.105,E,,-0.0016,-0.0076,-0.0072,-0.004,-0.007,-0.0135,-0.0135,-0.0068,-0.0068,0.0061,0.0061,0.0061,0.0061,-0.0004,-0.0004,0.006,-0.0039,-0.0035,-0.0039,-0.0039,-0.002,-0.0039,-0.0002,-0.0039,-0.0039,-0.0039,-0.0039,-0.0039,-0.0039
2000-02-29,-5.3144,147.105,N,,0.0182,0.0092,0.0179,0.0161,0.0154,0.014,0.0111,0.0017,0.0028,-0.0007,0.0077,0.0082,-0.0023,-0.0044,1e-04,-0.0035,-0.004,-0.0036,0.0076,0.0076,-0.004,-0.004,-0.0059,-0.0051,-0.004,-0.0036,-0.0036,-0.004,-0.0041
2000-02-29,-5.3144,147.105,NE,0.0121,-0.0007,0.0014,0.0034,0.0034,0.0054,0.0073,-0.0055,-0.0015,-0.0035,-0.0015,-0.0102,0.0027,0.0027,0.0068,0.0067,0.0067,-0.0041,-0.002,-0.0058,-0.0021,-0.0039,-0.0058,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,0.002,-0.0016
2000-02-29,-5.3144,147.105,NO,0.0028,-0.01,-0.0126,-0.0124,-0.0014,-0.013,-0.0129,-0.0012,-0.0071,-0.0071,-0.0127,-0.0012,-0.0069,-0.0069,-0.0127,-0.0127,-0.0127,-0.0127,-0.0011,-0.0127,-0.0127,-0.0127,-0.0127,-0.0011,-0.0127,-0.0127,-0.0126,-0.0127,-0.0127,-0.0127
2000-02-29,-5.3144,147.105,O,,-0.0003,-0.0022,-0.0084,-0.0027,-0.0087,-0.0087,-0.0087,-0.0086,0.003,0.003,-0.0086,-0.0086,-0.0086,0.003,0.003,0.003,-0.0028,-0.0086,-0.0086,0.003,0.0031,0.0031,0.003,0.003,0.0031,0.0031,0.0031,0.003,0.0031
2000-02-29,-5.3144,147.105,S,,0.0118,0.0114,-0.0006,-0.007,-0.0013,-0.0012,0.0112,0.0119,0.0119,0.0051,-0.0012,-0.0013,-0.0008,-0.0017,-0.0025,-0.0025,-0.0027,-0.0022,-0.0036,-0.0036,-0.0027,-0.0013,0.0082,-0.0019,-0.003,-0.0034,-0.0034,-0.0021,-0.0018
2000-02-29,-5.3144,147.105,SE,0.0192,0.0065,-0.0048,-0.0024,-0.0017,-0.0017,-0.0017,-0.0017,0.0007,0.0007,-1e-04,0.0015,0.0015,0.0079,0.0015,0.0031,0.0031,-0.0097,-0.0097,-0.0097,0.0031,0.0039,0.0176,0.0048,0.0048,0.0048,-0.012,-0.012,-0.012,-0.012
2000-02-29,-5.3144,147.105,SO,0.0279,,0.026,0.0141,0.0007,0.0121,0.0124,0.0119,0.0118,0.0118,0.0118,0.0118,0.0118,0.0118,0.0119,0.0119,0.0119,0.0235,0.0235,0.0119,0.0119,0.0236,0.0236,0.0236,0.0119,0.0119,0.0119,0.012,0.0178,0.0236
2000-04-17,-5.3144,147.105,E,,-0.0047,0.0033,-0.0053,-0.0053,-0.0054,-0.0054,0.0028,-0.0054,0.0027,0.0108,0.0108,-0.0055,-0.0055,-0.0056,-0.0055,0.0108,0.0108,0.0109,0.0108,-0.0055,-0.0057,-0.0057,-0.0056,-0.0056,-0.0056,-0.0056,0.0107,-0.0055,0.0026
2000-04-17,-5.3144,147.105,N,,-0.002,0.014,-0.002,-0.0034,-0.0021,0.0109,0.0119,0.0285,0.0123,-0.0099,-0.0089,0.0084,0.0144,0.012,0.0057,0.0058,-0.004,-0.0069,-0.008,-0.008,-0.0047,-0.006,0.0016,0.0063,0.0063,0.0056,-0.0009,-0.0021,-0.0085
2000-04-17,-5.3144,147.105,NE,0.0059,0.0059,0.0045,0.0032,0.0004,-0.0009,0.0141,-0.0049,-0.0049,-0.0022,-0.0049,-0.0049,-0.0049,-0.0049,0.0006,0.0088,0.0088,0.0088,0.0061,-0.0062,-0.0048,0.0062,0.0062,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
2000-04-17,-5.3144,147.105,NO,0.0015,0.0007,-0.0057,-0.0081,-0.01,-0.0095,-0.002,0.0054,-0.0018,-0.0019,-0.0091,-0.0091,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.0016,-0.009,0.0057,0.0058,0.0058,0.0058,0.0058,0.0057,-0.009,-0.009,-0.009,-0.0089
2000-04-17,-5.3144,147.105,O,,0.0016,0.0053,0.0118,0.004,0.0033,-0.0041,-0.0041,-0.0041,0.0033,0.0107,-0.0041,0.0107,0.0107,0.0107,-0.0041,-0.0041,-0.0041,-0.0041,0.0106,-0.0042,-0.0041,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0043
2000-04-17,-5.3144,147.105,S,,-0.0101,-0.004,0.0046,0.0046,0.0112,0.0128,0.0063,0.0061,0.0052,0.0043,0.0029,0.0021,0.0027,-0.0005,-0.0006,-0.0006,0.0011,-0.0014,-0.0039,-0.0035,-0.0023,-0.0023,-0.0027,-0.0032,0.0007,-0.0008,-0.0014,-0.0038,-0.0032
2000-04-17,-5.3144,147.105,SE,-0.0132,-0.0132,-0.0144,0.0084,-0.0003,-0.0004,-0.0004,-0.0004,-0.0016,-0.0103,-0.0027,-0.0027,-0.0027,-0.0027,-0.0027,-0.0028,0.0124,-0.0039,-0.0039,-0.0039,-0.0038,-0.0039,-0.0051,-0.0051,0.0112,0.0037,-0.0051,-0.005,-0.005,-0.0051
2000-04-17,-5.3144,147.105,SO,0.0,,0.0088,0.0052,0.0048,0.0042,0.0033,0.0033,0.0116,0.0073,0.0023,0.0031,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021
2001-06-07,-5.3144,147.105,E,,0.0297,0.0254,0.0169,0.0147,0.0125,0.0125,-0.003,-0.0031,-0.0073,-0.0073,-0.0073,-0.0073,0.0004,0.0082,0.0082,0.0081,-0.0074,-0.0074,0.004,0.004,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,-0.0004,0.0038,0.0038
2001-06-07,-5.3144,147.105,N,,0.0169,0.0147,0.0164,0.0119,0.0049,0.0007,-0.0027,-0.0002,-0.0006,-0.0004,0.0117,0.0131,0.0103,0.0063,0.0,0.0004,-0.0088,-0.0074,-0.0005,0.002,-0.0005,0.0025,-0.005,-0.0088,-0.0029,-0.0035,-0.0029,-0.0012,-0.0053
2001-06-07,-5.3144,147.105,NE,0.0149,0.0149,0.0142,0.0134,-0.0038,-0.0046,0.0102,0.0102,0.0087,0.0024,-0.0069,-0.0069,-0.0069,-0.0069,-0.0069,-0.0054,-0.0054,-0.0084,0.0056,0.0056,0.0056,0.0055,0.0055,0.004,0.004,0.004,0.004,0.004,0.004,0.004
2001-06-07,-5.3144,147.105,NO,0.0035,0.0027,0.008,0.0158,0.0068,0.0065,0.0006,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,0.0008,0.0077,0.0077,0.0077,-0.0062,-0.0062,0.0077,0.0078,0.0008,-0.0061,-0.0062,-0.0062,-0.0062,-0.0062,-0.0061,-0.0062,-0.0062,-0.0062
2001-06-07,-5.3144,147.105,O,,0.0068,0.0029,-0.005,-0.0053,0.0012,0.0082,0.0082,0.0012,0.0082,0.0082,0.0082,0.0082,-0.0058,-0.0058,-0.0057,-0.0057,0.0013,-0.0057,0.0082,-0.0057,-0.0057,-0.0057,-0.0056,-0.0056,-0.0056,0.0083,0.0083,0.0083,-0.0056
