date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-04-15,-4.0794,145.0412,E,,0.0206,0.0135,0.0023,-0.0042,-0.0186,-0.0195,-0.0172,-0.0186,-0.0098,-0.0171,-0.0024,0.0021,0.0082,-0.0252,0.0009,-0.0244,-0.0392,-0.0179,0.0078,-0.0154,-0.0152,-0.0099,0.0021,0.0168,0.0365,0.0419,0.0155,0.0155,0.0083
2000-04-15,-4.0794,145.0412,N,,0.0445,0.0447,0.0319,0.0291,0.0375,0.0349,0.0152,0.0026,0.0053,-0.0236,-0.0307,-0.0199,-0.0109,0.0122,0.0195,0.0221,0.0073,0.0125,0.0244,0.0358,0.0174,-0.0005,-0.0032,-0.0117,0.0015,-0.0105,0.0073,-0.0098,-0.0416
2000-04-15,-4.0794,145.0412,NE,0.044,0.0404,0.0388,0.0213,-0.0027,-0.006,-0.0039,0.003,0.0076,0.0016,0.0127,-0.0241,-0.0107,-0.0047,-0.0057,-0.0083,0.0062,0.0138,0.0051,0.0117,0.0029,0.0032,0.0081,0.0073,0.0008,0.009,0.0008,-0.0019,0.001,-0.0012
2000-04-15,-4.0794,145.0412,NO,,0.0135,0.0139,0.0081,0.0276,0.0094,0.009,-0.0205,-0.0367,-0.0474,-0.0575,-0.0514,-0.0191,0.0056,0.0398,0.0404,0.0308,0.0479,0.0344,0.0181,0.0002,-0.0058,-0.0148,-0.0194,-0.0283,-0.0255,-0.0195,-0.0195,-0.0059,0.0067
2000-04-15,-4.0794,145.0412,O,,0.1029,0.0781,0.072,0.085,0.0889,0.0691,0.0477,0.0448,0.0279,0.0061,0.0021,-0.0054,0.0013,0.0058,0.0011,-0.0035,0.0082,-0.0047,-0.0195,-0.011,0.0005,-0.0047,-0.0088,-0.0077,-0.0164,-0.0061,0.0094,0.0142,0.0256
2000-04-15,-4.0794,145.0412,S,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-15,-4.0794,145.0412,SE,0.1363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-15,-4.0794,145.0412,SO,,0.102,,,,0.102,,,,,,0.0224,-0.0076,-0.007,-0.0055,-0.0041,-0.0032,-0.0034,-0.0025,-0.0039,-0.0033,-0.0026,-0.0012,0.0,-0.0005,-0.001,-0.0016,-0.0011,-0.0016,-0.0008
2000-09-06,-4.0786,145.0412,E,,0.0322,0.0171,-0.0015,0.0017,-0.0656,,-0.0444,-0.0471,-0.0364,-0.0131,-0.0626,-0.0394,-0.0325,-0.0162,-0.003,0.0067,0.048,0.0554,0.0619,0.0531,0.0419,0.0214,0.0212,0.0093,-0.0071,0.0011,-1e-04,-0.0018,0.02
2000-09-06,-4.0786,145.0412,N,,0.0487,0.0603,0.0693,0.0662,0.064,0.063,0.0617,0.061,0.0502,0.0382,0.0374,0.0328,0.0337,0.0181,0.0104,0.0149,-0.0048,0.0374,0.0078,0.0791,0.0284,-0.0252,0.0312,0.0194,-0.0412,-0.0272,0.0184,,-0.1558
