date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-11-28,12.3844,42.206,E,,0.276,0.2123,0.1312,0.0787,0.0366,0.042,0.0721,0.0794,0.0574,0.0707,0.0605,0.0521,0.0445,0.0312,0.0195,0.0034,0.0006,-0.0387,-0.0237,-0.0308,-0.0151,-0.0193,-0.0134,-0.0088,-0.0077,-0.0043,0.0057,0.0015,0.0041
2000-11-28,12.3844,42.206,N,,0.1452,0.1254,0.091,0.0228,-0.0234,-0.0727,-0.088,-0.0848,-0.0893,-0.0904,-0.0871,-0.0961,-0.105,-0.1002,-0.0766,-0.0557,-0.0311,-0.0514,-0.0596,-0.0329,0.0077,0.0299,0.0573,0.0478,0.0645,0.0469,0.0279,0.0073,0.0054
2000-11-28,12.3844,42.206,NE,0.2543,0.22,0.1961,0.1691,0.118,0.0867,0.059,0.0528,0.037,0.0333,0.0332,0.0421,0.043,0.0231,0.0263,0.0126,0.0178,0.0243,-0.0046,-0.001,-0.0006,-0.0157,-0.017,-0.0062,-0.0127,-0.0109,-0.0139,-0.0152,-0.0117,-0.0093
2000-11-28,12.3844,42.206,NO,0.1799,0.1049,0.09,0.069,0.0206,-0.0256,-0.0576,-0.0714,-0.0732,-0.0645,-0.0624,-0.0496,-0.0485,-0.0419,-0.0476,-0.0275,-0.0032,0.0013,-0.0108,0.044,-0.046,0.0131,-0.0027,0.0138,0.0388,0.0156,-0.0405,-0.0095,0.0072,0.0179
2000-11-28,12.3844,42.206,O,,0.1649,0.0996,0.0546,0.0374,0.0097,0.0091,-0.004,-0.0057,-0.0009,0.0026,-0.0006,-0.0039,-0.0009,0.009,0.0197,0.0199,0.023,0.0249,0.0113,-0.0016,-0.0057,-0.0022,-0.0054,-0.0087,-0.0121,-0.0092,-0.0091,-0.0022,-0.0017
2000-11-28,12.3844,42.206,S,,0.2215,0.2136,0.1852,0.1423,0.1247,0.1007,0.0968,0.0907,0.0613,0.0603,0.0588,0.0509,0.0421,0.0215,0.0172,0.0165,0.0096,0.0053,-0.0024,-0.0047,-0.0055,-0.0125,-0.0175,-0.0216,-0.0192,-0.0158,-0.0123,-0.0088,-0.003
2000-11-28,12.3844,42.206,SE,0.3511,0.3118,0.2734,0.2505,0.1627,0.1261,0.071,0.0496,0.0211,-0.0251,-0.0359,-0.0181,0.007,0.0278,0.032,0.0164,0.0097,0.0071,0.0053,0.0061,-0.0129,-0.0183,-0.0176,-0.0162,-0.0143,-0.0114,-0.0098,-0.0054,-0.002,0.0047
2000-11-28,12.3844,42.206,SO,0.2981,0.2571,0.1875,0.1943,0.0982,0.03,-0.0048,-0.0078,-0.005,0.0073,0.0073,0.0007,-0.0061,-0.0059,-0.0067,-0.0067,-0.0068,0.0003,0.005,-0.0003,0.0099,-0.0145,-0.0187,-0.0178,-0.0216,-0.0153,-0.0035,-0.014,-0.0042,-0.0099
2002-05-26,12.3844,42.2066,E,,0.0169,0.0162,-0.0265,0.0142,0.0629,0.0853,0.0875,0.0856,0.0486,0.0542,0.0349,0.032,0.0176,0.0039,-0.0065,-0.0152,-0.0113,-0.0175,0.0052,-0.0036,-0.0095,-0.0025,-0.0022,-0.0039,0.0003,-0.0123,-0.0095,-0.0093,0.0088
2002-05-26,12.3844,42.2066,N,,-0.0112,-0.0498,-0.0873,-0.1116,-0.1302,-0.1234,-0.1217,-0.1187,-0.1163,-0.1299,-0.1372,-0.0962,-0.0656,-0.0473,-0.0396,-0.0208,-0.0221,0.0258,0.0373,0.0571,0.0717,0.0739,0.0584,0.0428,0.0393,0.028,0.01,-0.0057,-0.0246
2002-05-26,12.3844,42.2066,NE,0.0203,0.032,0.038,0.0488,0.0523,0.0253,0.0518,-0.0012,-0.0078,0.006,0.017,0.0076,-0.0117,-0.0282,-0.0221,-0.0181,-0.0038,-0.0066,-0.0176,-0.0107,-0.0083,-0.0128,-0.0163,-0.0046,-0.0067,0.0325,0.0208,0.0337,0.0088,-0.0117
2002-05-26,12.3844,42.2066,NO,0.0515,0.0304,-0.0643,-0.0933,-0.1019,-0.0953,-0.0923,-0.0897,-0.0852,-0.082,-0.0697,-0.0743,-0.0704,-0.0816,-0.0364,-0.0676,0.0114,0.0377,0.0429,0.0791,0.1258,0.1186,0.1382,0.1154,0.0829,0.0195,-0.039,0.0106,-0.0128,-0.0555
2002-05-26,12.3844,42.2066,O,,0.0899,0.0882,0.0635,0.0516,0.024,0.0067,0.0052,0.0108,0.0182,0.0136,0.004,0.0054,0.0066,0.0129,0.0194,0.0153,0.0203,0.0189,0.0123,-0.0053,-0.0216,-0.0152,-0.0086,-0.0052,-0.0099,-0.0144,-0.0168,-0.0152,-0.0091
2002-05-26,12.3844,42.2066,S,,0.2004,0.1927,0.1659,0.1291,0.0999,0.0681,0.0363,0.0156,0.0112,0.0147,0.0124,0.0189,0.0205,0.0214,0.0205,0.0151,0.007,0.005,0.0064,0.0072,-0.0237,-0.0199,-0.023,-0.0198,-0.0209,-0.0224,-0.0222,-0.0224,-0.0222
2002-05-26,12.3844,42.2066,SE,0.1593,0.1308,0.1162,0.0833,0.0676,0.1001,0.055,0.0071,0.0307,0.0244,0.0125,0.0277,0.0563,0.0297,0.0524,0.0216,0.013,0.0005,0.0032,0.0087,0.0016,0.0367,-0.008,-0.0099,-0.0108,-0.0109,-0.0021,-0.0035,0.0161,0.0155
2002-05-26,12.3844,42.2066,SO,0.1679,0.1311,0.1026,0.1015,0.0678,0.0289,0.0196,0.0319,0.0222,0.0217,0.0171,0.0096,0.0046,0.014,0.0064,0.005,-0.0022,-0.0093,0.0049,0.0095,0.0312,0.0218,0.0071,-0.0169,-0.0289,-0.0283,-0.0295,-0.0298,-0.022,-0.0233
2004-01-08,12.384,42.1947,E,,0.115,,,,,,,,,,,0.017,-0.0011,-0.0035,-0.0124,-0.0026,0.0213,0.0377,0.0274,0.0135,0.0148,0.0112,-0.0044,-0.0096,-0.0035,-0.0047,0.015,0.0314,-0.0053
2004-01-08,12.384,42.1947,N,0.2104,0.1778,0.1508,0.1243,0.1055,0.0952,0.0805,0.0805,0.0595,0.0487,0.0261,0.0015,-0.0194,-0.0206,-0.0218,-0.0224,-0.0227,-0.0228,-0.0235,-0.017,-0.0236,-0.024,-0.0161,0.0025,0.0129,0.0125,0.0121,0.012,0.0066,0.003
2004-01-08,12.384,42.1947,NE,,0.1926,,,,,,,,,,,,0.0675,0.0339,0.0007,-0.0106,-0.0108,-0.0078,-0.0025,0.001,-0.0022,0.0111,0.0073,-0.0002,-0.0003,-0.0049,-0.0009,-0.0044,-0.0078
