date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2022-07-27,-0.3812,100.4706,E,,0.0115,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-27,-0.3812,100.4706,N,,0.0115,0.0057,0.0057,0.0058,1e-04,,1e-04,,,,,,,,,,,,,,,,,,,,,,
2022-07-27,-0.3812,100.4706,NE,0.0173,,,,,1e-04,,0.0,,,,,,,,,,,,,,,,,,,,,,
2022-07-27,-0.3812,100.4706,NO,,0.0024,-0.0014,-0.0089,-0.0093,-0.006,-0.008,-0.0079,-0.0012,-0.0035,0.0006,,,,,,,,,,,,,,,,,,,
2022-07-27,-0.3812,100.4706,O,,,,,-0.0056,,-0.0028,-0.0037,,,0.001,,,,,,,,,,,,,,,,,,,
2022-07-27,-0.3812,100.4706,S,,,,,,,-0.0,-0.0,,,,,,,,,,,,,,,,,,,,,,
2022-07-27,-0.3812,100.4706,SE,,,,,,-0.0026,,-0.0038,-0.0003,0.0021,,,,,,,,,,,,,,,,,,,,
2022-08-08,-0.3834,100.4717,E,,,,0.0079,0.0053,0.0053,0.0053,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08,-0.3834,100.4717,N,,,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08,-0.3834,100.4717,NE,0.0156,,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08,-0.3834,100.4717,NO,,,0.0104,,0.0105,0.0156,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08,-0.3834,100.4717,O,,0.0104,0.0052,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-08,-0.3834,100.4717,SE,,,-0.0496,,-0.0529,,-0.0525,,,,,,-0.0007,,,,,,,,,,-0.001,,,,,,,
2023-05-15,-0.3799,100.4698,N,0.0155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,-0.3799,100.4698,O,,,,,,,,,,,,,,,,,,,,,,,-0.0003,,-0.0013,,,,0.0023,-0.0016
2023-05-15,-0.3799,100.4698,S,,,,0.0052,0.0,,,0.0101,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,-0.3799,100.4698,SE,,,-0.0092,,,,,-0.0007,0.0022,,,0.0004,,,,,,,,,,,,,,0.001,,,-0.0018,
2023-07-25,-0.3809,100.4701,E,,-0.0024,-0.0024,,-0.0013,-0.0017,-0.0029,,-0.0004,-0.0005,0.0004,,-0.0019,,,,,,,,,,,,,,,,,
2023-07-25,-0.3809,100.4701,N,0.011,0.011,0.0008,,0.0029,0.003,0.0007,0.0018,0.0021,-0.0006,-0.0009,,,,,,,,,,,,,,,,,,,
2023-07-25,-0.3809,100.4701,NE,,,0.0026,0.0054,0.0028,0.0003,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2023-07-25,-0.3809,100.4701,NO,,,0.0037,-0.0016,-0.0017,-0.0018,-0.002,-0.0016,0.0035,0.001,0.0009,-1e-04,-0.0011,-0.0006,-0.0026,,,0.0061,,,,,,,,,,,,
2023-07-25,-0.3809,100.4701,O,-0.0002,,-0.0104,-0.0103,-0.0026,-0.0,-0.0,-0.0053,-0.0026,0.0,,,,,,,,,,,,0.0105,0.0104,0.0051,0.0023,-0.0032,-0.0059,0.0019,0.0047,-0.0009
2023-07-25,-0.3809,100.4701,S,-0.0432,,,-0.0016,0.0088,0.0203,0.0056,,-0.0043,0.0065,0.0048,0.008,,,,,,,,,,,,,,,,,,
2023-07-25,-0.3809,100.4701,SE,,0.0046,,,0.0031,0.0025,0.0038,-0.0025,-0.0025,-0.0019,0.0024,0.0021,0.0008,-0.0007,-0.005,-0.0022,-0.002,0.0008,,,,,,,,,-0.0039,,,
2023-07-25,-0.3809,100.4701,SO,,,0.0156,0.0156,0.0156,0.0209,0.0182,,,,,,,,,,,,,,,,,,,,,,,
2023-08-11,-0.3828,100.4758,NE,0.0334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-11,-0.3828,100.4758,O,0.0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-11,-0.3828,100.4758,S,,,-0.0329,-0.0316,,,-0.0318,,-0.0252,-0.0166,,0.0055,0.0033,0.0153,0.0157,0.0109,0.011,0.0053,-0.001,-0.0061,-0.0109,-0.0106,-0.0052,-0.0047,0.0015,,,,,
2023-08-11,-0.3828,100.4758,SO,,,,,,,,,,,,,,,0.0274,,,,,,,,,,,,,,,
2023-12-02,-0.3826,100.4728,E,,-0.0101,-0.0024,,-0.0052,-0.01,,-0.0016,,,,,,,,,,,,,,,,,,0.0036,,,-0.0,
2023-12-02,-0.3826,100.4728,NE,0.0181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-02,-0.3826,100.4728,S,,0.0022,-0.0144,-0.0152,0.0371,0.0205,0.0031,0.0,0.0079,-0.0056,,,,,,,0.009,,,,,,,,,,,,,
2023-12-02,-0.3826,100.4728,SE,,-0.0061,-0.0017,0.0013,-0.0027,-0.0027,-0.0016,0.0036,0.0049,-0.0006,-0.0014,-0.0005,,,,,0.0052,-0.0017,,,,,,,,,,,,
2023-12-02,-0.3826,100.4728,SO,,,0.0061,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
2024-07-25,-0.3826,100.472,E,,,,,,0.0029,0.0,,,,,,,,,,,,,,,,,,,,,,,
2024-07-25,-0.3826,100.472,NE,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-25,-0.3826,100.472,S,,,,,,,,,,,,,0.0032,0.0027,0.0047,,,,,,,,,,,,,,,
2024-07-25,-0.3826,100.472,SE,,,,,0.017,,0.0097,,,,,,0.0721,,,,,,,,,,,,,,,,,
