date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-05-16,0.3251,-90.4718,E,,0.092,0.0946,0.0209,-0.0104,0.0173,0.0207,0.0488,0.0452,0.0451,0.0343,0.0348,0.0189,-0.0068,-0.0385,-0.0337,-0.0664,-0.1002,-0.0941,-0.0891,-0.0444,-0.0479,-0.1031,-0.0913,-0.0953,-0.1004,-0.0342,-0.0357,-0.0926,-0.0555
2000-05-16,0.3251,-90.4718,N,0.22,,,,,,0.1508,0.1055,0.083,0.023,0.0496,0.0762,0.0866,0.0749,0.0326,-0.053,-0.0666,-0.0575,-0.0617,-0.054,-0.0652,-0.0546,-0.0387,-0.0185,0.0011,0.0286,-0.0008,,,0.115
2000-05-16,0.3251,-90.4718,NE,,0.099,0.0934,0.0644,0.0613,0.078,0.0813,0.0777,0.0997,0.0824,0.0546,0.0541,0.0469,0.0292,0.0278,0.0247,0.0041,0.0099,-0.0031,-0.0256,-0.0474,-0.0211,-0.0524,-0.1186,-0.0402,-0.0557,-0.0677,-0.0527,-0.0187,0.029
2000-05-16,0.3251,-90.4718,NO,,,,,,,,,,,,,,,,-0.0177,0.0325,-0.0092,0.0415,0.0478,0.0279,-0.0022,0.0209,-0.0015,-0.0238,-0.0435,-0.0426,-0.0419,-0.0076,0.0234
2000-05-16,0.3251,-90.4718,O,,,,,,,,,,,,,,,,,,,0.1991,0.1368,0.0782,0.0237,-0.0264,-0.0301,0.001,-0.0157,-0.0278,-0.0266,0.006,-0.0232
2000-05-16,0.3251,-90.4718,S,,0.2918,0.2101,0.137,0.0779,0.0466,0.0327,0.0257,0.0249,0.0247,0.0141,-0.0098,-0.0463,-0.0686,-0.0566,-0.0602,-0.0314,-0.0689,-0.066,-0.0424,-0.0424,-0.0263,0.0147,0.0272,-0.0281,-0.0005,0.0183,0.0219,0.0111,0.0065
2000-05-16,0.3251,-90.4718,SE,0.1839,0.1596,0.1268,0.1085,0.0588,0.041,0.0468,0.0424,0.0192,0.0242,0.0724,0.0868,0.1079,0.1017,0.0809,0.0497,0.0479,-0.0143,-0.012,-0.0442,-0.0603,-0.0353,-0.061,-0.0341,-0.0345,-0.0346,0.0398,-0.0058,0.0188,-0.0696
2000-05-16,0.3251,-90.4718,SO,,0.2212,0.1684,0.0923,0.0525,0.0279,0.0253,0.0122,0.0109,0.0027,-0.0026,-0.0013,-0.0124,0.0068,0.0149,0.0511,0.0537,0.0443,-0.008,-0.0591,-0.0677,-0.0823,-0.0776,-0.0621,-0.0343,0.0101,0.0417,0.0809,0.1111,0.1012
2001-03-16,0.3278,-90.4689,E,,0.1373,0.0522,-0.1134,-0.2576,-0.313,-0.3091,-0.2955,-0.254,-0.121,-0.0467,-1e-04,-0.0134,-0.0275,-0.0396,-0.0388,-0.0185,0.0147,0.0294,0.0366,0.0371,0.0373,0.0391,0.0362,0.03,0.03,0.0273,0.0257,0.0291,0.0234
2001-03-16,0.3278,-90.4689,N,0.0754,0.0646,0.0589,0.0643,0.0588,0.0674,0.0649,0.0566,0.0531,0.0744,0.0743,0.069,0.0747,0.0636,0.0537,0.053,0.0578,0.0088,-0.1325,-0.1416,-0.13,-0.1195,-0.1034,-0.0586,-0.0171,0.0455,0.0948,0.1215,0.1223,0.1229
2001-03-16,0.3278,-90.4689,NE,,-0.1511,-0.0972,-0.0715,-0.0957,-0.0916,-0.1345,-0.1398,-0.1653,-0.1367,-0.1554,-0.1202,-0.1211,-0.1223,-0.0726,-0.0559,-0.0383,-0.0219,0.0094,0.0124,0.0067,0.0081,-0.0011,0.0238,0.0128,0.0112,0.0493,0.0632,0.0748,0.1017
2001-03-16,0.3278,-90.4689,NO,,0.0766,0.0626,0.0698,0.0802,0.0868,0.0822,0.0674,0.0719,0.0691,0.0724,0.0613,0.0438,0.0294,0.0204,-0.0296,-0.0653,-0.1247,-0.1622,-0.1245,-0.1089,-0.0808,-0.0156,0.051,0.0781,0.058,0.0765,0.0369,-0.0777,-0.1453
2001-03-16,0.3278,-90.4689,O,0.1511,0.143,0.1415,0.1399,0.1387,0.1304,0.1285,0.1285,0.1353,0.1356,0.1347,0.1306,0.1302,0.1347,0.1296,0.1226,0.0698,0.0322,-0.1225,-0.1042,-0.0822,-0.0975,-0.068,-0.0202,-0.0142,0.0014,-0.0259,-0.0152,-0.0454,-0.0584
2001-03-16,0.3278,-90.4689,S,0.1419,0.1308,0.1154,0.1025,0.1086,0.091,0.0748,0.0684,0.0705,0.0663,0.0619,0.0386,0.0401,0.0262,0.0104,-0.0253,-0.0149,0.0156,0.0351,0.0279,0.0145,0.011,0.0254,0.0098,0.0137,-0.0076,-0.0533,-0.0569,-0.0461,-0.0379
2001-03-16,0.3278,-90.4689,SE,,0.1422,0.0804,0.0122,-0.1251,-0.1732,-0.1912,-0.1988,-0.1479,-0.0872,-0.0483,-0.0307,-0.0334,-0.0276,-0.0282,-0.0363,-0.0275,-0.0027,0.0475,0.0437,0.0504,0.019,0.0032,-0.0005,0.0029,0.0219,0.031,0.0277,0.0146,0.0189
2001-03-16,0.3278,-90.4689,SO,,0.1261,0.1223,0.1238,0.1235,0.1087,0.0902,0.0987,0.0997,0.0952,0.0928,0.0947,0.0965,0.0894,0.0693,0.0446,0.0474,-0.0041,0.016,0.0154,-0.0443,0.006,0.012,-0.016,0.0231,0.03,0.0256,0.024,-0.0864,0.0391
2001-10-26,0.3257,-90.4708,E,,0.1863,0.1762,0.1606,0.1464,0.1316,0.1199,0.1138,0.0916,0.0512,0.0037,-0.0123,-0.0038,-0.0065,-0.0061,-0.0098,-0.0122,-0.0108,-0.0337,-0.0497,0.0133,,,,,,,-0.0416,-0.0429,-0.0175
2001-10-26,0.3257,-90.4708,N,0.0887,0.0886,0.0742,0.0679,0.0616,0.0476,0.0266,-0.0031,-0.0164,-0.0044,0.0257,,,,,,,,,,0.0811,0.0923,0.0588,-0.0329,-0.0542,-0.0251,-0.0157,-0.0237,-0.0141,0.0158
2001-10-26,0.3257,-90.4708,NE,,0.1284,0.1257,0.1165,0.1047,0.0584,0.0112,-0.0293,-0.0557,-0.0391,-0.002,0.0239,0.0454,0.0217,0.0015,-0.0157,-0.0225,-0.023,-0.0268,-0.0063,0.0498,,,,,,,,,
2001-10-26,0.3257,-90.4708,NO,,,,,,,,,,,,,,,,,,,,,0.0548,0.0096,-0.016,-0.0023,0.014,0.0069,0.0056,-0.0118,0.0035,0.0103
2001-10-26,0.3257,-90.4708,O,,,,,,,,,,,,,,,,,0.0565,0.1157,0.1237,0.1156,0.0736,-0.0346,-0.0407,-0.024,-0.0119,0.0022,-0.0076,-0.0086,-0.0018,0.0072
2001-10-26,0.3257,-90.4708,S,,0.0791,0.0784,0.0644,0.0657,0.0491,0.0091,-0.0215,-0.0371,-0.0519,-0.0622,-0.0813,-0.0448,-0.0157,-0.003,0.004,0.0344,0.0475,0.073,0.09,0.0807,0.0415,-0.0188,-0.0078,-0.0431,-0.0221,-0.0269,-0.0003,0.0279,0.0286
2001-10-26,0.3257,-90.4708,SE,0.2133,0.1968,0.1919,0.1732,0.1682,0.1489,0.1092,0.0483,-0.032,-0.0479,-0.064,-0.042,0.0067,0.033,0.0585,0.0603,0.0494,0.0312,0.0035,-0.0224,-0.0495,-0.0351,-0.0178,-0.0272,-0.0234,-0.0221,-0.0072,-0.004,0.0215,0.0263
2001-10-26,0.3257,-90.4708,SO,,0.1754,,0.1672,0.1635,0.1602,0.1197,0.0763,-0.0111,-0.0128,-0.0441,,,,,,,,,,,,-0.0655,-0.0366,-0.0482,0.0103,-0.0165,-0.0069,0.0287,0.0723
2002-03-19,0.3346,-90.4675,E,0.0263,0.0266,0.0178,0.0025,-0.0128,-0.0189,-0.0282,-0.0344,-0.0189,0.001,0.0023,0.0053,0.0024,-0.0055,-0.0071,-0.0179,-0.0136,-0.029,-0.029,-0.0151,-0.0073,0.0018,0.0156,0.017,0.0154,0.0062,0.0046,0.0014,-0.0109,-0.05
2002-03-19,0.3346,-90.4675,N,0.0567,0.0448,0.0319,0.0297,0.0402,0.0359,0.0278,0.0163,0.0054,0.001,0.014,0.0148,0.0034,0.0017,-0.0098,-0.0104,0.001,0.0023,0.0117,0.0122,-0.0011,-0.0104,-0.0031,0.0,0.0003,0.002,0.0116,0.0122,0.0091,0.01
2002-03-19,0.3346,-90.4675,NE,,0.0643,0.0469,0.0479,0.0416,0.0348,0.0227,0.0244,0.024,0.013,0.0124,0.012,0.006,-0.0,0.0008,0.0122,0.0003,-0.0113,-0.0236,-0.0119,-0.0097,0.0008,0.0012,0.002,0.0147,0.014,0.0013,0.0018,-0.0158,-0.0489
2002-03-19,0.3346,-90.4675,NO,,0.0905,0.091,0.0793,0.055,0.043,0.0409,0.0312,0.0303,0.0311,0.0311,0.0243,0.0305,0.0324,0.0325,0.0324,0.0341,0.0349,0.034,0.0213,0.0141,-0.006,-0.0097,-0.0035,-0.0449,-0.0208,-0.0255,-0.0248,-0.0244,-0.0129
2002-03-19,0.3346,-90.4675,O,,0.1354,0.1363,0.1241,0.1004,0.0815,0.0758,0.0751,0.0626,0.0494,0.0441,0.0493,0.0507,0.0514,0.0264,-0.0134,-0.0219,-0.0226,-0.0203,-0.0173,-0.023,-0.0226,-0.0249,-0.0057,-0.0208,-0.0201,-0.0302,-0.0309,-0.0314,-0.0215
2002-03-19,0.3346,-90.4675,S,0.1316,0.1188,0.113,0.1079,0.1092,0.1075,0.1051,0.0841,0.0543,0.0301,0.0068,-0.016,-0.0006,-0.02,0.0064,-0.0118,0.0072,0.0083,0.0032,0.0033,0.0033,-0.0224,-0.0232,-0.0134,-0.0164,1e-04,0.0057,-0.0164,-0.0113,-0.0104
2002-03-19,0.3346,-90.4675,SE,,0.0513,0.0416,0.043,0.0263,0.0265,0.029,0.0365,0.0313,0.0312,0.0305,0.0294,0.0371,0.033,0.0455,0.0571,0.0631,0.0524,0.0597,0.0466,0.0345,0.0218,0.0125,-0.0104,-0.002,-0.0395,-0.0396,-0.0372,-0.0287,-0.0558
2002-03-19,0.3346,-90.4675,SO,,0.0948,0.0932,0.0884,0.0882,0.0839,0.0835,0.0722,0.0631,0.0385,0.0326,0.0521,0.024,0.0298,-0.0082,-0.0158,-0.0109,-0.0236,-0.0292,-0.0331,-0.0315,-0.0315,-0.0297,-0.0218,-0.0123,-0.0363,-0.0165,0.009,0.0116,0.0199
