date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-04-07,11.9813,-86.1597,E,0.1567,0.1379,0.1056,,,,,,,,,,,,,,,,,,,,,,,,,0.0616,0.0648,0.0619
2000-04-07,11.9813,-86.1597,N,,0.2419,0.1951,0.1463,0.1089,0.0754,0.0675,0.0566,0.0435,0.0331,0.021,0.0062,-0.006,-0.006,-0.0076,-0.0123,-0.0185,-0.0221,-0.024,-0.0249,-0.0212,-0.002,0.0129,0.0161,-0.0067,-0.0069,0.0069,0.0066,0.0096,0.0229
2000-04-07,11.9813,-86.1597,NE,,0.1377,0.1065,0.0577,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-07,11.9813,-86.1597,NO,,0.2605,0.2077,0.1448,0.1026,0.0552,0.0322,0.011,-0.0074,-0.0145,-0.018,-0.0262,-0.0072,0.0083,0.0138,0.0159,0.0129,0.0123,0.0155,0.0145,0.018,0.0253,0.0287,0.0265,0.0228,0.0172,0.015,0.0106,0.0023,0.0024
2000-04-07,11.9813,-86.1597,O,0.1994,0.1791,0.1451,0.1081,0.0683,0.0643,0.0188,0.015,-0.0122,-0.0196,-0.0281,-0.0179,-0.0124,-0.0066,-0.0017,-0.0054,-0.0078,-0.0093,-0.0082,0.0104,0.0202,0.0147,0.0121,0.0145,0.0162,0.0177,0.0069,-0.0076,-0.0151,-0.0201
2000-04-07,11.9813,-86.1597,S,0.1419,0.1141,0.0813,0.0584,0.026,0.0421,0.0535,0.0569,0.0553,0.0168,0.0123,-0.0027,-0.0127,-0.0231,-0.0202,-0.026,-0.0284,-0.0305,-0.0325,-0.0315,-0.0311,-0.0227,-0.011,-0.0008,-0.0138,-0.0292,-0.0101,0.0074,0.0308,0.0495
2000-04-07,11.9813,-86.1597,SE,,0.0829,0.0228,-0.0329,-0.0454,-0.0514,-0.033,-0.0381,-0.0437,-0.0512,-0.0523,-0.054,-0.0521,-0.0524,-0.0453,-0.027,-0.0244,-0.0206,-0.0104,-0.0059,-0.0209,-0.0003,-0.0006,0.0094,0.0153,0.0144,0.0195,0.0256,0.0438,0.0435
2000-04-07,11.9813,-86.1597,SO,,0.1325,0.1162,0.1064,0.1011,0.1013,0.0858,0.0653,0.0525,0.036,0.017,-0.0034,-0.0148,-0.031,-0.0302,-0.0356,-0.0271,-0.0233,-0.0271,-0.0202,-0.01,0.0008,0.0078,0.0035,0.0114,-0.0008,-0.002,0.0034,0.0021,0.0047
2001-03-25,11.9861,-86.1633,E,,0.1384,0.037,-0.0083,-0.0011,0.0065,0.0163,-0.0143,-0.024,-0.0252,-0.0214,-0.0261,-0.0228,-0.0117,-0.0002,0.0195,0.0247,0.0232,0.0252,0.0242,0.0204,0.0195,0.0146,0.0102,0.0064,-0.0034,-0.0092,-0.0172,-0.0241,-0.0359
2001-03-25,11.9861,-86.1633,N,0.1759,0.1701,0.0976,0.1018,0.114,0.1151,0.0881,0.0616,0.0313,0.0452,0.0415,0.0453,0.0304,0.01,-0.0606,-0.0724,-0.0724,-0.0724,-0.0725,-0.0453,-0.0097,0.0179,0.0287,0.0366,0.0371,0.0372,0.0231,0.0115,0.0086,-0.0009
2001-03-25,11.9861,-86.1633,NE,,0.182,0.1408,0.111,0.1279,0.0719,0.0672,0.0233,0.0372,0.028,0.0218,-0.0084,-0.0137,-0.0067,-0.0214,-0.0076,-0.0087,-0.0162,-0.0029,-0.0273,-0.0154,-0.0213,-0.025,-0.0189,-0.0105,-0.0071,0.0101,0.0031,0.0122,0.0102
2001-03-25,11.9861,-86.1633,NO,,0.1506,0.0972,0.0417,0.0223,0.0077,0.0161,-0.0079,-0.035,-0.0534,-0.0338,-0.0477,-0.0468,-0.044,-0.0547,-0.0547,-0.0447,-0.041,-0.0305,1e-04,0.0324,0.0412,0.0197,0.0125,0.018,-0.0002,-0.0089,-0.0046,-0.0371,-0.0128
2001-03-25,11.9861,-86.1633,O,0.1638,0.1585,0.1247,0.1034,0.0997,0.0736,0.0727,0.0389,0.0243,-0.0044,-0.0074,-0.0205,-0.0246,-0.035,-0.0396,-0.0416,-0.0411,-0.0374,-0.0355,-0.0238,-0.0126,0.0153,0.007,0.009,-0.006,-0.0183,-0.0216,-0.0211,-0.0221,-0.0218
2001-03-25,11.9861,-86.1633,S,-0.0016,-0.0864,-0.1197,-0.1309,-0.1221,-0.1076,-0.0773,-0.0481,-0.0642,-0.0304,-0.0737,-0.0977,-0.1702,-0.1347,-0.0681,-0.0132,0.0253,-0.001,0.0016,0.0103,0.0098,0.0206,0.0248,0.0116,0.0168,0.0239,0.0447,0.0388,0.03,0.0208
2001-03-25,11.9861,-86.1633,SE,,-0.0603,-0.1096,-0.115,-0.0904,-0.0696,-0.0471,-0.0388,-0.033,-0.0061,-0.0222,-0.0283,-0.0025,-0.0061,0.0002,0.003,0.0016,0.0032,-0.0009,-0.0071,-0.0141,-0.0211,-0.0132,-0.0196,-0.0263,-0.0293,-0.0115,0.0091,0.0371,0.0585
2001-03-25,11.9861,-86.1633,SO,,0.0289,0.0214,-0.0257,-0.0634,-0.0651,-0.0707,-0.0613,-0.05,-0.0521,-0.0669,-0.0726,-0.09,-0.0968,-0.0677,-0.0834,-0.0919,-0.0932,-0.0518,-0.0376,-0.0117,0.0219,0.0568,0.0628,0.0895,0.0765,0.0933,0.0662,0.0876,0.0899
2001-07-15,11.9861,-86.1633,E,,0.0564,0.0354,0.0221,0.0186,0.0147,0.0159,-0.0157,-0.016,-0.0178,-0.0189,-0.0188,-0.014,-0.0082,-0.001,0.0117,0.0101,0.013,0.0097,0.0096,0.0136,0.0123,0.0132,0.0131,0.0097,0.0041,-0.003,-0.0064,-0.0151,-0.034
2001-07-15,11.9861,-86.1633,N,0.1024,0.0894,0.0367,0.0657,0.1066,0.0848,0.0633,0.047,0.0475,0.0621,0.0399,0.0378,0.0137,-0.0211,-0.0426,-0.0611,-0.0595,-0.0662,-0.0524,0.0056,0.026,0.0628,0.0991,0.0828,0.0796,0.0637,0.0717,0.0594,0.0347,0.0181
2001-07-15,11.9861,-86.1633,NE,,0.0668,0.0469,0.0503,0.0403,0.0117,-0.0164,-0.0261,-0.0299,-0.0045,0.0117,0.0113,0.0092,0.0184,0.0241,0.0103,0.0046,0.0349,0.0236,0.0368,0.018,0.0018,0.0171,0.0094,0.0065,-0.0058,-0.0245,-0.0218,-0.0098,0.007
2001-07-15,11.9861,-86.1633,NO,,0.0815,0.0676,0.0524,0.0211,0.01,0.0024,-0.0098,-0.0012,0.0149,0.0221,0.0217,0.018,0.012,0.008,0.0008,-0.0066,-0.0177,-0.0057,0.0111,0.024,0.0329,0.0205,0.0076,-0.0142,-0.0388,-0.0517,-0.0501,-0.0504,-0.0488
2001-07-15,11.9861,-86.1633,O,0.0714,0.0789,0.0692,0.0687,0.0756,0.075,0.0584,0.0543,0.0386,0.0438,0.0123,-0.0009,0.0047,-0.005,-0.0053,-0.024,-0.0286,-0.0206,-0.0181,-0.0158,-0.0112,-0.0048,-0.0092,-0.0114,-0.0089,-0.0047,-0.0022,0.0019,0.0036,0.0052
2001-07-15,11.9861,-86.1633,S,-0.0014,-0.0161,-0.039,-0.0463,-0.0376,-0.0109,0.0151,0.0384,0.0202,0.0288,-0.0053,-0.0443,-0.1127,-0.1101,-0.0651,-0.0203,-0.0107,-0.0181,-0.0079,-0.0011,0.0027,0.0045,0.0049,0.0085,0.0116,0.0295,0.0203,0.0117,-0.004,-0.0138
2001-07-15,11.9861,-86.1633,SE,,0.0167,-0.0041,-0.0085,-0.0209,-0.017,-0.0138,-0.0102,-0.0072,0.0089,-0.0055,-0.0055,0.0098,0.013,0.0118,0.0154,0.0108,0.0098,0.0102,0.0105,0.0109,0.0095,0.0047,0.0075,-0.0224,-0.0063,0.0091,0.0039,0.0023,0.0252
2001-07-15,11.9861,-86.1633,SO,,-0.0004,0.0028,0.0087,-0.0057,-0.0121,-0.0225,0.0046,0.001,-0.004,-0.0141,-0.048,-0.0334,-0.0464,-0.0465,-0.0429,-0.0286,0.0059,-0.0124,0.019,0.0346,0.0061,0.0579,0.0418,0.0576,0.0167,0.059,0.0397,0.0458,0.0527
2002-11-23,11.9867,-86.1622,E,,0.1397,0.0381,-0.0026,-0.0332,-0.0181,-0.0181,-0.0218,-0.0258,-0.0324,-0.024,-0.0158,0.0005,0.0091,0.0173,0.0294,0.0268,0.0211,0.0195,0.0194,0.0197,0.0279,0.0241,0.0203,0.0173,0.0093,-0.015,-0.0239,-0.0339,-0.0343
2002-11-23,11.9867,-86.1622,N,,0.1337,0.1112,0.0714,0.0179,0.0563,0.0416,0.0494,0.0355,0.0252,-0.0045,-0.0158,-0.0128,-0.0319,-0.0216,-0.028,0.0007,0.0114,0.03,0.0352,0.0361,0.0392,0.0423,0.0304,0.0272,0.0138,0.0042,0.0029,-0.0128,-0.0762
2002-11-23,11.9867,-86.1622,NE,0.2033,0.1488,0.1124,0.1277,0.1084,0.1017,0.0955,0.0646,0.0358,0.0047,-0.0138,-0.0246,-0.0245,-0.0233,-0.03,-0.0235,-0.0234,-0.0256,-0.0265,-0.0238,-0.0244,-0.0091,-0.0086,-0.0037,-0.002,-0.004,0.015,0.0023,0.0163,0.0294
2002-11-23,11.9867,-86.1622,NO,,0.196,0.1834,0.1276,0.0767,0.0915,0.0925,0.0846,0.0713,0.0291,0.0019,-0.0115,-0.0182,-0.0217,-0.0282,-0.0376,-0.0401,-0.0375,-0.0006,0.0285,0.0275,0.0052,0.0194,-0.014,-0.028,-0.0404,-0.0331,-0.0284,-0.0245,-0.0207
2002-11-23,11.9867,-86.1622,O,0.1851,0.1517,0.1034,0.0365,0.0054,-0.0125,-0.0273,-0.0262,-0.0339,-0.039,-0.0369,-0.0341,-0.042,-0.0483,-0.0666,-0.0461,-0.0438,-0.0322,-0.0245,0.0026,0.0097,0.054,0.0899,0.0941,0.0733,0.0221,-0.0017,-0.0287,-0.0404,-0.0395
2002-11-23,11.9867,-86.1622,S,0.0789,0.0136,0.0146,-0.0412,-0.0693,-0.0687,-0.0797,-0.0779,-0.0639,-0.0483,-0.0301,-0.0154,-0.0196,-0.0195,-0.0099,-0.0093,-0.0103,-0.0045,0.0125,0.0322,0.0312,0.0144,0.0191,0.033,0.0075,-0.0013,0.0042,0.0103,0.0256,0.0304
