date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-05,19.4748,-155.6028,E,,,,,,0.0162,,0.0244,,,,,,,,,,0.0273,0.0234,,,,0.0123,,-0.0064,,,,,-0.0281
2000-02-05,19.4749,-155.6028,E,,,0.0478,0.0136,,,0.0191,,0.0101,0.006,0.0138,,0.015,0.0051,,-0.0062,,,,,0.0162,,,0.0025,,-0.0095,,-0.0237,,
2000-02-05,19.475,-155.6029,E,,0.0487,,,0.0193,,,,,,,0.0205,,,-0.0095,,0.0196,,,0.0252,,0.0155,,,,,-0.0169,,-0.0225,
2000-02-05,19.4748,-155.6028,N,0.0346,,,,-0.0355,-0.0477,,,,,,,,,-0.0296,-0.0222,-0.0092,,-0.0069,-0.0046,,-0.0036,,,,,,,,0.0155
2000-02-05,19.4749,-155.6028,N,,0.0357,0.0033,-0.0198,,,,,,,-0.0085,-0.0204,,-0.0214,,,,-0.015,,,,,,,,,,,0.0253,
2000-02-05,19.475,-155.6029,N,,,,,,,-0.0035,0.0063,0.0034,-1e-04,,,-0.0214,,,,,,,,-0.0122,,0.0007,0.0008,0.0041,0.0107,0.0211,0.0257,,
2000-02-05,19.4748,-155.6028,NE,,,0.0081,,,,-0.0534,,-0.0529,,,,0.0213,0.0195,,0.0226,,0.0201,,,,-0.0073,,0.0028,,0.012,0.0183,,0.0124,
2000-02-05,19.4749,-155.6028,NE,,0.0197,,,-0.0184,-0.0424,,,,,,0.0264,,,,,,,,-0.0007,,,,,,,,,,
2000-02-05,19.475,-155.6029,NE,0.0277,,,0.004,,,,-0.0564,,0.0314,0.017,,,,0.0086,,0.0208,,0.0191,,-0.0027,,-0.0161,,0.0028,,,0.037,,-0.0034
2000-02-05,19.4748,-155.6028,NO,,,0.0245,,-0.0069,,-0.0145,,-0.0097,-0.0094,,,,-0.0018,,,,-0.0131,,0.0053,,0.0151,,,0.0059,0.004,,,-0.0006,
2000-02-05,19.4749,-155.6028,NO,,0.0351,,0.0009,,,,,,,,-0.006,,,,-0.015,-0.0163,,,,0.0181,,0.0178,,,,,,,
2000-02-05,19.475,-155.6029,NO,,,,,,0.0026,,-0.0166,,,-0.0095,,0.0012,,-0.0122,,,,-0.0074,,,,,0.0168,,,0.0034,-0.0056,,-0.0049
2000-02-05,19.4748,-155.6028,O,0.1046,,,0.0829,,0.0785,,,,,0.0471,,,0.0439,0.04,0.0232,,,,,,,-0.0017,,0.0005,-0.0031,,,,
2000-02-05,19.4749,-155.6028,O,,0.1059,0.0794,,,,,0.0653,,,,0.0469,0.0439,,,,,,0.0255,0.0281,0.027,-0.0005,,,,,,-0.0403,,
2000-02-05,19.475,-155.6029,O,,,,,0.0849,,0.0719,,0.0595,0.0535,,,,,,,0.0198,0.0246,,,,,,0.0014,,,-0.0418,,-0.0409,-0.0431
2000-02-05,19.4748,-155.6028,S,,0.2207,,0.2291,,,0.0172,,,-0.0173,,,0.0326,,,,,-0.0033,,,-0.0133,-0.0133,,,-0.0206,,,,,-0.011
2000-02-05,19.4749,-155.6028,S,,,,,0.1631,0.0809,,,0.0452,,,,,,0.0162,0.0115,,,-0.0114,-0.0134,,,-0.0091,-0.0102,,,,-0.0124,,
2000-02-05,19.475,-155.6029,S,,,0.1969,,,,,0.0048,,,0.004,0.0243,,0.0154,,,0.0041,,,,,,,,,-0.0194,-0.0139,,-0.0092,
2000-02-05,19.4748,-155.6028,SE,,,0.1793,,0.1898,,,0.0364,,0.0279,,,0.0197,0.0071,,0.0192,,,,,0.0046,,,,-0.0194,,-0.0079,,-0.0141,
2000-02-05,19.4749,-155.6028,SE,,0.174,,,,,,,,,0.0032,,,,,,,0.009,1e-04,,,0.0046,-0.0017,,,,,-0.0053,,
2000-02-05,19.475,-155.6029,SE,0.1696,,,0.1828,,0.1766,0.1026,,0.0246,,,0.0237,,,0.006,,0.0149,,,-0.0024,,,,-0.0044,,-0.018,,,,-0.011
2000-02-05,19.4748,-155.6028,SO,,,0.0642,,,,0.0668,,,0.0405,,0.0322,,,0.045,,,0.029,,,0.0154,,,,,,-0.0293,,-0.0417,
2000-02-05,19.4749,-155.6028,SO,,,,0.062,0.073,,,,0.0421,,,,,0.0308,,,,,0.0197,,,0.0144,0.0074,,-0.0143,-0.022,,,,
2000-02-05,19.475,-155.6029,SO,0.0567,0.0633,,,,0.0798,,0.0614,,,0.0218,,0.0361,,,0.0241,0.0224,,,0.0229,,,,-0.0026,,,,-0.0357,,-0.0473
2000-02-21,19.4738,-155.6008,E,,,0.0964,,,,0.0848,,,0.0577,,0.0449,,,0.0299,,-0.0333,,,-0.0076,,0.015,,0.0286,,,-0.022,,,-0.0325
2000-02-21,19.4738,-155.6009,E,,0.0994,,,0.0875,,,0.0826,0.0763,,,,,,,,,,-0.0269,,,,,,0.0048,,,,-0.0267,
2000-02-21,19.4738,-155.6009,E,0.1071,,,0.0879,,0.0829,,,,,0.0508,,0.0457,0.038,,-0.0182,,-0.0258,,,-0.0058,,0.0358,,,-0.0143,,-0.0243,,
2000-02-21,19.4738,-155.6008,N,,,0.0734,,,0.033,,0.0021,0.0034,,-0.0163,,,-0.0358,,,-0.0267,,-0.0049,,,,,-0.0012,0.0187,,0.0239,,0.013,
2000-02-21,19.4738,-155.6009,N,,,,,0.0375,,,,,,,-0.0219,,,-0.0391,-0.0387,,,,,0.0118,,-0.0082,,,,,0.0194,,
2000-02-21,19.4738,-155.6009,N,,0.0768,,0.0614,,,0.0055,,,-0.0119,,,-0.0274,,,,,-0.0314,,-0.0072,,-0.0009,,,,0.0203,,,,0.0099
2000-02-21,19.4738,-155.6008,NE,,,,0.0761,,0.0405,,,,-0.0179,,,-0.0021,,0.0037,,0.007,,,,-0.018,,,,,0.0165,,0.0064,,
2000-02-21,19.4738,-155.6009,NE,,0.0873,,,,,,0.0135,,,,,,,,,,,-0.0144,,,-0.028,-0.0027,,,,,,0.0044,
2000-02-21,19.4738,-155.6009,NE,,,0.0796,,0.0647,,0.0241,,-0.0006,,-0.003,-0.0099,,0.0116,,0.0106,,-0.0065,,-0.015,,,,0.0082,0.0134,,0.0148,,,-0.0005
2000-02-21,19.4738,-155.6008,NO,,0.0507,,0.0399,,0.0188,,-0.0065,-0.0139,,,,0.0024,,0.0039,,-0.0003,,-0.0174,,-0.0017,,,0.0109,,0.018,,-0.0012,,0.0098
2000-02-21,19.4738,-155.6009,NO,,,,,,,,,,,-0.0246,-0.0011,,,,,,,,,,0.0056,0.0093,,,,,,,
2000-02-21,19.4738,-155.6009,NO,,,0.0489,,0.0294,,0.0063,,,-0.023,,,,0.0221,,0.0158,,-0.0108,,-0.0145,,,,,0.0156,,0.0084,,0.0079,
2000-02-21,19.4738,-155.6008,O,,,0.016,,0.0246,,0.0211,,,,,-0.0133,,-0.0039,0.001,,0.0133,,,,,0.0173,,-0.0027,,,-0.0083,-0.0127,,
2000-02-21,19.4738,-155.6009,O,,0.0447,,,,,,,0.0028,-0.0062,,,,,,,,0.0181,,0.0025,,,,,,-0.0,,,,
2000-02-21,19.4738,-155.6009,O,,,,0.0324,,0.0224,,0.0066,,,-0.002,,-0.0111,,,0.0061,,,-0.0037,,0.0086,,-0.0047,,0.0005,,,,-0.0134,-0.0188
2000-02-21,19.4738,-155.6008,S,,,,,,,,0.1241,,0.0527,0.0515,,-0.0122,-0.038,,,,,,,0.0302,,-1e-04,,,-0.0207,,-0.0336,-0.0419,
2000-02-21,19.4738,-155.6009,S,0.116,0.1223,,0.1269,0.1259,,0.1258,,,,,,,,,-0.05,,,0.0324,,,,,,,,-0.0256,,,
2000-02-21,19.4738,-155.6009,S,,,0.1236,,,0.1231,,,0.0491,,,0.0193,,,-0.0737,,-0.0058,0.0203,,0.048,,0.0202,,-0.0112,-0.013,,,,,-0.0471
2000-02-21,19.4738,-155.6008,SE,,0.0976,,0.0968,,0.1038,,0.0554,,,0.0165,,0.0064,,,,-0.0327,,-0.0047,,0.0095,,,0.0304,,-0.0062,,-0.0275,,
2000-02-21,19.4738,-155.6009,SE,,,,,,,,,,0.0325,,,,0.001,-0.021,,,,,,,,0.0401,,0.0149,,-0.0206,,,-0.0368
