date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-06-05,13.2607,123.6825,E,0.0309,0.0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-05,13.2607,123.6825,N,,,,,,,-0.0098,-0.0073,-0.0071,0.0049,0.0111,0.0175,0.0111,-0.0005,-0.0012,-0.0012,0.0024,-0.0014,-0.018,,,-0.0248,,,,,-0.0219,-0.0221,-0.0223,
2001-06-05,13.2607,123.6825,NE,,,,,,,,,,,,0.0127,0.0029,0.0118,1e-04,0.001,,,-0.0105,-0.0269,,,,,,,,,,
2001-06-05,13.2607,123.6825,NO,0.0425,0.0209,,-0.009,0.007,-0.0004,-0.0119,-0.019,-0.0082,0.0058,0.012,0.0033,-0.0033,-0.0224,,,,,,,,,,,,,-0.0228,-0.0227,,
2001-06-05,13.2607,123.6825,O,,,,0.0321,,0.0123,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-05,13.2607,123.6825,S,,0.0281,,,0.0202,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-05,13.2607,123.6825,SE,0.0374,,0.0383,0.0386,0.0457,0.0525,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-05,13.2607,123.6825,SO,0.0494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-04,13.2613,123.6852,E,-0.0041,-0.0011,0.0018,0.0022,0.0034,0.0016,0.0003,0.0007,0.0016,,0.0038,-0.0028,,,,,,,,,,,,,,,,,,
2002-03-04,13.2613,123.6852,N,,-0.0157,-0.0201,-0.0224,-0.0228,-0.0184,-0.0094,-0.003,-0.0006,0.0043,0.0092,0.0077,0.0133,0.0051,-0.009,-0.0147,-0.0146,-0.0126,-0.0024,-0.0048,-0.0051,-0.0086,-0.016,-0.0115,,,0.0253,,0.0309,
2002-03-04,13.2613,123.6852,NE,,-0.0145,-0.0166,-0.0124,-0.0133,-0.0126,-0.01,-0.0047,-0.0004,0.0045,-0.0004,0.007,,,,,,,,,,,,,,,,,,
2002-03-04,13.2613,123.6852,NO,,0.0073,-0.0029,-0.0119,-0.0144,-0.0151,-0.0122,-0.0079,0.0016,0.0052,0.0141,0.0055,0.0069,,,,,,,,,,,,,,,,,
2002-03-04,13.2613,123.6852,O,0.0345,0.0311,0.0235,0.0198,0.0161,0.0167,0.0139,0.0063,0.0028,-0.0054,0.0049,0.0015,-0.003,-0.0152,-0.0154,-0.0159,-0.0175,-0.0163,-0.0169,-0.0159,-0.0153,-0.0164,-0.0151,-0.0163,0.0079,0.0088,0.0112,0.0161,0.0188,0.0164
2002-03-04,13.2613,123.6852,S,,0.029,0.0091,0.0065,0.0072,0.0044,-0.0015,-0.0096,-0.0132,-0.0074,-0.0018,0.0062,0.0067,0.0142,0.0096,0.0086,0.0052,-0.0019,-0.0027,-0.0054,-0.0061,-0.0072,-0.014,-0.0116,-0.0065,0.003,0.0052,0.007,-0.0009,-0.0059
2002-03-04,13.2613,123.6852,SE,,0.0539,,0.0393,,,,,,,,,,,,,0.001,0.0033,-0.0071,0.0008,,,,,,,,,,
