date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-03,43.3824,144.0093,E,,0.0298,0.0216,0.0174,0.0153,0.0174,0.0173,0.0192,0.0247,0.0247,0.025,0.0313,0.0223,0.0092,-0.0011,-0.0057,-0.0048,-0.0091,-0.0102,-0.0081,-0.0059,-0.004,-0.0063,-0.0017,-0.0014,0.003,0.0004,-0.0074,-0.0155,-0.0039
2000-02-03,43.3824,144.0093,N,,0.0096,0.0042,0.0046,0.01,0.0041,0.012,0.0092,0.0111,0.0095,0.0092,0.0076,0.006,-0.0028,-0.001,-0.0054,-0.0057,-0.0036,-0.0016,-0.0007,0.0021,0.0017,0.0022,0.0012,0.0007,-0.0018,-0.0002,-0.0004,-0.0009,-0.0043
2000-02-03,43.3824,144.0093,NE,0.0367,0.0249,0.013,0.007,0.0009,-0.0074,-0.0115,-0.0074,-0.0012,0.0007,0.0048,0.0088,0.0088,0.0048,0.0048,0.0008,0.0008,-0.0032,-0.0072,-0.0052,-0.0031,-0.003,0.001,0.0011,-0.003,-0.003,-0.003,-0.003,-0.0029,0.0011
2000-02-03,43.3824,144.0093,NO,0.0492,0.0375,-0.0017,0.0058,0.0056,0.005,0.0017,0.0011,-0.0023,0.0007,0.0006,0.0043,0.0061,0.0042,0.004,0.0031,0.003,-0.0049,-0.0073,-0.008,-0.0046,-0.0013,0.0018,0.0028,0.0051,0.0051,0.0045,0.0044,0.0004,-0.0039
2000-02-03,43.3824,144.0093,O,,0.0812,0.0514,0.0376,0.0282,0.0273,0.0257,0.0241,0.0242,0.0221,0.0209,0.0159,0.0104,0.0132,0.0079,0.0054,0.0028,-0.0031,-0.0094,-0.0162,-0.017,-0.018,-0.0154,-0.0092,-0.0069,-0.0043,-0.0011,0.0016,0.0135,0.0131
2000-02-03,43.3824,144.0093,S,,0.0176,0.0094,0.0131,0.0125,0.0125,0.0244,0.0244,0.0201,0.0144,0.0107,0.0032,0.0016,0.0021,0.0028,-0.0006,-0.0022,-0.0065,-0.0057,-0.0041,-0.0069,-0.0033,-0.0064,-0.0057,-0.0018,-0.0035,0.0012,0.0013,0.0025,0.0037
2000-02-03,43.3824,144.0093,SE,0.0477,0.03,0.0177,0.0152,0.015,0.0145,0.0112,0.0066,0.0062,0.0067,0.0078,0.012,0.0201,0.0261,0.037,0.0285,0.0112,0.0048,0.0303,0.0119,0.0016,-0.0104,-0.0159,-0.0214,-0.02,-0.019,-0.0179,-0.0166,-0.0153,-0.0145
2000-02-03,43.3824,144.0093,SO,0.0716,0.0372,0.0262,0.0264,0.0289,0.03,0.0277,0.0288,0.0291,0.027,0.0255,0.0299,0.0245,0.0268,0.0243,0.0217,0.0143,0.0074,0.0037,-0.0154,-0.0231,-0.0226,-0.0218,-0.0263,-0.0222,-0.0231,-0.0232,-0.0207,-0.0225,-0.0201
2000-03-22,43.3807,144.0125,E,,-0.0075,-0.0043,-0.0007,-0.0011,,-0.0006,0.0005,0.0018,0.0026,-0.0084,-0.0106,,,,,,,,,,,,,,,,,,
2000-03-22,43.3807,144.0125,N,0.0149,0.0107,0.003,0.003,-0.0019,-0.0058,-0.0096,-0.0067,-0.0021,0.0022,0.0018,0.0016,0.0007,0.0033,0.0026,0.0018,0.0013,0.0007,-1e-04,0.0024,0.0016,0.0009,0.0003,0.0002,-0.0003,-0.0008,-0.0011,-0.0011,-0.0018,0.0005
