date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-12-05,-7.5409,110.4459,E,,,0.1246,0.099,0.0426,0.0119,-0.0141,-0.0156,-0.0203,-0.0225,-0.0257,-0.0306,-0.0276,-0.0247,-0.0163,-0.0092,0.0022,0.0052,-0.0012,-0.0086,-0.0055,-0.0008,-0.0026,-0.0071,-0.0,0.0002,-0.0029,-0.0042,-0.0082,-0.0138
2000-12-05,-7.5409,110.4459,N,0.103,0.0707,0.0116,-0.0329,-0.0536,-0.0249,-0.0009,0.0418,0.0283,0.0284,0.0227,0.0147,-0.0008,-0.0007,-0.0046,-0.0033,-0.0206,-0.0111,-0.0059,0.0084,0.0196,0.0121,0.0024,0.016,-0.0048,-0.0098,-0.0017,-0.0181,-0.0221,-0.0237
2000-12-05,-7.5409,110.4459,NE,,0.0597,0.0067,-0.016,0.0016,-0.028,-0.0405,0.0087,-0.007,-0.01,-0.0103,-0.0102,-0.0127,-0.0063,-0.0039,0.0055,0.0053,0.0281,0.0137,0.0185,0.0264,0.0332,0.0307,0.0235,-0.0006,-0.015,-0.0364,-0.0186,-0.0169,-0.0237
2000-12-05,-7.5409,110.4459,NO,,0.0961,0.0694,0.0303,0.0162,0.025,0.0221,0.019,0.0025,0.0015,0.0053,0.004,-0.0024,-0.0143,-0.0153,-0.0115,-0.0034,-0.0147,-0.0147,-0.0209,-0.0146,-0.023,-0.0145,0.0008,0.0055,0.0106,0.0182,0.0396,0.0328,0.0363
2000-12-05,-7.5409,110.4459,O,,,0.1445,0.0956,0.0901,0.0754,0.0544,0.0318,-0.0007,-0.0126,-0.0123,-0.0027,0.018,0.0305,0.0367,0.0341,0.0245,0.0247,0.0402,0.0367,0.0344,0.0204,0.0151,0.012,0.0088,-0.0013,0.0046,-0.0048,-0.0142,-0.0284
2000-12-05,-7.5409,110.4459,S,0.3351,0.2694,0.1545,0.1575,0.1315,0.0698,0.0479,0.0345,0.0225,0.0201,0.0133,0.0083,0.0162,0.0146,0.0127,-0.0031,-0.0106,-0.0158,-0.0291,-0.0269,-0.0345,-0.0361,-0.0337,-0.0337,-0.0305,-0.0316,-0.0179,-0.0094,-0.0085,0.0016
2000-12-05,-7.5409,110.4459,SE,,0.1629,0.154,0.1198,0.0274,0.0091,0.0071,0.006,0.0046,0.0023,0.0005,-0.0011,-0.0028,-0.005,-0.0071,-0.0089,-0.0102,-0.0118,-0.0133,-0.0153,-0.0166,-0.0185,-0.0188,-0.0198,-0.011,0.0013,0.0031,0.0198,0.0111,0.0324
2000-12-05,-7.5409,110.4459,SO,,0.2576,0.2896,0.2631,0.1946,0.1401,0.1124,0.0569,0.035,0.0244,0.0027,-0.0402,-0.0117,-0.0324,-0.0172,-0.0377,-0.0582,-0.011,-0.0208,-0.0497,-0.0193,-0.0078,-0.0045,-0.0012,-0.0037,-0.0445,-0.0212,-0.0129,-0.0053,-0.0228
2001-04-28,-7.5411,110.4421,E,,0.3349,0.1007,,-0.0068,0.025,0.0657,0.0325,,,,,,,,,,-0.057,-0.0341,-0.0312,-0.043,-0.0091,-0.0193,-0.0108,0.0047,0.0092,0.0055,0.005,0.0019,0.0049
2001-04-28,-7.5411,110.4421,N,,0.7089,0.3056,0.3125,0.3351,0.3613,0.4913,0.5767,0.3393,0.2298,0.0977,0.0166,-0.0044,-0.0285,-0.0288,-0.0585,-0.0734,-0.0863,-0.0787,-0.0352,-0.0137,-0.0095,0.0035,0.0122,0.0086,-1e-04,0.0019,-0.0011,0.0034,0.0003
2001-04-28,-7.5411,110.4421,NE,,0.3382,0.1123,0.0693,0.1493,0.1947,0.1429,0.139,0.0608,0.0464,-0.0197,-0.0643,-0.0427,-0.0359,-0.0251,-0.0195,-0.0124,-0.0005,-0.0061,-0.0344,-0.0379,-0.0265,-0.0042,0.0135,0.0102,0.0206,0.0093,0.006,0.0063,-0.0033
2001-04-28,-7.5411,110.4421,NO,,0.7982,0.3552,0.1448,0.1039,-0.0365,-0.0269,-0.0091,-0.0398,-0.0346,-0.0383,-0.0389,-0.0365,-0.0395,-0.0415,-0.0389,-0.0337,-0.0165,-0.0266,-0.0281,0.0027,0.0035,0.0128,0.0301,0.0366,0.0426,0.0306,0.0334,0.0406,0.0279
2001-04-28,-7.5411,110.4421,O,,0.7728,0.4217,-0.0111,-0.0142,-0.0007,-0.0097,0.0155,0.0121,-0.0062,-0.0062,-0.0192,-0.0235,-0.0255,-0.0178,-0.0023,-0.0027,0.0133,0.014,0.0121,0.0045,-0.0007,-0.0037,-0.0041,-0.0089,-0.0109,-0.016,-0.011,-0.0135,-0.038
2001-04-28,-7.5411,110.4421,S,0.4681,0.4035,0.4228,0.3784,0.3262,0.1184,0.0844,-0.0219,0.0824,0.2549,0.2234,-0.0821,-0.0683,-0.1242,-0.1259,-0.1121,-0.1326,-0.0953,-0.0693,-0.0566,-0.0299,-0.0109,0.0012,0.044,0.097,0.1288,0.172,0.2003,0.2332,0.2469
2001-04-28,-7.5411,110.4421,SE,,0.5375,0.4754,0.2488,0.3322,0.118,0.09,0.092,0.0292,0.0294,0.0138,-0.0292,-0.0439,-0.0469,-0.0418,-0.0416,-0.03,-0.0212,-0.029,-0.0175,-0.0233,-0.0235,-0.0245,-0.0224,-0.0183,0.0234,0.0314,0.0318,0.0333,0.0382
2001-04-28,-7.5411,110.4421,SO,,0.9156,0.7683,0.3666,0.1972,0.0013,0.0099,-0.0404,-0.0423,-0.0274,-0.0365,-0.0453,-0.0312,-0.016,-0.0112,-0.0199,0.0133,-0.0124,0.0549,0.0477,0.0263,-0.0059,-0.0107,-0.0198,0.0018,-0.0197,0.0124,0.017,0.0132,-0.0029
2001-07-01,-7.5409,110.4456,E,,,,-0.0142,-0.0431,-0.0368,-0.0306,-0.0236,-0.0116,-0.0033,0.0023,-0.0043,-0.0062,-0.0125,-0.0105,-0.0015,0.032,0.0421,0.0439,0.0405,0.0312,0.0332,0.029,0.0286,0.0221,0.0094,-0.007,-0.0203,-0.0182,-0.027
2001-07-01,-7.5409,110.4456,N,0.0296,0.0297,-0.0196,-0.0593,-0.0809,-0.0678,-0.0505,-0.0329,0.0134,0.0063,0.0031,-0.0046,0.0012,0.0066,0.0177,0.023,0.0313,0.0186,0.0201,0.025,0.0353,0.0145,0.0156,0.0163,-0.0035,-0.0021,-0.0096,-0.0184,-0.0169,0.0051
2001-07-01,-7.5409,110.4456,NE,,0.012,-0.0604,-0.0826,-0.0913,-0.0734,-0.0498,-0.0162,-0.007,0.0084,0.0022,0.0114,0.02,0.0231,0.0173,0.016,0.0124,0.0067,-0.0038,-0.0147,-0.0163,-0.0208,-0.0329,-0.0357,-0.0198,-0.0074,0.0012,0.0232,0.0356,0.0532
2001-07-01,-7.5409,110.4456,NO,,0.1066,0.0846,0.0696,0.0435,-0.0026,0.0057,0.0265,-0.0021,-0.0264,-0.0421,-0.0329,-0.0408,-0.0499,-0.0545,-0.0518,-0.0449,-0.0455,-0.0443,-0.0399,-0.037,-0.0223,-0.0169,-0.0033,-0.0078,-0.0004,0.012,0.0297,0.0261,0.0363
2001-07-01,-7.5409,110.4456,O,,,0.1484,0.0786,0.0448,0.0252,0.0054,0.0041,-0.0,-0.0015,-0.0027,-0.004,-0.006,-0.0079,-0.0093,-0.0111,-0.0135,-0.0135,-0.01,-0.0114,-0.0022,-0.0042,0.0033,-0.0027,-0.0033,0.0014,0.0019,0.0023,0.0003,-0.0042
2001-07-01,-7.5409,110.4456,S,0.2418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0793
2001-07-01,-7.5409,110.4456,SE,,0.0966,0.0504,0.0721,0.0504,0.0436,-0.0261,,,-0.0099,-0.0153,-0.0204,-0.0121,-0.0056,0.0063,0.0069,0.0036,-0.001,-0.0101,-0.0223,-0.0215,0.0086,0.0231,0.0162,-0.0011,0.009,0.0108,-0.0042,0.0007,0.0013
2001-07-01,-7.5409,110.4456,SO,,0.2154,,,,,0.0128,0.0107,0.0097,0.0056,0.0033,0.0016,-0.0006,-0.0019,-0.0054,-0.0078,-0.0095,-0.0121,-0.011,-0.0139,-0.0051,0.0072,0.0014,0.0103,-0.003,-0.0066,-0.0051,-0.0079,0.0002,0.005
2001-08-02,-7.5411,110.4443,E,,,0.3718,0.2261,0.0919,-0.0065,-0.0268,-0.0245,-0.0329,-0.0197,-0.0192,-0.0255,-0.0181,-0.0085,0.0124,0.0056,-0.0147,-0.0174,0.0041,0.0224,0.0303,0.0271,0.0252,0.044,0.0437,0.0411,0.0282,-0.0067,-0.0134,-0.037
2001-08-02,-7.5411,110.4443,N,0.5561,0.305,0.0321,-0.1436,-0.1376,-0.1424,-0.143,-0.121,-0.1231,-0.0542,-0.0217,-0.0574,-0.0314,-0.0193,-0.0224,-0.0294,-0.0112,0.008,0.0274,0.0451,0.047,0.0473,0.0366,0.0384,0.029,0.0197,-1e-04,-0.0168,-0.0261,-0.0166
2001-08-02,-7.5411,110.4443,NE,,0.4328,0.0769,-0.0829,-0.1445,-0.082,-0.0927,-0.0721,-0.0707,-0.0641,-0.0484,-0.0319,-0.0206,-0.0163,-0.0282,0.0184,0.0444,0.0575,0.0661,0.0764,0.0748,0.0586,0.0397,0.0257,-0.0015,-0.015,-0.0321,-0.0267,-0.0228,-0.0091
2001-08-02,-7.5411,110.4443,NO,,0.3423,0.0786,-0.0317,0.0016,,,-0.0351,-0.0375,-0.0407,-0.0382,-0.0401,-0.045,,-0.0509,-0.0392,-0.0235,-0.0182,-0.0398,-0.034,-0.0245,-0.0256,-0.038,0.0016,0.0277,0.0198,-0.0112,-0.0199,0.0251,0.0264
2001-08-02,-7.5411,110.4443,O,,0.321,0.0649,,,0.003,0.0028,0.002,0.001,0.001,-0.0002,0.0005,0.0007,-0.0,-0.0007,-0.0014,-0.0022,-0.0027,-0.0035,-0.0044,-0.0044,0.0006,0.0006,0.017,0.0185,0.0128,0.0044,-0.0041,-0.0099,-0.0107
2001-08-02,-7.5411,110.4443,S,0.6247,0.5157,0.3104,0.2438,,,,,,,,,,,,,,,,,-0.0809,-0.0483,-0.002,-0.0153,-0.0178,-0.0161,-0.0075,-0.0042,-0.0016,-0.0011
2001-08-02,-7.5411,110.4443,SE,,0.7428,0.4706,0.2999,0.1669,0.0809,0.058,0.0324,0.0137,-0.0162,0.0095,-0.0194,-0.0015,-0.0033,0.0202,-0.0156,-0.0121,-0.0102,-0.0152,-0.009,-0.0119,-0.0158,-0.0135,-0.0111,0.003,-0.0028,0.0224,0.0081,0.0282,0.0363
