date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-21,-3.2409,36.7532,E,,0.0305,0.0138,0.008,0.002,0.0099,0.023,0.027,0.0439,0.052,0.0565,0.0599,0.0549,0.063,0.0733,0.0739,0.0677,0.054,0.0466,0.0441,0.0349,0.0146,-0.0013,-0.019,-0.025,-0.0338,-0.0455,-0.054,-0.0692,-0.0635
2000-02-21,-3.2409,36.7532,N,,0.266,0.2213,0.1817,0.1664,0.1612,0.1141,0.0806,0.0326,-0.0076,-0.0419,-0.0217,-0.0263,-0.0017,0.0249,0.0233,0.0264,0.0046,0.0123,-0.0165,-0.0213,-0.0262,-0.0153,-0.0021,0.0037,-0.0081,-0.0037,-0.0,0.021,0.043
2000-02-21,-3.2409,36.7532,NE,-0.0688,-0.0551,-0.0473,-0.0382,-0.0262,-0.0222,0.0193,0.0306,0.0362,0.0509,0.031,0.0386,0.0503,0.0527,0.0392,0.0432,0.0358,0.0288,0.0042,0.0076,0.0173,-0.0157,-0.0033,-0.0555,-0.0362,-0.028,-0.0433,-0.0305,-0.0291,-0.0115
2000-02-21,-3.2409,36.7532,NO,0.1216,0.0966,0.0634,0.0297,0.004,0.0073,0.0116,0.0158,0.051,0.0279,0.0197,-0.0075,-0.0168,-0.0079,0.011,0.0082,-0.0264,-0.0097,-0.0197,0.0053,0.0017,-0.0026,-0.0209,-0.0221,-0.0298,-0.0267,-0.0179,0.0071,0.0144,0.0119
2000-02-21,-3.2409,36.7532,O,,0.0649,0.0486,0.022,-0.0052,0.0042,0.0253,0.0322,0.0294,0.0148,-0.0037,-0.0053,0.0003,-0.0163,-0.0064,-0.0053,-0.0135,-0.0074,-0.0003,-0.0022,0.0021,-0.0061,-0.0085,0.0255,0.023,0.0208,0.0106,0.0122,0.0087,-0.0085
2000-02-21,-3.2409,36.7532,S,,0.274,0.2605,0.2582,,,,,,,,,,,-0.0102,0.0882,0.0626,0.0445,0.0063,-0.0307,-0.0306,-0.0287,-0.0272,-0.0256,-0.0233,-0.0199,-0.014,-0.0069,0.0034,0.002
2000-02-21,-3.2409,36.7532,SE,-0.0627,-0.0748,-0.0783,-0.0681,-0.0613,-0.0824,-0.0661,-0.0535,-0.0376,-0.0377,-0.0238,-0.0146,-0.0138,-0.0063,0.0027,-0.011,-0.0199,-0.0201,0.0111,0.131,0.1113,0.0683,0.0661,0.0457,-0.0125,-0.0055,-0.0978,-0.0754,-0.0994,-0.1135
2000-02-21,-3.2409,36.7532,SO,-0.0755,-0.0783,-0.0628,-0.0585,-0.0483,-0.0784,-0.0492,-0.005,0.0361,0.0644,0.0952,0.0998,0.1244,0.1505,0.1619,0.1758,0.1968,0.0023,-0.0034,-0.0153,-0.026,-0.0359,-0.0367,-0.0509,-0.0447,-0.0621,-0.0582,-0.0781,-0.0822,-0.0792
2000-09-16,-3.2409,36.7521,E,,0.2732,0.2319,0.1068,0.0943,-0.0299,-0.0152,0.0368,0.0671,0.0793,0.0689,0.0526,0.054,0.0476,0.0199,0.009,-0.0004,-0.0057,-0.0248,-0.0683,-0.1417,-0.2117,-0.2185,,,-0.2551,,,,
2000-09-16,-3.2409,36.7521,N,,0.1987,0.1856,0.1764,,,,,,,,,,,,,,0.0038,0.0138,0.0057,0.0014,0.0022,-0.0077,-0.0184,-0.0181,-0.0168,-0.0164,-0.0168,0.0038,0.0288
