date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-31,19.8506,-101.744,E,0.122,0.1058,0.0979,0.0877,0.0731,0.0841,0.0992,0.0956,0.0695,0.0381,0.0119,0.0079,0.0117,0.0017,-0.0107,-0.0064,0.009,0.0041,-0.0093,0.0046,0.0007,-0.0026,-0.0098,-0.018,-0.0234,-0.0256,-0.0234,-0.0143,-0.0148,-0.0159
2000-01-31,19.8506,-101.744,N,0.0721,0.0156,-0.0009,-0.0326,-0.0552,-0.0548,-0.0583,-0.0523,-0.0481,-0.0392,-0.0228,-0.0209,0.0012,0.0114,0.0214,0.0177,0.0197,0.03,0.04,0.0333,0.0275,0.0308,0.005,-0.0093,-0.0217,-0.0105,-0.02,-0.0227,-0.027,-0.0343
2000-01-31,19.8506,-101.744,NE,,0.0688,0.0558,0.034,0.0265,-0.0038,-0.0136,-0.0038,0.0065,0.0139,0.0142,0.001,0.0008,-0.0147,-0.0237,-0.022,-0.0258,-0.0167,-0.0144,-0.0074,0.0168,0.0282,0.0563,0.0363,0.0068,-0.007,-0.0172,-0.0192,-0.0172,0.0006
2000-01-31,19.8506,-101.744,NO,,0.0784,0.0516,0.0683,0.0331,0.0322,0.0322,0.002,0.0331,0.0496,0.0196,0.0118,0.0285,0.034,0.0345,0.0227,0.0258,0.0128,0.019,0.0226,0.022,0.0146,0.0081,0.0049,-0.0065,-0.014,-0.0452,-0.0566,-0.0631,-0.0719
2000-01-31,19.8506,-101.744,O,,0.0879,0.0779,0.0612,0.0626,0.0431,0.0396,0.0037,0.0039,0.0134,0.023,0.0336,0.038,0.0353,0.031,0.0152,0.011,0.0026,-0.0059,-0.0121,-0.0214,-0.0252,-0.0126,-0.0017,0.0033,-0.0025,-0.0037,-0.0009,-0.0013,0.0021
2000-01-31,19.8506,-101.744,S,,0.1093,0.1047,0.0871,0.039,0.0191,0.0013,-0.0104,-0.0144,-0.0095,-0.017,-0.004,-0.0045,-0.0027,0.0032,0.009,0.0135,0.0102,-0.0015,-0.0124,-0.0073,-0.0008,-0.004,0.0138,0.0147,0.024,0.0087,-0.0017,-0.0124,-0.006
2000-01-31,19.8506,-101.744,SE,,0.106,0.0878,0.0554,0.0351,0.0215,0.0353,0.0561,0.0347,-0.0051,-0.0099,-0.0275,-0.0179,-0.018,-0.009,-0.0023,0.0006,0.0123,-0.0036,0.0141,0.0089,0.0076,0.007,-0.0026,-0.0081,-0.0007,-0.0015,1e-04,0.0117,0.0078
2000-01-31,19.8506,-101.744,SO,,0.0921,0.0794,0.0371,0.0054,0.0078,0.0101,0.0392,0.0572,0.0807,0.0554,0.056,0.0185,0.0198,0.0049,0.0218,0.0099,-0.0059,-0.0134,-0.0495,-0.0384,-0.0402,-0.0271,-0.0251,-0.0098,-0.0091,-0.0059,0.0048,-0.0033,-0.0053
2000-04-04,19.8512,-101.7431,E,,0.1545,0.149,0.157,0.1462,0.1509,0.1492,0.1361,0.1105,0.0872,0.0703,0.0592,0.0238,-0.0028,-0.0397,-0.0481,-0.0251,0.0362,0.058,0.0689,0.0438,-0.0178,-0.0306,-0.0227,-0.0397,-0.0537,-0.0907,-0.0671,-0.0276,-0.0372
2000-04-04,19.8512,-101.7431,N,,0.0666,0.0715,0.0634,0.0587,0.0473,0.0396,0.0367,0.0112,0.0228,0.0192,0.0074,0.006,0.0207,0.0298,0.025,0.007,-0.0106,0.0046,-0.0212,-0.0112,-0.0148,-0.0069,-0.0012,0.0169,0.0168,0.0075,-0.0033,0.0129,0.0087
2000-04-04,19.8512,-101.7431,NE,0.0639,0.0715,0.061,0.0509,0.035,0.0262,0.0217,0.016,0.0195,0.0077,0.0046,-0.0021,-0.0048,-0.0142,-0.0147,-0.0203,-0.0006,-0.0175,-0.0004,-0.0194,-0.0188,0.0171,0.0256,0.0152,-0.004,-0.0066,0.011,0.0117,0.0038,0.0171
2000-04-04,19.8512,-101.7431,NO,0.0962,0.0709,0.0576,0.0523,0.0387,0.036,0.027,0.023,0.0005,0.0092,0.0127,0.0123,0.0207,0.0221,0.0376,0.0189,0.0247,0.0352,0.0338,0.0564,0.0327,0.034,0.033,0.0468,0.0313,0.0394,-0.0494,-0.0882,-0.0979,-0.0642
2000-04-04,19.8512,-101.7431,O,,0.0596,0.0464,0.0618,0.0389,0.0395,0.0844,0.1025,0.0807,0.0488,0.0384,0.0306,0.031,0.0213,0.0299,0.0319,0.0283,0.0095,-0.0223,-0.0224,-0.0387,-0.0262,-0.0234,-0.0172,-0.0147,-0.0158,-0.0109,-0.0268,-0.0142,-0.025
2000-04-04,19.8512,-101.7431,S,,0.1527,0.143,0.1394,0.1344,0.1344,0.1317,0.0926,0.0721,0.0418,0.016,-0.0294,-0.0334,-0.0234,0.0164,0.0302,0.0143,0.0069,-0.0022,-0.0036,-0.0075,-0.0002,-0.0079,0.0017,0.005,0.0153,0.0129,0.008,-0.0069,-0.0031
2000-04-04,19.8512,-101.7431,SE,0.099,0.1,0.0876,0.0896,0.0747,0.0567,0.0303,0.0459,0.0457,0.0153,0.0078,0.033,0.0209,0.0229,-0.0008,0.0291,-0.0163,-0.0214,-0.024,-0.0073,-0.0099,0.0194,0.0177,0.0042,-0.0016,-0.0091,-0.0115,-0.0086,-0.0012,0.016
2000-04-04,19.8512,-101.7431,SO,,0.0994,0.1031,0.1351,0.1183,0.1307,0.1285,0.1027,0.0716,0.0677,0.0561,0.0398,0.0625,0.0529,0.0583,0.0543,0.0531,0.0398,0.0174,0.0101,0.0074,-0.0409,-0.0894,-0.0741,-0.0793,-0.0528,-0.0456,-0.0332,-0.0228,-0.0231
2000-04-20,19.8512,-101.7431,E,,0.1646,0.1478,0.141,0.1301,0.1428,0.1215,0.1213,0.0951,0.062,0.035,0.022,-0.0067,-0.0583,-0.1033,-0.1058,-0.0576,0.0109,0.0354,0.0549,0.065,0.0332,0.0349,0.0392,0.0278,0.0026,-0.03,-0.0523,-0.0398,-0.0382
