date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-19,36.5702,137.5843,E,,0.0627,0.0181,0.0432,0.0391,0.0136,0.0158,0.0041,-0.0093,-0.0093,-0.0049,0.0132,0.0181,0.0151,0.0158,0.0106,0.0038,0.0039,-0.0026,-0.0108,-0.0123,-0.017,-0.0115,-0.0057,-0.005,-0.0009,-0.0076,-0.0064,-0.0049,-0.0099
2000-09-19,36.5702,137.5843,N,,0.094,0.0201,0.018,-0.0022,0.0177,0.0368,0.0136,0.0105,0.0083,0.0371,0.0441,0.0386,0.036,0.0191,0.0011,-0.0124,-0.0117,-0.011,-0.0101,-0.0118,-0.0164,-0.0117,-0.0013,0.0024,-0.0058,-0.0054,-0.0065,-0.0052,-0.0057
2000-09-19,36.5702,137.5843,NE,0.0562,0.0399,0.0653,0.039,-0.0189,-0.0265,-0.0197,-0.0279,-0.0416,-0.0328,-0.0208,-0.0092,-0.0022,-0.0046,-0.0063,-0.0051,-0.0056,0.002,-0.0026,-0.0015,0.0037,-0.0009,-0.0005,0.012,0.0243,0.007,0.0056,0.0011,-0.0024,0.0036
2000-09-19,36.5702,137.5843,NO,0.0349,0.026,0.011,0.0013,-0.0038,-0.0071,-0.0093,-0.0114,-0.0045,0.0033,-0.001,0.0177,0.0062,0.0148,0.0218,0.0286,0.0204,0.0234,0.018,0.0037,-0.0052,-0.0113,0.0079,-0.0099,-0.0083,-0.017,-0.0139,-0.0197,-0.0202,-0.0167
2000-09-19,36.5702,137.5843,O,,0.0267,0.001,-0.0271,-0.014,-0.0107,-0.0113,-0.0046,-0.0074,-0.0106,-0.0189,-0.0151,-0.0065,-0.0034,0.0008,0.002,0.0119,-0.0027,-0.0013,0.0007,-0.0004,-0.0017,-0.0063,-0.0069,-0.0056,-0.0067,-0.0026,0.0065,0.0088,0.0066
2000-09-19,36.5702,137.5843,S,,-0.008,-0.0286,-0.0303,-0.0291,-0.0141,0.0156,0.0014,0.0012,0.0074,0.0202,0.0004,-0.0058,-0.0084,-0.0158,-0.0183,-0.019,-0.0065,0.0042,-0.0002,-0.0078,-0.002,0.0052,0.0039,0.0006,-0.0028,-0.0011,-0.004,-0.0091,-0.0064
2000-09-19,36.5702,137.5843,SE,0.067,-0.0259,-0.0415,-0.0285,-0.0133,-0.0149,0.0005,0.0112,0.0238,0.0183,0.0177,0.0186,0.027,0.0227,0.0219,0.0274,-0.0006,0.0013,0.002,-0.0029,-0.0089,-0.0178,-0.0224,-0.0151,-0.0129,-0.001,0.0026,-0.0129,-0.0075,-0.0085
2000-09-19,36.5702,137.5843,SO,0.0409,0.0457,0.0413,0.0402,0.0311,0.0227,0.011,0.0049,0.0064,0.0059,0.0029,0.004,-0.003,-0.0073,-0.0099,-0.0107,-0.0074,-0.0047,-0.0091,-0.0031,-0.0057,-0.0016,0.0041,0.0068,0.0039,0.0064,0.002,-0.0014,-0.0026,-0.004
2000-10-05,36.5698,137.5883,E,,0.0333,0.0193,-0.0215,-0.0494,-0.04,-0.0343,-0.0253,-0.0183,-0.0136,-0.0135,-0.0054,-0.0027,-0.0,0.003,0.0061,-0.0016,-0.0032,-0.0019,0.0014,-0.0014,0.0019,-0.0005,0.0091,0.0162,-0.0066,-0.0081,-0.0045,0.0003,-0.0028
2000-10-05,36.5698,137.5883,N,,0.0919,0.037,0.0149,0.011,0.0056,0.012,0.0107,-0.0023,-0.0112,-0.0189,-0.0064,0.0031,0.0065,-0.0075,-0.0114,-0.0065,-0.0056,-0.0123,-0.0151,-0.0106,-0.0102,1e-04,-0.0015,0.0036,-0.0012,0.0069,0.0128,0.0132,0.0158
2000-10-05,36.5698,137.5883,NE,0.0471,0.0409,0.0403,0.0277,0.0189,0.0017,-0.0101,-0.0239,-0.0297,-0.0192,-0.0147,-0.008,-0.0113,0.0146,0.002,0.0039,0.0173,-0.0093,0.0091,0.0124,-0.0044,-0.013,-0.005,-0.0074,-0.0023,-0.0022,-0.0032,-0.0021,-0.0052,-0.0075
2000-10-05,36.5698,137.5883,NO,0.0857,0.0801,0.0801,0.0348,-0.0069,-0.0036,-0.0089,-0.0024,0.0006,0.0076,0.0046,-0.0091,-0.0068,-0.0043,-0.0072,-0.0027,-0.0082,-0.0071,-0.0122,-0.0116,-0.0077,-0.0064,-0.0033,-0.0064,-0.0046,-0.0063,0.0016,0.0105,0.0112,0.01
2000-10-05,36.5698,137.5883,O,,0.0738,0.0679,0.0496,0.0424,0.0316,0.0214,-0.0018,-0.0034,-0.0021,0.003,0.0123,0.0182,0.0206,0.0165,0.0076,0.0068,0.0035,-0.002,-0.0087,-0.0116,-0.0063,-0.0112,-0.0104,-0.0027,0.0005,0.0013,0.0027,0.0019,-0.0019
2000-10-05,36.5698,137.5883,S,,0.029,-0.0215,-0.0601,-0.0206,-0.0239,-0.0213,-0.035,-0.0297,-0.0195,-0.0182,-0.0121,-0.0182,-0.0115,-0.0116,-0.0154,-0.0169,-0.0147,-0.0063,0.0044,0.0014,-0.0061,0.0103,0.0218,0.0159,-0.0003,0.0047,-0.0062,0.0015,0.0114
2000-10-05,36.5698,137.5883,SE,0.083,0.0659,0.0511,0.0298,0.0058,0.028,0.0056,0.0019,-0.0123,-0.0252,-0.0275,-0.0089,-0.0034,-0.0132,-0.016,-0.0012,-0.0002,0.0066,0.0036,0.0034,0.0034,0.0041,-0.0024,-0.005,-0.0035,-0.0015,-0.004,-0.0042,-0.0075,-0.0006
2000-10-05,36.5698,137.5883,SO,,0.0905,0.0766,0.0285,0.0256,0.0174,-0.0057,-0.0069,-0.0135,-0.0185,-0.0134,-0.0078,-0.0106,-0.0026,-0.0088,-0.0047,-0.0021,0.0101,0.0044,0.0037,0.0034,0.0004,-0.0024,0.0008,0.0019,0.0037,0.0041,0.0028,0.0013,-0.0024
2000-11-06,36.5698,137.5883,E,,0.1,0.0748,0.0236,-0.0281,-0.0362,-0.0352,-0.0272,-0.0188,-0.0142,-0.0132,-0.0036,-0.0028,0.0053,0.0058,0.0045,-1e-04,-0.0076,-0.0038,-0.0055,-0.0043,1e-04,-0.0004,0.0076,0.0031,-0.0059,-0.0054,-0.0011,-0.0018,-0.0037
