date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-03-02,10.7496,-85.1478,E,,0.0412,0.0222,0.0259,0.009,0.004,-0.0021,-0.0026,0.0009,-0.0053,-0.0117,-0.011,-0.0032,-0.0013,-0.0037,-0.0008,-0.0023,-0.0049,-0.0037,-0.002,0.0004,0.0052,0.0039,0.0066,-0.0027,-0.0005,-0.0022,0.0011,0.0007,-0.0013
2001-03-02,10.7496,-85.1478,N,,0.0203,0.0102,-0.0031,-0.0214,-0.0352,-0.0321,-0.0103,-0.0051,0.0017,0.0126,0.0004,0.0597,0.0186,0.0014,,,,,,,,,,,,,,,
2001-03-02,10.7496,-85.1478,NE,0.1247,0.1367,-0.0079,-0.0129,-0.0251,-0.0395,-0.0643,-0.0807,-0.0788,0.0597,0.0433,0.0416,0.0523,-0.0882,-0.083,-0.076,,,,,,-0.0472,,,,,,,,
2001-03-02,10.7496,-85.1478,NO,0.0443,0.042,0.0383,0.031,-0.051,-0.0499,-0.0432,-0.0316,-0.0009,0.007,0.0079,0.0093,0.0055,-0.0037,-0.0106,-0.0048,,,,,,,,0.0157,0.0042,0.0038,0.0076,0.009,0.0012,0.006
2001-03-02,10.7496,-85.1478,O,,0.0788,0.0794,0.009,-0.0412,-0.0488,0.0325,-0.0182,0.051,0.0522,-0.0611,0.0507,0.0447,0.0042,0.0333,0.0507,0.043,0.0425,0.0324,0.0302,0.021,-0.0137,-0.036,-0.0359,-0.0157,0.0138,0.0192,0.0197,0.0193,0.0197
2001-03-02,10.7496,-85.1478,S,,,,,0.0227,0.0179,0.013,0.0173,0.0408,0.0385,0.0265,0.0217,,,,,,,,,,,,-0.0088,-0.0085,-0.0084,-0.0084,-0.0086,-0.0086,-0.0087
2001-03-02,10.7496,-85.1478,SE,,0.0057,-0.0033,-0.0112,-0.0134,-0.0048,0.0171,0.0117,0.0172,0.0206,0.011,0.0035,-0.0185,-0.0194,-0.0212,-0.0193,-0.016,-0.0084,-0.0081,-0.0065,-0.0019,0.0026,-0.008,-0.0007,-0.0035,-0.0063,-0.0061,0.0081,0.0125,0.01
2001-03-02,10.7496,-85.1478,SO,,,,-0.0221,-0.0368,-0.0352,-0.0327,-0.0161,-0.0208,-0.0241,0.0029,0.0078,0.0101,0.0078,0.0051,,,,,0.0102,0.0126,0.0126,0.0126,0.0033,-0.0023,-0.005,0.0063,,,-0.0326
2003-12-05,10.7523,-85.1558,E,,-0.0033,-0.0138,-0.0234,-0.0188,-0.0102,-0.0093,-0.0079,-0.0091,,,,,,0.0013,-0.0003,-0.0043,0.0005,-0.0025,-0.0017,-0.0024,-0.0004,0.0011,0.0005,0.002,-0.0029,-0.0014,-0.0024,-0.0029,-0.0002
2003-12-05,10.7523,-85.1558,N,,0.0364,0.0024,0.0023,0.0013,0.0004,,,,0.0005,0.0026,,,,,,,,,,,,,,,,,,,
2003-12-05,10.7523,-85.1558,NE,0.0091,-0.0012,-0.004,-0.0152,0.0082,0.008,0.0097,0.0118,0.0022,-0.0114,-0.0082,-0.0051,-0.0044,,,-0.0008,-0.0078,0.0017,-0.0091,-0.0107,-0.011,-0.0119,-0.0147,-0.006,-0.0059,-0.0028,0.0187,0.0236,-0.0081,-0.0147
2003-12-05,10.7523,-85.1558,NO,0.029,0.0282,0.0328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,
2003-12-05,10.7523,-85.1558,O,,0.0147,0.0112,0.0105,-0.0145,-0.0147,-0.014,-0.0129,-0.0118,-0.0111,-0.0102,-0.0094,-0.0077,-0.0064,-0.0054,-0.0044,-0.004,-0.0031,0.0016,,,,,,0.032,0.02,0.0139,0.0124,0.0068,0.0038
2003-12-05,10.7523,-85.1558,S,,-0.0366,-0.0366,-0.0392,-0.0316,-0.0238,-0.0291,-0.0277,-0.028,-0.0025,-0.0036,0.0016,-0.0058,-0.0044,0.0006,0.0028,0.0002,0.0026,0.0048,0.003,0.0021,-0.0013,-0.0008,0.0026,0.0043,0.0027,0.0028,0.0007,0.0019,0.0008
2003-12-05,10.7523,-85.1558,SE,-0.007,-0.0423,-0.046,-0.0495,-0.0233,-0.0197,-0.0203,-0.0159,-0.0118,-0.0064,-0.0006,0.003,0.0059,0.0023,0.0023,0.0021,0.0026,0.0021,0.0041,0.0032,0.0031,-0.0003,-0.0028,-0.0029,-0.0002,-0.001,0.003,0.0034,0.0006,-0.0041
2003-12-05,10.7523,-85.1558,SO,0.0006,-0.0353,-0.0312,-0.0273,-0.0232,-0.0198,-0.0204,-0.018,-0.0183,-0.0214,-0.0167,-0.0113,-0.012,-0.0115,-0.0071,-0.0011,-0.0031,0.0002,0.0004,0.002,0.0097,0.004,0.0043,0.0016,0.0019,0.0023,0.0028,0.0258,0.0278,0.0283
2004-02-23,10.7493,-85.1478,E,,0.1496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-23,10.7493,-85.1478,N,,-0.1561,-0.1845,-0.2043,-0.2162,-0.2202,-0.2137,,,,,,,-0.0302,-0.0488,-0.0521,,,,,,,,,,,,,,
