date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-11-08,34.0912,139.5231,E,,0.1701,0.1629,0.1598,0.1431,0.1053,0.0419,0.0097,0.0086,0.0059,0.0047,-0.0077,-0.0094,-0.0092,-0.0087,-0.0054,-0.0043,-0.0051,0.0015,0.0066,0.0089,0.0121,0.0108,0.0096,0.0091,0.0121,-0.0052,-0.0099,-0.0053,-0.0041
2000-11-08,34.0912,139.5231,N,,0.0569,0.0255,0.0217,0.025,0.0186,0.0153,0.0184,-0.003,0.0177,0.0113,0.0117,0.0069,0.0073,0.0069,0.0115,0.01,0.0196,0.0432,0.0585,0.0583,0.0429,0.0247,0.0091,-0.0103,-0.03,-0.0399,-0.039,-0.0338,-0.0232
2000-11-08,34.0912,139.5231,NE,0.1157,0.1,0.0925,0.0804,0.0738,0.0707,0.0625,0.0486,0.0443,0.0443,0.0086,0.0005,-0.0336,-0.0398,-0.0417,-0.0381,-0.0438,-0.0282,-0.0333,-0.0214,-0.0034,-0.0053,0.0025,-0.0113,1e-04,-0.0033,0.0,0.0122,0.0147,0.0249
2000-11-08,34.0912,139.5231,NO,,0.1119,0.0992,0.076,0.0564,0.025,0.0181,0.0025,0.0027,-0.0017,-0.0016,-0.0063,-0.011,-0.012,-0.0135,-0.0154,,,,,,,,,,,,,0.0143,0.0133
2000-11-08,34.0912,139.5231,O,0.0885,0.0765,0.0755,0.0506,0.0424,0.0126,0.0135,-0.0038,-0.0042,-0.0047,-0.0084,-0.0056,0.0006,-0.0238,-0.038,-0.0339,-0.0406,,,,,,,0.021,0.0059,0.0109,0.0114,-0.0075,0.0005,0.0169
2000-11-08,34.0912,139.5231,S,0.1206,0.1208,0.123,0.1339,0.1339,0.1274,0.1295,0.1249,0.1116,0.0461,0.0251,-0.0178,-0.0229,-0.0282,-0.033,-0.0296,-0.0298,-0.0254,-0.0255,-0.0184,-0.0165,-0.0158,-0.007,0.0075,0.0033,0.008,0.0128,0.0125,0.0133,0.0172
2000-11-08,34.0912,139.5231,SE,,0.1871,0.1891,0.1818,0.171,0.1322,0.0492,0.0366,0.0152,0.016,0.0041,-0.0009,-0.0044,-0.0048,-0.0035,0.0002,-0.0006,-0.0036,-0.0062,-0.0086,-0.0093,-0.013,-0.0109,-0.0023,0.0048,0.0035,0.003,0.0033,0.0032,0.0023
2000-11-08,34.0912,139.5231,SO,,0.0098,0.0133,0.0169,0.0087,0.0137,0.0102,0.0097,0.0032,0.0019,-0.0022,-0.0024,-0.0037,0.0066,0.0022,0.0171,0.014,0.0043,-0.0092,-0.0236,-0.0275,-0.0185,-0.0087,-0.0039,0.0032,0.0138,0.0269,0.0355,0.0344,0.0411
2001-01-11,34.0914,139.5218,E,0.1342,0.1289,0.1113,0.0557,0.0022,-0.0128,-0.0008,0.0026,-0.0029,-0.0033,-0.0183,-0.012,0.0086,-0.0043,-0.0023,-0.0013,-0.002,0.0036,0.0002,-0.0029,-0.0016,0.005,0.0097,0.009,0.0078,-0.0046,-0.0016,-0.006,0.0041,0.0051
2001-01-11,34.0914,139.5218,N,0.0886,0.08,0.0686,0.0727,0.0842,0.0671,0.0421,0.0377,0.004,0.001,-0.0058,0.0019,-0.0024,-0.0028,-0.0097,-0.0147,-0.0054,-0.009,-0.005,-0.011,-0.01,-0.003,-0.002,-0.0131,-0.0107,0.002,0.0004,-0.0029,-0.0029,-0.0065
