date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-04-07,12.4238,-86.5345,E,,0.1091,0.1171,0.1136,0.1127,0.1122,0.1119,0.1165,0.1088,0.0953,0.0479,0.01,-0.0141,-0.0217,-0.0248,-0.0201,0.006,0.0095,0.0033,0.0018,0.0016,-0.0022,-0.0055,-0.0093,0.001,-0.0064,-0.0188,-0.0043,-0.0085,0.0014
2000-04-07,12.4238,-86.5345,N,-0.1424,-0.1379,-0.1271,-0.1065,-0.0889,-0.0817,-0.0678,-0.0724,-0.0813,-0.0708,-0.044,-0.0549,-0.0454,-0.0254,-0.0058,0.0155,0.0229,0.0541,0.0481,0.046,0.0403,0.0285,0.0357,0.0472,0.0275,0.0194,0.0061,-0.0038,-0.0335,-0.0332
2000-04-07,12.4238,-86.5345,NE,,-0.0234,0.0564,0.0652,0.0766,0.0881,0.0337,0.0727,0.0499,0.053,0.0249,0.0227,0.0076,-0.0004,-0.0148,-0.0156,-0.0314,-0.0117,-0.0254,-0.0227,-0.0073,-0.0003,0.0103,0.0056,-0.0058,-0.0045,-0.0031,0.0029,-0.0035,-0.01
2000-04-07,12.4238,-86.5345,NO,,0.1558,0.138,0.1401,0.1309,0.1303,0.1274,0.1382,0.1506,0.1613,0.1622,0.1386,0.1551,0.0698,0.011,-0.0627,-0.0046,-0.1503,-0.1388,-0.1323,-0.1663,-0.1888,-0.1423,-0.0666,0.0057,0.0169,0.0648,0.0193,-0.0186,0.0477
2000-04-07,12.4238,-86.5345,O,0.0805,0.0799,0.0529,0.0371,0.0249,0.0145,0.01,0.0066,-0.0084,-0.0211,-0.0212,-0.0159,-0.044,-0.0521,0.0074,0.0241,0.0401,0.0744,0.0581,0.0358,0.0233,-0.0071,-0.0302,-0.0305,-0.0608,-0.0516,-0.053,-0.0461,-0.0448,-0.048
2000-04-07,12.4238,-86.5345,S,,0.2791,0.2767,0.258,0.242,0.2301,0.1875,0.1662,0.0956,0.0705,0.0497,0.0364,0.0303,0.0086,0.0053,-0.001,-0.0158,-0.0139,-0.0135,-0.0347,-0.0376,-0.0349,-0.0307,-0.0275,-0.0237,-0.0207,-0.0184,-0.0155,-0.0116,-0.0095
2000-04-07,12.4238,-86.5345,SE,0.2426,0.1738,0.166,0.1634,0.1592,0.1468,0.1337,0.1135,0.0954,0.0809,0.0437,0.0469,0.051,0.053,0.0334,0.022,-0.0039,-0.0131,-0.023,-0.0263,-0.0305,-0.0255,-0.0322,-0.0359,-0.0331,-0.0348,-0.0403,-0.0265,-0.0322,-0.0365
2000-04-07,12.4238,-86.5345,SO,,0.1684,0.1637,0.1511,0.1367,0.123,0.104,0.083,0.0615,0.047,0.0392,0.0382,0.0286,0.0444,0.0248,0.0343,0.0222,0.0127,0.0062,-0.0311,-0.0394,-0.0327,-0.0318,-0.0266,-0.0227,-0.0193,-0.0205,-0.0284,-0.0197,-0.0209
2001-03-25,12.4238,-86.5345,E,,0.2091,0.216,0.1964,0.1959,0.1897,0.184,0.182,0.1526,0.1381,0.0705,0.0067,-0.0119,-0.0196,-0.0331,-0.0342,-0.006,-0.0046,0.0031,0.0011,0.0006,0.0003,-0.0076,-0.0185,-0.0215,-0.0288,-0.0361,-0.0072,0.002,0.0044
2001-03-25,12.4238,-86.5345,N,-0.0455,-0.0364,-0.0142,0.0127,0.0429,0.0362,0.0764,0.0422,-0.0217,-0.0153,-0.0189,-0.0181,-0.0139,-0.0013,0.0042,0.0091,0.0197,0.0186,0.0079,-0.0075,0.0037,0.0379,0.0725,0.0559,-0.0005,0.0351,0.0019,-0.0259,-0.0265,-0.0183
2001-03-25,12.4238,-86.5345,NE,,-0.0268,0.0786,0.1007,0.1267,0.1534,0.0989,0.1515,0.1216,0.1182,0.0686,0.0454,0.0212,0.0063,-0.0282,-0.0198,-0.0568,-0.0323,-0.0559,-0.0474,-0.0366,-0.0249,-0.0042,0.0022,-0.0109,0.0017,0.0029,0.0078,0.0019,0.0017
2001-03-25,12.4238,-86.5345,NO,,0.3616,0.3444,0.3418,0.3159,0.2898,0.2464,0.2239,0.1624,0.136,0.0888,0.0592,0.0406,-0.0029,-0.0444,-0.0894,-0.0769,-0.1154,-0.1158,-0.1119,-0.1358,-0.1129,-0.0887,-0.0317,0.0132,0.0375,0.0617,0.0505,0.0733,0.0805
2001-03-25,12.4238,-86.5345,O,0.1964,0.1959,0.1569,0.1283,0.0877,0.0503,0.0191,0.035,-0.0097,-0.0233,-0.0277,-0.0455,-0.0535,-0.0398,0.0016,0.0357,0.0606,0.0777,0.0869,0.0722,0.0662,0.0431,0.016,-0.0012,0.0179,0.0145,-0.0056,-0.0331,-0.0562,-0.0796
2001-03-25,12.4238,-86.5345,S,,0.42,0.4163,0.3893,0.3627,0.3449,0.2797,0.2556,0.1657,0.1224,0.0832,0.0529,0.0665,0.0432,0.0315,0.0081,-0.0182,-0.0421,-0.0528,-0.0519,-0.0492,-0.0465,-0.0422,-0.039,-0.0348,-0.0308,-0.0287,-0.0249,-0.0227,-0.0206
2001-03-25,12.4238,-86.5345,SE,0.3906,0.2987,0.2918,0.2662,0.2462,0.2233,0.2013,0.1746,0.1406,0.1064,0.0536,0.0803,0.0793,0.0733,0.0437,0.0248,-0.0061,-0.0114,-0.031,-0.0461,-0.0481,-0.0493,-0.0502,-0.0512,-0.0509,-0.0517,-0.0531,-0.0433,-0.0501,-0.0454
2001-03-25,12.4238,-86.5345,SO,,0.272,0.2687,0.2468,0.2252,0.194,0.1614,0.1303,0.1038,0.0735,0.063,0.0538,0.0344,0.0534,0.0463,0.0638,0.0593,0.0543,0.0413,-0.0005,-0.0311,-0.046,-0.0409,-0.0446,-0.0336,-0.043,-0.0417,-0.0418,-0.0286,-0.0258
2001-04-26,12.4238,-86.5345,E,,0.0918,0.095,0.0971,0.0965,0.1019,0.102,0.1108,0.1061,0.092,0.0526,0.0054,-0.011,-0.0261,-0.0283,-0.0269,0.0034,0.0017,-0.0034,0.0019,0.004,0.0047,0.0016,-0.0003,0.0019,-0.0044,-0.0062,-0.0069,-0.0011,0.0012
2001-04-26,12.4238,-86.5345,N,-0.0422,-0.0484,-0.0369,-0.0258,-0.0078,-0.0127,0.0006,-0.0138,-0.0283,-0.0215,-0.015,-0.0127,-0.0123,-0.0012,0.0018,0.0055,0.0155,0.0305,0.0303,0.0243,0.02,0.0367,0.0545,0.0329,0.0088,0.0043,-0.0119,-0.0128,-0.0331,-0.0282
2001-04-26,12.4238,-86.5345,NE,,-0.0303,0.0477,0.062,0.0781,0.0905,0.0504,0.0743,0.0435,0.0708,0.0348,0.0253,0.0108,0.0055,-0.0181,-0.0134,-0.0408,-0.0158,-0.0314,-0.0187,-0.0128,-1e-04,0.0138,0.0013,-0.0006,0.0046,0.0054,0.004,-0.0019,-0.0117
2001-04-26,12.4238,-86.5345,NO,,0.239,0.2256,0.2115,0.1972,0.1798,0.157,0.1497,0.1266,0.1008,0.0706,0.0546,0.0424,0.0192,-0.0274,-0.0573,-0.0431,-0.076,-0.0823,-0.0805,-0.1005,-0.1077,-0.0681,-0.0215,0.0135,0.0336,0.053,0.0395,0.0424,0.0619
