date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-21,52.4453,158.192,E,,0.0421,0.0303,0.0264,0.0285,0.0265,0.0226,0.0186,0.0064,-0.0018,-0.0019,-0.0019,-0.0019,-0.0018,-0.0018,-0.0014,-0.0014,-0.0017,-0.0018,-0.0019,-0.0018,-0.0019,-0.0018,-0.0018,-0.0018,-0.0018,-0.0019,-0.0019,0.0104,0.0186
2000-03-21,52.4453,158.192,N,0.0193,0.0157,0.0097,0.0047,-0.0037,-0.0026,0.0068,0.0129,0.0145,0.0123,0.009,0.0054,-0.0023,-0.0043,-0.0062,-0.0061,-0.0058,-0.0058,-0.0046,-0.0037,-0.0032,-0.0033,-0.0031,0.0006,0.0014,0.0016,0.002,0.001,-1e-04,-0.0002
2000-03-21,52.4453,158.192,NE,-0.0278,-0.0272,-0.0285,-0.0269,-0.0227,-0.0185,-0.0112,-0.0092,-0.0027,0.0005,0.0035,0.0058,0.0044,-0.0033,-0.0044,-0.0025,-0.0011,-0.0018,-0.0014,0.0004,0.0018,-0.0024,-0.0095,-0.0113,-0.018,-0.0165,-0.0154,-0.0179,-0.0178,
2000-03-21,52.4453,158.192,NO,0.0289,0.0233,0.0172,0.0135,0.0099,-0.0002,-0.004,-0.0021,0.0016,0.0091,0.0086,0.0106,0.0083,0.0125,0.0127,0.013,0.0136,0.0078,0.0027,-0.0014,-0.0101,-0.0066,-0.0085,-0.0152,-0.0122,-0.0083,-0.0049,-0.0013,0.0033,0.0036
2000-03-21,52.4453,158.192,O,0.0247,0.0277,0.0239,0.0229,0.0217,0.017,0.0119,0.0114,0.0102,0.0057,0.0016,-0.0027,-0.0116,-0.0117,-0.0164,-0.0205,-0.0253,-0.0164,-0.0177,-0.0119,-0.0042,0.0032,0.0041,0.0047,0.0018,0.0051,0.0051,0.0028,-0.0009,-0.0027
2000-03-21,52.4453,158.192,S,0.0331,0.0325,0.0292,0.0195,0.0159,0.0134,0.0119,0.0167,0.013,0.0079,0.006,-0.0092,-0.0191,-0.0172,-0.0145,-0.0077,-0.0074,-0.0031,0.0011,0.0036,0.0043,0.0056,0.0073,0.0018,0.0106,0.0116,0.0118,0.0115,0.0129,0.013
2000-03-21,52.4453,158.192,SE,0.039,0.0259,0.0159,0.0187,0.0218,0.0134,0.0066,-0.0056,-0.013,-0.0149,-0.018,-0.02,-0.0187,-0.0172,-0.0121,-0.0063,-0.0021,0.0019,0.0029,0.0028,0.0042,0.005,0.0046,0.0054,0.0033,0.0028,0.0037,0.005,0.0082,0.0158
2000-03-21,52.4453,158.192,SO,,-0.019,-0.0106,-0.0068,-0.0068,-0.0022,-0.0012,0.0028,0.0035,0.0038,0.005,0.0048,0.008,0.0088,0.0096,0.0072,0.0004,0.004,0.0011,0.0057,-0.0014,-0.0014,-0.0051,-0.0079,-0.0072,-0.0071,-0.0064,-0.0057,-0.0079,-0.0051
2000-11-07,52.4499,158.1897,E,0.0203,0.0117,0.0072,0.003,0.0028,0.0065,0.0097,0.0058,0.0056,0.0015,-0.0025,-0.0019,-0.006,-0.0022,-0.0008,0.0018,0.0036,0.0034,0.003,0.0005,0.0022,0.0012,-0.0007,-0.0063,-0.0048,-0.0002,0.0028,0.0091,0.0086,0.011
2000-11-07,52.4499,158.1897,N,0.0327,0.0332,0.0332,0.0279,0.026,0.0197,0.0194,0.0154,0.0068,-0.001,-0.0045,-0.004,-0.0036,-0.0033,-0.0045,-0.005,0.001,0.0013,-0.0022,-0.0004,0.0002,-0.0005,-1e-04,0.0021,0.0015,1e-04,-0.0007,-0.0006,0.0024,0.0028
