date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2003-03-07,4.8924,-75.3197,E,,0.3156,0.1357,-0.0035,0.06,0.1176,0.036,-0.0139,-0.0474,-0.0886,-0.1131,-0.0678,-0.1046,,,-0.0695,0.0079,0.0593,0.0725,0.095,0.1277,0.0759,0.0648,0.0636,0.0459,-0.0079,-0.0102,-0.0091,-0.056,-0.0458
2003-03-07,4.8924,-75.3197,N,,0.433,0.28,0.273,0.177,0.0601,0.0348,-0.0147,-0.0017,0.0059,0.0161,0.0141,-0.0204,,,,,,,,,,,,,,,-0.0188,-0.0183,-0.0078
2003-03-07,4.8924,-75.3197,NE,0.3651,0.3249,0.2926,0.2323,0.2162,0.1734,0.1372,0.108,0.0542,0.0299,0.0244,-0.0291,-0.0811,,,,,,,,,,,,,-0.0811,-0.0861,-0.0864,-0.0664,-0.0822
2003-03-07,4.8924,-75.3197,NO,0.5244,,0.3174,0.2246,0.0437,0.0097,-0.0103,-0.0153,0.0085,0.0121,0.0005,,,,,,,,,,,,,,,,,,,
2003-03-07,4.8924,-75.3197,O,,0.3542,0.2397,0.2374,0.1664,0.1199,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2003-03-07,4.8924,-75.3197,S,,0.1845,0.2041,0.1276,0.0263,-0.0454,0.0282,-0.0162,0.0166,0.0298,0.0244,0.0048,-0.0107,0.001,-0.0157,-0.0554,-0.0931,,,,,,,,,,,,,
2003-03-07,4.8924,-75.3197,SE,0.0122,0.01,-0.0725,-0.1464,-0.2142,-0.1699,-0.0473,-0.0049,0.0424,0.0643,0.097,0.127,,,-0.0785,-0.0164,0.0171,0.008,-0.0091,-0.0605,-0.0391,-0.022,0.0204,0.0491,0.0084,0.0474,0.0641,-0.0154,-0.051,-0.0971
2003-03-07,4.8924,-75.3197,SO,0.1737,,0.0654,0.0088,-0.2606,0.0466,0.0011,0.0194,0.0482,0.0722,0.0469,0.0496,0.0152,0.015,-0.01,0.0043,0.0203,-0.0329,-0.118,-0.1121,-0.06,-0.0803,,-0.1399,-0.1394,0.0212,,,,
2005-03-12,4.8924,-75.3197,E,,,,,,0.0365,-0.0193,-0.0394,-0.0711,-0.0794,-0.0988,,,,,,,,,,,,,,,,,,,
2005-03-12,4.8931,-75.3204,E,,0.1797,0.1077,0.0302,-0.0161,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-12,4.8938,-75.3211,E,,,,,,,,,,,,,,,,,0.0684,0.1396,0.1405,0.1002,0.0793,0.0311,0.053,0.0007,-0.0064,-0.0138,-0.0152,-0.0138,-0.0287,-0.0398
2005-03-12,4.8924,-75.3197,N,,,,,0.1473,0.0283,,0.0016,-0.0056,0.0018,0.017,-0.0081,,,,,,,,,,,,,,,,,,
2005-03-12,4.8931,-75.3204,N,,0.2449,0.1407,0.135,,,0.0158,,,,,,-0.0085,,,,,,,,,,,,,,,,,
2005-03-12,4.8938,-75.3211,N,,,,,,,,,,,,,,0.0078,-0.0094,-0.0036,-0.018,-0.0248,-0.01,,,,,,,,,,,
2005-03-12,4.8924,-75.3197,NE,,,,,,,,0.0146,0.0045,-0.0134,-0.0035,-0.0077,-0.0435,,,,,,,,,,,,,,,,,
2005-03-12,4.8931,-75.3204,NE,0.1934,0.164,0.1173,0.0571,0.0446,0.0384,0.0169,,,,,,,,,,,,,,,,,,,,0.042,,,
2005-03-12,4.8938,-75.3211,NE,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0412,,0.0071,0.0085,-0.0245
2005-03-12,4.8924,-75.3197,NO,,,,0.02,-0.0557,-0.0446,-0.0226,-0.0092,-0.0005,0.0117,0.0104,-0.0076,,,,,,,,,,,,,,,,,,
2005-03-12,4.8931,-75.3204,NO,0.2443,0.1851,0.1496,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-12,4.8938,-75.3211,NO,,,,,,,,,,,,,-0.0084,-0.0109,-0.0101,-1e-04,-0.0006,-0.0022,-0.0062,,,,,,,,,,,
2005-03-12,4.8924,-75.3197,O,,,,,0.1107,0.0965,,0.0,,,,,,,,,,,,,,,,,,,,,,
2005-03-12,4.8931,-75.3204,O,,0.2352,0.1461,0.1357,,,0.0604,,,,,,,,,,,,,,,,,,,,,,,
2005-03-12,4.8938,-75.3211,O,,,,,,,,,0.017,0.0028,0.0382,0.0222,-0.0123,-0.0107,0.019,-0.0011,0.0122,-0.0053,,,,,,,,,,,-0.0981,-0.1088
2005-03-12,4.8924,-75.3197,S,,0.0825,,,,,,,0.0466,0.0355,0.0243,0.0064,-0.0126,-0.0047,-0.0134,0.0484,0.0777,-0.0068,-0.0389,-0.0774,,,,,,,,,,
2005-03-12,4.8931,-75.3204,S,,,0.1588,0.1329,0.0631,0.0622,0.0513,0.0326,,,,,,,,,,,,,,,,,,,,,,
2005-03-12,4.8938,-75.3211,S,,,,,,,,,,,,,,,,,,,,,-0.1037,-0.1055,,,,-0.0439,-0.0297,0.0053,0.0364,0.0548
2005-03-12,4.8924,-75.3197,SE,,,,,,,,-0.0032,0.0054,0.0258,0.0385,0.0173,0.0054,-0.0377,-0.0432,0.1171,,,,,,,,,,,,,,
2005-03-12,4.8931,-75.3204,SE,0.064,0.0728,0.0608,0.0306,-0.0258,0.0121,0.0022,,,,,,,,,,,,,,,,,,,,,,,
2005-03-12,4.8938,-75.3211,SE,,,,,,,,,,,,,,,,,,,,,-0.0422,-0.0361,-0.1272,-0.0379,0.0075,0.0156,0.0106,0.0159,0.0354,0.0393
2005-03-12,4.8924,-75.3197,SO,,,,,,0.0226,,,,,,0.0428,0.0142,-0.0063,-0.0237,,,,,,-0.1008,,-0.1264,,,,-0.1042,-0.1314,-0.0379,-0.0213
2005-03-12,4.8931,-75.3204,SO,0.1297,,0.0409,-0.0148,-0.0484,,,,,0.0301,0.0353,,,,,0.0017,,,,,,-0.1136,,,,,,,,
2005-03-12,4.8938,-75.3211,SO,,0.0767,,,,,0.0634,0.0267,0.0372,,,,,,,,0.0064,-0.0195,-0.0565,-0.0756,,,,,-0.1541,,,,,
2007-01-29,4.8897,-75.3222,E,,-0.0299,-0.0463,-0.0212,0.0431,0.0175,0.0144,-0.0259,-0.001,0.0429,,,,,,,,,,-0.0626,-0.1635,,,-0.1199,-0.0177,0.0253,0.0008,0.0104,0.013,0.0415
2007-01-29,4.8897,-75.3222,N,,0.2364,0.1444,0.0749,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-29,4.8897,-75.3222,NE,0.0924,0.083,0.0667,0.0272,0.0601,0.1222,0.0748,,,,,,,,,,,,,,,0.0118,0.0142,0.0203,0.0069,-0.0273,0.0129,-0.0123,-0.0222,-0.014
2007-01-29,4.8897,-75.3222,NO,0.2891,0.2557,0.1674,0.0484,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-29,4.8897,-75.3222,O,,0.3172,0.2261,0.1299,0.0449,0.0,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,
2007-01-29,4.8897,-75.3222,S,,0.2068,0.122,0.0212,-0.1057,-0.1385,-0.0907,-0.0274,-0.0697,0.0344,0.0367,0.0106,0.0565,0.0692,0.04,0.0336,0.0375,0.0142,0.0147,-0.0101,-0.0323,-0.0597,-0.0167,0.016,0.035,-0.0433,-0.0341,-0.0224,-0.0069,0.0083
2007-01-29,4.8897,-75.3222,SE,0.1068,0.0445,-0.0693,-0.0797,-0.0413,-0.0035,-0.0048,-0.0009,0.0055,0.0024,-0.0079,,,,,,,,,,,,,,,,,,,
2007-01-29,4.8897,-75.3222,SO,0.0784,0.0589,0.0237,0.001,-0.0587,-0.081,0.0394,0.0424,0.0239,-0.0108,-0.0175,0.0496,-0.0008,0.0905,0.1146,0.0803,0.088,0.0616,-0.0823,-0.0816,-0.1054,-0.0853,-0.0836,-0.0887,-0.0684,-0.0433,-0.0201,-0.0593,-0.0554,-0.0481
2007-02-14,4.894,-75.3214,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0034,,
2007-02-14,4.8962,-75.3214,E,,0.2213,0.3158,0.2982,,,,,,,,,,,,0.0092,-0.0088,-0.0088,0.001,0.013,0.0039,-0.007,0.0029,-1e-04,0.022,0.0241,-0.0066,,-0.0135,-0.0118
2007-02-14,4.894,-75.3214,N,,0.1464,0.1155,0.0903,0.057,0.0135,0.0533,,,,0.0812,,,0.0113,0.0153,0.0015,-0.0274,-0.0541,-0.0224,-0.0208,,-0.0649,-0.071,-0.0695,-0.0971,0.1092,,,,
2007-02-14,4.8951,-75.3214,N,,,,,,,,,,,,0.0868,0.0246,,,,,,,,-0.0673,,,,,,,,,
2007-02-14,4.8962,-75.3214,N,,,,,,,,0.018,0.0644,0.0585,,,,,,,,,,,,,,,,,,0.004,-0.0551,-0.0381
2007-02-14,4.894,-75.3214,NE,,,,,,,,,,0.0611,0.0397,-0.0031,-0.1181,0.0283,0.0284,0.015,,,,,,,,,,,,,,
2007-02-14,4.8951,-75.3214,NE,0.1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-14,4.8962,-75.3214,NE,,0.1066,0.0482,0.1033,0.0767,0.0307,-0.2912,,,,,,,,,,0.0039,0.0211,0.0242,0.0203,0.0164,0.0209,-0.0026,-0.0064,0.0127,0.0073,0.0127,0.015,0.0105,0.0049
2007-02-14,4.894,-75.3214,NO,,0.0796,0.0196,-0.0237,-0.0079,,,,,,,0.0257,,,,,,,,,,,,,,,,,,
2007-02-14,4.8951,-75.3214,NO,0.093,,,,,0.052,0.0565,0.0757,0.033,,0.0318,,,,,,,,,,,,,,,,,,,
2007-02-14,4.8962,-75.3214,NO,,,,,,,,,,0.0194,,,0.0076,-0.0029,0.0021,0.0173,0.0219,0.009,-0.0153,-0.0497,-0.0081,-0.0115,-0.007,-0.0166,-0.0432,-0.0364,,,,
2007-02-14,4.894,-75.3214,O,,0.0569,0.0114,,,,,,,,,,,,,,,,,,,,-0.0185,0.0259,0.004,-0.1004,-0.0903,-0.1022,-0.0805,-0.0589
2007-02-14,4.8951,-75.3214,O,,,,-0.0632,-0.0471,-0.0092,0.0619,,,,,,,,,,,,,,,,,,,,,,,
2007-02-14,4.8962,-75.3214,O,,,,,,,,0.0723,0.0627,0.0222,-0.0072,-0.0075,-0.0111,0.0283,0.0606,0.0312,-0.0134,-0.0128,-0.0237,-0.0161,-0.0222,-0.0166,,,,,,,,
2007-02-14,4.894,-75.3214,S,,,,0.1171,0.124,0.1167,0.0779,0.0253,,0.1257,-0.0399,-0.0494,,,,,,,,,,,,,,,,,,
2007-02-14,4.8951,-75.3214,S,,0.2129,0.1537,,,,,,0.0701,,,,,,,,,,,-0.0033,,,,,,,,,,
2007-02-14,4.8962,-75.3214,S,,,,,,,,,,,,,0.0623,0.0308,0.0379,,,-0.1811,-0.0167,,-0.0127,0.0101,0.0151,0.0136,-0.0096,-0.0402,-0.0169,-0.0028,0.0041,0.0826
2007-02-14,4.894,-75.3214,SE,0.0157,,,,,,,,,,,,,-0.1045,-0.0434,0.0304,0.0729,-0.0145,-0.0306,,,,,,,,,,,
2007-02-14,4.8951,-75.3214,SE,,,,0.0188,,,,,,,,,,,,,,,,,,,,,,,,,,
