date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-11,-36.8666,-71.3733,E,,0.2818,0.227,0.1647,0.0505,-0.0177,-0.065,-0.0435,0.029,0.0326,0.0185,0.0357,-0.0017,0.0029,-0.0229,-0.0396,0.0009,-0.0241,-0.0639,-0.0934,-0.0895,-0.0852,-0.0195,0.0202,0.0411,0.0547,0.0362,0.0341,-0.0017,-0.0215
2000-01-11,-36.8666,-71.3733,N,,0.1317,0.0515,-0.0402,-0.1209,-0.073,-0.1013,-0.1473,-0.0332,-0.0143,-0.0019,0.008,0.0087,0.0109,0.0009,-0.0108,0.0066,0.0047,0.0215,0.0196,0.0177,0.0069,-0.0035,-0.0482,-0.0262,0.0099,0.0443,0.0545,0.077,0.1024
2000-01-11,-36.8666,-71.3733,NE,0.0776,0.0723,0.005,-0.0886,-0.0674,-0.1583,-0.0259,0.0024,-0.0075,-0.0204,-0.0615,-0.0517,0.0489,0.0285,0.0566,0.0402,0.0407,0.0206,0.0247,0.0312,0.0329,0.0113,-0.0325,0.0221,-0.096,-0.0045,-0.0789,0.0015,0.0999,0.0033
2000-01-11,-36.8666,-71.3733,NO,0.0465,0.0484,-0.1386,-0.203,-0.192,-0.2168,-0.1773,-0.0788,-0.0281,-0.017,0.0014,-0.0043,-0.0037,-0.0056,-0.001,0.0081,0.0126,0.0148,0.0272,0.0478,0.0588,0.0808,0.0814,0.0763,0.0139,0.0199,0.033,0.0508,0.0205,0.0462
2000-01-11,-36.8666,-71.3733,O,0.3619,0.205,0.1791,0.1186,0.033,0.0112,-0.0282,-0.0413,0.0264,0.0339,0.0038,-0.0775,-0.0625,-0.0648,0.0268,0.0272,0.0596,0.0884,0.1034,0.0794,0.0653,0.0786,0.0532,0.0227,0.0274,0.0069,-0.0226,-0.0241,-0.0566,-0.0569
2000-01-11,-36.8666,-71.3733,S,,0.2949,0.2412,0.2234,0.0735,-0.0183,0.0984,0.1114,0.1273,0.1264,0.1079,0.0809,0.0507,0.0272,0.0028,0.0342,0.0847,0.0892,0.0243,-0.006,-0.0253,-0.0662,-0.0973,-0.0817,-0.076,-0.0581,-0.0484,-0.0281,-0.0302,-0.0109
2000-01-11,-36.8666,-71.3733,SE,0.2858,0.2473,0.1839,0.0326,0.0018,-0.0384,-0.0202,-0.0178,-0.0192,0.0091,0.0602,0.0528,0.0274,-0.0032,-0.0018,0.0565,0.0412,0.0215,-0.0264,-0.0492,-0.0818,-0.0463,-0.0398,-0.0253,-0.0448,-0.0502,-0.0045,0.0285,0.0402,0.0494
2000-01-11,-36.8666,-71.3733,SO,,0.3683,0.3649,0.3242,0.2185,0.1513,0.1404,0.0368,0.105,0.1549,0.1524,0.1044,-0.049,-0.0315,-0.0878,-0.1041,-0.0921,-0.087,-0.0773,-0.0781,-0.0626,-0.0555,-0.0573,-0.0358,-0.0222,-0.0261,-0.0144,-0.0074,0.0019,0.012
2000-01-27,-36.8666,-71.3733,E,,0.3064,0.2746,0.2021,0.1528,0.0563,0.0158,0.0095,0.0322,0.0611,0.0482,0.0426,0.0272,-0.024,-0.0194,0.0227,0.035,-0.0123,-0.0637,-0.0981,-0.0973,-0.0834,-0.032,0.0121,0.0566,0.0431,0.0457,0.034,0.0009,-0.0116
2000-01-27,-36.8666,-71.3733,N,,0.1543,0.0939,-0.0015,-0.0837,-0.0585,-0.0788,-0.1122,-0.036,-0.0261,-0.0293,-0.016,-0.0108,-0.0091,-0.0245,-0.0303,-0.0256,-0.0133,-0.0155,-0.0196,-0.0069,-0.0077,0.02,0.0282,0.0109,0.009,0.0112,0.0265,0.0531,0.0703
2000-01-27,-36.8666,-71.3733,NE,0.1102,0.1021,0.0676,-0.04,-0.0637,-0.1538,-0.0433,-0.0357,-0.0229,-0.016,-0.0505,-0.0122,0.035,0.0455,0.0515,0.0402,0.018,0.0558,0.0833,0.0695,0.0695,0.0376,0.0035,0.016,-0.0726,0.0183,-0.0293,-0.0053,0.0522,-0.011
2000-01-27,-36.8666,-71.3733,NO,0.112,0.1119,-0.1091,-0.1445,-0.1252,-0.1766,-0.1444,-0.0548,-0.0193,-0.014,-0.0096,-0.0096,-0.0057,-0.0077,-0.0006,0.0071,0.0107,0.0187,0.0261,0.0468,0.0673,0.0875,0.0932,0.0958,0.0287,0.0238,0.0282,0.058,0.0337,0.045
2000-01-27,-36.8666,-71.3733,O,0.4371,0.2921,0.2262,0.2607,0.1138,0.0084,-0.0401,0.018,0.0453,0.0192,-0.0055,-0.074,-0.0591,-0.0657,0.0034,0.0337,0.0652,0.0986,0.0989,0.0771,0.0564,0.0803,0.0346,0.0239,0.0129,0.0053,-0.0169,-0.0283,-0.0665,-0.0445
2000-01-27,-36.8666,-71.3733,S,,0.3415,0.2521,0.2284,0.1489,0.0349,0.1158,0.1233,0.1513,0.1398,0.1233,0.111,0.0895,0.0629,0.0253,0.0525,0.1011,0.0802,0.0265,-0.0003,-0.0502,-0.0883,-0.1178,-0.1006,-0.0902,-0.063,-0.0448,-0.0242,-0.0309,-0.0071
2000-01-27,-36.8666,-71.3733,SE,0.3222,0.2696,0.2187,0.0633,0.0264,0.001,0.0155,0.0658,-0.0105,0.0043,0.0535,0.0449,0.0168,-0.01,-0.0121,0.0386,0.0474,0.0656,-0.0065,-0.0518,-0.0843,-0.0386,-0.0141,-0.0028,-0.0184,-0.0241,-0.0013,0.0162,0.0359,0.0631
2000-01-27,-36.8666,-71.3733,SO,,0.4191,0.4065,0.3651,0.3019,0.1966,0.1567,0.0648,0.1591,0.1381,0.1426,0.1206,0.0052,-0.008,-0.0739,-0.0927,-0.0842,-0.0838,-0.0773,-0.0747,-0.0697,-0.056,-0.0556,-0.0353,-0.0248,-0.0187,-0.0116,-0.0058,0.0046,0.0146
