date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2002-01-16,-36.8642,-71.3809,E,0.0444,0.0274,0.0078,0.0052,-0.0119,-0.0114,-0.008,-0.0023,-0.0058,0.0097,0.0107,0.0151,0.0098,0.0151,0.0011,-0.0055,0.0066,0.0127,0.0155,0.0137,0.0125,0.0151,0.0053,0.0036,0.0086,0.0231,0.0171,-0.021,-0.0227,-0.0105
2002-01-16,-36.8642,-71.3809,N,0.092,0.0688,0.0715,0.0632,0.0387,0.0163,0.0096,0.0226,-0.0181,-0.0374,0.0108,0.0069,0.0082,0.0156,0.0041,0.0071,0.0088,0.0197,0.0275,0.0246,0.0458,0.0508,0.0429,0.0391,-0.0022,-0.0295,-0.038,-0.0495,-0.0524,-0.0494
2002-01-16,-36.8642,-71.3809,NE,,-0.0473,-0.045,-0.0534,-0.0395,-0.0221,-0.0186,0.0,-0.003,0.0062,0.0052,0.0059,0.0143,0.0234,0.0164,0.008,0.0034,0.0346,0.0482,0.0563,0.0398,0.0295,0.0231,0.016,0.0138,0.0026,-0.0147,-0.0153,-0.0329,-0.0336
2002-01-16,-36.8642,-71.3809,NO,,0.1142,0.0969,0.0902,0.1111,0.0902,0.0661,0.0502,0.0291,-0.0083,-0.0146,-0.0037,-0.0017,0.0023,0.0032,-0.0004,-0.0023,0.0026,0.0116,0.0098,0.0189,0.0213,0.0245,0.0005,-0.0207,-0.0173,-0.0134,-0.0131,-0.0278,-0.0337
2002-01-16,-36.8642,-71.3809,O,,0.1282,0.1066,0.0634,0.0158,-0.0545,-0.0672,-0.0727,-0.061,-0.0436,-0.0377,-0.0354,-0.0339,-0.0361,-0.0155,0.0013,0.0109,0.0173,0.0082,0.026,0.0248,0.0213,0.01,0.0174,0.0234,0.0268,0.0141,0.0127,0.0069,0.0106
2002-01-16,-36.8642,-71.3809,S,-0.0277,-0.0271,-0.059,-0.0795,-0.0413,-0.0241,0.0053,0.0076,-0.0062,-0.0099,0.0014,0.0055,0.0512,0.0718,0.0644,0.07,0.0794,0.044,0.0092,0.0189,0.0154,0.035,0.0232,0.0196,-0.0119,0.0119,0.0229,-0.0323,-0.0535,-0.0648
2002-01-16,-36.8642,-71.3809,SE,,0.0316,-0.0037,-0.0225,-0.0508,-0.0409,-0.0329,-0.0314,-0.0222,-0.0335,-0.02,0.012,0.0425,0.0427,0.0287,0.0234,0.007,-0.0085,-0.0137,-0.0227,-0.0104,0.0037,0.0138,0.0161,0.0164,0.0114,-0.001,-0.0103,-0.0143,-0.0181
2002-01-16,-36.8642,-71.3809,SO,,0.1387,0.1254,0.1192,0.1382,0.1065,0.0876,0.0915,0.0425,-0.0494,-0.059,-0.0513,-0.0159,0.0231,0.0079,-0.0147,-0.0352,-0.0403,-0.0411,-0.0413,-0.0394,-0.0322,-0.0079,0.0152,0.041,0.0369,0.0346,0.0133,-0.023,-0.0303
2016-03-19,-36.8663,-71.3729,E,,0.1613,0.1598,0.1538,0.1374,0.1111,0.0969,0.0715,0.0445,0.0268,0.013,0.0042,-0.0005,-0.0015,0.001,0.0077,-0.009,-0.0272,-0.0235,-0.0037,-0.0124,-0.0182,-0.0085,-0.0114,-0.0149,-0.0094,-0.0084,-0.0091,-0.0044,-0.0043
2016-03-19,-36.8663,-71.3729,N,,0.0283,0.0062,0.0019,0.0078,-0.0165,-0.0236,-0.0267,-0.0326,-0.0364,-0.0309,-0.0179,-0.0156,-0.0017,-0.0133,-0.0113,-0.0162,-0.03,-0.0059,0.0068,0.0084,-0.002,0.0059,0.0026,0.0068,0.0163,0.0068,0.0113,0.0231,0.036
2016-03-19,-36.8663,-71.3729,NE,0.01,0.0184,0.0238,0.0202,0.0091,0.0043,-0.0201,-0.0236,-0.0089,-0.0032,-0.0007,0.0088,-0.0146,0.0254,0.0188,0.0195,0.0284,0.0255,0.0192,0.0242,0.011,0.0223,-0.0047,0.0061,0.0348,0.0379,0.0078,-0.0402,0.0228,-0.0373
2016-03-19,-36.8663,-71.3729,NO,0.0299,0.0143,-0.0284,-0.0123,-0.0345,-0.0404,-0.0132,-0.0249,-0.0033,-0.0059,-0.0082,-0.013,-0.0171,-0.0105,-0.006,-0.0055,-0.01,-0.0082,0.0103,0.0035,0.0202,0.0079,0.0066,0.011,0.0226,0.0204,0.0053,-0.0021,-0.002,0.0054
