date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-09-12,-6.7282,129.496,E,0.0882,0.0542,0.03,-0.0018,-0.0231,-0.027,-0.0309,-0.0302,-0.0305,-0.0249,-0.0225,-0.0176,-0.0165,-0.0119,-0.0074,-0.0043,-0.0036,0.0031,0.0069,0.0108,0.0042,0.003,-0.0055,-0.005,0.0015,0.0089,0.0094,0.0077,0.0065,0.0067
2000-09-12,-6.7282,129.496,N,,,0.004,-0.0261,-0.0251,-0.021,-0.0161,-0.0114,-0.0133,-0.0083,-0.0035,-0.0065,-0.0005,0.0074,0.0083,0.0103,0.0082,0.0117,0.0075,0.0007,-0.0005,0.0006,-1e-04,-0.0021,-0.0102,-0.0149,-0.0013,0.0049,0.0054,0.0057
2000-09-12,-6.7282,129.496,NE,,0.0464,0.0111,-0.0055,-0.0136,-0.0154,-0.0204,-0.029,-0.0229,-0.0264,-0.0126,-0.0083,-0.0189,-0.0193,-0.0151,-0.0164,-0.0077,-0.0195,-0.0176,-0.0121,0.0032,0.0158,0.0062,0.0177,0.013,0.0059,0.0037,-0.0131,0.0081,0.0092
2000-09-12,-6.7282,129.496,NO,,0.0656,0.0424,0.0357,0.033,0.0204,0.0137,0.014,0.0154,0.0194,0.0135,0.0051,0.0063,0.0053,0.0022,0.0021,-0.0012,-0.0008,-0.0003,-0.0006,-0.0004,-0.002,-0.0023,-0.0024,-0.0026,-0.0016,-0.0046,-0.0026,0.001,-0.0008
2000-09-12,-6.7282,129.496,O,0.1005,0.0552,0.0641,0.0326,0.02,0.0052,0.0063,0.0043,0.003,0.0034,0.0101,0.0088,-0.0003,-0.0054,-0.0124,-0.0105,-0.0049,0.0097,0.0084,0.0094,0.0094,0.0053,0.0003,0.0027,0.001,0.003,0.0009,-0.0029,-0.0039,-0.0043
2000-09-12,-6.7282,129.496,S,,0.0662,0.0264,0.0091,0.0038,-0.0058,-0.0126,-0.0122,-0.0154,-0.0154,-0.0075,-0.0026,0.003,0.0099,0.0125,0.0148,0.0166,0.0185,0.0239,0.0196,0.0099,0.0055,-0.0018,-0.0042,-0.0097,-0.0173,-0.0154,-0.0126,-0.0161,-0.0173
2000-09-12,-6.7282,129.496,SE,,0.0856,0.0504,0.0066,-0.0068,-0.0098,-0.0021,-0.0085,-0.0072,-0.007,-0.014,-0.0143,-0.0101,-0.011,-0.0086,-0.0032,0.0033,0.0111,0.0142,0.0192,0.0226,0.0249,0.0168,0.0,-0.0037,-0.0079,-0.0155,-0.0155,-0.0155,-0.0155
2000-09-12,-6.7282,129.496,SO,,0.0894,0.0693,0.0641,0.0325,0.0239,0.0308,0.0152,0.0223,0.0231,0.023,0.0162,0.0097,0.014,0.0176,0.0117,0.0084,0.0073,0.0052,0.003,-0.0034,-0.0057,-0.0101,-0.0117,-0.0108,-0.0094,-0.0048,-0.0055,-0.007,-0.0068
2001-10-26,-6.7285,129.496,E,0.1419,0.1228,0.0835,0.0498,0.0243,0.0024,0.0041,0.0067,0.0017,-0.0,-0.0008,-0.0055,0.0014,0.0015,0.0063,-0.0038,-0.0047,,,,,,,,,,,,,
2001-10-26,-6.7285,129.496,N,,,0.0323,0.02,0.0122,0.0013,-0.0042,-0.0013,-0.002,0.0044,0.0012,-0.0027,0.0019,0.001,-1e-04,-0.0073,,,,,,,,,,,,,,
2001-10-26,-6.7285,129.496,NE,,0.0902,0.0533,0.033,0.0233,0.0094,0.0076,-0.0015,-0.0042,-0.0048,-0.0039,-0.0003,0.0034,0.0087,0.0092,0.0027,,,,,,,,,,,,,,
2001-10-26,-6.7285,129.496,NO,,0.0664,0.0506,0.0485,0.0387,0.0283,0.0134,0.0062,0.0125,0.0134,0.0132,0.0128,0.0118,0.0034,0.0031,0.005,0.0029,0.0025,-0.0016,-0.0046,-0.0019,-0.0025,-0.0014,0.0011,0.0018,0.0033,0.0011,0.0026,-0.0023,0.0012
2001-10-26,-6.7285,129.496,O,0.0757,0.0801,0.0349,0.0221,0.0058,-0.0005,-0.0016,0.0012,0.0025,0.0085,0.006,-0.0014,0.0009,-0.0019,-0.0042,-0.0004,0.0012,0.0019,0.0034,0.0065,0.0073,0.0117,0.0094,-0.0005,0.0004,-1e-04,-0.0019,-0.0013,-0.0042,-0.007
2001-10-26,-6.7285,129.496,S,,0.0489,0.0311,0.0177,0.0133,0.0104,0.0015,-0.0051,-0.0198,-0.0227,-0.0139,0.0012,0.0127,0.0174,0.0148,0.0167,0.0271,0.024,0.0181,0.0213,0.0068,0.0076,-0.0006,-0.0095,-0.0103,-0.0115,-0.0145,-0.0191,-0.0201,-0.0201
2001-10-26,-6.7285,129.496,SE,,0.0837,0.0551,0.0153,-0.0065,-0.0101,-0.0035,0.0042,0.0029,-0.002,-0.0053,-0.0138,-0.003,-0.0004,0.0021,-0.0039,0.0027,0.0067,0.0055,0.0131,0.0123,0.0189,0.0143,0.0053,-0.0127,-0.0127,-0.0127,-0.0041,-0.0041,-0.013
2001-10-26,-6.7285,129.496,SO,,0.0905,0.075,0.0439,0.0225,0.0321,0.0405,0.0361,0.0268,0.0184,0.0112,0.0108,0.0186,0.0179,0.0157,0.0051,0.0046,-0.0024,-0.0007,0.0002,-0.0098,-0.01,-0.0123,-0.0087,-0.0108,-0.0061,-0.0026,-0.002,-0.0045,-0.0063
2002-08-26,-6.7285,129.496,E,0.0829,0.0805,0.0452,0.0132,0.0037,0.0012,-0.0045,-0.0113,-0.0089,-0.0059,-0.0058,-0.0042,-0.0037,-0.0051,0.0016,-0.001,0.0032,0.0037,0.0106,0.0107,0.0045,0.0027,-0.0037,-0.0097,-0.0068,-0.0036,-0.0,0.0018,0.0024,0.0021
2002-08-26,-6.7285,129.496,N,,,0.0254,0.0098,0.0031,0.0003,0.0029,0.0,0.0006,-0.0004,0.0033,-0.0005,0.0023,0.0071,0.0083,0.0112,0.0124,0.0059,0.0034,0.0012,-0.0003,-0.0006,0.0004,-0.0036,-0.0046,-0.0039,-0.0068,-0.0092,-0.0083,-0.004
2002-08-26,-6.7285,129.496,NE,,0.0604,0.0258,0.0093,-0.0032,-0.003,-0.0103,-0.0104,-0.0154,-0.0151,-0.0145,-0.0084,-0.0049,0.0024,-0.001,-0.0048,-0.007,-0.0077,-0.005,-0.0105,-0.008,0.0019,0.0142,0.0136,0.0108,0.0035,-0.005,-0.0075,-0.0126,-0.01
2002-08-26,-6.7285,129.496,NO,,0.0457,0.0333,0.0356,0.03,0.0258,0.017,0.0104,0.0107,0.0088,0.0077,0.0026,-0.0004,-0.005,-0.004,-0.0029,-0.0019,-0.0012,-0.0005,-0.0011,-0.001,-0.0002,-0.0003,0.0012,0.0015,0.0016,0.0017,-1e-04,0.0,0.0019
2002-08-26,-6.7285,129.496,O,0.0729,0.0743,0.0374,0.0163,0.0027,0.0022,0.0015,-0.0047,0.0034,0.002,0.0006,-0.0043,-0.0045,-0.0012,0.0005,0.0021,-0.0042,0.0022,0.0047,0.0049,-1e-04,-0.0009,0.007,0.0002,-0.0028,-0.0004,-1e-04,-0.0014,-0.0037,-0.0049
