date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-03-20,37.4442,139.5584,E,,0.0243,0.0205,0.0166,0.0078,-0.0104,-0.0111,-0.0154,-0.0188,-0.0182,-0.0176,-0.0174,-0.0134,-0.0092,-0.0094,-0.0092,-0.0099,-0.0067,0.0011,0.0032,0.0036,0.0062,0.0093,0.0095,0.0116,0.0098,0.0092,0.0065,0.0058,-0.0003
2000-03-20,37.4442,139.5584,N,0.0359,0.0276,0.0277,0.0196,0.0116,0.01,0.011,0.0096,0.0101,0.0066,0.0058,0.0038,0.0033,-0.0002,-0.0006,-0.0058,-0.0046,-0.0033,-0.0023,0.001,-0.0021,-0.003,-0.0036,0.0035,0.0018,,,,,
2000-03-20,37.4442,139.5584,NE,0.0442,0.0298,0.0193,0.0245,0.0166,0.0171,0.0081,0.0084,0.0088,0.0027,0.0031,-0.0005,-0.0004,0.0021,0.004,0.0026,-0.0021,-0.0012,0.0041,0.0047,0.0018,0.0022,0.0004,-0.0003,-0.003,-0.0049,-0.0064,-0.0075,-0.0096,-0.0116
2000-03-20,37.4442,139.5584,NO,,0.0246,0.0202,0.0073,-0.0008,-0.0025,0.0052,0.0057,0.0037,0.0021,0.0003,-0.0016,0.0007,0.0017,0.0025,0.0054,0.0096,0.0121,0.0141,0.0161,0.0106,0.006,0.0028,-0.0033,-0.0057,-0.0035,-0.0081,-0.0143,-0.015,-0.0149
2000-03-20,37.4442,139.5584,O,0.0168,0.0116,0.0105,0.0064,0.0016,0.0047,0.0089,0.0037,0.0026,0.0084,0.012,0.013,0.0111,0.0093,0.0091,0.0085,0.0049,-0.0008,-0.0044,-0.005,-0.005,-0.0055,-0.0051,-0.006,-0.0062,-0.0057,-0.0024,-0.0004,0.0039,0.0057
2000-03-20,37.4442,139.5584,S,0.0152,0.0067,0.008,0.0098,0.0092,0.0148,0.0165,0.0088,0.0051,0.0051,0.0047,0.007,0.0076,0.0071,0.0062,0.0048,0.0005,0.0005,-0.0012,0.0018,0.0014,-0.0007,0.0014,0.0004,-0.0011,-0.0012,-0.0047,-0.0049,-0.0048,-0.0045
2000-03-20,37.4442,139.5584,SE,,0.0282,0.0212,0.0099,0.0114,0.0024,-0.0035,-0.0088,-0.0046,0.0018,0.0097,0.0057,0.0084,0.0044,0.0056,0.005,0.0036,0.0061,0.0103,0.0115,0.0088,0.0135,0.0108,0.0106,0.008,-0.007,-0.013,-0.0176,-0.0237,-0.0288
2000-03-20,37.4442,139.5584,SO,,0.0122,0.0137,0.0137,0.0178,0.0171,0.0173,0.0164,0.0164,0.012,0.0134,0.0154,0.012,0.0079,0.0029,0.0026,-0.0012,-0.0052,-0.0107,-0.0112,-0.0144,-0.0127,-0.0081,-0.0041,-0.0028,-0.0021,-0.002,0.0044,0.0021,0.0047
2000-09-21,37.4381,139.5684,E,0.0671,0.0614,0.0556,0.0374,0.0258,0.0198,0.0166,0.016,0.0186,0.0182,0.0194,0.0183,0.0177,0.0165,0.0102,0.0093,0.0091,0.0088,0.0071,-0.0011,-0.003,-0.0188,-0.0176,-0.0139,-0.0107,-0.0084,-0.007,-0.0056,-0.0042,0.0007
2000-09-21,37.4381,139.5684,N,0.079,0.054,0.0484,0.0567,0.0404,0.0407,0.0241,0.0349,0.027,0.0436,0.0231,0.0264,0.0414,0.0309,0.0211,0.0172,0.0116,0.0061,0.011,0.0116,-0.013,-0.0145,-0.0109,-0.0102,-0.0097,-0.0128,-0.0133,-0.0145,-0.0175,-0.0163
2000-09-21,37.4381,139.5684,NE,,0.0636,0.0439,0.0379,0.0266,0.02,0.0182,0.0158,0.0145,0.0172,0.0199,0.0187,0.011,0.0053,0.0012,0.0012,-0.0037,-0.0027,-0.0003,-0.005,-0.0029,-0.0034,-0.0017,-0.0016,-0.0029,0.0034,-0.0021,-0.0065,0.0003,-0.0018
2000-09-21,37.4381,139.5684,NO,0.0717,0.0761,0.0675,0.051,0.0232,-0.0034,-0.0134,-0.0149,-0.0145,-0.0123,-0.0103,-0.0051,-0.0044,-0.0074,-0.0076,-0.0056,0.0073,0.0149,0.0142,0.0097,0.0034,0.0034,0.007,0.0042,0.0037,-0.0014,-0.0089,-0.0106,-0.0106,-0.0087
2000-09-21,37.4381,139.5684,O,,0.0745,0.0633,0.0467,0.021,0.0042,-0.0034,-0.0057,-0.0047,-0.0047,-0.004,-0.0031,-0.0027,-0.0051,-0.0062,0.0002,0.0015,0.0077,0.0076,0.0038,0.0049,0.0082,0.0048,0.0034,-0.0011,-0.0033,-0.0073,-0.0066,-0.005,-0.0019
2000-09-21,37.4381,139.5684,S,,0.0736,0.0565,0.0476,0.0362,0.0363,0.0301,0.004,0.0041,0.0024,0.0173,0.0099,0.0047,0.0044,0.0068,0.0008,0.0003,1e-04,0.0003,0.0009,-0.0045,-0.0048,-0.006,-0.006,-0.0026,0.0008,1e-04,0.0014,0.0016,0.002
