date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-03-14,-1.412,29.1975,E,0.1073,0.0669,0.0234,0.001,,-0.0052,-0.0006,0.0025,-0.0011,-0.0011,-0.0011,-1e-04,,,,,,,,,,,,,,,,,,
2001-03-14,-1.412,29.1975,N,0.2059,0.1748,0.1376,0.0819,0.0261,0.0086,-0.0068,-0.025,-0.0221,-0.0171,-0.0102,0.011,0.0167,0.0212,0.0224,0.0011,-0.007,-0.0015,0.0074,,,,,,,,,,,
2001-03-14,-1.412,29.1975,NE,,0.2786,0.2016,0.1316,0.0865,0.0693,0.023,0.0027,0.0086,-0.001,-0.0042,-0.0095,-0.0069,0.0041,0.0046,0.0049,0.0079,0.0067,0.0144,0.0219,,,,,,,,,,
2001-03-14,-1.412,29.1975,O,0.1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-14,-1.412,29.1975,S,,0.14,0.1294,0.1243,0.1033,0.0819,0.0772,,,,,,,,,,,,,,,,,,,,,,,
2001-03-14,-1.412,29.1975,SE,,0.1347,0.0978,0.0737,0.0548,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-14,-1.412,29.1975,SO,,,0.1296,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-05,-1.4098,29.2058,E,0.0861,0.0014,0.0508,-0.0014,0.0497,-0.0397,-0.0163,-0.0646,-0.0876,-0.0099,-0.0065,0.0012,0.0062,0.0293,0.0103,-0.0005,-0.0098,-0.0516,-0.0489,-0.0481,-0.0542,-0.0862,-0.0654,-0.0424,-0.0129,0.0065,0.0015,-0.0183,-0.0293,-0.0398
2001-08-05,-1.4098,29.2058,N,0.2058,0.1431,0.1328,0.1035,0.0871,0.0982,0.1094,0.1185,0.1094,0.0712,0.0564,0.0423,0.0247,0.0091,0.0084,0.0066,-0.0053,-0.0295,-0.045,-0.0097,0.0068,0.0234,0.0206,0.0076,-0.0083,-0.0209,-0.0287,-0.0377,-0.0436,-0.0506
2001-08-05,-1.4098,29.2058,NE,,0.1694,0.1266,0.1097,0.0771,-0.026,-0.0477,-0.007,0.1071,0.1194,0.1116,0.0757,0.0403,0.0202,-0.0024,-0.0273,-0.0419,-0.0452,-0.0579,-0.0555,-0.0334,-0.0192,0.0073,0.0098,0.0094,0.0069,0.0012,-0.014,-0.0217,-0.0288
2001-08-05,-1.4098,29.2058,NO,,0.0825,0.1003,0.1101,0.0998,0.0791,0.0734,0.0634,0.0306,0.0621,0.0488,0.05,0.0384,0.0127,-0.0007,-0.0191,-0.0283,-0.0146,-0.0167,-0.0012,-0.0159,-0.0337,0.0077,0.0275,0.0081,0.0205,-0.0149,0.0055,-0.0337,-0.0292
2001-08-05,-1.4098,29.2058,O,-0.2223,-0.2891,-0.0635,0.0734,0.0914,0.0746,0.0745,0.0581,0.0492,0.0305,0.0521,0.0503,0.0366,0.0223,0.0086,-0.0081,-0.0142,-0.0522,-0.0329,-0.0498,-0.0429,-0.0448,-0.0631,-0.0831,-0.0015,0.0176,0.0052,0.0205,0.0737,0.0772
2001-08-05,-1.4098,29.2058,S,,0.3166,0.3329,0.294,0.2764,0.144,0.112,0.0826,0.0638,0.0596,0.0587,0.0433,0.0361,0.0312,0.02,0.0164,0.0221,0.023,0.0157,0.001,-0.0097,-0.0394,-0.0485,-0.0497,-0.0505,-0.0508,-0.0464,-0.0266,-0.0083,-0.0239
2001-08-05,-1.4098,29.2058,SE,,0.1455,0.1099,0.0803,0.0943,0.0614,0.0325,0.0088,0.0063,-0.0125,-0.0215,-0.0114,-0.0252,-0.0006,0.016,0.02,0.0247,0.0151,0.0157,0.0063,-1e-04,0.0007,-0.0065,-0.0024,-0.0034,0.0003,0.0003,-0.0063,-0.0119,-0.0161
2001-08-05,-1.4098,29.2058,SO,,0.1819,0.1586,0.1078,0.0494,0.0447,0.0311,0.0244,0.0245,0.0194,0.0144,0.0129,0.0112,0.0209,0.0197,-0.0221,-0.054,-0.046,-0.0518,-0.0607,-0.0648,-0.062,-0.0513,-0.0429,-0.0402,-0.0268,-0.003,0.0388,0.0976,0.0913
2001-12-11,-1.4082,29.2058,E,0.208,0.1845,0.1571,0.1021,0.0341,0.0363,0.0463,0.0725,0.0507,0.0353,-0.0282,-0.0113,-0.0116,-0.0035,0.0063,-0.0117,-0.0056,-0.0009,-1e-04,-0.0061,-0.0242,-0.0318,-0.0368,-0.0425,-0.0454,-0.0518,-0.0575,-0.061,-0.0632,-0.0646
2001-12-11,-1.4082,29.2058,N,0.2053,0.1825,0.1497,0.1042,0.107,0.0913,0.0878,0.0954,0.0903,0.0703,0.0533,0.0345,0.0176,0.0139,0.01,1e-04,-0.014,-0.0262,-0.0042,0.0063,0.0059,0.0054,-0.0049,-0.0096,-0.0178,-0.0259,-0.0372,-0.0446,-0.0502,-0.049
2001-12-11,-1.4082,29.2058,NE,,0.2542,0.1934,0.1624,0.1311,0.1167,0.0629,0.0348,0.0358,0.0268,0.0247,0.0254,0.0285,0.0243,0.0194,0.0024,-0.0088,-0.0038,0.0027,0.0085,0.0079,-0.001,-0.0077,-0.01,-0.0146,-0.0179,-0.02,-0.0219,-0.0241,-0.0261
2001-12-11,-1.4082,29.2058,NO,,0.1059,0.0809,0.0612,0.0216,-0.0074,-0.0413,-0.0468,0.0263,0.0276,0.0473,0.0321,-1e-04,-0.0151,-0.0171,-0.012,-0.0293,-0.0345,-0.0421,-0.0455,-0.05,-0.021,-0.0155,-0.0138,-0.0117,0.0062,0.0025,0.0101,-0.0035,-0.0023
2001-12-11,-1.4082,29.2058,O,0.1473,0.1383,0.1084,0.1009,0.0892,0.089,0.0524,-0.0628,-0.1131,-0.1553,-0.0921,-0.045,0.0,0.0028,0.0003,-0.0,-0.0097,0.0025,0.0039,0.0037,-0.0038,-0.0035,-0.0044,0.0164,0.0221,0.0183,0.0217,0.0243,0.014,0.0137
2001-12-11,-1.4082,29.2058,S,,0.4612,0.402,0.2897,0.177,0.0731,0.069,0.0496,0.0437,0.0399,0.0377,0.0036,0.0204,0.0154,0.003,-0.0142,-0.0057,-0.003,0.017,0.0184,0.0167,0.0121,-0.0064,-0.0131,-0.0187,-0.0142,-0.0076,-0.0085,0.0064,0.0035
2001-12-11,-1.4082,29.2058,SE,,-0.1922,-0.1596,-0.1474,-0.0927,-0.0592,-0.0243,-0.0256,-0.0092,0.0094,0.0173,0.008,0.0069,-0.0094,-0.0071,-1e-04,-0.0468,-0.0326,-0.0332,-0.0168,-0.0066,0.0112,0.0156,0.0157,0.0051,0.0068,0.0068,0.0022,0.0291,0.0073
2001-12-11,-1.4082,29.2058,SO,,0.2949,0.2799,0.243,0.2482,0.1777,0.165,0.1018,0.0742,0.0093,-0.0076,-0.007,0.0033,-0.0058,-0.0051,-0.0091,-0.0178,-0.0152,-0.0114,0.0062,-0.0029,-0.0139,-0.019,-0.0175,-0.025,-0.0469,-0.0371,0.0055,0.0097,0.0064
2002-01-28,-1.4084,29.2056,E,0.2088,0.1891,0.1558,0.1236,0.0872,0.0369,0.0332,0.0224,0.0114,,,,,,-0.0057,-0.0003,-0.0019,-0.0049,0.0011,0.0018,-0.0002,-0.0005,-0.0032,-0.0054,-0.0069,-0.0084,-0.0107,-0.011,-0.013,-0.0143
2002-01-28,-1.4084,29.2056,N,0.0818,0.081,0.0335,0.0056,-0.0073,-0.0335,-0.0469,-0.0127,0.0798,0.1042,0.1059,0.0537,0.016,0.0092,-0.003,-0.0116,-0.0095,-0.0042,-0.0165,-0.0163,-0.0007,0.0015,0.0142,0.0134,0.0024,-0.014,-0.0148,-0.0225,-0.0219,-0.039
2002-01-28,-1.4084,29.2056,NE,,0.2338,0.2161,0.152,0.145,0.1,0.0424,0.0314,,,,,,,,,0.0072,0.0059,-0.0065,-0.0066,-0.0018,0.0027,0.0007,-0.0008,-0.0029,0.0009,0.0016,-0.0016,-0.0047,-0.0047
2002-01-28,-1.4084,29.2056,NO,,0.1359,0.1388,0.1164,0.0718,0.034,-0.0095,-0.0081,0.0396,0.0591,0.0735,0.04,0.0235,0.0208,0.0174,-0.0007,-0.011,-0.0163,-0.0191,-0.0201,-0.0338,-0.0389,-0.0388,-0.0442,-0.0318,-0.021,0.0168,0.0194,-0.0227,-0.0317
2002-01-28,-1.4084,29.2056,O,0.2505,0.2456,0.2008,0.176,0.2184,0.1878,0.0958,0.0697,,,,,,,,,,,,,,,,,,,,,,
2002-01-28,-1.4084,29.2056,S,,0.3119,0.2207,0.1362,0.0685,0.0553,0.0468,0.0493,0.0385,0.036,0.008,0.0038,-0.0045,-0.0104,-0.0167,-0.013,0.0004,0.0187,0.0236,0.0269,0.0178,0.0003,-0.0048,-0.0106,-0.0121,-0.0097,0.0022,0.0119,0.0139,0.0028
2002-01-28,-1.4084,29.2056,SE,,0.2464,0.1549,0.1016,0.0512,0.0131,0.0032,-0.0077,-0.0019,0.0033,0.0135,0.0168,0.032,0.0354,0.0338,0.0245,-0.0014,-0.017,-0.0278,-0.0261,-0.0145,-0.0013,0.0084,0.0117,0.0092,-0.0006,-0.0014,0.0015,-0.0008,-0.0014
2002-01-28,-1.4084,29.2056,SO,,0.2346,0.2127,0.1826,0.1641,0.1175,0.1014,0.0587,0.0482,0.0377,0.0233,0.0141,0.0049,0.0018,-0.0052,0.001,-0.0121,0.0032,0.0058,0.0015,-0.0025,-0.0172,-0.0199,-0.0243,-0.0125,-0.0204,-0.0273,-0.0201,-0.0071,0.0159
2002-07-23,-1.406,29.1999,O,0.1191,0.0948,0.0851,0.0728,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-23,-1.406,29.1999,S,,,,,0.1143,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-23,-1.406,29.1999,SO,,0.0636,0.0626,0.0656,0.0591,0.0484,0.0323,0.0198,0.0135,0.0014,-0.0056,-0.0099,-0.0028,-0.0054,-0.0019,0.0035,-0.0047,-0.0021,0.0012,0.0023,0.0028,0.0046,0.0035,0.0096,0.0037,-0.0071,-0.0175,-0.0179,-0.0085,-0.0101
2002-12-30,-1.4125,29.1967,E,0.0578,0.0532,0.0444,0.0326,0.0172,0.0231,0.0183,0.0155,0.0087,-0.0041,-0.0029,-0.0211,0.0078,0.0243,0.022,0.014,0.0113,,,-0.0065,-0.0113,-0.0188,,,-0.0257,,,,,
2002-12-30,-1.4125,29.1967,N,0.1193,0.1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-30,-1.4125,29.1967,NE,,0.1192,0.114,0.114,0.1085,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,
2002-12-30,-1.4125,29.1967,NO,,-0.0271,-0.0324,-0.0411,-0.0464,,,,,,,,,,,0.0652,,,,,,,,,,,,,,
2002-12-30,-1.4125,29.1967,O,,-0.0231,-0.0283,-0.0309,-0.0362,-0.0389,-0.0363,-0.0256,-0.0204,-0.0178,0.0057,0.0057,0.0138,0.045,,,,,,,,,,,,,,,,
2002-12-30,-1.4125,29.1967,S,,0.025,0.0224,0.0084,0.0025,-0.0004,0.0026,0.0072,0.0065,0.0167,0.026,0.0058,-0.0075,-0.0141,,,,,,,,,,,,,,,,
2002-12-30,-1.4125,29.1967,SE,,0.0722,0.0635,0.0473,0.0344,0.028,0.0199,0.0032,-0.0019,0.0041,0.011,0.0181,0.0257,0.0277,0.0223,0.0204,0.0119,0.0056,-0.0031,-0.0084,-0.0114,-0.0148,-0.0164,-0.0153,-0.0165,-0.0173,-0.0184,-0.0184,,
2002-12-30,-1.4125,29.1967,SO,-0.0022,-0.0157,-0.021,-0.0376,-0.0379,-0.0216,-0.0094,-0.0026,0.0267,0.0388,0.0359,,,,,,,,,,,,,,,,,,,
