date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-08-05,-1.5217,29.2507,E,,0.1642,0.0921,0.0332,0.0471,0.0445,0.0655,0.0763,0.0767,0.0675,0.051,0.0272,0.009,0.0088,-0.0214,-0.018,-0.0063,-0.0234,-0.0626,-0.0739,-0.0776,-0.0779,-0.0021,0.027,0.0525,0.0523,0.0472,0.0313,0.0166,-0.0101
2001-08-05,-1.5217,29.2507,N,0.284,0.2162,0.1916,0.1856,0.1862,0.1634,0.1452,0.1299,0.1228,0.108,0.0933,-0.0116,-0.0453,-0.0404,-0.0388,-0.0352,-0.0287,-0.0179,-0.0003,0.0111,0.0109,0.0607,-0.0061,-0.0122,-0.0214,-0.0333,0.0104,-0.0481,-0.0517,-0.0258
2001-08-05,-1.5217,29.2507,NE,,0.2556,0.2176,0.2031,0.2048,0.184,0.1482,0.1224,0.0818,0.0369,-0.0136,-0.0257,-0.0261,-0.0277,-0.0329,-0.0324,-0.0318,-0.0095,0.0087,0.0079,0.0102,-0.0004,-0.0037,-0.0035,-0.0072,-0.0118,-0.0183,-0.0189,-0.0249,-0.0255
2001-08-05,-1.5217,29.2507,NO,0.1407,0.1033,0.0915,0.0735,0.0751,0.0735,0.0856,0.0928,0.1072,0.0843,0.1032,0.1042,0.0699,0.0236,-0.0329,-0.0476,-0.044,-0.0238,0.0079,0.0401,0.0383,0.028,0.0055,0.0075,-0.0209,-0.0171,-0.0326,-0.0479,-0.0668,-0.0945
2001-08-05,-1.5217,29.2507,O,,0.0538,0.0364,0.0155,0.0137,0.0211,0.0364,0.0484,0.0624,0.0635,0.0626,0.054,0.046,0.0389,0.0126,-0.0359,-0.0429,-0.0501,-0.005,0.0292,0.0411,0.0502,0.039,0.009,-0.0193,-0.0463,-0.0661,-0.0761,-0.1033,-0.0887
2001-08-05,-1.5217,29.2507,S,0.1605,0.1559,0.1193,0.0816,0.0616,0.0361,-0.0062,-0.0171,-0.0526,-0.01,-0.0108,-0.0027,-0.0203,-0.0077,-0.0111,-0.0193,-0.007,0.0183,0.0506,0.0692,0.0542,0.0736,0.0808,0.0358,0.0024,-0.05,-0.0753,-0.1073,-0.1204,
2001-08-05,-1.5217,29.2507,SE,,0.1336,0.0854,0.0369,0.0015,-0.0213,-0.0383,0.0178,0.0257,-0.005,0.0118,0.0023,-0.0057,0.0088,0.0066,-0.0005,-0.0057,0.0355,0.0163,-0.0048,-0.016,-0.0127,-0.0113,-0.003,0.0193,-0.002,-0.0002,0.012,-0.0112,-0.0376
2001-08-05,-1.5217,29.2507,SO,0.0625,0.0581,0.0492,0.031,0.017,0.0143,0.0196,0.0182,0.024,0.0117,0.0137,0.0101,0.0302,0.0198,0.0232,0.0063,-0.017,-0.0306,-0.0332,0.0017,0.0489,0.0861,0.0961,0.0904,0.0316,-0.0152,-0.0451,-0.0795,-0.0927,-0.1115
2001-12-11,-1.5217,29.2507,E,,0.1708,0.1673,0.0983,0.0915,0.0763,0.0583,0.0376,0.0303,0.0189,0.0124,0.0223,0.0215,0.0304,0.0465,0.0439,0.027,0.0229,0.0208,0.0535,0.0813,0.0868,0.076,0.0364,-0.0051,-0.0321,-0.0575,-0.0812,-0.1056,-0.13
2001-12-11,-1.5217,29.2507,N,0.2678,0.2073,0.1921,0.2006,0.1968,0.2046,0.2004,0.1845,0.1735,0.1928,0.1736,0.0988,0.0224,-0.0599,-0.0643,-0.0565,-0.0421,-0.0172,0.0064,0.0213,0.021,0.0621,-0.0127,-0.0187,-0.0387,-0.0531,-0.0251,-0.0917,-0.1091,-0.0839
