date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-12,-2.7632,35.9166,E,,0.1394,0.1109,0.0872,0.0714,0.0466,0.0505,0.0525,0.0318,0.0096,-0.0019,-0.0028,0.0098,0.0261,0.0283,0.0314,0.0289,0.0284,0.0307,-0.0038,-0.0037,0.0076,0.0392,-0.0319,-0.1138,-0.0949,-0.0684,-0.0711,,
2000-02-12,-2.7632,35.9166,N,0.1955,0.1833,0.1683,0.1526,0.1262,0.1073,0.084,0.0566,0.0161,-0.0097,0.0023,0.0096,0.0225,0.0084,0.0299,0.0406,0.0371,0.0327,0.0036,-0.0023,0.032,0.0329,0.0038,0.0079,-0.0003,0.0058,0.0108,0.0084,0.0103,0.0229
2000-02-12,-2.7632,35.9166,NE,,0.1694,0.1573,0.1381,0.1259,0.1118,0.1056,0.078,0.0409,0.0062,-0.0169,-0.0334,-0.077,-0.0729,-0.0481,-0.0425,-0.002,-0.0177,-0.0013,0.0003,0.012,0.0382,0.0352,0.0157,0.0106,0.0047,0.0049,0.0203,0.0079,-0.0103
2000-02-12,-2.7632,35.9166,NO,,0.186,0.1708,0.1601,0.1532,0.1289,0.0912,0.0726,0.0526,0.0207,-0.0018,-0.045,-0.0343,-0.0112,-0.0086,0.0057,0.0136,0.0069,0.0086,-0.0006,0.0014,-0.0052,0.0032,-0.0078,-0.0041,-0.0052,-0.0003,0.0049,0.0195,0.0283
2000-02-12,-2.7632,35.9166,O,,0.2044,0.1843,0.1716,0.1699,0.1599,0.13,0.1037,0.07,0.0378,0.0102,-0.016,-0.024,-0.0065,0.0269,0.0045,-0.0222,-0.0156,-0.0148,-0.0141,0.0003,0.0083,0.0139,0.0149,0.0186,0.0216,0.0225,0.0091,0.0265,0.0379
2000-02-12,-2.7632,35.9166,S,0.3179,0.312,0.2982,0.3074,0.2864,0.2603,0.1826,0.0635,0.0346,-0.0014,-0.0018,-0.0108,-0.031,-0.0293,-0.0258,-0.0226,-0.021,-0.0185,-0.0143,-0.0111,-0.0077,-0.0055,-0.0024,0.0012,0.0048,0.0074,0.0101,0.0131,0.016,0.0199
2000-02-12,-2.7632,35.9166,SE,0.3118,0.3467,0.2978,0.359,0.3347,0.2046,0.118,0.0495,0.0195,0.0122,,,,,,,,,,,,,,,,,,,,
2000-02-12,-2.7632,35.9166,SO,,0.2144,0.2097,0.2054,0.2053,0.2017,0.1989,0.1616,0.163,0.1493,0.1198,0.0998,0.0717,0.0368,-0.0143,-0.0668,-0.0876,-0.103,-0.0939,-0.0722,-0.0733,-0.057,-0.0384,-0.0094,0.0106,0.0265,0.0409,0.0427,0.0446,0.0473
2000-10-25,-2.7635,35.9155,E,,0.1478,0.1212,0.0798,0.03,-0.0238,-0.1008,-0.039,-0.0589,-0.0104,0.0073,0.0208,0.0509,0.0783,0.0891,0.0835,0.0671,0.046,0.045,0.0141,-0.0,-0.0107,-0.0245,-0.0405,-0.0648,-0.0471,-0.0516,-0.0423,-0.0275,-0.02
2000-10-25,-2.7635,35.9155,N,0.2225,0.2156,0.2119,0.208,0.2038,0.2059,0.192,0.1773,0.1567,0.1221,0.0919,0.0763,0.0275,0.0047,-0.0297,-0.0424,-0.0403,-0.0337,-0.0282,-0.0228,0.0044,-0.0033,-0.0069,-0.0379,-0.0142,-0.0002,0.0085,0.0061,-0.0057,-0.0003
