date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-27,-0.9031,36.2986,E,0.0969,0.1011,0.098,0.0942,0.0846,0.0754,0.0749,0.0698,0.0209,-0.0104,-0.0219,-0.0197,-0.0207,-0.0209,-0.0187,-0.016,0.0134,0.0224,0.0291,0.0182,0.0114,0.012,0.014,0.0018,-0.0033,-0.0102,-0.0102,-0.0084,-0.0131,-0.024
2000-01-27,-0.9031,36.2986,N,,0.0786,0.0516,0.0404,0.0435,0.0417,0.0269,0.0103,-0.0075,-0.0168,-0.0089,-0.0028,0.0147,0.0164,0.0168,0.0108,0.005,0.0075,0.0144,0.0191,-0.0303,-0.0486,-0.0358,-0.0054,0.0217,-0.0062,-0.0161,-0.0159,0.0014,0.0205
2000-01-27,-0.9031,36.2986,NE,,0.0156,0.0067,-0.0012,-0.0053,0.0112,0.0115,0.0101,-0.0035,-0.0138,-0.0253,0.0018,0.004,0.0102,0.0096,-0.0103,-0.0353,-0.0274,-0.0243,0.0006,0.0164,0.0145,0.0545,0.0645,-0.0146,-0.0186,-0.0377,-0.0298,-0.0275,1e-04
2000-01-27,-0.9031,36.2986,NO,,0.0916,0.0644,0.0387,0.0174,0.0033,0.0063,0.0087,0.0051,-0.008,-0.0125,-0.0171,-0.0081,-0.0007,0.0066,0.0048,0.01,0.0064,0.0103,0.0137,0.0107,0.0079,0.0096,0.0086,0.0102,0.0013,-0.008,-0.0177,-0.0173,-0.0144
2000-01-27,-0.9031,36.2986,O,,0.1533,0.1363,0.1029,0.0946,0.0695,0.0509,0.0045,-0.0264,-0.0383,-0.0376,-0.017,0.0003,0.016,0.0146,-0.0047,-0.0164,-0.0065,0.0019,0.0043,0.0083,0.0209,0.0121,0.0066,-0.0008,0.0028,0.013,0.0165,0.0166,0.0144
2000-01-27,-0.9031,36.2986,S,0.1356,0.1417,0.1238,0.1035,0.0809,0.0758,0.0326,0.0128,0.0083,-0.0036,0.003,0.0293,0.0642,0.0615,0.0204,-0.0395,-0.0576,-0.0391,0.0003,0.0193,0.0091,0.0058,-0.0078,0.0017,0.0062,0.0276,0.0147,0.0018,-0.0219,-0.0313
2000-01-27,-0.9031,36.2986,SE,,0.1227,0.109,0.0799,0.0584,0.0375,0.025,0.0141,0.0103,0.006,-0.027,-0.0308,-0.0196,-0.006,0.0092,0.0192,0.0425,0.0328,0.0584,0.0313,0.0433,0.0105,-0.0017,-0.0067,-0.0202,-0.0356,-0.0107,-0.0289,-0.0392,-0.0412
2000-01-27,-0.9031,36.2986,SO,,0.1324,0.1193,0.1097,0.0921,0.0611,-0.0034,-0.0331,-0.0284,-0.0143,-0.0079,0.0059,0.0185,0.0166,-0.0073,-0.0453,-0.0426,0.0024,0.0316,0.046,0.0334,0.0375,0.0212,0.0182,0.024,-0.002,0.0217,-0.0097,-0.0358,-0.0344
2000-02-12,-0.9056,36.2889,E,0.1746,0.1487,0.1045,0.0762,0.0382,0.0081,-0.0181,0.0027,-0.0002,0.0131,0.005,-0.0022,0.0008,0.0032,0.0041,0.0033,0.0081,0.004,0.0003,-0.004,-0.0083,-0.015,-0.0157,-0.0208,-0.0073,-0.0061,-0.0031,-0.0053,-1e-04,0.0149
2000-02-12,-0.9056,36.2889,N,,0.1206,0.0562,0.0573,-0.0054,-0.0413,-0.0498,-0.0349,-0.0225,-0.0095,-0.0067,-0.017,-0.0179,-0.0151,-0.0067,-0.0078,-0.003,0.0086,0.0085,0.0016,0.0034,0.0027,-0.0037,0.0061,0.002,0.0021,-0.0003,0.0035,0.0077,0.0079
2000-02-12,-0.9056,36.2889,NE,,0.1171,0.0789,0.0518,0.0414,-0.0247,-0.0502,-0.0392,-0.0109,0.014,-0.0087,-0.0052,0.0214,0.0054,-0.0139,-0.0175,-0.0225,-0.0113,-0.0057,0.0053,0.0124,0.0201,0.0239,0.012,0.0179,0.0119,-0.0009,-0.0005,-0.0096,-0.0184
2000-02-12,-0.9056,36.2889,NO,,0.1064,0.0643,0.0224,0.0066,-0.0122,-0.0079,-0.0208,-0.0275,-0.023,-0.0298,-0.0288,-0.0261,-0.0224,-0.0157,-0.0143,-0.0112,-0.0037,-0.0032,0.0026,-0.0019,-0.0018,-0.0037,0.0094,0.0095,0.0231,0.0242,0.0178,0.022,0.017
2000-02-12,-0.9056,36.2889,O,,-0.018,-0.0268,-0.0214,-0.0399,-0.0427,-0.0161,-0.0014,0.0116,0.0187,0.0217,0.0255,0.0176,0.0183,0.0163,0.0222,0.0194,0.0249,0.0289,0.0294,-0.0,-0.0257,-0.0128,-0.0181,0.0033,0.0101,-0.0149,-0.0401,-0.0741,-0.0868
2000-02-12,-0.9056,36.2889,S,0.1214,0.0967,0.0908,0.0634,0.0656,0.0371,0.0121,-0.0131,-0.0302,-0.0491,-0.0554,-0.056,-0.0435,-0.0194,-0.0059,-0.0011,-0.0057,-0.0093,-0.0004,-0.0036,-0.0033,0.0038,0.0082,0.0181,0.0244,0.0245,0.02,0.0175,0.0226,0.0238
2000-02-12,-0.9056,36.2889,SE,,0.1849,0.1489,0.1216,0.1016,0.0686,0.0257,0.0147,0.0264,0.0267,0.0168,0.0071,-0.0009,-0.0085,-0.0203,1e-04,-0.037,-0.0234,-0.04,-0.0325,-0.0283,-0.0331,-0.0189,-0.0026,0.0148,0.0146,0.0217,0.0275,-0.0219,-0.0171
2000-02-12,-0.9056,36.2889,SO,,0.092,0.0913,0.084,0.0204,-0.0095,-0.0349,-0.0186,-0.0122,-0.0028,-0.0114,-0.0126,0.0009,0.0205,0.0507,0.0602,0.0462,0.026,0.011,0.0165,0.0247,0.0219,-0.054,-0.0363,-0.0655,-0.0591,-0.0584,-0.0304,0.0017,-0.0057
2000-03-15,-0.9056,36.2889,E,0.1789,0.1491,0.1175,0.089,0.0522,0.0128,-0.0167,-0.0166,-0.0002,0.0123,0.0023,-0.0089,-0.0037,0.0071,0.0073,0.0084,0.0095,0.0076,-0.0023,-0.0044,-0.0046,-0.0069,-0.0137,-0.0118,-0.0043,-0.0047,-0.0074,-0.0068,0.0029,0.0095
2000-03-15,-0.9056,36.2889,N,,0.156,0.1023,0.0444,-0.0022,-0.0333,-0.0426,-0.0361,-0.0167,-0.0094,-0.0014,-0.0135,-0.0079,-0.0141,-0.0106,-0.0105,-0.0047,-0.0038,0.0074,0.0025,-0.008,-0.0002,-0.0027,0.0061,0.0023,0.0018,0.0004,0.0009,0.0077,0.0133
2000-03-15,-0.9056,36.2889,NE,,0.1204,0.0929,0.0771,0.0482,-0.0358,-0.057,-0.0351,-0.0147,0.001,-0.0186,-0.012,0.0248,0.0108,-0.0219,-0.0206,-0.0282,-0.0144,-0.0101,-0.0007,0.0069,0.0153,0.0208,0.0179,0.0192,0.0088,0.0009,-0.0014,-0.0037,-0.0108
2000-03-15,-0.9056,36.2889,NO,,0.1405,0.0941,0.0446,0.0211,-0.0038,0.0069,-0.009,-0.0098,-0.0127,-0.0178,-0.0226,-0.0167,-0.0196,-0.0128,-0.0052,-0.0032,-0.0038,-0.0049,0.0019,-0.0053,-0.0096,0.0043,-0.0009,0.0026,0.0119,0.0181,0.0187,0.0154,0.0164
2000-03-15,-0.9056,36.2889,O,,-0.0461,-0.0578,-0.052,-0.0721,-0.0602,-0.0172,0.0031,0.0086,0.0159,0.0244,0.028,0.0267,0.0229,0.0144,0.0158,0.023,0.0306,0.0422,0.0303,0.0003,-0.0153,-0.0083,-0.0123,-0.003,0.0167,0.0027,-0.0299,-0.0675,-0.074
2000-03-15,-0.9056,36.2889,S,0.0908,0.0604,0.0599,0.0436,0.0459,0.0289,0.0045,-0.0143,-0.028,-0.0404,-0.0612,-0.0654,-0.0539,-0.0304,-0.032,-0.0206,-0.0109,-0.0026,-0.0066,0.0068,0.0189,0.02,0.0171,0.0223,0.0307,0.0327,0.0268,0.0295,0.0378,0.0427
2000-03-15,-0.9056,36.2889,SE,,0.1477,0.12,0.1048,0.0991,0.071,0.0305,0.0238,0.0195,0.0245,0.0086,-0.0032,-0.0022,-0.0121,-0.0244,0.0019,-0.0416,-0.0191,-0.0503,-0.0277,-0.0187,-0.044,-0.007,0.0039,0.0214,0.0337,0.0342,0.0339,-0.0076,-0.005
2000-03-15,-0.9056,36.2889,SO,,0.0802,0.0713,0.0652,0.0054,-0.0224,-0.0412,-0.0286,-0.0197,-0.004,-0.0032,-0.0127,-0.0065,0.0239,0.0424,0.0488,0.0303,0.0196,0.0067,0.0142,0.0338,0.0228,-0.0525,-0.0398,-0.0605,-0.0512,-0.0524,-0.0043,0.0138,0.0066
2000-08-22,-0.9083,36.2878,E,0.042,0.0179,-0.0088,-0.0349,-0.0444,-0.0369,-0.0106,0.0332,0.058,0.0714,0.0869,0.0887,0.0834,0.0484,0.0251,-0.0061,-0.0399,-0.0376,-0.0213,-0.0124,-0.0079,-0.0163,-0.02,-0.014,0.0081,0.0096,0.0118,0.012,0.0096,0.0053
2000-08-22,-0.9083,36.2878,N,,0.1833,0.1614,0.1568,0.148,0.1209,0.0871,0.0473,0.034,-0.018,-0.0275,-0.0235,-0.0202,-0.0169,-0.0058,-0.0036,0.0029,-0.0054,0.0014,0.0029,-0.0057,1e-04,0.001,0.0068,0.0055,0.0058,0.0075,0.0078,0.0067,0.0007
2000-08-22,-0.9083,36.2878,NE,,0.1461,0.1139,0.0993,0.0991,0.0829,0.08,0.0709,0.0119,0.0208,-0.0168,-0.0363,-0.0177,-0.0228,-0.0279,-0.0247,-0.0275,-0.008,-0.016,0.0008,-0.0175,-0.019,0.0019,-0.0101,-0.0176,-0.012,0.0008,0.0102,0.0179,0.0253
2000-08-22,-0.9083,36.2878,NO,,0.0755,0.0727,0.0796,0.0736,0.0771,0.0864,0.0865,0.0945,0.0946,0.0881,0.0578,0.0509,0.0136,0.0004,-0.0047,-0.0031,-0.0061,-0.0102,-0.0225,-0.0399,-0.0596,-0.0566,-0.0696,-0.0444,-0.0157,0.0322,0.0353,0.017,-0.0079
2000-08-22,-0.9083,36.2878,O,,0.0613,0.0575,0.0431,0.0256,0.0171,0.0113,-0.0031,0.0036,0.0045,-0.007,-0.0184,-0.0115,-0.0207,-0.0198,0.0105,0.0009,-0.0141,-0.0226,-0.0356,-0.0369,-0.0429,-0.0321,-0.006,0.0219,0.0248,0.0453,0.0315,0.0142,-0.0149
2000-08-22,-0.9083,36.2878,S,0.0701,0.0772,0.0795,0.0645,0.0514,0.0281,0.0293,0.0121,0.0038,0.0195,0.0102,0.0007,0.0037,0.0053,0.0129,0.0019,-0.0007,-0.0012,-0.0073,-0.014,-0.0079,-0.0089,-0.0061,-0.0095,-0.0124,-0.0024,0.0005,0.0088,-0.0014,-0.0057
2000-08-22,-0.9083,36.2878,SE,,0.0463,0.0394,0.0446,0.0501,0.0504,0.0455,0.0417,0.034,0.0289,0.0095,0.0006,-0.0151,-0.0318,-0.0311,-0.0158,-0.0144,0.0139,0.004,-0.0071,-0.009,-0.0092,-0.0002,-0.0054,0.0157,-0.0005,0.0159,0.012,0.029,0.0433
2000-08-22,-0.9083,36.2878,SO,,0.0463,0.0406,0.0463,0.0543,0.0276,0.0315,0.0232,0.0231,0.0236,0.0167,-0.0024,0.0023,-0.0181,-0.0189,-0.0074,0.0002,-0.0096,-0.0141,-0.0219,-0.0008,-0.0022,0.0065,0.0154,0.0176,0.0115,-0.0126,-0.009,0.0004,-0.0276
2000-10-25,-0.9091,36.2878,E,0.1012,0.0987,0.0767,0.0541,0.0227,0.0033,-0.0086,-0.0231,-0.0053,0.0183,0.0207,0.0585,0.0676,0.0844,0.0889,0.0598,0.0272,0.0146,-0.0028,-0.0275,-0.023,-0.029,-0.0103,-0.0054,-0.0163,-0.0018,-0.013,0.0034,0.0133,0.0118
2000-10-25,-0.9091,36.2878,N,,0.1207,0.0847,0.064,0.0426,0.0341,0.0606,0.0534,0.0569,0.038,-0.0086,-0.0282,-0.0296,-0.0241,-0.0197,-0.0132,-0.014,-0.0217,-0.0214,-0.0043,0.0067,0.0067,0.0037,0.0091,0.0137,0.0117,0.0108,1e-04,-0.0011,-0.0048
2000-10-25,-0.9091,36.2878,NE,,0.1304,0.0983,0.0829,0.066,0.0663,0.0564,0.051,0.0291,-1e-04,0.0014,0.0034,-0.0287,-0.0217,-0.019,-0.016,-0.002,-0.0041,-0.0017,0.0026,-0.0102,-0.009,0.0015,-0.0024,0.001,0.0035,0.0006,-0.0002,0.0071,0.01
2000-10-25,-0.9091,36.2878,NO,,0.0434,0.0223,0.0178,0.0212,0.0334,0.049,0.058,0.0685,0.0689,0.0618,0.0375,0.0282,0.0165,0.0087,-0.0009,-0.0049,-0.0034,-0.0569,-0.0452,-0.0479,-0.0402,-0.0258,-0.0039,0.0235,0.0169,-0.014,-0.0333,-0.0281,-0.0194
2000-10-25,-0.9091,36.2878,O,,0.1553,0.1116,0.0857,0.0702,0.046,0.0188,-0.0039,-0.0018,-0.0034,0.0043,0.0097,0.0043,-0.0033,0.0,0.0227,0.0095,-0.0057,-0.0236,-0.0151,-0.0085,0.0098,0.0113,0.0251,0.0319,0.0404,-0.0045,-0.0329,-0.0876,-0.098
2000-10-25,-0.9091,36.2878,S,0.102,0.0966,0.0974,0.0782,0.0452,0.0273,0.0171,-0.0007,-1e-04,0.0105,0.0258,0.0223,0.0295,0.0329,0.0348,0.0221,0.012,0.0077,0.0048,0.0062,0.0017,-0.0018,-0.0063,0.0027,-0.0063,-0.0093,-0.0011,-0.0046,0.0037,0.006
2000-10-25,-0.9091,36.2878,SE,,0.1078,0.1141,0.0975,0.0735,0.0547,0.0412,0.0375,0.0266,0.0329,0.0191,0.0052,-0.0033,-0.0039,-0.0138,-0.0097,-0.0164,-0.0143,-0.0173,1e-04,0.0171,0.0055,0.0166,-0.0085,0.005,-0.0005,0.0036,0.009,0.0114,0.0085
2000-10-25,-0.9091,36.2878,SO,,0.1099,0.1089,0.0944,0.0776,0.0671,0.0584,0.0424,0.0215,-0.0005,-0.0178,-0.015,-0.0132,0.0061,0.0093,0.0061,0.007,-0.0098,-0.007,-0.006,0.0037,0.0039,0.006,0.0033,0.0006,-0.0049,-0.0116,-0.0085,-0.0083,-0.0124
2000-12-28,-0.9056,36.2889,E,0.1765,0.1458,0.097,0.0606,0.0436,0.018,-0.0,0.0016,0.0017,0.0037,-0.0011,-0.0034,-0.0045,-0.0056,-1e-04,-0.0026,-0.0016,-0.0034,-0.0045,-0.0086,-0.0106,-0.0082,-0.0151,-0.0056,-0.0027,0.0004,0.0047,-0.0025,0.0084,0.0045
2000-12-28,-0.9056,36.2889,N,,0.1289,0.0666,0.0483,-0.0116,-0.0472,-0.0446,-0.0306,-0.0205,-0.004,-0.0107,-0.0173,-0.0111,-0.0157,-0.0074,-0.0028,-0.0007,0.0046,0.0136,0.0116,0.0086,-0.0002,0.0009,0.0066,0.0025,0.0045,-0.0024,0.0016,0.0038,0.0109
2000-12-28,-0.9056,36.2889,NE,,0.1307,0.0736,0.0159,0.0066,-0.0152,-0.0373,-0.0362,-0.0159,0.0068,-0.0035,1e-04,0.0059,0.0041,-0.0111,-0.0122,-0.0148,-0.0077,-0.0047,0.0068,0.0129,0.0127,0.0178,0.0106,0.0152,0.0079,-0.0006,-0.0038,-0.0105,-0.0194
2000-12-28,-0.9056,36.2889,NO,,0.0908,0.0567,0.0165,-0.007,-0.0269,-0.0328,-0.0396,-0.0491,-0.0435,-0.0435,-0.0382,-0.0227,-0.02,-0.0132,-0.0036,-0.004,-0.0028,-0.002,-0.005,-0.004,0.0046,-0.0027,-0.003,0.0082,0.0149,0.0169,0.0153,0.0174,0.0208
2000-12-28,-0.9056,36.2889,O,,0.0417,0.0283,0.0119,0.0005,-0.0068,0.0042,0.0248,0.0473,0.0476,0.043,0.048,0.0538,0.0411,0.0311,0.0405,0.0462,0.0355,0.0372,0.029,0.0141,-0.0014,-0.0127,-0.0286,-0.0261,-0.0365,-0.0607,-0.05,-0.0732,-0.0927
2000-12-28,-0.9056,36.2889,S,0.1037,0.088,0.0966,0.0949,0.0991,0.0953,0.0667,0.0445,0.0235,-0.001,-0.0095,-0.0337,-0.0126,-0.0029,0.0134,0.016,0.0148,0.0277,0.0283,0.0182,0.0219,0.0183,0.0108,0.0033,-0.0034,0.0119,-0.0142,-0.0215,-0.0355,-0.0116
