date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-07-10,35.8939,137.4775,E,,0.0901,0.06,0.0191,-0.0142,-0.0475,-0.0125,-0.0875,-0.0481,0.005,0.0189,0.0125,0.0159,0.0161,0.0112,-0.006,-0.0089,-0.0017,0.0085,0.0122,-0.0045,-0.0067,-0.0059,0.0007,0.002,0.001,0.002,-0.0083,0.0071,-0.002
2000-07-10,35.8939,137.4775,N,,0.1425,0.1341,0.1244,0.0634,0.0532,0.0562,0.0264,-0.0354,-0.0231,-0.0192,-0.0173,-0.0058,-0.0066,0.0302,0.0499,-0.0015,0.0254,-0.0062,-0.0031,-0.0118,-0.0441,-0.0309,-0.0095,0.0104,0.0114,0.0132,0.0243,0.0144,0.0217
2000-07-10,35.8939,137.4775,NE,,0.0868,0.0731,0.0596,0.066,0.0505,0.0461,0.0242,0.0219,0.0439,0.046,0.0221,-0.0307,-0.0627,-0.0201,-0.0133,-0.0216,-0.0263,-0.009,-0.0281,-0.0279,-0.031,-0.0222,-0.006,0.0029,0.0104,0.0197,0.0231,0.0013,0.0173
2000-07-10,35.8939,137.4775,NO,,0.176,0.1704,0.1482,0.1615,-0.0048,-0.0021,-0.0107,0.0066,0.0121,-0.0062,-0.0124,-0.0122,-0.0236,-0.0244,-0.0221,-0.0083,0.0026,0.01,0.054,0.0481,0.0134,-0.0137,-0.0013,0.0341,0.0171,,,,
2000-07-10,35.8939,137.4775,O,,0.2014,0.1598,0.1499,-0.0118,-0.0174,-0.0286,-0.0326,-0.0355,-0.0228,-0.0092,-0.007,-0.0159,-0.0161,-0.0063,0.0016,0.0046,-0.0148,0.0165,0.0154,0.0017,0.0051,0.0095,-0.0139,-0.0215,-0.0142,-0.008,0.0019,0.0097,0.0127
2000-07-10,35.8939,137.4775,S,,0.0253,-0.1088,-0.0947,-0.0375,0.0376,0.0371,0.0345,1e-04,0.011,0.0177,-0.041,-0.0393,-0.0401,-0.0366,-0.027,0.0076,0.0009,0.0112,0.0138,-0.0056,-0.0109,-0.0113,0.013,-0.0004,-1e-04,0.0129,0.0156,0.0177,0.0135
2000-07-10,35.8939,137.4775,SE,,0.0789,-0.0193,-0.0714,-0.0965,-0.0855,-0.0442,-0.02,-0.0321,-0.0167,-0.0078,0.0003,0.0068,0.031,0.0221,0.0183,0.0138,-0.0007,-0.0103,-0.0109,-0.0103,-0.0133,-1e-04,0.001,0.0082,0.0032,-0.006,-0.0059,-0.0168,-0.015
2000-07-10,35.8939,137.4775,SO,,0.1027,-0.0854,-0.0499,-0.0622,-0.0082,0.0302,0.0333,0.0457,0.0267,0.0478,-0.0128,-0.009,-0.0106,0.0025,0.0113,-0.0119,-0.0358,-0.0393,-0.0167,-0.0229,0.0038,-0.0044,-0.0103,-0.0127,-0.0124,-0.0037,0.0025,-0.0041,0.0014
2000-09-19,35.8898,137.4842,E,0.045,0.0701,0.0818,0.0682,0.0426,0.0155,0.0122,0.0203,0.0341,-0.0012,-0.0105,0.0248,0.0419,0.0473,0.0559,0.0358,0.0191,0.0323,0.0425,0.018,-0.0021,-0.0052,-0.0162,-0.0434,-0.0399,-0.0368,-0.0478,-0.0443,-0.0388,-0.0299
2000-09-19,35.8898,137.4842,N,0.1439,0.1423,0.1133,0.0707,0.0503,0.0682,0.0416,0.0259,0.0227,0.0153,0.0151,0.0121,0.009,-0.0015,0.0132,-0.0389,-0.0362,-0.0336,-0.0279,-0.032,-0.0293,-0.0213,-0.0243,-0.0203,-0.024,-0.0189,-0.0103,-0.003,-0.0132,0.0035
2000-09-19,35.8898,137.4842,NE,,1e-04,0.0349,0.0248,0.0032,-0.007,-0.0003,0.0465,0.0221,0.0068,0.0097,0.0178,0.0207,0.0106,-0.0084,-0.0035,-0.0076,-0.0138,-0.0008,0.0125,0.0077,0.0025,0.0048,0.002,-0.0003,0.0028,-0.0009,-0.008,-0.0345,-0.0324
