date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-01-23,14.3828,-90.6021,E,0.9824,0.5826,0.2036,0.0824,0.0509,0.0206,0.0065,-0.0172,-0.0353,-0.055,-0.0755,-0.0748,-0.0656,-0.0765,-0.1263,-0.1228,-0.1225,-0.0964,-0.0794,0.0276,0.0683,0.0647,0.0454,-0.0229,-0.0197,-0.004,-0.0127,-0.0333,-0.0781,-0.1287
2000-01-23,14.3828,-90.6021,N,,0.7527,0.6344,0.4987,0.2961,0.1392,0.0186,-0.0332,-0.0395,-0.0522,-0.0167,-0.0038,-0.0553,0.028,-0.0628,-0.072,-0.0961,-0.0473,-0.0192,0.0466,0.0515,0.0515,0.043,0.0457,0.0361,0.0245,0.0112,-0.0146,-0.0404,-0.0613
2000-01-23,14.3828,-90.6021,NE,,0.814,0.4521,0.2578,0.2807,0.2481,0.1325,0.0774,0.0558,0.0355,0.0256,0.0057,0.0084,-0.0039,-0.0244,-0.0161,-0.0887,-0.0748,-0.0395,-0.0019,-0.0241,0.0528,0.0668,0.0708,0.0642,0.0788,0.0321,0.034,0.0186,0.0052
2000-01-23,14.3828,-90.6021,NO,0.5128,,,0.2428,0.1168,0.0074,-0.045,-0.0516,-0.0481,-0.0354,-0.0393,-0.0442,-0.0287,-0.0052,0.0084,-0.0172,0.0144,0.0117,0.0228,0.0305,0.0233,0.011,0.0091,0.0082,0.0033,0.0072,-0.0032,-0.0182,-0.0107,-0.0199
2000-01-23,14.3828,-90.6021,O,,,,0.2258,0.2129,0.1663,0.0908,0.1123,0.0954,0.0461,0.0219,0.0211,0.0434,0.0213,-0.0037,0.0088,0.0014,0.011,0.0018,0.0113,0.0051,-0.0101,-0.0235,-0.0216,-0.0188,-0.0078,-0.0133,-0.0093,-0.0156,-0.0016
2000-01-23,14.3828,-90.6021,S,,,0.3848,0.3124,0.2206,0.2284,0.2232,0.2329,0.0338,0.1869,0.0083,0.0163,-0.0093,-0.1148,-0.0758,-0.1789,-0.0726,-0.1388,-0.1211,-0.0929,-0.0744,-0.0639,-0.0713,-0.0567,-0.0304,-0.0032,0.025,0.0354,0.0215,0.0083
2000-01-23,14.3828,-90.6021,SE,,0.8154,0.4541,0.1447,0.0758,0.0147,0.0129,0.0062,0.0014,-0.0016,-0.0049,-0.008,-0.0126,-0.0171,-0.0192,-0.0225,-0.0232,-0.0114,0.0062,0.019,-0.0304,-0.0315,-0.0304,-0.0284,-0.0207,-0.0079,-0.0077,0.0107,0.0219,0.0291
2000-01-23,14.3828,-90.6021,SO,,,0.4241,0.3718,0.1867,0.0728,-0.0679,0.0137,0.022,-0.0526,0.018,-0.0083,-0.0103,0.0088,0.0095,-0.0111,-0.0209,-0.0308,-0.0073,0.0088,0.0029,0.0143,0.0131,0.0197,0.0273,0.0241,0.0082,-0.01,-0.0417,-0.0633
2000-12-08,14.3826,-90.6021,E,0.5246,0.3209,0.1731,0.0913,0.076,0.0365,0.0226,0.0166,0.0063,-0.0027,-0.0093,-0.0146,-0.0237,-0.0303,-0.0345,-0.0387,-0.0438,-0.0484,-0.0457,-0.0296,-0.0104,0.0072,0.0149,0.0314,-0.0126,-0.003,0.0434,0.0576,0.0616,0.0495
2000-12-08,14.3826,-90.6021,N,,0.3422,0.0181,-0.0836,-0.0741,-0.0633,-0.1521,-0.1451,-0.0447,-0.0063,0.048,0.0483,0.0345,0.0455,-0.0085,-0.0562,-0.0126,0.0089,0.0344,0.0642,0.047,0.0553,0.0396,0.0538,0.0495,0.0338,0.0149,-0.0014,-0.0221,-0.0429
2000-12-08,14.3826,-90.6021,NE,,0.5297,0.3323,0.1825,0.1557,0.0773,0.0512,0.0013,-0.0064,-0.0037,-0.0209,0.0262,-0.0423,-0.069,-0.09,-0.1349,-0.1041,-0.1566,-0.1371,-0.121,-0.0528,0.011,0.0451,0.0651,0.0828,0.0853,0.0734,0.0657,0.0615,0.0416
