date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-06-22,-7.3185,107.7291,E,0.1515,0.134,0.119,0.0904,0.0735,0.0253,0.0086,0.001,0.001,-0.0051,0.0135,0.0186,0.0426,0.0381,0.0313,0.0274,0.0065,0.0119,-0.0019,-0.0155,-0.0206,-0.0236,-0.0105,-0.0062,-0.0038,0.0003,0.002,0.0009,-0.0238,-0.0298
2001-06-22,-7.3185,107.7291,N,0.1684,0.1354,0.1185,0.0672,0.0528,0.0385,0.0192,0.0226,0.0133,0.0125,0.0067,0.0059,0.0074,0.0073,0.0055,-0.0043,-0.0115,-0.0146,-0.0137,0.006,0.011,0.0004,-0.006,-0.0049,-0.0038,-0.0026,0.0022,-0.0078,-0.0307,-0.0328
2001-06-22,-7.3185,107.7291,NE,,0.114,0.1069,0.1001,0.0751,0.0493,0.0138,0.0096,-0.0034,-0.0042,-0.005,-0.0078,-0.0112,0.0042,0.0192,0.0285,0.0238,0.0339,0.0127,-0.0041,0.0072,0.0054,0.0176,0.0117,-0.0015,-0.0062,-0.0142,-0.0156,-0.026,-0.0304
2001-06-22,-7.3185,107.7291,NO,,0.1456,0.1244,0.1128,0.0832,0.0588,0.0652,0.0437,0.04,0.0244,0.0215,0.0187,0.0107,-0.0068,-0.0202,-0.0263,-0.017,-0.0199,-0.0212,-0.0125,-0.0115,-0.0125,-0.0075,-0.0052,-0.0061,-0.0052,-0.0027,-0.0004,0.0041,0.0109
2001-06-22,-7.3185,107.7291,O,,0.1593,0.1404,0.1249,0.113,0.1069,0.106,0.1045,0.1025,0.0942,0.0546,0.0428,0.0409,0.0244,0.0143,0.0089,-0.0009,-0.0064,-0.0124,-0.012,-0.0134,-0.0132,-0.0122,-0.0173,-0.0117,-0.0049,-0.0011,-0.0054,-0.007,-0.0172
2001-06-22,-7.3185,107.7291,S,,0.1355,0.1173,0.0993,0.0716,0.0407,0.0142,-0.0089,-0.0244,-0.0294,-0.0342,-0.0318,-0.0164,-0.0163,-0.0203,-0.0063,-0.0013,-0.001,0.0037,0.0085,0.0081,0.0042,0.0051,0.0045,0.0087,0.0118,0.0057,-0.0015,0.0046,-0.0021
2001-06-22,-7.3185,107.7291,SE,,0.1384,0.0994,0.0694,0.062,0.0548,0.0412,0.0224,0.0176,0.008,0.0047,0.0111,0.0014,-0.0084,0.0074,0.0039,-0.0029,0.0,0.0031,0.0038,0.0187,0.0175,0.0115,0.009,0.0076,-0.0002,-0.0082,-0.0174,-0.0206,-0.0254
2001-06-22,-7.3185,107.7291,SO,0.0999,0.0666,0.0694,0.0697,0.0589,0.0486,0.0501,0.0215,-0.0016,-0.0111,-0.0179,-0.0291,-0.0458,-0.053,-0.047,-0.0323,-0.0122,0.0075,0.015,0.0191,0.0188,0.018,0.0156,0.0086,-0.0183,-0.0179,-0.0176,-0.0212,-0.017,-0.0108
2001-06-29,-7.3183,107.7291,E,,0.1592,0.1568,0.1426,0.1184,0.0455,0.0163,0.0077,-1e-04,0.0101,0.0183,0.0313,0.0555,0.0674,0.0635,0.054,0.0292,0.0149,0.0032,-0.0196,-0.0311,-0.0261,-0.0121,-0.0101,-0.0014,0.0027,0.0014,-0.0201,-0.027,-0.0237
2001-06-29,-7.3183,107.7291,N,0.2118,0.181,0.1616,0.1146,0.0905,0.0707,0.046,0.0445,0.0344,0.0273,0.0248,0.0262,0.0289,0.0272,0.0164,0.002,-0.0043,-0.0134,-0.0032,1e-04,0.0027,-0.0043,0.0008,-0.004,-0.0002,-0.006,-0.0244,-0.0265,-0.0271,-0.026
2001-06-29,-7.3183,107.7291,NE,,0.1376,0.1093,0.1069,0.0667,0.0264,0.0179,0.0089,-0.0023,-0.0052,-0.0086,0.001,0.0103,0.0166,0.0301,0.0451,0.0419,0.0209,0.0088,-0.0067,-0.002,0.0096,0.008,-0.0007,-0.0122,-0.0195,-0.0253,-0.037,-0.0339,-0.0118
2001-06-29,-7.3183,107.7291,NO,,0.1582,0.142,0.1212,0.1041,0.0834,0.0672,0.0518,0.0493,0.0168,0.0197,0.0225,0.0108,0.0056,-0.0097,-0.0168,-0.0207,-0.0262,-0.0271,-0.0224,-0.0227,-0.0184,-0.0156,-0.014,-0.0142,-0.0106,-0.0038,-0.0009,0.0057,0.0056
2001-06-29,-7.3183,107.7291,O,0.1743,0.1492,0.151,0.1453,0.1371,0.114,0.1057,0.1054,0.1216,0.0938,0.0875,0.0691,0.0526,0.0345,0.0061,-0.0033,-0.0157,-0.024,-0.0331,-0.0358,-0.0406,-0.0408,-0.0388,-0.0298,-0.0287,-0.0263,-0.0264,-0.0295,-0.0294,-0.0306
2001-06-29,-7.3183,107.7291,S,0.2064,0.1733,0.1707,0.1485,0.1152,0.0767,0.0324,-0.0019,-0.0245,-0.0349,-0.0402,-0.0454,-0.0329,-0.0326,-0.0323,-0.0114,-0.012,-0.009,-0.0065,0.0069,0.0067,0.0068,0.0063,0.0056,0.0065,0.0073,0.0153,-0.0024,0.0043,0.0119
2001-06-29,-7.3183,107.7291,SE,,0.1474,0.1316,0.0994,0.0736,0.0615,0.0349,0.014,0.0008,-0.0129,-0.0106,-0.0127,-0.0004,-0.0043,-0.0021,0.0022,-0.009,-0.0056,0.0076,0.016,0.0139,0.0138,0.0168,-0.0065,0.0027,-0.0018,-0.0126,-0.0062,-0.0138,-0.0136
