date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-04-29,55.4178,-161.8918,E,0.1245,0.1105,0.0923,0.0669,0.0714,0.0749,0.0754,0.0588,0.0324,0.0164,0.0054,0.0192,0.0112,0.0069,0.0008,-0.005,-0.0232,-0.0252,-0.025,-0.0204,-0.0136,-0.012,-0.0077,-0.0033,-0.0027,0.0011,0.0065,0.0092,0.013,0.0148
2000-04-29,55.4178,-161.8918,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0016,0.001,
2000-04-29,55.4178,-161.8918,O,0.2013,0.1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-29,55.4178,-161.8918,S,,0.1296,,,,,,,,,,,,,,,,,,,,0.0004,-0.0021,-0.0026,0.0002,-0.0006,0.0013,0.0024,0.0044,0.0038
2000-04-29,55.4178,-161.8918,SE,0.1338,0.0903,,,0.0813,0.079,0.0933,0.0898,0.066,0.0276,-0.026,-0.0342,-0.0386,-0.038,-0.0335,-0.0325,-0.0274,-0.0238,-0.02,-0.0215,-0.0187,-0.0149,-0.0112,-0.006,-0.0032,0.0027,0.0079,0.0148,0.0171,0.0191
2000-04-29,55.4178,-161.8918,SO,0.1843,0.1384,0.1232,,,,,,,,,,,,,,,,,,,,,0.0042,0.0009,0.0005,0.0004,-1e-04,-0.0025,-0.0015
2000-08-19,55.4153,-161.8878,E,0.3218,0.3126,0.2899,0.2345,0.1719,0.1478,0.1376,0.1241,0.1021,0.0849,0.0523,0.0343,0.0375,0.0268,0.0118,0.0044,-0.0244,-0.0296,-0.0285,-0.0528,-0.0535,-0.0554,-0.0708,-0.0653,-0.0624,-0.0543,-0.0438,-0.0356,-0.022,-0.011
2000-08-19,55.4153,-161.8878,N,0.188,0.1815,0.1613,0.147,0.1405,0.1036,0.0796,0.0105,-0.0108,-0.0101,0.0184,-0.0011,-0.0021,-0.0097,-0.0043,0.0197,0.0005,0.0148,0.0005,-0.0087,0.0045,0.0047,-0.0012,-0.0162,0.0203,0.0226,0.0232,0.0251,0.0209,-0.002
2000-08-19,55.4153,-161.8878,NE,,0.1582,0.1436,0.1032,0.0547,0.0182,0.0027,-0.0042,-0.0377,-0.0431,-0.0362,-0.0247,-0.0118,0.0042,0.014,0.0216,0.0244,0.022,0.0273,0.0423,0.0402,0.0448,0.0295,0.0192,0.0114,-0.0025,-0.0124,-0.0209,-0.0342,-0.0339
2000-08-19,55.4153,-161.8878,NO,0.2851,0.2687,0.2676,0.251,0.2245,0.1516,0.0993,0.0581,-0.0039,0.01,0.0311,0.0022,-0.0061,0.0025,-0.0185,-0.0185,-0.0248,-0.0245,-0.0224,-0.023,-0.0164,-0.0183,-0.0181,-0.0078,0.014,0.0159,-0.0057,-0.0225,-0.0036,-0.0105
