date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-01-04,14.8057,-61.1668,E,0.0766,0.04,0.0278,0.0208,0.0197,0.0138,0.0134,0.0032,-0.003,,,,,,,,,,,,-0.003,-0.0028,-0.0026,-0.0021,-0.0026,-0.0022,-0.0022,-0.0009,-0.0006,-0.0004
2001-01-04,14.8057,-61.1668,N,,0.0411,0.0159,0.0163,0.0223,0.0215,0.0254,0.0251,0.0204,0.021,0.0104,0.0054,-0.0016,-0.0119,-0.0181,-0.0155,-0.025,-0.0242,-0.0136,-0.0118,-0.0112,-0.0018,0.0026,0.0108,0.0072,0.006,0.0056,0.0074,0.0045,-0.0025
2001-01-04,14.8057,-61.1668,NE,,0.0335,0.0029,0.0015,0.0007,-0.0061,-0.006,-0.0049,-0.0026,0.0054,-0.0017,0.0024,0.0008,-0.0064,-0.0148,-0.0191,-0.0125,-0.027,-0.0161,0.0021,,,,,,,,,,
2001-01-04,14.8057,-61.1668,NO,,0.0205,0.0147,-0.0031,-0.0051,-0.0021,0.0016,0.0009,0.0055,0.0065,0.0101,0.0099,0.0056,0.0073,0.0055,-0.0003,-0.0036,-0.006,-0.0105,-0.007,-0.0041,0.0002,0.0051,0.0043,0.0022,0.0043,0.0048,0.0093,0.0099,0.0017
2001-01-04,14.8057,-61.1668,O,0.0432,0.0377,0.0321,0.0141,0.0075,0.0077,0.0027,0.0028,0.0052,-0.0026,-0.001,0.0004,-0.0104,0.0076,-0.0,0.0011,0.0006,-0.0062,-0.0066,-0.0063,-0.0031,-0.0033,0.0034,0.0035,0.01,0.0101,0.0105,0.0109,0.0111,0.0125
2001-01-04,14.8057,-61.1668,S,-0.0981,-0.0965,-0.1029,-0.1005,-0.0805,-0.1168,-0.1168,-0.106,-0.0995,-0.0962,-0.1,0.2104,0.2384,0.0975,-0.0447,-0.041,-0.0255,-0.006,0.0025,0.0048,0.0046,0.0003,-0.003,-0.0104,0.0124,0.013,-0.0004,-0.0133,-0.0153,-0.0037
2001-01-04,14.8057,-61.1668,SE,,0.0509,0.0232,0.0178,0.0139,0.0156,0.0234,0.0226,0.0326,0.0283,0.0237,0.0194,0.0134,0.0033,-0.0099,-0.022,-0.0231,0.0882,-0.0206,-0.0226,-0.0227,-0.0241,-0.0233,-0.026,-0.0218,-0.0158,-0.0175,-0.0173,-0.0175,-0.0183
2001-01-04,14.8057,-61.1668,SO,,0.0275,0.0221,0.0177,0.0133,0.0074,0.0029,0.0046,0.0058,0.0129,0.0101,0.0026,0.0157,0.0063,0.0065,0.0047,0.0061,-0.003,-0.0003,-0.0029,0.0033,0.0054,0.0054,-0.001,-0.0083,-0.0023,0.0013,0.0005,0.0047,0.0069
2004-01-29,14.8051,-61.1643,E,0.0353,,,,,,0.0055,0.0028,-0.0012,-0.004,-0.0073,,,,,,,,,,,,,,,,,,,
2004-01-29,14.8051,-61.1643,N,0.0167,0.0074,0.0013,-0.0013,-0.0017,0.005,0.0134,0.0152,0.0167,0.0115,0.0004,0.0023,0.0018,0.0068,0.0101,0.0087,0.0087,0.0098,0.0104,0.0113,0.0065,0.0023,-0.0078,-0.0023,-0.0068,-0.0051,-0.0055,-0.0055,0.0002,-0.0053
2004-01-29,14.8051,-61.1643,NE,,0.0135,,,,,0.0007,-0.003,0.0036,-0.0114,0.0153,-0.0045,-0.0066,-0.0027,-0.0136,0.0031,0.0046,0.0003,0.0085,0.0098,,,,,,,,,,
2004-01-29,14.8051,-61.1643,NO,,0.0011,0.002,0.0031,0.0012,-0.0023,-0.0056,0.0014,-0.008,-0.0015,0.0005,0.0047,0.0128,0.0154,0.0048,0.0005,-0.0035,-0.0023,0.003,0.0058,0.0057,0.008,0.0035,0.0029,-0.0072,-0.0018,-0.0016,-0.0111,-0.0129,-0.0066
2004-01-29,14.8051,-61.1643,O,,0.0015,-0.0002,-0.0026,0.0039,0.0057,0.0011,0.0,-0.0064,-0.0017,0.0031,-0.0003,0.0018,-0.0015,-0.0019,-0.0072,-0.0073,0.0021,0.0068,0.0083,0.011,0.009,0.005,0.0041,0.0031,0.0034,-0.0033,-0.0299,-0.0399,-0.0394
2004-01-29,14.8051,-61.1643,S,-0.0076,-0.009,-0.0172,-0.0303,-0.0367,-0.0423,-0.0473,-0.0312,-0.0332,-0.0492,-0.0445,-0.0349,-0.0353,-0.0411,-0.0362,-0.0309,-0.0206,-0.016,-0.018,-0.0249,0.1185,-0.0085,-0.0127,-0.0259,-0.0174,-0.0111,-0.0052,-0.0092,-0.0256,-0.0287
2004-01-29,14.8051,-61.1643,SE,,0.0535,,,,,,0.008,0.0025,0.0077,0.0086,0.0007,-0.0028,-0.003,-0.0034,-0.0036,-0.0038,-0.0042,-0.0044,-0.0045,-0.005,0.0068,-0.0033,0.0015,-0.0061,-0.0063,-0.0067,-0.0065,-0.0068,-0.0072
2004-01-29,14.8051,-61.1643,SO,,0.0227,0.0148,0.0036,-0.0035,-0.0072,-0.0033,0.0068,0.0053,0.0095,-0.0032,-0.0129,-0.0166,0.0037,-0.0092,0.007,-0.0143,-0.0033,-0.0103,-0.01,0.0019,-0.01,0.0061,0.0084,0.0088,0.0091,0.0095,0.0069,-0.0043,-0.0151
2004-08-08,14.8051,-61.1665,E,0.0373,,,,,,-1e-04,-1e-04,-0.0,0.0,0.0,,,,,,,,,,,,1e-04,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
2004-08-08,14.8051,-61.1665,N,0.0196,-0.0038,-0.003,-0.009,-0.0107,-0.0089,-0.0074,-0.002,-0.0032,-0.0008,-0.0033,-0.0036,-0.0041,-0.0052,-0.0045,0.0019,-0.0009,-0.0044,-0.0029,-0.0028,-0.0064,-0.0066,-0.0043,-0.0031,0.0005,0.0018,0.007,0.0066,0.0094,0.01
2004-08-08,14.8051,-61.1665,NE,,0.0214,,,,,-0.0054,-0.0031,-0.0039,-0.0013,0.0004,0.0003,-0.0018,-0.0014,,,,,,,,,,,-0.0089,0.0036,,,,
2004-08-08,14.8051,-61.1665,NO,,0.0182,0.0058,0.0044,0.001,0.0051,0.0047,0.0044,0.0069,0.0052,0.0097,0.0162,0.0124,0.0007,-0.0117,-0.0153,-0.0183,-0.0116,-0.0092,-0.0173,-0.0074,-0.0015,-0.0017,0.0024,0.0104,0.0144,0.0171,0.0137,0.0072,-0.0007
2004-08-08,14.8051,-61.1665,O,0.0992,0.0689,0.0583,0.0608,0.056,0.0438,,,,,,,,,,,,,,,,,,-0.0205,-0.0006,0.0063,0.0022,0.0021,0.003,-0.001
2004-08-08,14.8051,-61.1665,S,-0.1483,,,-0.1458,-0.1424,-0.1356,-0.128,-0.1236,-0.1082,,,,0.2021,0.2121,0.2246,0.2279,0.2307,-0.0455,-0.0384,-0.0131,-0.0359,-0.0355,-0.0351,-0.0257,-0.0142,0.001,0.0143,0.0237,0.0101,0.0167
2004-08-08,14.8051,-61.1665,SE,,0.0031,,,,,,,,,,,,0.0029,0.011,-0.0151,-0.0208,-0.0301,-0.0354,0.0861,-0.011,-0.0143,-0.0237,-0.0355,-0.0331,-0.0355,-0.0069,0.0009,0.002,-0.003
2004-08-08,14.8051,-61.1665,SO,,0.0034,0.004,-0.0015,-0.0048,-0.0044,-0.0026,-0.0093,-0.0046,-0.0002,-0.0048,-0.008,-0.0058,-0.0016,-0.0012,0.0005,0.0022,0.0025,0.0031,0.0018,0.0044,0.0027,0.003,0.0005,-0.0014,0.0021,-0.0002,-0.0005,0.0008,0.0003
2004-08-24,14.8049,-61.1668,NE,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
2004-08-24,14.8049,-61.1668,NO,,,,,,,0.0058,0.0044,-0.0049,-0.003,-0.005,-0.0013,0.0039,0.0041,0.0028,0.0026,-0.0017,-0.03,,,,,,,,-0.0026,0.0097,0.0125,0.0107,0.0064
