date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2000-02-05,-35.2445,-70.5707,E,0.1242,0.1142,0.1003,0.0904,0.0683,0.0606,0.0461,0.0282,0.0237,0.006,0.0079,0.0058,0.0102,0.0027,-0.0074,-0.0119,-0.0105,-0.002,0.0093,0.0224,0.0211,-0.0045,-0.0065,-0.0129,-0.0086,-0.0127,-0.022,-0.0277,-0.0402,-0.0397
2000-02-05,-35.2445,-70.5707,N,,0.146,0.138,0.1449,0.1415,0.1049,0.0933,0.0163,-0.0038,-0.0016,-0.0035,0.0132,-0.0165,-0.0352,-0.0306,-0.0287,-0.0179,-0.0152,-0.0007,0.0066,0.0193,0.034,0.029,0.0338,0.0359,0.0069,-0.0244,-0.0333,-0.0291,-0.0358
2000-02-05,-35.2445,-70.5707,NE,0.0109,,0.0037,0.0427,0.0367,0.0475,0.0388,0.0593,0.0094,0.0216,0.0323,0.0166,0.0044,-0.0133,-0.0113,-0.0209,0.0086,0.0269,0.0324,0.0333,0.0238,0.0052,-0.0019,0.0077,-0.0046,-0.0105,-0.0081,-0.0073,0.0019,-0.0127
2000-02-05,-35.2445,-70.5707,NO,0.1489,0.1553,0.1468,0.1375,0.1236,0.0958,0.0608,0.0265,0.0101,0.0051,0.0019,0.0088,-0.0301,-0.0203,-0.0338,-0.0227,-0.0106,0.0,0.0122,0.0237,0.0274,0.0297,0.0298,0.0154,0.0046,-0.0099,-0.0095,-0.018,-0.0346,-0.0379
2000-02-05,-35.2445,-70.5707,O,,0.0544,0.0945,0.0973,0.1021,0.1091,0.0993,0.0916,0.0724,0.0539,0.0571,0.0494,0.0361,0.0408,0.037,0.0299,0.0239,0.0061,-0.0173,-0.031,-0.0304,-0.0247,-0.0185,-0.0255,-0.0298,-0.0315,-0.0195,-0.0043,0.007,0.0029
2000-02-05,-35.2445,-70.5707,S,,0.1242,0.0814,0.0684,0.0225,-0.0324,-0.0554,-0.0563,-0.0342,-0.0285,-0.0288,-0.0288,-0.0316,-0.035,-0.0368,-0.0351,-0.0374,-0.039,-0.0346,-0.037,-0.0376,-0.0396,-0.0237,0.0324,0.0607,0.0711,0.0599,0.0471,0.0477,0.0525
2000-02-05,-35.2445,-70.5707,SE,,0.1316,0.1342,0.1123,0.0587,0.04,0.032,0.0369,0.0276,0.0343,0.0405,0.029,0.028,0.0109,-0.0041,-0.0161,-0.0152,-0.0147,-0.0075,-0.0049,0.0061,0.0055,0.0062,0.0079,0.0036,-0.0074,-0.0145,-0.0214,-0.0196,-0.017
2000-02-05,-35.2445,-70.5707,SO,,0.171,0.1666,0.1059,0.08,0.0557,0.0453,0.0022,-0.0021,-0.0005,-0.0094,-0.0157,-0.0082,-0.0067,0.0048,0.0044,0.0061,-0.007,-0.0092,-0.0251,-0.0153,-0.0054,-0.0041,-0.0111,-0.0045,-0.0004,1e-04,-0.001,-0.0013,0.0018
2002-01-16,-35.244,-70.5707,E,,0.0393,0.0272,0.0161,0.0037,-0.0003,0.0063,-0.007,0.0047,0.0118,0.0033,0.0094,0.0123,0.0158,0.0168,0.0277,0.0254,0.0162,0.0091,-0.0163,-0.0235,-0.0288,-0.031,-0.0327,-0.0337,-0.0337,-0.033,-0.032,-0.0308,-0.0299
2002-01-16,-35.244,-70.5707,N,,-0.0694,-0.0584,-0.0931,-0.0648,-0.0068,-0.0118,-0.0594,-0.0702,-0.0746,-0.0646,-0.0412,-0.0075,0.0029,0.0127,0.0113,0.0054,0.018,0.0181,0.0119,0.0088,0.0089,0.0022,-0.0013,0.0002,0.0015,0.0038,0.0057,0.0028,0.0004
2002-01-16,-35.244,-70.5707,NE,0.0859,,0.055,0.0123,-0.0107,-0.031,-0.0341,-0.02,-0.0184,-0.0446,-0.0827,-0.0808,-0.0868,-0.0772,-0.0617,-0.029,-0.0085,-0.0128,-0.0069,0.0061,0.0131,0.0209,0.0007,0.0087,0.0225,0.0263,0.0443,0.0442,0.0357,0.0297
