date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2001-07-22,3.5884,8.7629,E,,0.0372,0.027,-0.0359,-0.0412,-0.0447,-0.0465,-0.0486,-0.0456,-0.0423,0.002,0.0059,0.0053,0.0034,0.0079,0.0161,0.0143,0.0169,0.0243,0.0236,0.0338,0.0285,-0.0168,-0.0148,-0.0013,-0.0089,-0.0175,-0.0221,-0.0183,-0.0202
2001-07-22,3.5884,8.7629,N,,0.0351,0.0354,0.0396,0.0411,0.0375,0.0359,0.0218,0.0141,0.01,0.0233,0.0427,0.0135,0.0068,0.0023,-0.0121,-0.0245,-0.0271,-0.0286,-0.0248,-0.0217,-0.0117,-0.0081,-0.0065,-0.0048,-0.0012,0.0031,0.006,0.0101,0.0101
2001-07-22,3.5884,8.7629,NE,0.0029,0.0175,0.0159,0.027,-0.0294,-0.0305,-0.0227,0.0212,-0.0202,-0.0246,-0.0042,0.0182,0.0241,0.019,0.0128,0.0123,0.0109,0.0121,0.0158,0.0197,0.023,0.0264,0.023,0.0248,-0.0301,-0.0146,-0.0112,-0.018,-0.0159,-0.0047
2001-07-22,3.5884,8.7629,NO,-0.0092,0.0051,-0.0168,-0.0087,-0.0191,-0.0095,-0.0093,-0.0108,-0.0003,0.0049,0.0109,-0.0182,0.0171,0.0245,0.0332,-0.0241,-0.0206,-0.0087,0.0024,0.0219,0.011,0.0064,0.0017,0.0117,0.0031,1e-04,-0.0122,-0.0113,-0.0107,-0.0158
2001-07-22,3.5884,8.7629,O,,0.0977,0.0802,0.0717,0.0546,0.0471,0.0551,0.0603,-0.0044,-0.0065,-0.0181,-0.0215,-0.0132,-0.0094,-0.0041,0.0042,-0.0007,-0.0117,-0.0072,-0.0088,-0.0081,-0.0107,-0.0082,-0.0044,0.0039,0.004,0.0045,0.0041,0.0025,0.0026
2001-07-22,3.5884,8.7629,S,,0.0228,0.0034,-0.0271,-0.028,-0.0132,-0.0086,0.0095,0.0104,0.0257,-0.0289,-0.0252,-0.021,-0.0183,-0.0142,-0.0114,-0.0097,-0.0051,-0.0014,0.003,0.0042,0.0011,-0.0108,-0.0083,-0.0122,-0.0172,-0.0157,-0.0144,-0.0104,-0.0128
2001-07-22,3.5884,8.7629,SE,-0.0322,-0.0315,-0.0467,-0.083,-0.0879,-0.0823,-0.0465,-0.0382,-0.0397,-0.0344,0.0004,0.0178,0.0257,0.0346,0.0384,0.0402,0.0368,0.0408,0.0223,-0.016,-0.0288,-0.032,-0.0202,-0.0186,-0.0219,-0.0198,-0.0112,-0.0021,0.0021,0.0063
2001-07-22,3.5884,8.7629,SO,0.0871,,0.0593,0.0245,-0.0033,0.0024,0.0117,0.0172,0.0202,0.0144,0.0123,-0.0092,-0.0006,-0.011,-0.0108,-0.022,-0.0166,-0.0201,-0.0088,-0.0049,-0.0093,-0.0093,-0.0142,-0.0146,-0.0106,-0.004,-0.0041,-0.0032,-0.0035,-0.0034
2002-04-20,3.5856,8.7662,E,,,,,,,0.0048,,,-0.0091,,-0.0105,,,,,,,-0.0225,,,,,,0.0196,,,0.0102,,-0.0235
2002-04-20,3.5874,8.766,E,,0.0588,0.0514,0.0152,0.0276,0.0186,,-0.0026,,,,,-0.0142,-0.013,,-0.0185,-0.022,-0.0176,,-0.0196,0.0069,,0.0253,,,0.0166,0.0156,,,
