date,center_lat,center_long,direction,15m,45m,75m,105m,135m,165m,195m,225m,255m,285m,315m,345m,375m,405m,435m,465m,495m,525m,555m,585m,615m,645m,675m,705m,735m,765m,795m,825m,855m,885m
2002-04-03,15.13,120.3539,E,,0.1728,0.1689,0.155,0.0967,0.0404,-0.0079,-0.0265,-0.0548,,,,,,,-0.0512,-0.048,-0.024,-0.017,0.006,0.0005,0.001,0.0315,0.04,0.0615,0.0421,0.0093,0.0063,0.012,-0.0609
2002-04-03,15.13,120.3539,N,,0.0827,0.0712,0.0411,-0.046,-0.0967,-0.1485,-0.1583,-0.1482,-0.1655,-0.1403,-0.0948,-0.047,-0.0153,0.0096,0.0298,0.0281,0.0364,0.0114,-0.0227,-0.0076,-0.0083,0.0057,0.0206,0.0212,0.0509,0.0389,0.0504,0.035,0.0198
2002-04-03,15.13,120.3539,NE,0.232,0.2,0.1884,0.1534,0.1478,0.0883,0.0424,0.0339,-0.0069,-0.0497,-0.0348,-0.0516,-0.0479,-0.0378,-0.0174,-0.0099,-0.0394,-0.0358,-0.0255,-0.0284,-0.0205,-0.0268,-0.0184,-0.0105,-0.024,-0.0108,-0.0083,0.042,-0.0087,0.0788
2002-04-03,15.13,120.3539,NO,0.1032,0.1275,0.1002,0.0784,0.0344,0.0084,-0.0157,-0.0399,-0.0625,-0.0644,-0.0494,-0.0388,-0.0405,-0.0378,-0.0081,0.0002,0.0288,0.0266,0.0807,0.036,0.016,-0.0129,0.0068,0.0121,-0.0165,0.0124,0.0136,0.0191,0.0414,0.04
2002-04-03,15.13,120.3539,O,,-0.0104,-0.0206,-0.0161,-0.0149,-0.007,-0.0012,-0.0162,-0.0157,-0.0035,0.0118,0.0279,0.0342,0.0478,0.0512,0.0444,0.0275,0.0137,0.0177,0.0056,-0.0078,-0.0094,0.025,0.0017,-0.0071,0.006,0.0141,0.0154,0.019,0.0213
2002-04-03,15.13,120.3539,S,,0.1079,0.097,0.1012,0.1117,0.1232,0.1218,0.1112,0.0904,0.0714,0.0807,-0.004,0.025,0.0133,0.0016,0.021,0.0095,-0.0009,-0.0393,-0.0465,-0.0402,-0.044,-0.0558,-0.0343,-0.0073,0.0171,0.0354,0.0207,0.0247,0.0239
2002-04-03,15.13,120.3539,SE,0.2619,0.2519,0.2103,0.194,0.1925,0.1551,0.0812,0.0375,-0.0038,,,,-1e-04,,,,,,,,,,,,,,,,,0.2924
2002-04-03,15.13,120.3539,SO,0.0636,,0.0332,0.039,0.0543,0.05,0.0443,0.0451,0.0427,0.0605,0.0557,0.0435,0.016,-0.0142,-0.0331,-0.0073,-0.0113,-0.008,0.0,0.0035,0.007,0.0004,0.0141,0.0148,0.0035,0.0142,0.0069,0.0075,0.0059,-0.031
2003-05-08,15.1343,120.3469,E,,0.1929,0.1325,0.041,0.0122,0.0042,0.0066,0.0062,0.0055,-0.0023,-0.0021,-0.0031,-0.0026,-0.0027,-0.0021,-0.0034,-0.0036,-0.0031,-0.0015,-0.0023,-0.0027,-0.0019,-0.0026,-0.0031,-0.0034,-0.0019,-0.0011,-0.0015,-0.0023,-0.0031
2003-05-08,15.1343,120.3469,N,,0.0314,0.0308,0.0409,0.0442,,,,,,,,,,,,-0.0492,-0.0016,0.0073,-0.0211,-0.0141,0.0041,0.0077,0.0187,0.0218,0.0189,0.0119,0.016,-0.0055,-0.0138
2003-05-08,15.1343,120.3469,NE,0.1823,0.1522,0.121,0.0918,0.0333,-0.025,-0.0268,-0.0353,-0.0353,-0.0267,-0.0383,-0.0563,-0.0799,-0.0657,-0.0486,-0.0539,-0.0437,-0.0397,-0.0305,-0.0231,-0.0231,-0.0326,-0.0156,-0.0203,-0.015,-0.017,-0.0156,0.0002,-0.0108,-0.0015
2003-05-08,15.1343,120.3469,NO,0.0967,0.0365,0.0388,0.0428,0.017,0.0096,-0.015,-0.0226,-0.0293,-0.0368,-1e-04,0.0434,0.0469,,,,,,,,-0.0687,-0.0356,-0.0106,0.0025,0.0078,0.0051,-1e-04,0.0078,0.011,0.0102
2003-05-08,15.1343,120.3469,O,,0.1194,0.1101,0.0871,0.0751,0.0685,0.0626,0.0614,0.0533,0.0554,0.0432,0.0416,0.0338,0.0291,0.0257,0.0186,-0.0016,-0.0079,-0.0145,-0.024,-0.018,-0.0093,-0.0121,-0.0072,-0.0066,-0.0151,-0.0022,-0.0097,-0.0076,-0.0246
2003-05-08,15.1343,120.3469,S,,0.1169,0.1232,0.1199,0.0978,0.1017,0.104,0.1003,0.0795,0.0868,0.0766,0.0674,0.0367,0.0218,0.0141,0.0154,0.0146,0.0036,-0.0223,-0.0234,0.0015,0.0112,0.0099,-0.0071,-0.0235,-0.0263,-0.0247,-0.014,0.0098,0.0189
2003-05-08,15.1343,120.3469,SE,0.0461,,0.0314,-0.0351,-0.0906,-0.0536,-0.1128,-0.087,-0.0825,-0.0283,-0.1018,0.0141,-0.0028,0.0446,0.0159,-0.0005,0.021,-0.0038,0.0167,0.0112,0.0399,0.0473,0.0502,0.0361,0.014,0.0117,-0.0036,0.0167,-0.0126,-0.0079
2003-05-08,15.1343,120.3469,SO,0.1703,0.1515,0.1567,0.1272,0.1174,0.1026,0.0897,0.0723,0.0905,0.074,0.0457,0.0106,-0.0246,-0.0145,-0.0,0.0145,0.0228,0.0203,0.0262,0.0183,-0.0078,-0.0181,-0.0089,-0.0187,-0.0169,-0.0115,-0.0166,-0.0151,-0.0163,-0.0191
2005-04-11,15.1273,120.3528,E,,0.1963,0.1705,0.1604,0.1591,0.1689,0.1813,,,,,,,,,,,,,,,,,,,,,,,
